sample_id,z,y
2930038,0,8.433072559829363
3667249,0,8.48828563715023
3068184,1,9.10039066063262
919653,1,8.82247067330846
2935081,1,85643.41193759264
2244093,1,77714.08544946057
458037,0,7.584849656713097
3069202,0,8.792733876969859
3789404,0,9.185629362005908
1608386,0,8.544589517099533
898010,0,8.760075174934267
2723778,1,8.939645869941772
2681026,0,8.077985506997566
3343921,0,8.091027377300563
628834,0,8.42018223171405
2600909,0,8.809343989213351
584627,0,8.548799929953477
3174773,0,8.623608668438617
657706,0,9.144486567960719
1025295,0,8.97514546632579
3667399,1,9.350892621703954
2758772,0,8.966359075469873
2698024,0,9.112063250707559
1040746,0,10.327560574964568
2841325,0,8.529631516545578
1423967,0,8.087333333192927
321751,1,8.870457214001773
2993718,0,8.483089863516994
2473105,0,8.499213177088967
3672543,0,8.270279535924878
2002222,1,84331.83508383654
2567866,0,8.320943541283063
1078224,0,11.065491462378272
952330,1,8.632396427293099
615609,0,8.37436310808334
1017074,0,8.993259311763842
2117954,0,8.410862248626762
2180510,1,8.09199226401627
3387856,1,8.812650510651228
3417206,0,8.951425903465324
207029,0,9.154501893351044
1292502,1,8.593310696721113
719176,0,8.249664423876297
2981474,1,9.945228610257344
2036000,0,8.318226684757173
2565600,0,8.285603152816948
3007833,0,9.046684180651733
3275545,0,9.2178325879041
2131142,0,9.40306471484007
3504044,0,8.587639422299679
570242,0,8.840597831543016
3479691,0,8.465063405243074
2620893,0,8.22070724244081
1709816,0,9.141570461015846
3518024,0,9.733602361506845
2485847,1,8.8414711543515
3712574,0,8.607892164204099
249535,0,9.13613685528169
655092,0,9.23034815284401
3267614,1,9.33673959539876
1572796,0,9.043566986935211
1164620,1,109582.82753846492
680852,0,8.275639856208315
419489,0,9.13105489009048
1223574,0,8.26099815411033
1741766,0,8.866452757541673
3809993,0,8.033467241957002
1522351,0,7.938038656542843
1709079,0,8.463710311415737
3853579,0,8.165764125413546
906348,0,8.382324027819246
1550998,0,9.182415594891415
926722,0,8.22340682554027
2639737,0,8.345862198206792
1867318,0,11.559307882525395
3521612,0,9.028858112421885
1620837,1,9.179150428271047
2891263,1,9.945192884976223
1605584,1,8.62170056172366
1693034,0,8.485313354604832
3672342,0,8.991896405070303
1738306,0,8.670559027965338
1332041,0,7.784297830784041
1556198,0,8.044980551348912
2012584,0,9.174258390122914
850540,0,8.832913481835595
3397550,0,9.533674662812146
2524701,0,7.8653085079934435
1685965,0,8.73872556145112
1726154,0,9.05688109875668
1375670,0,8.787320486317165
3210996,0,8.259842896084967
545608,1,9.127430930315935
3008185,0,8.867368265315694
2841014,0,8.812423031021762
309087,1,8.450646757222698
2048870,0,9.095261808216817
966849,0,8.717331289032158
392019,0,7.541291618171574
3539929,0,8.575253155146793
2492429,0,9.354071993182444
662647,0,8.680419522357525
2404030,1,9.800421819871014
388075,1,77993.4244700531
3774466,1,9.356894993618631
1674214,0,8.54840135843836
1469902,0,9.179987535593252
806778,0,9.048584883934343
2760140,0,8.642561104816583
3102117,0,8.935149278222186
2485417,0,8.941687468508182
2037647,1,8.899584888667697
908451,0,8.907830438973244
1406431,0,9.018173284078287
