sample_id,z,y
3670081,1,-1.4589922461415936
3327738,0,-1.43782808480284
1992011,1,-1.1643323012228002
1004214,1,-1.2832125578179314
2874008,0,-1.598945147713382
3412113,0,-0.994632162426073
2438771,1,-1.3292863360203346
3265020,0,-0.6194913200369634
2672024,1,-1.0302821192958214
3925152,0,-1.3964869725118354
2993321,0,-1.5376315797353952
993441,0,-1.4247526430153228
3223238,1,-1.1090698680876776
3548364,1,-1.518363908296575
1457757,1,-1.9031152328819676
3167571,1,-1.0422728427380523
2975834,1,-1.474860074879912
3169665,0,-2.286246174242968
2133190,0,-1.9095435299832575
241327,0,-1.7166575181023083
3546131,0,-1.9232002227628162
581390,0,-1.18774952478081
203344,1,-1.5524685011252983
3404227,0,-1.4598800387401083
2806885,1,-1.3715926738650666
3716541,1,-1.1620020022085078
2433325,0,-1.414960185051388
2979280,1,-1.1960395708533433
3673276,0,-1.0544930730663986
3459682,1,-1.2407260754515268
943433,0,-0.5497382827498389
1061043,0,-0.9451190295606097
642690,1,-1.1754920551765644
347796,1,-1.466139621352737
3355855,1,-1.6331545128762563
3916650,0,-1.5499789229781151
895656,0,-1.5010270748103776
1907759,1,-0.3905264567192772
3519531,1,-1.6085428475248393
3653810,1,-1.3979307926367912
701183,0,-1.9903897909863388
3281047,1,-1.0145439291452658
429840,0,-0.39740414534056523
3766704,1,-1.1561550138222487
3326412,0,-2.0651841775317044
2015105,1,-1.475195191539817
3470513,1,-1.647844345914535
203361,1,-1.6781035379902753
290997,1,-1.1581909991906505
1106292,0,-0.2610565084156937
2658259,0,-1.8663046897729525
268211,0,-1.1994441483686142
3221155,0,-1.5994977438129034
237725,0,-1.485588451573523
2481288,0,-1.1767301437616158
1915181,0,-1.1835635896109915
2443472,1,-1.2503059048431315
1667460,1,-1.566864538711211
1304062,0,-1.3114764850629874
526390,1,-1.757280217665476
993289,0,-1.6709568019430083
2806154,1,-0.7667855309745287
1111374,0,-0.325252204430772
3456779,1,-0.8905667164833497
3207765,0,-1.7156416229744287
1508552,0,-1.2600384560696862
337292,1,-1.832115351602228
328348,1,-0.8209147612515143
2182788,1,-0.9657661636893168
2205624,1,-1.7046042922268791
1626003,1,-0.8728852972974159
3868960,1,-1.196198384131288
967157,0,-1.244991064559103
1273767,1,-1.4456142277560933
430634,0,-1.1556702615929826
2138698,1,-1.0684431129327874
3296141,0,-1.2534985018015923
1491111,1,-0.9099927285094949
941801,1,-1.1467097658270313
869805,0,-1.7096858449788241
2772331,0,-1.6316668864363815
1448363,1,-1.7309330120203632
3144539,1,-1.5732326657853437
3357765,0,-1.3154552894897922
2217222,0,-1.5067205849781318
1214281,1,-1.1250958934264126
3910608,1,-1.3865556511748827
944263,1,-1.5086974822634505
953012,0,-1.527149736645629
3107573,1,-1.3763531089237884
588489,0,-1.724607252074378
961669,1,-0.9183316594454458
1780779,1,-1.0371735815175698
2752270,1,-1.6148659798253595
739270,0,-1.292546152348027
3869956,0,-1.300810918782505
1362869,1,-1.0783644060732862
1045882,0,-0.4581710124163197
3484122,0,-1.2053870076467177
2798544,0,-1.3240045195146672
2862065,0,-1.0032113523780861
2019968,0,-1.0012069305505213
2994042,0,-1.1159576990423228
469421,0,-1.29857357121671
2024309,1,-1.8707640914164125
442909,0,-1.3116227417293205
3714078,0,-1.6672761983513595
3084875,0,-1.75778071692032
2032894,0,-1.351883026131998
883281,1,-1.360871506889264
3921800,0,-1.4205573685813062
3006279,1,-1.2860986534434677
1511452,0,-1.755334900673744
3400293,1,-1.3145436101510106
3410723,1,-1.7786121956616006
2930179,1,-2.1314648488144767
3454743,1,-0.8351070629563517
3407043,1,-1.7991629440938957
3001665,1,-1.2132745433618686
2549274,0,-1.50126779086793
490194,0,-1.8967508230676944
2227274,0,-0.7921726532511348
1549658,0,-1.0184715907581925
1206069,0,-1.6736056436792797
1415694,1,-1.6042893918989463
1848619,0,0.0764366874936172
2190281,1,-1.141986233890214
3755967,0,-1.3873452364495276
1470844,1,-1.9849335903285923
3876615,1,-1.1827182337306261
440361,0,-1.0870947894236584
2641237,0,-1.7239441333564136
2806604,0,-1.4972550758719405
3834638,1,-1.6165735900389167
328983,1,-0.9038596267910357
2463854,1,-1.0277652167648006
3876870,0,-1.1240536047872012
2597088,0,-1.7475819646810777
2449290,1,-0.7884978739735962
1600071,0,-1.4746300738904734
2669116,0,-1.6416697597884573
2253664,1,-1.3255795304867506
3407939,1,-0.7276148585870814
1289693,0,-1.7883097303436086
1045279,1,-0.44294043119032234
1510123,0,-1.5281480365900009
980294,1,-1.9610057462416794
3053878,0,-0.5868109023624152
1342329,1,-1.4988437687034262
1814613,0,-1.407476688301959
3768697,0,-1.9114804194045312
2521732,0,-1.0562029382629543
1751011,1,-1.475949132077273
970694,0,-1.3318987063129348
3164874,0,-1.929846475261355
1750342,0,-1.154279427881723
2637478,1,-1.5230052573173465
2467199,0,-1.0444357627676903
1258248,0,-0.9818588520832187
1693673,1,-1.4164759516566403
3379763,1,-1.15959418566512
3793319,1,-1.4181353084137547
3161247,0,-1.889768709500757
3692731,1,-1.4801712080799023
807065,1,-1.498493987170437
1574307,0,-0.7173753212053409
2696535,0,-0.9806345364279382
3043202,0,-1.2370935974631783
486520,1,-1.0527219212014642
449905,1,-1.0837083274293675
3380199,1,-1.9136047090047241
2234791,1,-1.8491802103169301
305301,1,-1.2973808480437201
3197732,0,-0.8871741530717168
2657341,1,-1.6613453689141393
1395630,1,-1.3594320324140337
2841013,1,-1.3686055846206966
660072,1,-1.3759998713037402
3307992,0,-2.0504453677730097
3303837,1,-1.5905968384638087
1308361,1,-0.7369507282605494
3398344,0,-1.0639262881634797
929094,0,-1.3926227076487077
3770237,0,-1.6746981114163373
2962901,0,-1.9050215945999776
2003742,0,-0.9317438295385656
255275,1,-1.9743328403170262
3007444,0,-0.7025190593447417
1375623,1,-1.0425318402390025
1534776,1,-1.737576850944325
3165748,0,-1.9621400276289376
967419,0,-1.8506384851453557
1723175,0,-0.9801409265845935
1975972,0,-0.6744500690165184
2659678,0,-0.8749281950803933
2788487,1,-1.06248932299483
1127316,1,-0.5140556311522181
2768362,0,-1.107617319685285
1297166,0,-1.3189411600211454
1270105,1,-1.1634466576439844
3840313,0,-1.3826743262799193
1159571,0,-0.42813364555790767
1142748,0,-0.6879562515733934
2765078,1,-0.911491518662989
888074,1,-0.5713852665838999
1266202,0,-1.5784297639609988
3325957,0,-1.7312515937777295
3514042,1,-1.5404116961208965
3685760,1,-1.6316207018025797
1423306,1,-1.1789516271096185
2934102,1,-1.1619922273693057
3217994,1,-2.2425284595901984
3745884,1,-1.8322361314556173
3462325,1,-1.3609204118267606
334682,1,-0.5294753579036329
2240120,0,-1.1288675884981985
1153503,1,-0.4311325801992633
739350,0,-1.3687598976023791
3837706,1,-1.7503373019043553
545528,1,-1.3280805965779272
3045530,1,-0.9484450252228429
2644374,0,-1.2103428701490984
877765,1,-0.8083677556746158
2478462,1,-1.7268383415830164
2730684,1,-1.7763831431642338
1951203,0,-1.4015346369180661
2768420,0,-0.8753247707473443
3268439,0,-0.9544821635840421
3227957,0,-0.9180373540211751
961565,0,-1.0360970345776934
1530571,0,-0.7615895937356764
935831,1,-1.396555287038256
1966034,1,-1.2000358352716425
248034,1,-2.2709747833822362
1020587,0,-0.8511561062337967
1718495,1,-0.5529477820060196
2203906,0,-1.3305090918145415
2634501,1,-1.1104470692113773
1727719,1,-1.290378159223191
2207826,1,-1.5124394179949812
2116293,1,-1.501070103971967
3251194,0,-1.2766886009715999
2553514,1,-2.065414175106749
3231345,0,-1.7121189030240358
476881,0,-1.4120665277543647
1267906,1,-1.0862432582845074
3042580,0,-1.55996488826297
1374145,1,-1.373640923249164
1965289,1,-1.0790081785116739
699339,0,-1.3730164588172982
1665806,1,-0.28894999882276085
719640,0,-1.882148736317725
2732372,0,-1.5581845535709324
1564149,0,-0.7000529418228096
1491019,1,-2.1133570729064743
3008108,1,-1.4614626086263471
1011647,0,-1.5461040374088006
1119760,0,-0.5672891622085292
1621322,0,-1.6245422498783586
3678026,0,-1.5192738906141436
2406335,1,-1.4063643392008758
961551,1,-0.9494233993242972
334471,0,-2.161597759194715
3299050,1,-0.6563987821530577
2198464,0,-1.8863422909079703
344100,0,-0.6495201385010366
3503965,1,-1.2676733562693556
3694978,1,-1.2363175199493794
2014447,0,-1.5546057361287178
1877638,0,-0.506027708698707
2602298,1,-1.1482310998206502
650020,0,-1.6228304245509138
1144464,1,-0.5420745445746676
3067541,1,-2.124901236775813
1595765,0,-0.9829048158178822
513339,0,-1.6608031369185208
2797089,0,-1.857912412155505
442170,0,-0.6965226480156381
2763552,1,-1.1356038325154791
587888,1,-2.2094155514137213
2769395,0,-1.2993760793425198
457475,1,-1.3817120408044132
3504125,1,-0.8184083481206392
508494,1,-1.1194452532836285
2642615,1,-1.7908922636218039
3732521,0,-1.1151633925534508
1028069,1,-1.3903608581286135
1412905,1,-0.9556517098946438
626794,1,-1.8129064515852114
3226843,1,-0.5697497917561212
2155619,0,-0.9634409498555394
1145441,0,-0.579972700873382
3271084,1,-1.4685248552869166
3018000,1,-1.4793371174745336
1161152,0,0.28951714053961675
1950109,0,-1.1009632577268738
2683306,1,-1.33215157448541
2569006,1,-1.0377156175957
2413852,0,-2.115105038311751
3881603,0,-0.768005470648552
2430425,1,-1.424845238959047
980093,0,-1.2781517192232332
3135107,0,-1.138917596846987
1051390,0,-0.8590790414916828
3028190,1,-0.9133464533431777
382611,0,-1.5343321897238165
2797151,1,-1.2279018610842842
3362458,1,-1.128261663740633
3841109,0,-1.1153760919834919
1311356,1,-1.3948658917590342
2742956,1,-2.3432346103391346
3249638,0,-1.5547265369537133
464500,0,-1.0810812998592234
3357595,0,-2.283041089188992
3759547,0,-1.7145913962801802
1643959,0,-2.179967921945205
2507235,0,-1.7231669673036594
2727891,1,-1.50408703817628
690889,1,-2.1139003538638863
1840432,0,-0.4904976953640422
1380692,1,-1.9901300726766489
1193278,0,-1.3279525222719282
3908113,0,-0.8298756391682937
2847419,0,-1.505203195041697
2914471,1,-1.6637857358319168
3498620,1,-1.870100618367065
1378667,1,-1.459186549063262
1901403,0,-0.028974876080393397
704723,1,-1.7227729922194697
680860,0,-1.4156928239134712
