sample_id,z,y
1031691,1,-3.9936899493497253
3102055,0,-4.345540239106357
922923,0,-2.9227431282552825
1213679,0,-4.790265750078384
3800795,1,-3.6755756917692706
3833006,1,-3.898623161303897
1492312,1,-3.6663587064992837
616602,0,-2.838978662783365
2974379,1,-3.1837425375166366
2594773,1,-3.6676211568131136
1381202,0,-4.998013530527604
3923386,0,-2.9574802518719423
1213933,1,-2.242737963618855
1162037,0,-3.6081855121022417
496955,0,-2.8374429143430127
1252961,1,-2.8685894485469676
871840,1,-3.8747228218602925
1949766,0,-3.532035516501577
3250989,0,-3.4323191202722345
1543997,0,-2.184818844125726
3409610,0,-2.849474768208238
1167609,0,-2.479000083186892
2680506,0,-3.794445010755437
3343457,0,-3.239392065905566
1751478,0,-2.50182604920404
2838712,0,-2.6043794023850535
2750342,0,-3.448220686885298
2728478,0,-3.5257204322018945
2778158,0,-4.828941897363397
3440787,1,-2.537451995828356
1554529,1,-2.9795979373565764
2910740,1,-6.218627186006713
3148741,1,-2.734169814175031
2486861,0,-2.5223625973760146
1456975,0,-3.400613768949528
567607,0,-2.3969257797501515
2049452,0,0.9479934011532382
916933,1,-2.796384529651872
2899774,0,-2.4093555619102407
2169789,0,-3.840314529256495
2032173,1,-5.164362333559037
704259,0,-5.347952429521637
607438,1,-4.276096586606728
747699,1,-3.593103211546373
820074,1,-2.678072090097427
542758,1,-3.104640604854387
981536,0,-3.990966808215386
2552561,1,-2.87262949274607
2407944,0,-2.45717513499167
538951,1,-4.304396366606803
2751300,0,-3.7949621259566237
3870270,0,-4.078734926700963
1250768,0,-2.53435335239642
732938,1,-2.281908522003562
1560409,0,-2.4928130457865225
1590230,0,-4.222775726753515
3196329,0,-4.524157408082241
258707,0,-3.9349037962135616
3767756,0,-5.20553566972922
3193400,1,-4.300240246925201
272698,0,-2.149085950250446
1478812,1,-1.6856073098027307
3265384,0,-5.411319679644119
984880,0,-2.202875105920947
349634,0,-3.4507084827632175
683857,1,-2.8830681431600715
2590620,0,-5.152481112482683
3726884,0,-3.3562383181506235
1826400,0,-3.6528539267446445
2718109,1,-4.882422008591624
1726488,0,-3.4022973808570423
448502,1,-2.4474773160671743
1815045,0,-3.5416862562495215
2985487,0,-2.6235065379302105
3333277,1,-2.193144623493133
2887960,0,-3.1709821249376726
2593735,0,-3.916279250509844
400277,1,-5.982743694583282
1097101,1,-2.2496377217549965
603595,0,-2.8151402907880376
1389544,0,-5.618613441210414
3840909,1,-3.859142981929306
1226729,0,-4.125016352828197
1760100,0,-4.3017202798682135
518281,1,-1.9800092706654189
3891619,0,-3.782300972213676
2455219,1,-2.310417029196742
844685,1,-3.7996878965991785
1226100,0,-4.792787547758153
241699,1,-2.293203292510714
995363,1,-4.914683785943624
1619386,1,-3.8464699498137085
577111,0,-2.142092605020183
3462935,0,-2.6923073329550604
3495202,0,-3.2307455410153776
915266,1,-3.473265285528852
498635,0,-3.38269269726981
3427632,0,-2.670505789769044
1965711,1,-4.199771745479923
3720263,0,-3.0280709766078826
1705135,0,-3.1218147427963725
1001316,0,-2.489027569347679
1199953,1,-2.6878479414464653
1248201,0,-3.7436313111036172
1773523,0,-2.6006658866722376
2785176,1,-2.3991707665439814
2263630,0,-2.9987181244417243
1758059,1,-3.280636219898846
2709078,0,-4.427187002937191
3235350,0,-3.5595962845622156
3795046,0,-4.866811121475006
2649464,0,-3.825805380383226
980685,0,-2.7601011956374073
3464169,1,-3.4181806551810787
3724695,0,-3.1379238174825996
3748120,0,-4.094595935993413
1503943,1,-4.47900041721041
2452831,0,-3.111800121142112
1766166,1,-3.0322768767540818
2038833,0,-3.4487755184854887
3699664,1,-5.6848123758602975
3871191,0,-2.520661956029032
1723571,1,-3.759944787387618
3842405,0,-2.751830492824241
937232,1,-3.0430362280915304
2848953,1,-4.392284537493854
3195236,1,-3.2591376661412834
3514124,0,-1.6250464343113404
352848,0,-3.264806414626126
611277,1,-2.6600689133620627
1054761,0,-1.9687806219712491
1521330,0,-1.9722470686273295
2135141,0,-3.7846887509838636
