sample_id,z,y
1405245,0,-12.233653120854761
729240,0,-12.709090156854106
2786620,0,-12.610829536845515
3840395,1,-11.917188878434542
676696,0,-12.701318446756238
1035440,0,-13.162647596384199
2669257,0,-13.219840151544112
3771721,0,-15.199151282804221
3006830,1,-12.323241808211629
1220503,1,-12.10881516536673
842717,0,-14.943253031129046
1388206,0,-11.841857506773604
2894239,1,-13.036689886090887
222974,0,-12.783538370320088
2889254,1,-12.971446914418827
256007,0,-12.628248990581419
1101213,0,-13.531061606121805
1372616,0,-14.747738486034429
3771577,0,-14.667512886098624
876358,0,-13.067893568709483
3525495,1,-11.428797255914006
1044446,0,-14.350092341539668
3125560,0,-14.021420314549822
1501890,0,-11.604231523820095
2698245,1,-12.10295976986459
668487,0,-12.161188621063665
2479878,1,-11.321554515003035
2399637,1,-11.843177770857567
200634,1,-11.538414732423178
1524302,1,-12.58236264364343
526066,0,-12.829823508462177
3423231,0,-14.078252309060307
417118,0,-14.583013604808931
3094517,1,-12.760515847413343
1268059,0,-14.881214182039152
3706914,1,-12.731842836004198
3364799,1,-11.907279959898357
1139670,0,-15.681445871946883
3925133,0,-12.948247126755538
2565133,1,-11.365039221456195
2474937,0,-11.69714829644785
3159049,0,-14.118200784718251
3158136,1,-11.590332730397996
1881327,1,-12.399204865447734
3936241,1,-11.709062872710074
2988655,0,-14.564560438245588
1612400,0,-11.968948276891693
2202335,0,-12.306730931555283
1438539,1,-12.539035596589677
2798706,0,-12.232856103042566
3400415,0,-12.159307400887107
239484,0,-14.597868098256086
2933265,1,-12.063315503101263
638232,0,-13.28672381444214
657204,0,-12.90359102374472
1606320,0,-11.956529589187207
744037,0,-12.568287327964763
2046305,0,-11.6778635570991
3892904,0,-13.208617689053588
3241564,0,-11.866641811564683
1260663,0,-11.722200104731337
870494,0,-12.325962355348906
2738409,1,-12.082005838010257
963395,0,-12.153295738669645
1272938,1,-11.255990890884275
1880949,1,-12.877110536254591
2565690,0,-11.568150110143174
1857009,0,-13.40983541061004
3032371,0,-13.305565156797119
3081642,0,-14.403215302043652
1697478,0,-13.52346259313484
657790,0,-11.860063585555087
2164639,0,-14.255860893949299
3674720,0,-14.939653522591161
2488152,0,-14.131190381945856
1636270,0,-14.62447138983166
3805696,0,-14.368948001603764
867502,0,-12.957955586382324
1369235,0,-14.257261232222875
2595188,1,-12.166198148247867
872682,1,-11.675869825572239
953441,0,-14.618715761890732
2711793,1,-10.473612204164104
298484,1,-12.99490237607864
584265,0,-12.78404950915351
492261,0,-12.620397707003155
413896,0,-12.719728501870886
2154976,0,-15.330790404445679
3361556,1,-12.124941427371494
1102058,0,-12.90903382382088
975173,1,-12.2952312065539
2014844,1,-11.379938484639634
411078,0,-12.459121110064984
2671948,0,-12.218920872084277
1061118,0,-12.129423157997701
2684303,0,-12.344224733947316
3937869,0,-14.721388350826874
1133725,0,-14.70601225287855
2653192,1,-11.165553954534262
1949217,1,-11.116981684907428
571816,0,-13.712279755176493
2113329,0,-11.369061042827452
2529109,0,-12.38526283733837
889413,1,-11.530754848571997
314164,1,-11.958799905956475
233952,0,-14.331018279254275
1962458,0,-11.999169026038311
2930650,1,-12.104902564632892
2929222,0,-13.772662299074256
3522448,0,-12.517356362383827
1810761,1,-13.294973319324555
212513,0,-12.100391351955752
659559,0,-12.783687046352167
1311213,0,-12.024890811811366
1538203,1,-12.588553495160232
2557916,1,-12.102014357402059
3795932,0,-12.018329823229609
2223165,1,-12.229233802543035
2425682,1,-12.125101084008115
2265025,1,-12.035180060253031
3896566,1,-12.315020579531225
415562,0,-12.010956044106226
713362,0,-12.530623089801807
2405470,0,-11.227191944987492
2040334,0,-14.376201629727754
3748243,1,-12.035142710558823
1563527,1,-11.915299223645878
1206867,0,-12.740642173102975
1263393,0,-11.625518583564569
1112792,0,-13.81680772635365
500671,0,-11.806574121296304
1847247,1,-12.340534425085362
2193386,0,-13.804376374775073
1274523,0,-14.374885384601352
1152419,0,-14.732841313434362
1830142,1,-12.45835091127492
1934088,0,-12.26222337189145
3840912,0,-14.636281646158352
2564584,0,-12.401273626653525
1663910,0,-11.958037618660146
1912712,0,-15.190241143961181
1523560,0,-11.861586735513102
3806068,0,-12.190575393987029
1574711,1,-12.006719910929304
3719155,1,-12.112986965673352
1154534,1,-12.518265033349477
2546273,1,-12.432049588808066
882135,0,-14.72308267270723
2043697,0,-12.71457654379623
1323809,0,-14.287503411456003
1331159,1,-12.827228366953127
3013262,0,-14.597248604489016
3158284,1,-11.801064337629292
3144644,0,-12.63701831116726
1728741,0,-14.47564131333948
1843606,1,-12.954322405168885
2128786,0,-15.55902191024219
3851068,0,-14.72532193371303
1095745,0,-12.994463544788315
2662600,0,-14.65698205308345
2522859,0,-12.468261853310757
3861591,1,-12.90011961837024
2778965,0,-13.44629672419219
2703694,0,-14.070455837981783
1209874,0,-11.918401211223392
3309742,0,-14.476931923643313
2926128,1,-12.035865720776098
2785496,0,-15.28819122161519
973148,1,-12.260158744290534
2773951,1,-11.992324913497091
2934105,1,-12.93252920425376
1549056,0,-12.352248519970551
2007268,1,-12.141189808961608
2215977,0,-13.066683843983299
1555176,1,-12.522994756580227
3096595,1,-11.722418453894084
447822,1,-11.87501077755671
2980084,1,-12.645688074436194
1331695,0,-12.904399783731328
3483847,0,-11.985546542853847
2963644,0,-14.685341092820396
593812,0,-14.088404244776127
876548,0,-14.852808100581907
2006682,1,-12.46002661247135
297579,0,-12.58563245886245
2470164,1,-11.713018390409948
1520245,0,-12.257018873408532
2844398,1,-12.517460823147331
290005,1,-11.054793393406225
2558064,0,-11.90064834955553
2055057,0,-12.8441298943673
1298117,1,-11.894792149443196
652964,0,-13.626127034042097
2168961,0,-14.36413492592828
1489810,0,-14.471498103907027
559047,0,-14.563669996247452
534970,0,-13.083872795098747
3469968,1,-12.380396995535357
3281613,0,-12.577312058998686
2139585,0,-14.432780159369011
2494385,0,-14.701934337801468
263660,0,-12.295096703877915
1695253,0,-11.589194893851026
3495508,0,-13.1451352786187
