sample_id,z,y
2703267,0,-2.1574143185769095
3034188,0,-2.803983830498514
3795165,1,-1.6518054178253707
253295,0,-1.400128103544274
3382783,0,-2.018084554410673
1721468,1,-2.3897342053695065
3103408,0,-0.6979607073820282
317318,0,-4.602934357711822
3383465,0,-1.7665108576700541
802103,1,-0.9721386114837522
2661388,1,-3.368968806585265
3960380,1,-7.796716009971222
333620,1,-4.941556511132707
1582269,1,-3.6217606373701514
3226353,1,-4.80784192410136
1077034,0,-2.2828052414781563
893391,1,-1.7054660274607576
3712895,1,-1.5299937346009278
3768091,1,-4.7555725462022345
2633891,1,-3.4241396076662776
1401879,0,-3.4794588316219635
1057932,0,-3.1375180367459383
3407707,1,-2.4588615797432376
1808964,1,-1.1087215615830424
2632195,1,-3.5531360755166537
2680506,0,-1.3751661938546138
2027261,0,-3.028607029055817
2261184,0,-0.9638632812720698
1622130,1,-3.6993040510337805
1055944,1,-3.840073649446267
1479000,1,-2.2487605416195313
969757,1,-2.6873134772835727
2821861,0,-3.2262851817048994
2770918,1,-3.96718473066657
2427713,0,-4.055733528410352
305812,0,-2.5413901918078365
3276910,1,-4.308372379364296
1287884,0,-3.387621739105505
2987911,0,-2.9918798383322676
2457313,0,-2.7574955304134185
2486516,0,-4.3063045236411925
2622259,1,-2.4850320999671336
485718,1,-2.7848209795420447
672805,1,-2.706776677211011
1918839,0,-2.911223486101342
1877638,0,-3.5659588021950044
3252707,0,-0.33185252631926465
930530,0,-3.0196206979940605
1636066,1,-2.8736182869028117
2420452,1,-3.1721286332232737
717172,1,-5.511433446960123
2829308,1,-2.7291442639189634
3744054,0,-2.937986428659323
3934382,0,-1.163556621080529
3905310,1,-2.851319979704623
1469691,0,-3.974237129776595
342935,0,-1.2321406762525458
438337,0,-3.4859286944187593
1005703,1,-4.103581963018676
2842760,1,-3.5919613983178733
1544631,0,-2.5535098855412377
2948830,0,-2.9193664321425237
3891904,1,-3.4052992954240833
3358023,1,-5.84885999113698
1723855,1,-4.031517610532229
307351,0,-2.7099341826779497
2848404,1,-3.9935870272955762
894362,0,-3.385992946422021
3675197,0,-2.4823585816720852
1939509,0,-2.993303186536827
