sample_id,z,y
3287279,0,-33.3303769624688
514680,1,-31.076799117504343
1773992,0,-36.355359427278316
979328,0,-33.27301997805484
2476465,1,-35.14879629347398
3714774,1,-35.69121668446698
3437314,1,-36.57523334469597
3718077,0,-35.64663560774642
1125661,1,-58.06029896282488
1715758,0,-34.43146440220732
1443262,0,-33.885523264105814
1945990,1,-34.82526653509976
3314297,0,-32.18776946910891
2531555,1,-35.097425491401886
3883153,0,-32.0565382624183
2181054,0,-33.53812393936522
1490507,0,-33.97988653831476
3059644,0,-34.43898065432841
252864,0,-33.15252126140478
1850722,0,-57.91539429538882
1519942,0,-34.225820421688795
1240557,0,-32.38848396506675
2449331,0,-35.09988033430205
3129038,0,-34.820486912731084
3019991,0,-26.584382811692343
2970097,0,-32.641530689873285
2258743,0,-31.635474571890086
2491002,0,-31.172187255673542
3148622,0,-33.77497676573062
1234584,0,-32.837203155480196
596956,0,-34.20216351106347
3330107,0,-33.84414130530842
2041973,0,-25.97038567575958
568728,1,-29.19705638229788
3209707,0,-34.36576116247382
2866594,0,-35.58595019925598
271920,0,-32.434494051204304
729239,0,-34.193687140359515
528358,1,-35.4815473596157
3299046,0,-26.37640256250002
260608,0,-33.56428307270202
648511,0,-31.534590654978327
631780,0,-34.34907152254516
1242759,1,-31.686270254080327
1352328,0,-33.931907023280935
2751630,1,-32.935325739305924
468649,0,-33.10439341943998
3009830,1,-31.817858559307037
819297,1,-33.12061254090446
2216032,0,-58.01354073495865
2449800,0,-33.87467529302667
2187943,1,-32.13514943064099
421992,0,-33.72344031768939
729664,0,-33.26198489581217
854459,0,-33.59723757501622
2729820,0,-32.052738080297786
1304407,0,-33.818647843748586
3832201,0,-34.34264956106007
1085378,0,-58.7041036753957
1164734,0,-59.23082350750021
3872166,0,-33.392657705018884
2477167,0,-34.77614422994597
2579283,0,-35.16387084633039
2109428,0,-34.405142972475815
1751926,0,-33.73156040042101
306596,0,-32.98076399876979
312394,0,-33.99923877361716
3252342,1,-35.08071934244127
2979162,1,-34.01710271212765
3180166,0,-34.11115396556649
957277,0,-33.32923401190689
2680738,1,-33.660936168693794
3057190,0,-31.664704349413224
3538083,0,-33.28449029709512
