sample_id,z,y
629002,0,-4.746230959817291
2206031,0,-5.681131841954206
635332,0,-4.7470313557631485
2634326,0,-4.402431675053824
2694743,0,-4.637500799909741
668568,0,-3.93520791467928
921412,0,-4.677029056820266
831428,0,-4.239209231258509
3450122,0,-6.2411698286436
3058494,0,-4.447503472723003
431031,0,-4.826867988685236
1962458,0,-4.838075531094687
2591636,0,-4.5661976215482625
3095446,1,-6.6084745181170215
2246359,1,-6.824002121877496
3705511,0,-4.898009789973017
652056,0,-5.165449278463536
1434761,0,-3.845876861372531
1354652,0,-4.955194166262108
2609939,0,-4.7486002387108
3675176,0,-5.444978480811515
1780593,0,-6.146623288012528
3792326,0,-4.566632596581884
2183951,0,-4.3925406681398815
2547945,1,-7.222424516619316
3691451,0,-3.873830015362974
3107277,0,-4.12553060625513
2668216,0,-5.30856565830245
3710679,0,-4.87198850107171
949687,0,-5.194039777862036
1432366,0,-5.113773317977185
558291,0,-4.722489367406865
2774129,0,-5.211038724498909
1995496,0,-3.7878088380888775
623683,0,-5.001751140488695
1637334,0,-4.908897770173147
3466427,0,-5.121121503660807
2505722,0,-4.630738503593611
1118651,0,-4.824215697743111
1192509,0,-4.415522397335996
1169695,1,-6.678606387534308
1040884,1,-6.8912931038712495
754151,0,-4.160226301825045
3691621,0,-4.766877205835069
1774479,0,-2.591769148796076
231243,0,-3.9269887371726773
879923,1,-0.7470153103147854
883844,0,-4.5061986704902335
393956,0,-4.803989562180428
3378247,0,-2.7489662706777267
513544,0,-5.487955148317002
2633882,0,-3.857351310665428
634114,0,-5.182538647327791
1549818,0,-5.5231093414647034
1541774,0,-3.636980289994437
3664422,0,-3.130825653946148
1483947,1,-6.939489213017777
993492,1,-6.80912361845141
1461184,0,-4.119487452606124
3294510,0,-4.201768575979939
3044208,1,-1.038650570350239
2813756,0,-3.503739266173883
800706,0,-5.091404371852646
1293298,0,-4.215320737324221
2714814,1,-5.91679268975359
1227890,0,-5.264862990033463
2996496,0,-3.332213696535267
3886668,0,-4.283915661140884
2966090,1,-5.69826764460386
492261,0,-4.695105245572125
811644,1,-1.0847912195536247
3878637,0,-3.8849550955416143
2805690,1,-6.656366303062504
335790,0,-4.06441836349703
3864661,0,-5.070157471801152
2827883,0,-4.541879715583373
251811,0,-3.791407865546959
218792,0,-5.575920537721988
2781142,0,-4.464562830010008
3165635,0,-5.770509116701671
1237535,0,-3.633084786838354
3395852,0,-4.871309559849048
997108,0,-4.558014331156836
3294608,0,-4.463754990098654
1970448,0,-4.660552481523128
1026735,1,-6.146249806286769
3678170,0,-4.5593522017732155
2768760,0,-4.5816317393020745
269271,0,-4.502630430881596
446664,0,-5.190478722153901
