sample_id,z,y
919846,0,-0.6737913170470734
1597755,0,-1.1206134198905768
2511913,0,-1.067702196141624
937054,0,-0.7708513447842744
823128,0,-1.4626893716518146
966090,0,-1.3872895899090354
885759,0,-1.0681999505735833
981260,0,-1.3998764692848626
1446944,0,-1.6885505820908842
1355903,0,-1.377269003176906
805970,1,-1.8397287588751208
1134905,0,-0.9591189402849754
206790,1,-1.284056269010037
2661307,1,-0.6857226538129968
3839633,1,-0.8453119401225024
2450195,0,-0.9233545120992321
3526552,1,-1.183369147189293
2430802,0,-0.3258821148013885
2434235,0,-0.8764708997911691
1722762,1,-1.8560319136890238
2890129,0,-0.7870493439971731
3296072,1,-1.2513137570093762
207542,0,-1.478081614011309
2522845,0,-1.8506400440304576
3413083,1,-0.9851158816501357
649360,0,-0.8586120439286538
3070762,0,-0.8844839472313101
2416264,1,-3.1697025380006565
252220,0,-0.9412012442181923
1497723,0,-0.9254681003955646
3068664,1,-1.4631430515591493
2857312,1,-1.4971316253563358
2248865,0,-1.4065029654250636
2798546,0,-1.5676258708441513
2671948,1,-0.837227828015055
975469,0,-1.4272805391590098
3539136,0,-1.4382565195461545
812407,0,-0.5934529938163287
3288383,1,-2.028186538553647
3328501,0,-1.3910190992408888
2165105,0,-1.040364643877012
1861653,0,-0.675814030177607
474365,0,-0.7995924619517605
3275744,1,-1.2440460156319708
3906686,1,-1.1928943209854466
1010021,0,-1.5019175243655072
3809943,0,-1.0453500475256412
1343944,1,-1.6684660874426156
2927026,0,-1.7635240778224608
2542550,0,-0.7230582579104617
1413217,0,-1.447668772039957
3340470,0,-0.8459604219988881
465600,1,-1.3744667166217575
3033703,0,-1.9254557778114432
1342614,0,-0.95437693054063
2236016,0,-1.2089124620221263
2697259,0,-2.2130635691018723
2240931,0,-1.0134053133351628
1108692,0,-1.4603599733898471
1532769,0,-0.5464229279933901
3282443,0,-0.737464845620765
228341,1,-1.0639155507097628
3393445,0,-0.5985362207495083
1094361,0,-2.824844757617813
3404227,0,-0.5795683244768952
3058668,0,-1.2398098199285963
2634912,0,-2.1816371720058667
258615,0,-0.26876181522337594
1171201,0,-1.5050855941698245
625281,0,-1.5621203988165107
387156,1,-1.611842542801472
218777,0,-0.9962901057893789
3040548,0,-0.621177861605141
3335470,0,-1.3590057837396006
1263691,0,-1.5963700557334377
3444012,0,-1.300026593369261
1212265,0,-1.0173682025513882
1489045,0,-1.1408881273988523
991205,0,-1.1590127021555974
3176254,1,-1.7895624591018855
198487,0,-0.9533566882820987
1325755,1,-1.5946195717630887
1619094,0,-0.40006061841837126
1746468,1,-1.014473746679018
2759168,1,-1.8699025685929707
2985487,0,-1.8678307085843575
201633,0,-1.0318303182385564
2669547,0,-0.8056985170776865
3105921,0,-1.9827980503267049
1633640,0,-1.0859290398701709
3870487,0,-1.44815091940383
273081,1,-1.2857771495067378
2454032,0,-0.589163270923506
924224,0,-1.2487599904334266
3920165,0,-1.7028288576102277
3048670,0,-0.8082149790780747
3029230,1,-1.2404879265111588
2496855,0,-1.7061053259847458
305185,1,-0.9462926775566638
981009,0,-1.324780741952163
1775302,0,-0.7556442705568198
2178250,1,-0.9094799067940957
3790528,0,-1.704258027619044
3521320,0,-1.8924967102633594
554500,0,-1.4461439979115431
