sample_id,z,y
1605665,0,-16.128001189248128
3712371,0,-24.18832200193021
3807935,0,-18.5043103501473
1371405,0,-23.686570173741746
659411,0,-22.812133605528796
494182,0,-17.940288859895983
675354,0,-29.551799447658496
1386072,0,-21.669787829283976
2768839,0,-21.43486110937014
2726146,1,-21.066246677424534
1091856,1,-65.9854602792913
2796551,0,-130.02769223768286
1621551,0,-19.85983539974167
2623615,0,-19.63298072219982
1429358,1,-133.0034068738221
1986171,0,-20.58108572687994
2417947,0,-19.293465171245625
312670,0,-22.233142599925834
1002988,0,-24.1543610638675
1056828,0,-76.20893028218117
1143808,0,-65.86685010914914
3959135,0,-19.216689381460128
3527280,0,-132.4911154369595
2110106,1,-25.06451133001707
2541316,1,-21.424567336850146
3316883,1,-24.703673894214056
2987384,0,-132.89026994926115
3083072,0,-22.545121347011506
1454238,0,-18.730611232628657
2679024,0,-16.105556244575144
2433942,1,-20.232959107163083
3864709,0,-19.05152075099381
2720324,0,-17.892231828123723
2127787,0,-131.4194737265097
395755,0,-23.42530503016384
2276236,0,-33.873481200611124
2639285,1,-23.15806466559584
3446865,0,-26.618628319211705
1386070,0,-27.730879832562078
1199176,0,-19.602252106873635
2725015,0,-132.07352609162285
3375308,0,-16.768261395299206
2458546,0,-21.411760745058864
1956706,0,-23.182881665737725
2457625,0,-131.80633945559546
2484020,0,-131.676014462209
3371905,0,-27.341523872572427
2134261,0,-18.44753017898703
2284102,0,-21.45400978639709
3105924,0,-131.42744462985272
292528,0,-25.38859515374178
3271295,1,-18.411454952269263
2654810,0,-27.28045312343243
376861,0,-18.775828822102078
587214,0,-19.4847063706359
1755592,0,-129.61135866036682
1210592,1,-16.247488121914298
3344327,0,-19.3228282694992
3868509,0,-21.66043407835755
1678638,0,-30.59559184084847
275545,0,-12.903086201362257
1601711,0,-21.8126995991495
1840545,0,-70.5723429183682
972682,0,-58.70183390073401
2790871,1,-21.088548253585774
3515497,1,-20.543978495853104
897344,0,-26.75814823398348
2612924,0,-24.60431003033176
2500439,1,-30.429144881303518
1974155,0,-27.432417687204907
3696961,0,-17.703586015639043
2699806,0,-14.529984816865413
590385,0,-20.225294832387906
349757,0,-15.368190238061421
749449,1,-21.003862024962174
1295741,0,-20.508188549033857
832079,1,-21.09616559304283
3537093,0,-132.41990039947584
1454150,0,-20.001194970844548
2277158,0,-19.456958331148915
3061057,0,-24.579134108546018
218116,0,-16.130592947642114
201465,0,-31.640217078121662
1331505,0,-25.339511773657552
1150807,0,-70.33710135856244
1898247,0,-70.8017376475658
3841911,0,-41.74939314650501
968344,0,-132.05922409965677
243081,1,-21.706512119089236
915041,0,-129.57221522081207
3502165,0,-16.695197907720974
1608372,0,-24.909727366751177
833624,0,-15.89980615721205
3015902,0,-21.016585412442073
3327591,0,-16.132485467296554
3676647,0,-20.994988488223722
3792501,0,-17.051229587934618
1996855,0,-25.570067607217116
3746707,0,-22.951112722800737
3882174,1,-19.668498609540467
1007668,0,-132.6133537089893
1720015,0,-28.95279655259012
741494,0,-18.780770108428957
3331661,0,-23.322854549124767
573557,1,-22.197358284870738
1395475,0,-19.78670715291638
3402339,0,-132.3699170222133
463979,0,-35.89981181764002
3076207,0,-133.3017667833928
1713625,0,-19.837195648999156
1557055,0,-20.56105972520888
329493,1,-20.309469958168123
3437886,0,-20.14504427961478
1496820,0,-18.38731609293991
3929417,1,-22.94966886353815
2032536,1,-17.743281437199588
3931932,0,-22.062258317606123
1352552,0,-38.65362034686356
880262,1,-27.30125161586099
3381059,1,-133.47144256728095
2586896,0,-15.518449536491833
3199624,1,-134.1832048068419
674454,1,-23.3821164345959
3548311,1,-18.664968327493423
3523263,0,-22.061852525920084
2573116,0,-18.690483014154488
3097364,0,-24.480848328387076
430521,0,-24.82537806869262
2000580,0,-24.980904002258242
1848935,0,-78.02010109125582
2053200,0,-18.96947437426815
2562195,1,-17.16445577476183
2271779,0,-131.99143016196902
3409479,0,-17.378547459639247
3057423,1,-22.725360488778122
370860,0,-33.36264530409764
1362712,0,-20.365874097628243
3331458,0,-21.99372378124061
1026147,0,-28.130939729651523
