sample_id,z,y
1535689,0,-33.893370538748
2752079,1,-34.99782110278416
1317204,1,-35.2236860543415
2264118,1,-41.37973367019456
425849,0,-34.09249410687222
1144035,1,-35.291479232481734
2230406,1,-34.10756035274515
2763848,0,-33.66720771768255
3737248,1,-35.00629305491207
3739357,0,-40.224137603661624
3249261,1,-35.40627365747286
721828,1,-35.038770419364035
943433,1,-35.42416217635033
400897,0,-33.554959037018556
3077073,0,-39.883264891639655
3318460,1,-34.45426877923954
3836194,1,-34.242573154639224
2269929,0,-33.85809320677672
563620,1,-35.11738191931439
3794408,1,-41.49471044402974
3314012,1,-35.14324397560731
2256673,1,-35.62348824114957
2860703,0,-33.69141068748717
1337311,1,-35.75496784199236
622891,1,-34.71357561885428
2820183,1,-41.42608886728051
2915876,0,-33.67846875661674
914149,0,-33.99472451166858
1211152,1,-47.74089613550724
445385,1,-34.71470596036383
2934629,1,-41.06868592240156
1035780,1,-35.617475101001226
2726155,0,-40.27168677636352
2756898,0,-39.44164033414316
562363,1,-35.42189799711837
896557,1,-41.01487416200424
3696867,1,-34.601257909954306
1759568,1,-35.0142551464161
2064971,0,-34.28708037891369
2633982,0,-34.41495693983914
3291857,1,-40.847958854691335
2520736,0,-34.267422208633626
2163877,0,-40.27698776318638
2809656,0,-32.92396939850335
3271103,0,-40.6467168205225
588927,1,-34.79401834785666
2781968,0,-33.54429449046029
3276506,0,-34.59751239747266
1756239,0,-40.72761258291969
2121179,1,-35.04064018388069
3384552,0,-40.10791509324538
1142770,0,-39.84754682720763
1958366,1,-24.371674715066302
707862,1,-40.49852457409825
277798,1,-34.92401573468866
298247,1,-34.69449610926025
3253683,1,-34.25437751793062
3008832,1,-35.28804011185011
1852506,1,-35.06913407776748
269915,0,-39.41660531565099
3207445,1,-34.71573322326563
525377,1,-34.95676802195452
1445730,1,-34.983551611910954
1447843,0,-33.36148303879318
3284241,1,-35.01247069811426
3935948,1,-34.956265166532845
1465989,1,-35.30370275013538
1392322,1,-34.96340414091244
632883,1,-35.15354846011404
1917821,1,-33.64533769504546
3686495,1,-35.12071746952946
1060698,0,-33.935202037597165
3480763,1,-35.313324231201904
646359,0,-34.108698761716965
236644,1,-34.7278217974162
1453808,0,-34.24887573083906
2631112,1,-35.23722848767175
2009163,0,-34.063002084476025
1666488,0,-23.414271718037014
2557779,1,-35.12659535617071
1123406,0,-39.94690493954857
666647,1,-34.38100151869095
2015188,1,-29.053847766236444
3197508,0,-40.277746301975995
3378191,1,-34.378111878192215
1143252,0,-34.01477752688205
3518351,0,-33.833410888276816
1909293,0,-76.9689618849518
1501581,1,-34.898414121313756
1484261,0,-33.46972745476892
2918461,1,-41.42271005295155
3400003,0,-34.453483370883596
1023294,1,-34.79892398110396
2014414,0,-34.30840157268913
3883035,1,-28.455294829680913
3108303,0,-39.68291386281699
2926891,0,-34.14768878652815
194819,0,-33.920979175427014
2258481,0,-34.23658754237689
3776602,1,-34.830480504312085
2875019,0,-34.666699830729556
521303,0,-40.05002074980351
957283,1,-34.53766431528992
2512327,0,-33.90806485539729
3700564,0,-34.05798712650378
3195910,0,-34.04576542493182
2978478,1,-41.2543774198108
3858096,1,-35.32874884183846
2700627,1,-41.15080265281603
1246260,0,-33.80296523955426
2876540,1,-34.833356954536285
1566408,1,-34.517383693671604
3072569,0,-34.87111692701646
1341335,1,-28.64146642666879
311913,0,-34.15768027319583
3851657,1,-34.96429181954387
1383867,1,-34.880348537036596
1401992,0,-34.31827688104949
3109230,1,-34.66742267978413
622834,1,-32.525967239210985
1193856,0,-40.058854259165074
3335328,0,-40.474193778010395
1888290,1,-34.748068948770225
1833887,1,-35.114243725472306
1036771,1,-34.65992130132912
3089382,0,-34.031651768837534
3248261,0,-34.20561501047653
2615361,0,-40.135154355275894
2118919,1,-34.85494828867911
3100018,1,-41.34170207638926
2105656,1,-33.81854692746859
1349211,1,-34.96435856695706
876967,1,-34.86945302725481
3759196,1,-47.138478166486294
