sample_id,z,y
459155,1,-40.065148841136235
2602561,1,-28.51910490036392
1635266,0,-77.03769025537957
563835,1,-28.376135337976528
3466648,1,-37.79394542200106
372135,0,-34.52263771006662
1825198,1,-24.658158564103555
1046941,0,-127.64675008251533
3144926,0,-61.22593673347912
937769,1,-34.57205558432819
896004,0,-103.62932620239359
1121117,1,-48.01573352967584
1638222,1,-24.941528788611624
1233495,1,-31.811858829503752
2785519,0,-71.21341655483518
1856590,1,-40.50692592001689
979365,1,-34.53521277568819
1639869,1,-27.04639715270207
695510,0,-111.53667671841698
3719191,1,-52.05535308716828
3084411,1,-31.515894159054035
2402721,0,-137.28252114538756
3480940,0,-89.90086564498012
3087912,1,-44.32943749351116
3910273,0,-137.0483672102127
1102190,0,-71.45690773311566
3527280,1,-47.95184073391529
346844,1,-34.19741775541342
3420178,1,-34.6669590453874
1594036,1,-33.78305370001563
3340425,1,-26.84021503929367
1955115,0,-60.21764355187988
1073936,0,-47.61560994613915
3489834,0,-120.71259396542095
1681727,0,-77.33425946934372
2891666,0,-66.35236181671173
589827,1,-40.80662295762477
2484051,0,-96.6562782926763
3439966,0,-77.42092832426745
3473457,0,-90.11819893470432
1671645,0,-60.682818968532565
3231456,0,-56.310184250363356
2511835,1,-34.4825744573247
3283522,0,-66.34466427142311
1665389,0,-77.13905663401336
1397492,1,-40.13908752927317
3207215,1,-34.546157936815796
1007444,1,-23.30693775644797
1467075,0,-56.56448666099343
1405327,0,-96.68165731377272
3187840,0,-65.79217897825208
2647654,1,-40.66495521567138
2208733,1,-43.987776523212375
504334,0,-77.34136823918152
2602784,0,-90.28472954099868
3330304,1,-28.63786244498549
3210015,0,-66.51568328141619
2999992,1,-26.9348763859568
1097864,0,-56.10464022755988
2887146,1,-35.375880793769035
671110,0,-214.87559349661194
2700102,1,-43.676935884016636
497716,1,-51.78529165399107
1428312,1,-31.25349384722211
2801058,0,-83.0927265076042
3266730,0,-89.17210954426234
1547103,1,-40.22012490959593
209200,0,-70.98384121811068
2205849,1,-48.17514176293206
336648,1,-26.63043002753085
2737683,0,-61.02510852346228
2244941,1,-41.072714315340825
3543132,0,-83.22507415991271
3383589,1,-34.43702337414555
1439182,1,-33.87728560674278
259064,0,-137.39359387526437
467130,1,-44.50716258629065
3075589,1,-47.718067009894455
2619991,0,-89.78241575309802
3253207,0,-96.85045359133507
3246976,0,-119.49462193659109
1686253,0,-119.0757784402678
1689569,0,-60.482335909522305
2684374,1,-27.073607948530476
3443494,0,-128.5961708506736
2623331,1,-48.05517148866081
2781080,1,-43.88913598713419
3247661,0,-111.60969906293214
3698742,1,-47.70810086009257
