sample_id,z,y
626637,0,-12.494118441655662
1594332,0,-11.556848486913278
3423166,0,-11.493782448083968
2677011,0,-12.048981694190172
408565,0,-11.53849444100313
2720339,0,-12.09147880808013
3203683,0,-11.662788606636036
699339,1,-13.344063472996094
2174830,1,-11.914723123073417
1703133,0,-12.853819277977113
2875296,0,-11.000128312586492
1735413,0,-11.705381342306497
3831817,1,-11.204315371544078
3041370,1,-12.438497086897298
1750031,0,-12.16687020616338
1587556,0,-11.568672672822636
1301040,1,-12.116853992593832
2997203,0,-12.083917660269572
1909513,1,-11.997303117828949
2508561,0,-12.466244531346224
452309,1,-12.749178400437843
2779362,0,-12.317692951040687
488186,0,-12.228205059060922
1044735,1,-12.222908939339558
1791442,1,-12.842387058785874
2442281,1,-11.409773574399148
1777805,1,-12.8762187413925
429567,0,-11.860627622811641
933253,0,-11.751958698558335
3172730,0,-12.125042436151576
1435843,0,-11.370612971043464
1117302,0,-12.314312596410472
2802866,0,-11.378469337355405
1048766,0,-12.190944631425014
1334462,0,-11.387651942688276
247150,0,-11.485748227583821
1489242,1,-10.02289489737161
2624277,1,-11.437123837153662
1879018,0,-12.238998937865919
625273,1,-11.069351706207287
1975404,0,-12.09611894345005
3909680,1,-11.632700171860645
3338195,1,-11.434831913284969
1168006,0,-10.920617359259348
2040404,1,-11.937818533131194
3392829,0,-11.979285413442318
3496931,0,-11.830210429768954
1293671,0,-11.797674604860813
1227585,0,-11.924627295079752
525700,0,-11.077254493843443
1152266,0,-12.24113735394589
844102,1,-12.378624478279118
2774530,0,-11.036873930148419
507077,0,-11.25831947677031
490103,0,-12.72757432248602
3658867,0,-10.949539079326607
3311717,0,-12.137319924606134
1645024,0,-12.38088590017068
2412328,0,-11.226181620150646
1890403,0,-11.576581941074036
3932854,0,-13.171819245444388
277880,0,-11.912615737482888
886880,0,-12.081427618895788
3509666,0,-11.292486204153018
650915,1,-11.31621986465725
1055708,0,-12.000639476759563
1066297,1,-11.935355054065564
1433993,1,-12.391252445073837
3792287,1,-12.500602025618676
1308920,0,-12.161754146343647
3959567,0,-12.253421261401467
727381,0,-12.335227519923338
1122636,1,-11.306671834335107
3202670,0,-12.195854714552459
3445198,1,-11.953750619809927
1382967,0,-12.143581421998878
304498,0,-12.13447629016042
286402,0,-12.042368025687189
295930,0,-11.740200210472864
2438781,0,-11.33278721702047
2725055,0,-11.503119784539887
2773572,1,-12.246455501202698
535108,1,-13.048567635664801
1894103,0,-11.694557387791205
1939930,0,-11.126935356659676
1113354,1,-12.59099139338922
3107169,1,-11.759153057903264
1317584,1,-11.956829796945984
815958,0,-11.916332111885767
3153105,1,-11.792996347416763
310666,0,-12.788916664088836
1604149,1,-12.247999481802093
1751974,0,-11.369868221908543
720577,0,-11.209994193843567
1230739,0,-11.224556508868904
756620,0,-12.292962031728518
628338,0,-12.110329243753242
2512074,0,-11.887448789727891
3548526,1,-13.10738493308552
2579520,1,-11.309227592414675
1526951,0,-12.184662088949064
1998813,0,-11.504874682647461
425444,0,-11.74017832270947
3487575,1,-11.901156675538958
741371,0,-11.965792858921688
2745070,0,-11.88551234654317
748399,0,-11.806806362424506
1867589,0,-11.157412932708096
3096842,0,-12.338447011207696
3651594,0,-11.808066465789873
928095,1,-12.24327464895313
2986776,1,-11.821150566764178
1084402,1,-12.657385833339244
825940,0,-11.806924059025505
212155,0,-11.363415331328468
2563645,0,-11.132392793915548
3099444,1,-11.698127822955122
3047793,0,-11.277370503005844
3732753,0,-12.549866079454834
2678922,1,-11.878322767899364
1200588,0,-11.410404107704604
2283598,0,-12.180726042313527
1629585,0,-11.73072696785888
3548505,0,-11.337865122690523
2498797,1,-11.810769470603423
393425,0,-12.315131009081357
2778596,0,-12.320389441983792
519408,0,-11.746669026471476
2208212,0,-11.380869998316241
1222287,1,-11.527453435648422
476920,0,-10.774760508109296
1943423,0,-11.25453675574505
2620104,0,-11.159213919942646
3072717,1,-12.06203904130357
1553663,1,-11.98303063907558
1013066,0,-11.730471545689692
518123,1,-11.865112542293964
2105657,0,-11.772842574877474
987183,1,-12.16859759651857
2754684,0,-12.115667364259618
2230939,0,-11.35568679009446
267870,0,-11.373401419071676
368381,0,-11.3616755702306
2170898,0,-11.52152344091998
2004694,0,-11.291506973623546
926075,0,-11.782965033441599
2232230,1,-11.804899383654037
1969730,0,-10.722687298366113
3944468,1,-12.360955074465386
1544827,0,-11.594440834804429
833815,0,-11.592979640297639
1605963,0,-11.722948485238883
1301018,1,-12.382471146138995
1694076,0,-13.052773035653441
893029,0,-10.695398597528767
3372481,0,-12.14258348387699
652511,0,-12.444951575434306
1516229,0,-12.2991736435275
2043636,0,-12.899652848917386
657107,0,-11.208388377594982
2774518,0,-12.16776879405449
2113341,0,-11.676660215419915
2512128,0,-12.140186565096888
3891474,0,-11.675006196218343
3402543,0,-12.071987781016722
2939025,0,-11.145051677450851
2791767,0,-11.222955598726621
2142602,1,-12.054795425207837
696865,0,-10.927147437009328
