sample_id,z,y
2546388,0,-92.98522727233319
1353529,0,-243.26006607746143
2601226,0,-153.8347030233875
885426,1,-1140.993296852951
3495168,0,-65.24436468008619
2394913,0,-68.1499443892496
3027063,0,-166.42640695602356
3905087,0,-102.84574678099615
234238,0,-124.6512516503116
2819639,1,-66.4034537420071
729693,1,-135.96114411257577
1431035,0,-168.6565294962089
1580098,0,-147.63296570026273
446039,0,-135.6624542137398
3260180,0,-156.86047524781588
2633263,0,-556.4851140213207
1449076,0,-137.63722701889154
1288427,0,-143.12817486135722
2576295,0,-159.27718495727137
3790611,0,-1142.007146890215
2587438,0,-192.3371394601618
1342173,0,-71.65572761618351
3053423,1,10.04231819062413
2841533,0,-71.89428737909765
3443854,0,-121.75993318855542
2663250,0,-147.45278765827612
1276759,1,-125.27931734366585
516330,0,-83.20702819249489
227228,0,-177.3603246450993
3162619,1,-65.58238361693168
3917374,0,-192.60950918423106
1996683,0,-261.55915567223616
1819451,0,-183.5651804246898
1047992,1,-102.75701841145045
3072595,1,-185.60327474584454
2000034,0,-135.3844505339188
702363,0,-105.12719265458477
1518121,1,-111.53227868238294
3806493,0,-86.69957952308422
1041634,1,-57.29599265517715
1477567,0,-122.39762557296098
587640,0,-204.94653869768902
241836,1,-19.387892480235095
2277593,0,-144.5880401363227
698924,0,-124.89979288314443
3525416,0,-145.14274065819694
1486962,0,-139.7265292815311
2697061,0,-38.92020932817247
2248368,0,-136.85891186120548
2172558,1,-167.44440609194504
1435388,0,-122.95099172796486
2714364,0,-68.42504547742806
460304,0,-150.07303367315004
2715760,0,-139.80780767699144
3114435,1,-123.19132988703532
3342390,1,-111.80877078096955
2747720,1,-170.61342832012033
3876163,0,-10.755584489680253
3403328,0,-88.90061363878893
694042,1,-128.96153835709245
2498430,0,-135.78743452187774
3065818,0,-136.129894809973
3538719,0,-100.30535668012176
868317,0,-123.36212363533836
1255497,0,-180.24174203054878
2572047,0,-169.50360263159314
2623494,1,-66.25164486427214
3428498,0,-124.93920017381426
2125916,0,-138.34345643591567
642690,0,-178.1677496588541
755347,0,-156.8476886852294
3372134,0,-136.42506557985791
2742785,1,-1164.2311180126662
3723140,0,-133.44699963461247
3535025,0,-133.97312474534903
3660128,0,-133.84652808358837
3357161,0,-193.98139739751758
1082728,0,-106.1711102212474
1991733,0,-54.06764891312926
2680824,0,-188.66634286020812
2695332,0,-128.1921155436689
594456,0,-132.74047108264963
2795477,0,-133.76139244968397
1840401,0,-202.84610900893426
1203890,0,-168.1741020001339
739546,0,-99.04449787484332
2574379,0,-34.42167202155665
3290952,0,-34.51717217520665
394413,1,-77.90513268670004
2826788,0,-134.39058340959662
3865483,1,-147.2465149893327
1465356,0,-133.21223409599568
2771617,1,-64.24638750582878
1747742,1,-57.51152032101837
745498,0,-111.20940061711426
2940296,0,-159.06071373085794
1071972,0,-118.96046764264865
2243148,0,-178.47623683382326
1826603,0,-135.90310210751085
345888,0,-167.81271997033167
3115128,0,-122.15356603877622
2798143,0,-176.0193888590097
1434761,0,-170.70411577896476
2440896,0,-171.5458545103667
2748128,0,-119.861917831903
949640,0,-98.43435633338581
1143195,1,-43.31839246140841
491563,0,-180.05278580284335
2436905,1,-90.34868882942898
883569,0,-144.48207260744547
2502535,0,-148.5022399217768
1551681,0,-134.57836623053262
2008540,0,-114.8779603993934
1451937,0,-134.53923801313908
2242506,0,-145.58046225262035
1465569,0,-136.10637308289662
541350,0,-172.2879460576065
1296551,0,-171.01446653540577
2836631,0,-51.880906874600946
3324805,0,-131.915948928036
2818740,1,-124.66895806468403
807730,0,-142.77564760017123
808908,0,-75.81816558489199
2766349,0,-141.40030140519627
3905913,0,-166.60248032157114
3062194,0,-142.0732322548015
1615081,0,-140.4415335038972
3391504,1,-89.73879472722467
1881343,1,-148.01532107706865
2467756,0,-133.72812015011965
2574928,1,-218.60116800715517
1080832,0,-158.27797171701644
2947807,0,-213.12453536606458
1233170,0,-102.23128696464309
1437007,1,-111.26916739888144
3873237,0,-142.32105781652
2794529,0,-159.13464150716825
991039,0,-134.08154909998404
3087163,0,-121.70152046194625
328676,0,-159.24718873058458
2770146,0,-111.58893624896085
679141,0,-141.5526320003723
3296059,0,-74.17296585942191
1395179,0,-112.46202426901368
1751548,0,-98.62786921441663
978253,0,-150.82940116983536
406734,0,-110.61132255553875
3245694,0,-121.7131040911548
3899405,0,-135.05043653389066
2131860,0,-159.28122787056876
3154522,0,-136.54135715356873
1972935,0,-137.25571778068712
2711206,0,-144.1928213324482
1129588,0,-134.32606073763264
2201309,0,-228.48158036317417
1547087,0,-133.54193432893896
1621989,0,-171.5002278835573
3160124,0,-158.15685636138397
3111520,0,-91.10867700604062
1383039,1,-156.27086849070835
2999913,0,-98.91920240459581
3492846,0,-145.14074457451662
1146438,0,-97.64833181876595
237464,0,-98.56760350075288
1892704,0,-145.26403706307093
1283841,0,-95.17631542183194
667984,1,-134.36840733078367
1840338,0,-111.6493219384399
3530185,0,-122.96852965787892
1729052,1,-134.9960707401293
329980,0,-155.43116385369066
1727501,0,-120.6264023209462
2110896,1,-94.35103440718689
256163,0,-145.51180256307822
504189,0,-123.21476544797369
1668755,1,-173.60324072302842
2811514,0,-101.9284250384617
1261104,0,-112.08112113890286
3659346,0,-146.84189600091673
846889,0,-144.57347451679718
2599185,0,-57.95321128728819
1414248,0,-52.76399793176828
3161287,0,-98.51534264560617
619630,0,-180.12380280855263
1468841,0,-163.75498382997384
3500142,0,-123.86182666164541
348074,0,-76.07897320289739
1222573,0,-144.72195139136423
953866,1,-42.85417153929871
284925,0,-132.10045161119615
464219,0,-103.44022298777749
1437207,0,-145.86075809333946
3272983,0,-191.27669770274454
3017098,0,-146.5115086811718
1040313,1,-67.42489412262452
1986098,0,-97.91690752608557
1107831,0,-145.1078970991128
2583274,0,-95.39429769398386
1084987,1,-1163.2104577134573
2208249,0,-168.6896558778536
3174575,1,-18.199029689127194
1609992,1,-120.22292037624868
1450970,0,-192.60689469070627
2932190,0,-75.74359576442761
569933,0,-154.8377807778864
3863405,0,-92.34017055194973
349142,0,-129.91971970035263
3255449,0,-134.35016263680134
1496129,0,-123.58800245867394
2001290,0,-98.10761984433968
3357000,0,-130.6449040513292
2199696,0,-143.89738763318385
343534,0,-93.10065073144067
1746254,0,-154.16552992675258
1424951,0,-134.63463069804135
557128,0,-97.03350780368456
1259074,0,-1164.067400656151
1066479,0,-122.74490645405815
1785902,0,-61.05351197011803
1683551,1,-138.1252874675271
1727627,0,-89.10272648609696
1216145,0,-158.5614344817401
3073880,0,-121.90820099249912
923757,0,-134.8189768715248
1169117,0,-83.89894143316394
1200991,0,-133.41630125514877
3016115,0,-178.7208195275217
1945211,0,-134.20199010504703
3942669,0,-95.28123857729861
3284423,0,-135.69162032083142
3445849,0,-107.18840361817428
3311717,0,-156.90069342990822
2983017,0,-125.66594691408919
3269779,0,-108.24371427239006
603812,0,-61.967995824901045
1978992,1,-149.244939743255
700400,1,-148.22777664222522
699922,0,-103.27068514331297
2594328,0,-159.583666053626
1166435,0,-156.6482705237304
1909929,0,-145.54178022394538
685402,0,-98.9437912066574
969377,0,-190.15801487643057
1848979,0,-137.70013200749753
287585,0,-110.77755984883913
1610375,0,-1163.894635029036
2843107,0,-120.55815609690765
1329906,0,-142.23556689939895
3918303,0,-62.06643812642789
3136459,0,-141.92513442740014
1158937,1,-4.241030197274919
3522138,0,-131.81979810442257
3196784,0,-180.1287647619297
2608946,0,-75.91929328756281
1606708,0,-134.69718126736018
3800468,0,-122.65660450248518
3272009,1,-104.77445360875905
3455455,0,-99.10461852066474
1487835,0,-170.0166566692936
3078250,0,-158.87128357117197
2515022,0,-146.92874727152423
429995,1,-73.2510965930314
1496751,0,-98.60169323050897
1018092,0,-159.61112993531245
3894877,0,-122.01029380999333
521837,0,-142.31979482360182
251510,0,-109.24849527256383
3381662,0,-126.33356183168479
3208056,1,-112.51526751713713
1589959,0,-48.576912848249044
3537920,0,-29.768533711086025
690976,0,-112.85329893414736
1255021,0,-1153.7800727316394
582749,1,-170.70476541267266
670445,1,-125.03505031875233
2181442,0,-132.90427602915344
737749,1,-100.73715097442987
593472,0,-194.806997634487
3121476,0,-176.82984721244213
1581558,1,-123.6985845571619
2508235,0,-157.49435333567135
2711188,0,3.2527027899017806
1414076,0,-86.87653327643568
3911123,0,-153.8359451689346
3789915,0,-144.9229171457875
2150272,0,-97.93766655442641
1469138,0,-140.29800909391966
3462935,0,-190.77226301279572
1221688,0,-111.04008748113138
1072513,1,-23.04386249045003
3670173,1,-155.9388844698432
2496103,0,-112.08537044944313
999875,1,-138.96376866475995
3098335,0,-168.61043629391966
3447466,0,-138.53109430284303
1942230,0,-170.89292448062383
1199764,0,-160.3715485724989
883994,1,-110.91191785478938
314293,1,-124.70048852171759
2626583,0,-114.84164319758256
1123508,0,-97.97527295829165
2620752,0,-1151.4923477209472
2034579,0,-132.78461149681692
366423,0,-166.41826045140067
1847188,0,-122.33225070940402
632754,0,-171.9674071865018
476978,0,-156.65463452733556
2937338,0,-99.86609772658208
1445245,0,-147.44715605858514
1737576,1,-108.2454041213155
3524326,0,-112.22480694116443
3020871,1,-137.2329402630748
324332,0,-147.31468426656147
504436,0,-167.08865573952568
1387141,0,-180.63259389226033
3286920,0,-157.5588273152422
238634,0,-122.29205537547325
3462765,0,-180.1743011184276
352380,0,-169.25821338451948
208863,0,-200.9252777956119
197588,0,-146.32196300090934
2666868,0,-1162.4659186711172
3089445,1,-122.478748886005
1253125,0,-133.3703431676881
3454199,0,-99.5427093180086
2024977,0,-150.63305956702905
3068883,0,-7.773114813142658
1253493,0,-145.306788458328
2733482,0,-144.4780955750606
1898522,0,-149.6070165677941
3693899,0,-138.5685833093742
730256,1,-95.55252307938564
2848763,0,-125.11167159162481
3071084,0,-144.48600262222067
1610776,0,-114.23128487443863
2247828,1,-20.664510877546228
2444826,0,-134.66440851864914
1855330,0,-89.45874903096812
3322962,0,-132.51197562011382
3218710,0,-118.88198770183389
2720598,0,-113.2735217103374
2024395,0,-109.7244682374266
3923707,0,-143.75677315711744
2026818,0,-158.99928056547313
372099,0,-89.34901014445285
3494472,0,-41.033106271071446
3121902,0,-156.19181600648392
3872961,0,-142.5905262797789
1017786,1,-69.51486719882502
2230790,0,-111.83339040684415
3853357,0,-75.64262634838107
1010259,0,-138.4306951245203
2639855,0,-125.78732301250187
2635158,0,-162.90709883883082
1441872,0,-89.1358468153702
3119796,0,-90.00814647676408
2781655,0,-122.18981767218793
1339776,1,-112.88166867665603
2212156,0,-178.87557906671958
2727157,0,-107.67956439161115
1748764,0,-1167.7197561673308
2105076,0,-134.1243662321726
1689252,0,-116.1839086740614
1064977,1,-147.41073681585416
535757,0,-134.14332563486465
3426622,0,-147.51184777451763
617842,0,-98.56639698290107
1518118,0,-181.01926361744756
3423504,0,-87.43311562435613
903926,0,-103.77619016697604
1192079,1,-48.86117816935255
2218197,1,-151.30518304113065
2414284,0,-92.99307502079589
1753152,0,-181.778157248742
1266635,0,-226.60343985484715
2107498,1,-112.36640447766328
353462,0,-151.9762267371477
658513,1,-147.9809261662988
3937200,0,-133.9476820567667
374541,0,-207.12239461111665
3350455,0,-158.49758595655413
1081262,0,-135.03163651773133
749344,1,-29.981300211788184
458441,1,-191.98188599146764
2945209,0,-132.15312034659766
2805532,0,-111.37417661664122
966849,0,-159.23101481964838
3741735,0,-112.36625753335667
3079147,0,-172.18891155854385
3734746,0,-133.76217188899315
1898409,1,-101.69885369161622
1200068,0,-98.57030505914825
688735,1,-123.25960174059986
749571,0,-68.13419931563831
541959,1,-159.56841334924857
2773937,0,-89.25918196516187
2691798,0,-146.97673895214555
3906150,1,-79.67695624037941
1124214,0,-100.38739166916551
999454,0,-38.5882864253592
1158218,1,-173.6837366946092
667445,0,-1159.728781172407
1827909,1,-77.46028322735542
2614531,0,-120.01167184425934
3058188,1,-113.0195289477375
3487304,1,-10.945453142738108
1487566,0,-124.03679596645574
1427733,0,-157.79708902750397
1130149,0,-148.47960304758158
3873992,0,-125.5189485736216
3411778,0,-38.5188817876169
344194,0,-120.38662651233288
1106027,0,-128.742318847541
1539764,0,-122.83994456195852
2398185,0,-144.39359231785224
1671145,0,-1184.0505164970396
3059048,0,-134.830109044535
2455304,0,-90.51308209783585
2501180,1,-114.04205959651452
2280699,0,-157.15445843413366
3522717,0,-112.46285273787231
1269893,0,-111.17195752614683
3959290,0,-105.6329953800023
2460452,0,-157.78905739042418
2700289,1,-126.9849900852116
1681352,0,-149.95099509026082
1810172,0,-111.56027672042383
941111,0,-114.91156800430657
1280139,0,-128.22502823074598
2831268,0,-124.0892839257165
726782,0,-145.33212759473548
3301726,0,-54.83220358703118
3929168,0,-160.1138418608024
1369921,0,-133.41986900784414
2715103,0,-71.64684134507304
216095,0,-161.58747469850536
2106727,1,-136.87318468599508
456185,0,-172.93571903514945
2261410,0,-135.39518508315888
1250811,0,-132.49564061933583
3847544,0,-90.34804795171308
2539027,0,-147.13479383772165
918474,0,-130.6828706402078
985754,0,-84.88638612446383
2160741,0,-74.12144072942056
1071084,0,-158.37193122826878
3685856,1,-34.04632844174382
2158029,1,-167.46026518452126
1714091,0,-1136.3492687733228
3727744,0,-133.97650183159985
2575616,0,-87.51166892271426
3796914,0,-159.97105762891252
3789975,0,-157.10378464578397
2164950,0,-171.48650323870575
370860,0,-54.1214993618407
3947184,0,-152.9588851722781
915041,1,-122.95129661942536
640577,0,-143.3598992365655
3019955,0,-39.19126022168374
3366361,0,-75.02680056672091
3840912,0,-203.20621576355717
1005207,0,-170.1863471009961
2135192,0,-110.02110259294903
1454826,1,-132.63043782059324
3466648,0,-115.54419123387984
2481512,0,-157.5512356272609
1886922,0,-143.69120906072726
1986426,0,-80.4067607165122
2848017,0,-134.2401370467971
2670719,1,-158.87694474125604
1671251,0,-102.7369833281166
1702018,1,-207.27813184659465
886503,0,-102.00462570015554
2731468,1,-113.36301522286608
2784679,0,-170.74209607581878
1068550,0,-1174.3174540733035
1078310,1,-1136.0097031245427
2197616,0,-169.7528695176781
1525883,1,-79.05923739262657
1724824,1,-53.017747723693596
1305943,1,-76.79332065382702
914879,0,-109.97386926008319
938612,0,-103.49197009769429
1500416,0,-157.83418291647308
3912383,0,-156.51676635016398
947594,0,-115.32882783218153
468007,0,-134.82541876008983
808955,0,-114.69770264608681
282291,0,-110.94307838648803
218716,0,-192.65118725324388
2164561,0,-160.0211368432295
1849620,0,3.844347187430093
2177187,0,-203.65127705504085
3938054,0,-52.890375955628805
2832362,0,-1167.3284368013417
3238932,0,-131.86431283272077
3213565,0,-136.43352965204446
3726469,0,-84.38710996284752
2713881,0,-139.1606757020819
2742464,0,-135.98933604044146
526935,1,-84.72624331309042
3792287,0,-165.19483773561564
722828,0,-75.70250943683592
2831933,0,-87.37262871224927
1061646,1,-1142.4438689678516
2610710,0,-137.4337273838509
808154,0,-1151.8885678262955
2810684,1,-85.41893397209998
2173633,1,-110.97745667070069
2797151,0,-92.02475454505719
321331,0,-189.38699884872383
3879197,0,-152.4274065819928
2641781,0,-129.67990139704
3306842,0,-187.01979684821984
324841,0,-153.86608652322832
3423106,0,-69.0084815237506
3532856,0,-1174.9223425591026
3199136,0,6.005645150654542
1112057,0,-87.1798355085101
801600,0,-123.1742161559967
1735252,0,-63.128847943809475
3678981,1,-87.88154773951646
2670830,0,-1151.9429458290363
1202674,0,-54.88287011058649
3025371,1,-79.98964338419694
1571712,0,-134.117126926457
2275910,0,-121.71006168803754
1585067,1,-16.85742265446646
1743252,0,-144.4173942519063
1064714,1,-3.9335886497997614
2771466,0,-154.89761032695571
2030524,0,-156.52789545786854
2765047,0,-104.39053231345653
3401632,0,-97.79153278745665
2624231,0,-148.14958508297048
2855802,0,-86.94389072673015
3142201,0,-118.57004902828432
1402053,0,-122.61964582084926
1542694,0,-133.97027802731355
1144442,0,-217.91943769979073
582377,0,-130.30069687708027
2179672,1,-179.4144569698455
2989996,0,-101.67842417028685
643577,0,-137.06189773410793
1702169,0,-137.7272249468992
3417731,1,-109.80731286294129
318452,0,-177.0196953363234
562739,0,-218.4005682759381
810903,0,-87.12086071488112
3954038,0,-204.82156010168438
1071191,0,-1149.564061140436
3422230,1,-125.3612889789907
1889580,0,-135.10872285638894
218933,0,-1175.3542521609636
2772783,0,-110.66926584439817
3440787,0,-113.17873811805246
1665602,0,-137.21830737000053
3005031,0,-228.00919007318853
3134207,0,-166.56028521852863
1510100,1,-157.15100175051063
3711881,0,-175.45482452895007
1061322,0,-127.83738242077489
3025769,0,-158.06100978630602
418807,0,-133.7439423217946
2549553,0,-123.52901686206258
1848530,0,-171.15679487358065
1092907,0,-169.13610925331346
1525268,0,-129.5359605029682
3362345,0,-133.8290038218625
3733660,0,-1154.4240334441583
2943018,0,-1154.2076311253415
2019613,0,-192.24143905182586
2666108,0,-151.2504629258741
1645425,0,-144.65246556950657
850887,0,-153.85325481284826
420154,0,-142.3880168395788
1429081,0,-136.1884297032729
3468644,0,-120.90510479346233
3879850,0,-132.67195475263557
3309244,0,-109.77946613583978
2719651,0,-189.85463774240742
3300086,0,-133.79821698344523
1705751,1,-114.79779026401124
2646144,1,-113.46800042982426
3932875,1,-119.93431314808426
