sample_id,z,y
392019,0,-2.6164915891100575
3081997,0,-4.692285323168576
1254383,0,-2.786302995076845
2152825,1,-3.531699435084869
1375240,1,-2.9776258494202836
2393220,0,-3.794654652729523
2138401,0,-2.6607769860094894
3783950,1,-2.972593793232711
3910149,1,-2.668872657217443
3385723,1,-2.342387274212441
3397267,0,-3.8263454900558904
216252,0,-4.348126847080357
357900,1,-2.5885735504477565
2617999,0,-2.8083307921690133
3772675,0,-3.528746455731784
1023542,1,-3.351883816561642
901941,0,-2.1161196449313233
3454262,0,-2.2774325195138654
3468606,0,-3.6069727938071
352584,0,-3.395477758727309
2026124,1,-2.6302666148684484
2595292,0,-3.330117997439275
1199388,1,-3.7743552004825367
202561,0,-3.9559127408254398
2753520,1,-2.985774416078577
634217,1,-3.4624519991525196
420759,0,-1.7643327451710813
3303055,0,-4.0488190808510724
1547830,0,-4.340561956996698
1917213,0,0.1250197259308959
1907808,1,-0.5809354593006664
3794676,0,-5.125713411131197
2722920,1,-3.8487381855607925
1417864,1,-2.2953612766851688
686752,1,-2.1318439903157413
3716254,1,-3.0209442340539643
1316857,0,-5.5729220935785815
971645,0,-4.45825728348225
694978,0,-4.226841870124886
2822991,1,-2.7089224246117505
3083031,1,-1.6080674555076468
465583,0,-1.6297746943162856
816603,0,-4.496862967573294
2183793,0,-1.9966010576078284
405219,0,-4.12080696757538
898812,0,-4.813647462330113
419648,0,-3.324653533372582
2609671,0,-4.400108201944538
618857,1,-2.0182848994430653
205320,0,-2.795146891578494
1277326,0,-3.5270039781312157
1410147,0,-1.880840742064555
378445,1,-2.22162344581133
2677129,1,-2.9302568507065128
2477874,0,-4.311675029254179
2768760,0,-4.089358215772566
3669681,1,-2.9964340342517906
1010548,1,-2.1167119275610773
3109793,0,-4.043760832607514
3751151,0,-4.376039917302293
1100346,1,0.18028887003922622
3845747,0,-3.6082280459132456
1544631,0,-2.8234474913184497
1783829,1,-2.8955845313902615
523611,0,-3.575167019464994
2476007,0,-3.8950547007881258
3396094,0,-3.30945307376732
1281658,1,-2.705562668270956
3447205,1,-2.413456429143113
2587712,1,-2.998918150221937
3795293,0,-3.0776827963481894
3021485,1,-2.8239363154773773
3951114,1,-2.3083154670721924
295009,1,-2.891333368803353
705591,1,-3.214954819160018
2553979,1,-2.982999102863374
980685,0,-3.7649541532142443
577785,0,-5.916108414309656
1447215,1,-3.033914085418722
1286310,0,-4.5385783619179945
3873088,0,-4.1913983870988245
1152787,0,0.11937762727778745
1735962,0,-2.234296735463082
2395185,0,-5.048394008667803
3340440,1,-2.3195610455600617
311210,1,-3.78923029585444
3192799,1,-3.323296884798561
636046,0,-3.751619037874449
2653252,0,-2.1923126430738584
672595,0,-1.840699154505197
3459266,0,-2.5404007834928124
2789915,1,-3.9505616662848233
599526,0,-1.7846235029173878
881772,0,-3.6812348421528513
2720324,0,-4.138527408195611
2255787,0,-3.5413842494797367
899345,1,-4.28582885659047
750722,0,-3.6604255344302077
679154,0,-3.957947152930011
3703079,1,-3.1257713141971584
3304289,0,-5.055965890749278
3533422,1,-1.883809982507318
1396163,1,-2.961472094188549
3733136,1,-3.1444003274875807
987788,0,-4.534785533070474
3338195,1,-2.1344360238998754
3657487,1,-2.4148041180342554
1199324,1,-1.8099217583843537
2484006,0,-2.868955596032752
1085664,1,-0.14945009502514717
952359,0,-4.576005372598794
2222908,1,-4.801697235843967
1725953,0,-4.576095138534037
3270597,1,-3.097643705551032
1277460,0,-4.184796549732281
1399027,0,-3.316963034093449
2150584,1,-3.6314251925466885
2998729,0,-3.0304036426803784
2224056,0,-2.463958515339887
1493668,1,-2.067935496542159
2199953,1,-3.8883228851878884
275992,1,-2.484841294126698
1108334,0,0.22860338091912474
2436436,1,-3.291511841546586
2192421,1,-2.9107556377118957
3486625,1,-2.571928122677981
1677523,0,-4.827513440724572
3268223,1,-6.025954116270873
3357718,0,-5.43640615454181
2852746,1,-2.635598063310839
593729,0,-5.207521388952615
2796424,0,-5.777522599769004
3783474,0,-2.6638377049824404
1460689,0,-2.0631429469811065
1666222,0,-3.1492249250458664
279179,0,-2.3563346804791236
1945609,0,-4.46071865598216
2242885,1,-3.1381738055207977
1099412,0,0.2573208091071292
245439,0,-2.1416481755666408
2179827,1,-2.2590948071029233
3678890,0,-2.993560984584707
2859185,1,-2.709110815144376
2733708,0,-2.685273811808616
1710594,1,-4.177123323068803
2219970,0,-4.3926854860470925
923021,0,-4.307390259740931
2162752,0,-3.5177091493269583
470373,1,-3.5523674793851057
1477541,0,-4.00571092363752
312613,0,-5.04626406827268
1376286,1,-1.915513516505515
498520,1,-3.2431188270618634
3457104,0,-4.60556779042824
3886455,0,-3.7201342565564355
1055316,0,-0.5068865763759448
406221,1,-2.535428271664713
955971,1,-3.404753954648391
3111443,0,-3.941631246087561
3052770,1,-4.837751095430614
2585980,1,-3.8318604876721163
3770594,0,-2.635412476497491
1577456,1,-2.049681140328436
1318274,1,-1.1109959015769588
1161274,0,-0.4080906089600366
640795,1,-1.9858765282078492
1501540,1,-2.2674645595765965
2019662,1,-1.416264645183835
1807006,1,0.16461917209100724
2026465,0,-4.566592774182476
3739731,1,-3.4176377299817537
1841960,0,0.10453668027717829
343913,1,-3.646874729470511
2763606,0,-3.065182892781115
2105515,0,-5.486576045398679
2025049,1,-1.7357862866515417
1453764,0,-3.1746682391757344
1072027,0,0.02328729941793356
1749633,0,-3.3222102391648543
3370566,1,-3.0600034123634057
263912,1,-3.086385567846681
672061,0,-3.501524296907717
3870487,1,-2.741594413742909
652046,0,-4.644503913282733
3427496,0,-4.269966932137802
876548,1,-1.639581278855957
3780107,1,-3.4993560131816888
2147489,1,-4.295061719132077
972924,1,-3.2318868616930474
3046026,1,-1.7121108352677745
1369579,0,-4.352026400281475
3754002,0,-4.945278325526554
2701571,0,-4.640885364377295
234333,1,-2.9062437487395094
989175,1,-3.4446251194674975
3848857,0,-8.777021103791323
1430339,1,-2.322544489597962
1360963,0,-8.445030683094293
1367783,0,-2.8476368799676837
3336757,1,-2.659310811006802
1385235,0,-4.158672838354697
344429,1,-3.894630814303439
2023689,0,-3.750882838637088
931100,0,-3.6517687225206314
2886091,0,-3.500336203761095
586493,1,-3.0693375088250487
2118805,1,-4.265240697881777
3061074,1,-3.4173639581478876
2677157,1,-4.020644896820705
1405501,1,-3.312017348997658
2985881,1,-3.028880542535475
1624708,1,-2.296506834137425
3065204,1,-2.2457629863797726
368463,1,-4.170897581010176
1620491,0,-4.24907944937256
2879974,1,-5.8739634758605055
3478796,0,-3.149784934120907
2672045,1,-2.250103802029233
1780636,0,-9.71070557128291
1218956,1,-3.7242002829636283
2676226,1,-2.5298067452815274
3670309,0,-2.4101633533497626
838423,0,-3.8162929857161383
3660951,0,-3.4542354016830688
3944940,0,-3.3295410486926262
3680266,1,-2.587922658517454
294459,1,-3.098904202041789
3780322,0,-3.72193934826827
3702330,0,-3.4062279976540797
2419829,0,-4.455079256583861
3338807,1,-3.6870219808507416
3807252,0,-3.6375270165653055
1782888,1,-2.8158785070161363
3713630,0,-1.396328678387211
3095204,0,-4.984946625712489
1282950,0,-2.240233755757358
3011263,0,-5.68582028211311
2164135,1,-2.9319645840299273
2724164,1,-3.5743123374562944
2645052,0,-3.851597796114769
2215269,0,-2.6212159060051077
1029763,1,-3.2157886437680943
1066808,0,-0.5488673343264621
2521210,0,-4.4565237929272765
2826838,0,-4.616588012087448
