sample_id,z,y
3169736,0,-3.671304792894166
727261,1,-2.4245157625047744
1241032,1,-2.52994715675766
1383271,0,-2.731799082634672
3669181,0,-4.431169503801538
873634,0,-3.829202567668235
2442684,1,-2.10574134686561
1022613,0,-2.6769845265649312
3266187,0,-2.9607564590257534
3106739,1,-2.0340921958389595
1660146,0,-3.578433886586127
3657097,1,-2.8034549182704254
1726029,1,-2.655315788037659
3377017,1,-2.2277724636192944
2924114,1,-2.045422253863226
3064178,0,-3.3483188443152487
1336016,0,-3.139485610435909
3704441,0,-3.0536072904660307
1205055,1,-2.2625033401333163
2737683,1,-2.547937446232795
3889835,1,-2.3544241858972246
3761631,0,-3.17370409321387
1397092,1,-1.9674671600611142
375962,1,-2.645043956755595
2243946,1,-2.4219130747201163
2046289,1,-2.4243867675018906
3023978,0,-3.1762262059490105
3687640,1,-2.3580697019817842
1405074,0,-2.9765595637484408
372539,0,-3.1440677651027644
1949080,0,-3.183177951007609
3807703,1,-2.2013169580589
2420111,1,-2.9175307285060157
3412286,1,-2.5213391496888007
1252310,1,-2.5754468731986586
1831363,1,-2.3499615989091223
1488156,1,-1.9431086172640868
3724163,0,-2.8110094751637558
3258596,1,-2.743244272658274
3055595,1,-2.638939521092533
3405086,1,-2.299609985200447
3408230,0,-2.870357746569145
3300592,1,-2.725713731519255
1542391,1,-3.123213467251894
3114323,1,-2.7713998362059376
2225577,0,-2.9287840203355353
1003819,0,-2.435779276489849
1677605,1,-2.428177967832064
1858238,1,-2.385367657737982
3454534,1,-2.403892123989742
1136484,1,-2.128693380205773
234014,1,-2.3685322467636682
671241,1,-1.9011479365657737
3148644,0,-3.8216552544982534
526390,1,-2.149793330097659
400052,1,-2.422507715518409
901218,0,-3.1574008313347393
566075,0,-2.9175402416893417
2064404,1,-2.3278944286276086
632521,0,-3.145960042783286
2155569,1,-2.4575201884744016
1850943,1,-2.285914255239543
235652,0,-3.4171309311600697
3700526,1,-2.361158885675362
2041136,0,-3.109511345598187
1746413,1,-2.5026273812687316
3313405,1,-2.4048505190040697
948488,0,-3.2630916075827066
1259358,1,-2.678879975850167
2041480,0,-2.943143540403612
1217148,0,-2.8418529918278934
275332,1,-3.0763078870648792
3190089,0,-3.3060647853516616
3881871,0,-2.6942123567043796
2884534,0,-3.1350981273414513
303373,0,-3.6459522667275217
1282211,1,-2.7792171645380486
1417864,1,-2.624755975372385
3857684,0,-3.863525492982092
394503,1,-2.5522997726980168
1513623,0,-3.062173144347605
2813776,1,-2.518708510898367
572704,1,-2.4156852987348936
1028017,1,-2.318941630269988
3340694,0,-3.0284088390996695
3945996,0,-2.6530533929002296
3236475,0,-2.756424638552004
3730692,0,-2.7326923062997857
2937798,0,-2.848401781774989
285596,1,-2.520075185211945
3870270,1,-2.308616481831532
3766303,0,-3.2297855808784792
2685670,0,-2.6487043027882833
1590768,1,-2.618871572103083
1303558,1,-2.6867804356570564
2391837,1,-3.187016941165171
3529970,1,-2.3599651184725214
1904388,0,-2.6891314585314445
1414107,0,-3.6443343272066873
2919278,0,-2.7487902437364053
3417890,1,-2.2798599474369103
3538937,0,-3.0701128821964545
1467672,1,-2.2245255089389606
3386455,1,-2.1273215957142266
3938503,1,-2.127055694679666
1476857,1,-2.451761525222442
3357652,0,-3.006513075928526
438622,0,-3.2071628656090603
2027261,0,-2.83540820029847
2511654,1,-2.402904544378777
2019355,0,-3.0482465299968484
689334,0,-2.3858449727594144
261101,1,-2.502812196471429
3770667,0,-2.727576549449277
407966,1,-2.310263112272182
1158454,0,-2.4472478405690627
3205096,0,-3.9453644966407975
1402344,0,-2.1236477781970797
266602,0,-3.6736007376670545
1389645,0,-2.749905342731501
3315431,0,-3.0439738409979737
507039,0,-2.9960785747526884
864152,0,-3.8447264015501625
2403688,0,-3.0937664872970885
1743587,0,-3.434330108713526
2396049,0,-3.4793910198486793
2239211,1,-2.628193066216845
1588388,0,-4.205074239221205
477579,1,-2.3934206634928317
1373411,1,-2.3677878463344495
2801018,1,-1.989792784664277
2112299,1,-2.234679494102718
3360094,0,-3.0931122379081746
2457986,0,-4.181734429080715
2949032,0,-2.609722155657118
2261020,1,-2.4301569567610124
1261507,0,-4.217377528601074
2172882,0,-3.311569331850687
3693864,0,-3.070999477872058
750329,0,-2.745400629538544
310889,1,-2.4452952968152055
2468214,0,-3.4100868459915814
855617,1,-2.899718794342054
3089725,1,-2.0529749014791054
342299,1,-2.5682904208439163
800010,0,-3.0384017297163872
630290,0,-2.7606165483989495
3753876,1,-2.504231753646661
3408112,1,-1.869864832995193
352848,0,-2.941882317599084
1711013,1,-2.3615912076903327
280445,1,-2.642512487872172
576313,0,-2.604579721795423
698629,0,-4.387136093756355
1641510,0,-2.651925650464053
1971694,0,-2.546661911113982
3757581,0,-3.5304693008267756
3405617,1,-2.1991276222373806
2767645,0,-3.589171798056524
3036201,0,-3.8026085340045364
2992743,0,-3.0656461678488967
1550228,0,-3.233017521902898
1998542,1,-2.7568191842801886
1097101,0,-2.570729575419987
3335561,0,-2.1451053284599078
2430657,1,-2.561098683190288
669617,1,-1.921318758307852
3289903,1,-2.3809786712083305
2807336,0,-3.9286905098782885
1119641,0,-3.081465474854213
1728128,0,-5.5338297135414685
3697310,1,-2.499753161639979
3333498,1,-2.341268856766604
2412779,0,-2.7385388661345598
724614,1,-2.203467841509367
1700863,1,-2.1602193312890976
1141242,0,-3.007894301936461
489554,1,-2.1742222682887773
906933,1,-2.384691968736733
