sample_id,z,y
1022975,0,-335.473966677476
751426,0,-336.1447559368064
3760990,0,-335.50990165089974
3311469,0,-336.20328856533
469128,0,-336.7150241533135
3208558,0,-336.0123260085122
1339542,0,-335.44488582713666
1388887,1,-337.1477103925341
1347379,0,-335.06608056290275
1732721,0,-335.15506441727416
1294902,0,-332.1644802976617
333200,0,-334.99853985175343
1039675,1,-8482.701166767207
1605194,0,-335.37870632888007
718443,1,-337.8932717102198
1899889,0,-330.7272774639403
3017370,0,-336.36728866134104
2433221,0,-334.6981039911683
3171987,0,-336.02003795541697
3706361,0,-335.5095908081885
1112405,0,-335.2689922339681
1339906,1,-8487.496600972578
1913230,1,-337.4182670438595
197741,0,-335.8356233672369
1742801,0,-335.76475642612166
430845,0,-336.74167236088766
1986550,1,-8484.471684530194
3737317,0,-335.5399452985071
3095432,0,-336.31143098750965
3376381,0,-335.8829195282896
840323,0,-331.5621633943979
854785,0,-332.1663206451749
3321322,0,-335.98700269408675
3750258,0,-335.980683440302
3868919,0,-335.5656797927404
2169672,1,-338.09902846405583
3680461,0,-336.4029221320098
2224462,1,-338.0965723317727
2233159,0,-335.9038762713372
3362711,0,-335.4835815977557
2488530,0,-336.0001583232017
1371581,0,-334.93167672737616
872791,0,-335.84388817869194
1502880,0,-335.46329941218875
2742017,0,-330.5555255494011
3858228,0,-335.5473887203652
634293,0,-335.43859821587586
2488541,1,-337.31945677902763
3491510,1,-336.954329903674
2813728,1,-337.20532903797096
1202589,0,-335.31293793985657
1048288,0,-331.4818154126556
3072635,0,-335.1965887885074
1485627,0,-335.1481855513385
3440473,0,-335.3064091177529
248512,0,-336.6377775989728
2986497,0,-330.90171388485334
2279742,0,-335.0313812135797
3331344,0,-335.6054479189944
484601,0,-334.9007244878926
3905744,0,-336.0154042432594
2631162,0,-335.1765694996217
2887252,0,-335.04782945892293
2745259,0,-335.9879122795124
2162611,0,-335.83544023742496
2842490,0,-335.560623389114
967419,0,-330.93938161999483
1790425,0,-331.727664953153
2286659,1,-337.0137990247967
3866797,0,-334.69358024853824
2811932,1,-337.63437010974536
1685166,1,-8486.94486073864
2581798,1,-8486.351217638523
1575023,0,-335.3044767829098
986631,0,-335.83004544925507
461074,1,-8483.400616270032
1492276,0,-335.4901543431556
803747,0,-336.5261717622513
2234988,1,-338.02325005905277
2253755,0,-335.8683195926808
2689529,1,-8486.021274729294
3481151,0,-336.1713991879811
2839095,0,-336.280204263641
2163929,0,-335.64510173814443
1997259,0,-336.1445858671809
2941366,1,-337.23328789064186
2768268,0,-332.3866382015352
1469163,0,-335.2382164447703
1011406,0,-335.48284751932243
3078006,1,-336.80800763399054
3882174,0,-335.395830288185
859966,0,-335.84093131489783
3932485,0,-336.09133582656114
2677935,0,-335.8251007223126
3397220,0,-335.49443624653435
1436949,0,-336.54822303262335
2713249,0,-335.17988383449733
2418155,1,-8481.018493471063
1224737,1,-337.5794459390735
3385463,0,-336.3301457531056
3371810,0,-334.5873652677747
3023660,0,-334.9543843667473
1013876,0,-335.3698614823485
1272642,0,-335.48504448646844
3205098,0,-336.0681421615951
