sample_id,z,y
2771007,0,-19.374414452767965
401165,0,-19.972322608464378
3357396,0,-18.884288636875432
1401761,1,-33.36581616630572
2869238,0,-16.418385298213334
1223278,0,-19.534995983518908
1793476,0,-18.21037500973451
3878355,0,-16.99107489583078
1459291,0,-20.323080450128966
1128613,0,-20.103905591481247
810740,0,-16.672280452441893
582223,0,-17.673586621887694
3942046,0,-18.855369960595063
199558,0,-19.446281730922223
3008816,0,-21.424117380043374
2752116,1,-28.98096186417614
835908,1,-33.13970542106694
2709402,1,-33.268047228199016
711148,1,-32.790264424597495
3548364,0,-18.978638579186324
3692430,0,-23.250205962062193
3181178,1,-26.34900292162901
1846573,0,-17.401848154339934
368455,0,-16.041111758682263
313838,0,-18.493224489416836
495254,1,-32.80625679319036
479227,0,-20.24692120429399
562011,0,-18.569446895080226
2114021,0,-19.39875970225473
1304416,0,-17.297542250333745
1977721,0,-18.638798214483867
3703601,0,-21.151912106680776
3487368,0,-18.906259643332717
3322009,0,-22.296287732792283
1257804,1,-24.718172155831756
2776693,0,-21.267152971211818
299279,0,-20.520434742511018
1558147,0,-13.793826245488265
1741464,0,-20.137011188373968
955763,0,-19.412254880021326
1062149,1,-31.75500467644418
602016,0,-17.725947442413208
422447,1,-33.153243658591094
3848081,0,-18.172493003531027
1500349,0,-19.754580033732065
382249,0,-16.667929548717265
2192355,0,-21.54610254730022
3772570,0,-17.764691123949444
2701487,0,-20.245300908433688
1074629,0,-17.386351251236743
3709930,0,-19.140905471341615
3475970,0,-15.257021834298778
2978465,0,-20.279045673163115
3031905,0,-21.98850721048831
3030095,1,-26.46097646873765
2625719,0,-20.99882559651151
2228810,0,-20.506135267808748
547194,0,-15.935326293721907
1083970,0,-18.87379381853273
809746,0,-20.22918656846693
483126,0,-22.080300740941833
916595,0,-18.242794948818016
337283,1,-32.55025388303391
3831843,0,-20.69511616931681
3327930,0,-22.893178994761982
2977869,0,-20.062082123642675
379330,0,-18.659512071090813
1593182,1,-26.136523429355197
1617317,0,-18.881487163061465
686708,0,-15.1766321537608
1005081,0,-23.155798949241532
839488,0,-22.713986075880985
2864444,1,-33.25491111811981
3028998,0,-15.327852087591948
