sample_id,z,y
2458125,0,11415.673212624719
1989297,0,11466.858190491623
2231857,0,11638.882940582007
2520909,0,11443.51295473972
1705024,0,11274.822606902295
1870325,0,11818.409649775262
1560036,0,11620.30777470103
3032498,0,57377.75524675211
1076670,0,57821.63965712121
3355009,0,11542.186971365729
3052822,0,11589.093030145174
3913641,0,11494.595452927251
465586,0,11247.864440156709
2441572,0,11711.891735164876
890252,0,11652.41645073229
3372572,0,11547.632038072881
1671924,0,11450.74583797043
1632042,0,11691.238637824763
932927,0,11554.741327213716
2488031,0,11513.747180968789
3923345,0,11566.689110609643
2216422,0,11455.828530315222
3393600,0,11672.578486942113
1977470,0,11504.770006186032
3335470,0,11593.363142648357
3401129,0,11631.946385318628
3067808,0,57432.77101470089
1555252,0,11575.284092610109
3060373,0,11752.163101194934
543859,0,11622.600962663544
332874,0,11555.27055866537
1030937,0,11421.998263079813
1843548,0,11807.000504574062
1622577,0,11552.206673282071
961662,0,11577.643584525842
1672068,0,11536.015801860238
3239931,1,11451.63529017451
1508389,0,11607.551474565156
1994873,0,11518.79794139034
1122060,0,11892.765885862553
2578263,0,57295.33367803134
3050990,0,11539.933460849104
575175,0,11636.700205439354
2901605,0,11388.098337248106
1123614,0,11559.914630224235
979698,0,11583.469284609168
846889,0,11574.1340475102
1369061,0,11440.875124417033
3726097,0,11725.200657778601
3034604,0,11553.818657954593
3763137,0,11652.62960770466
1745241,0,11423.243671413915
2847235,0,11555.504956306215
3428400,0,11507.896623073337
2758715,0,11632.334513038515
576910,0,11529.862379146332
1694896,0,11593.212515334673
1664148,0,11526.80363838958
3457168,1,11537.921931239258
1574307,0,11821.843300729553
2391760,0,11479.852881716459
3497813,0,11555.938373154902
3917551,0,11469.895346516505
3288429,0,11536.7696213037
1878807,0,11694.2565820356
1950595,0,11612.38325325644
433083,0,11674.759459175944
483178,0,11534.155570937395
3725452,0,11588.80717328909
383860,0,11531.90609917876
3656041,0,11632.227612317964
3942046,0,11653.158349972482
1170035,0,11843.864767381094
2413578,0,11658.6776005213
802354,0,11288.526113651622
999318,0,11501.714782839284
1104309,0,57758.908097285384
2696113,0,11620.09496271535
984981,0,11422.744625066516
3332711,0,11631.707844146125
394645,0,11583.121291618818
2472307,0,11697.800204229692
2054721,0,11453.35226921185
1830582,0,11800.03728376756
2430932,0,57493.07876735158
1130582,0,11712.758508996347
1983966,0,11656.572953460374
1530508,1,11662.022918953347
3217584,0,11592.030416017305
1226193,0,11471.313606748396
3654107,0,11603.100720473527
1222383,0,11322.428281285265
3264032,0,11808.11875092445
689134,0,11228.515828202739
645549,0,11728.646071059984
467855,0,11465.527586829461
498756,0,11574.381592557718
834022,0,57320.58124541346
434575,0,11265.034340225522
1960591,0,11331.063679278312
3754766,0,11520.213569739315
808493,0,11647.922090201004
2888131,0,11473.586316276316
1646940,0,11689.767448380246
3482052,0,11660.237994940566
2929404,0,11518.108024139181
1482087,0,11519.080836674399
921638,0,57474.54119979775
1869495,0,11393.025346197288
3122239,0,11533.788859387068
699203,0,11483.269240801208
2595308,0,11670.646082221936
569571,0,11546.516108867834
2258427,0,11540.101237973873
2514267,0,11603.44470464357
1074479,0,11675.544038550743
1158829,0,11936.943463775235
2639090,0,11550.993300256268
2604676,0,11222.015669337343
1815197,0,11875.299618099016
240520,0,11667.186584848365
3483249,0,11370.421847554111
1502996,0,11603.811273809039
1208091,0,11685.443856663442
426623,0,11543.735721762117
534970,0,11583.931965978694
3544337,0,11591.499417718538
641632,0,11688.593545140622
3497776,0,11550.096015291438
1660417,0,11481.600027899585
1389645,0,11495.159544464028
2460468,0,11441.704818625394
876377,0,11563.781435783982
1303653,0,11567.14837110692
1106434,0,57674.05981981598
2551500,0,11589.452788724282
635879,0,11948.210379073475
3951003,0,11439.354672340674
2509959,0,11490.613407455035
2443433,0,11543.627164896081
1411417,0,11503.83407863552
3474781,0,11575.559457702153
3270597,0,11673.660217580193
2844891,0,11487.29443485863
946784,0,11508.170163844596
2151230,0,57399.36529777571
2005236,0,11517.796070191609
1550372,1,11403.194690637176
3412478,0,11616.862421637124
3742233,0,11639.398347468055
294258,0,11639.256469591179
1942878,0,11462.258021425794
1592376,0,11220.824067855297
1475339,1,11442.645819987642
3089124,0,11793.951951318486
1831214,0,11558.437212305307
2815588,0,11637.363669161272
712916,0,57421.26150755123
1544100,0,11457.25499466415
1285094,0,11685.63041205729
3755155,0,11590.75517461504
989705,0,11652.849346509656
2595188,0,11446.74716262454
366239,1,11416.796285622206
3876197,0,11442.89698536416
3014128,0,11489.092887541201
1598511,0,11672.12106768152
949582,0,11642.499338068998
3483905,0,11422.90235954224
3429619,0,11452.78943492913
3713411,0,11563.511934559196
2840948,0,11494.241647937748
308854,0,11468.802421607053
3919908,0,11427.636000137152
2282236,0,11165.822103102118
2260603,0,11501.733617012425
2803881,0,11458.582256137908
3265934,0,11566.488214227717
3424835,0,11539.25620997693
2547028,0,11687.728869240174
635855,0,11770.496516202616
1660384,0,11313.20806355967
2424424,0,11603.475049729948
1831639,0,12012.874647863686
2411539,1,11398.508272143385
1371083,0,11443.779532200357
1303175,0,11421.460733596188
2172172,0,11587.663932792952
650055,0,11556.654379253945
2143178,0,11527.00073866586
2771929,0,11595.046958378094
470412,0,11529.053686922724
3247462,0,11709.339547119082
690540,0,11380.691885923234
548316,0,11474.10070665518
2270670,0,11546.402991705452
1146783,0,57739.41264531816
2703273,0,11107.990275659822
3891426,0,11590.9531954998
2154681,0,11438.878669373726
3914719,0,11572.73054367428
1673174,0,11514.565969436773
1290437,0,11422.956793191159
2467323,0,11541.850140873576
2568811,0,11642.438142648465
3269907,0,11591.032420765188
714295,0,11571.575402347731
1962204,0,11579.968828427869
1536717,0,11499.104103545547
3484122,0,11571.378290020237
3528244,0,11486.06443062371
1304416,0,11557.509993823858
3832800,0,11687.409149128185
3380096,0,11492.87516698487
1154447,0,11875.371127490227
1169038,0,57777.833554861754
2768860,0,11431.728153869575
3459788,0,11566.266584527593
