sample_id,z,y
330144,0,-742.2969775103821
2185784,0,-1233.4864342213116
363308,0,-1121.074426434768
3072595,0,-944.6996040581141
758088,0,-645.8326431587525
1973086,0,-1542.4332660821487
1272394,0,-494.6979028924322
2833363,0,-395.2621128499515
3377528,0,-305.863603167437
3372134,0,-432.750411779736
3422358,0,-227.96119023663584
838971,0,-771.6600546972633
2168077,0,-228.7736350772312
1745523,0,-1291.6854319167355
1915630,0,5247.0053334741115
1912434,0,5569.54248513825
210578,1,-334.34784331612667
3439851,0,-231.07914236510268
2259322,0,-417.0929736899803
694053,0,-408.2970297695124
677643,0,-704.4436485314933
616439,0,-758.1780790816683
2127754,0,-417.12981433189134
918678,0,-818.6004265578824
1056961,0,5483.402867520906
268163,0,-643.3773920512998
2587461,0,-292.33030305928526
3182752,0,-482.67478562354603
1436989,0,-429.4318908618324
2048595,0,-847.1731180860737
3049525,1,-55101.07734565097
1482836,0,-794.4984853518525
2518088,0,-495.3943589989717
2576730,0,-479.3569309241713
3177875,0,-363.2895635541878
581761,0,-343.7215819302549
341499,0,-667.799229881759
3521612,0,-744.4884435476409
742579,0,-245.56119537131042
721516,0,-1119.6820770334784
3068496,1,-458.11464881053644
551282,0,-227.84885283700567
1520678,0,-253.556745415826
2000073,1,-30097.50489093938
2436247,0,-696.3371172513645
3729743,0,-289.4422720884314
3473284,0,-397.08469943141574
3202355,0,-298.42661836133294
1984856,0,-352.75739391036666
538348,0,-306.0817887024706
1005850,0,-554.2024828879481
3261743,0,-220.7049708885527
743747,0,-249.2861915983553
1468732,0,-371.4231283751634
1366240,0,-667.472220159469
1163103,0,5412.100710814142
1400809,0,-344.5099463166094
2398151,0,-64.8626701102006
2746929,0,-432.1232294847397
3151547,0,-504.6097800526819
1241230,0,-204.16753972498248
3431648,0,-668.226544118115
1571459,0,-967.4139296497915
3181922,0,-319.3391735536881
3458834,0,-1314.64143201262
200998,0,-429.92999768715623
3923702,0,-970.0978667451228
2253197,0,-719.6123358781582
3497974,0,-417.2442701709088
243642,0,-549.3686706045959
2993659,0,-566.2280953670452
3412329,0,-653.1842975203883
937571,0,-564.3100738987606
3489274,0,-350.50678072554683
3294817,0,-744.2820721622084
3548970,0,-302.916702783214
3702489,0,-507.7582079931702
1127175,0,5635.950892537454
3378862,1,-653.8691098815585
1504707,0,-417.46251687286303
3464906,0,-594.0129160078482
1254108,0,-2668.746004399525
3882983,0,-311.8569665165631
1127484,0,5535.4881028733325
3387753,0,-355.8769511278712
1628353,0,-121.19799817739239
3389619,0,-243.511207966983
2483753,0,-810.2834605013893
501518,0,-858.7617403564116
2745497,0,-196.00663721344557
469853,1,-216.51740656070774
830303,0,-452.60085189818045
3924933,0,-231.06504342387885
2106063,0,-975.2718917640635
605501,0,-361.50784302240436
252385,0,-236.25396469955825
1915839,0,4836.402436016107
2141174,0,-1286.5347168851179
272800,0,-402.73733161014053
3940350,0,-843.785398657263
2806963,0,-580.7357539879712
3934562,0,-468.06690394529517
513545,0,-177.93822209617778
492488,1,-1962.0680738395372
2873943,1,-49280.08669523121
3737394,0,-803.5722624040899
3908420,0,-289.09486946900086
562890,0,-326.2555874770659
2582000,0,-976.4368921076841
1079733,0,5463.647486975539
1467326,0,-1184.253482028043
2701896,0,-226.97531884925914
1406390,0,-361.22125758430116
2911178,0,-670.3276429116426
831504,0,-285.00027229646474
2865036,1,-30130.601919734858
2743617,0,-431.2429547178268
1961042,0,-1297.7144847014022
2928483,0,-273.46808987622336
446905,0,-582.3233400510894
2849438,0,-342.9186056393825
1041620,0,5395.566517646149
423046,0,-489.58491161437996
2240439,0,-290.8785316374281
1561069,0,-597.4638055296697
1319816,0,-252.72645108122714
931027,1,-315.32438473115695
2467199,0,-431.2500362782261
1254206,0,-944.5914554438802
1539928,0,-960.3157650261943
502766,0,-488.7245154821335
1647111,0,-417.06843072980865
374379,0,-273.5009008251326
2136979,0,-479.8858164920252
1428334,0,-982.0103545842146
2564697,0,-1212.5158147417958
994103,0,-503.7420936980976
953505,0,-292.17293079256547
2848974,0,-303.16878884672207
2244543,0,-266.4155024999871
