sample_id,z,y
868171,0,6900.028578829557
1365368,0,6786.793345817104
242608,0,7660.367658277554
820165,0,3979.655287822454
935260,0,6840.821536279736
1825307,1,8881.952674996703
1504973,0,5674.13752288878
284891,1,8593.283441129573
2201120,1,11351.95886466774
652917,1,9128.50435932176
2707151,0,6900.606020782401
3081782,1,10546.544672769056
2790807,0,7724.78359609143
2499904,1,11002.808244971258
697303,0,4953.533933780349
2020853,0,3911.3204922216028
3448773,1,7759.745723164446
1644336,0,5177.245675318418
1293590,0,6840.988984990111
1552098,1,8367.981074634528
3518175,1,9051.137918848468
1234321,1,8453.114566274275
2672613,1,11375.295467459267
2985804,1,8146.720665281236
2693153,1,9867.889917847882
1135572,1,8290.382468383736
1252335,1,8527.747845813936
3132618,1,7951.720567917782
3368514,0,7227.469365618371
2477638,1,7855.175962010961
3203683,0,3911.628524393094
2194014,1,9925.002049157174
3519576,1,11665.533691316838
2977532,0,7624.955678767701
3302085,0,6390.419256443077
3394424,1,9174.823817218552
1776131,0,4407.643068071633
2256822,1,8882.090127781206
2115062,1,9521.377139530223
1054724,1,8308.705558163081
3070762,1,8864.513431596937
3890740,1,8669.4849300532
1132868,0,3291.663865654658
3738082,1,9909.028704352493
1899893,0,6465.320257485611
3662030,1,9996.43161834589
3655081,0,5284.117919283677
1236580,1,12353.4392658033
1746468,1,9025.353344395531
1885923,1,8313.652978419015
751763,0,2453.0349029915355
254584,1,8034.056596493204
2045037,1,7897.047648481445
360428,1,8881.790715306883
1266856,1,13771.077150021913
1448622,1,11996.142700466631
3362160,1,8452.730154947778
325262,1,10866.396892773573
848410,1,8721.090746322428
354860,0,5232.611164044405
3692174,1,12871.68803192339
587888,0,5756.581878169706
1055359,1,11660.460352690157
724116,1,14303.915805641198
2522517,0,6970.170312827744
1071269,1,8734.065349965747
589411,1,10215.895974943038
811974,0,4527.344256747638
3882353,1,8425.487050564823
3681528,0,6711.712443654129
803463,0,5584.403232238589
634975,1,9176.60449935981
1428702,0,6968.154047818621
3661731,0,6712.026279983836
3678439,1,9321.612438914448
2271366,1,12523.625496459055
674769,1,13994.767020633284
2155572,0,7693.029255384259
2836874,1,8795.237079037906
974644,0,6218.271390316564
2493824,1,9771.90419998126
2430524,1,9321.94073962482
2719326,0,5422.983871930657
577468,0,6587.392096078025
3092319,0,5370.955117956646
2213327,1,10866.942501046264
2737046,0,7228.3857461477655
2987111,1,10112.672104494095
3103931,0,6321.492635487903
307213,0,6197.3724973619155
3009902,1,10040.576696930808
1113947,1,12349.14654334544
2140705,1,8555.126942425723
597233,1,11185.262784238585
495204,1,11352.908408809362
675196,0,6201.358108938222
2035912,1,7742.342758970262
1767035,1,10703.201847630988
3010695,0,7040.255995711201
3797269,1,9304.030155372384
248642,1,8034.778394437744
3858700,0,7569.506589144802
1789079,0,2453.3338262643965
3200994,1,9337.265453719201
308956,0,6464.941070589227
706891,0,6711.415535094367
3023597,0,6154.732592534946
997628,0,5842.172985512379
3935574,0,1447.3045496308478
3884021,0,3793.9898325614045
1193666,1,12354.607836162988
489409,1,12020.33467735755
2571534,0,6244.8107419800945
3924374,0,2768.9857005226677
832929,1,11352.51403101433
1732998,1,7898.509750544938
2397240,0,5333.656495335341
2836508,0,4867.548228098134
1279105,1,9621.85788612088
1990538,1,8295.105370479485
2023324,0,6499.594989373501
2258427,0,7311.113396061022
3523922,0,6456.159135682971
2926186,0,6091.04710709863
1103379,0,3925.8635395641036
1994750,0,5379.735179317783
343064,0,6455.648695228699
2585989,1,8049.840599939364
3249176,1,9025.854623827436
3661281,1,11351.76445803142
2538805,1,8568.00565714001
1906217,0,5047.983235477947
2238959,0,4842.980316125012
2878485,1,8881.661733682671
1691583,1,8452.624611827305
