sample_id,z,y
3489274,0,6220.454625468042
1700179,1,4480.1900492786135
1901400,1,5883.428713747251
1730690,0,4793.944803764151
999073,0,4471.310595200604
1199632,0,5194.251205737322
1235310,1,5209.03968032005
2435985,0,5363.668512774996
539984,0,4360.313677328452
1329663,0,4699.216993754751
1538960,0,4964.10208527201
3521112,0,4784.015559944852
717172,0,4554.704357852189
826127,0,4507.326198539719
3172569,1,4349.54686845668
1952168,1,4625.677704091776
3351788,0,4702.090845281382
2029595,0,4520.152817079278
977288,1,5409.79438983398
2574585,0,3859.7386203260717
2184210,1,4937.4871866843105
1978892,1,4306.75156751809
909842,1,4326.291463055423
722686,0,4208.133270433097
2397603,0,4262.85730786027
2441544,1,5210.816542241456
2981538,0,5244.1382578520415
1889894,1,3711.748617643661
427938,0,4421.132606699382
2814948,0,4146.463819420883
1159571,1,4930.68601301831
298484,1,3484.604115612638
2245289,0,3903.3107728433774
1484363,0,4640.738299725231
1101927,1,4325.8573387864
3348367,1,4232.241709743794
2163981,0,4578.8924803538375
2043044,0,2979.451872331139
2636134,0,4979.583912241844
2637000,1,4063.2619326632544
354617,0,3217.8746957039807
1198022,0,4340.2538267507325
2803385,1,5151.612750476127
202081,0,4868.912059909296
2944133,1,3668.7533736369564
502965,0,4111.040529271318
2716128,0,4322.8492135110955
2137319,0,5305.644104619406
2199957,0,3930.228243129179
1913785,1,3574.782036865239
1414148,0,3674.32878948336
1843294,1,5004.264554229409
674370,1,5723.014678351564
2176171,0,3202.2301672168824
3755277,0,5361.435347334592
2433331,1,4134.826552688347
687277,0,4403.8339960530075
2180655,1,3020.8883296549375
508744,1,5107.641461361261
626316,1,4968.569262165727
860771,1,5465.278271153726
2121941,0,2765.130318932479
1265542,0,4033.8028835540304
217861,0,5262.317679195178
3233744,0,4303.947831138606
1336019,0,4586.121700293691
2551009,0,4474.321514395168
2165173,0,3624.065665837884
3894772,1,5162.396364081601
1951027,1,3637.009278491154
3685936,1,4093.8604511454237
3125965,0,3881.3598410034238
1633252,0,5227.311451342968
2283550,1,4504.648482159655
1152275,1,3937.661112586531
1295647,0,4493.9477444256845
2571096,1,5198.097557882735
748382,1,4241.356761924257
2038297,0,4817.442777589648
248087,1,4916.0708401345355
3793179,1,5478.311320843856
3001426,0,3833.5639325667744
980692,0,4919.949498160797
320091,0,4375.544416857817
1063254,1,4015.3264069852667
2021929,1,4772.535278360954
1344101,0,4761.326708499469
3053705,0,5365.690081783637
844592,0,5055.669775035203
2056605,0,4382.1652847524265
3655046,0,4747.595922613296
3046464,1,4858.3512473168375
3951261,0,4793.098554451561
1248314,1,4264.135234565707
1694997,1,3608.972176700967
3003536,1,5146.150899723765
225333,0,4346.293934992026
3002411,1,4276.3331982413265
3174343,0,4735.945658690619
2431458,1,2891.0495489987866
3000232,1,4303.224734751139
2815184,1,4121.201760729975
3092725,0,4874.536338746925
1123322,1,3734.650053776417
849126,1,4683.586839718365
3479401,1,953.4067128675914
3802948,1,5234.168388638773
1498022,1,5222.98880810011
1134361,1,4930.004030417108
1649638,0,3840.948520766352
2639997,1,4566.263388557977
3790287,1,4329.4981961701715
3177460,0,4879.597436236125
1056972,1,4371.365568162266
2207839,1,4953.491051895091
3654107,0,3866.150703496579
1057055,1,4547.351334829788
903735,0,4501.159218133456
3075067,1,4465.4698681728005
623711,0,3976.201831784438
379857,0,5056.8044103400925
2926504,0,4149.099697075054
3197606,1,4088.636406659521
3836786,0,4696.039831624171
2824827,0,4733.261077977743
1355060,0,3918.381780401112
3023670,0,1527.7911413101467
1491994,0,4122.568007445537
858901,1,3677.1660137871536
1894026,0,5302.812357443451
680133,1,3978.8041940474254
2551793,1,4986.207342224192
2516383,1,1327.5775641306932
3696205,0,6072.9725865517785
1624748,0,4999.856338977891
3735697,1,3900.7294969519858
3160148,0,4093.5426260421063
748148,1,4195.560033697632
3496993,0,4752.219922208508
3147919,0,5124.167275144021
1135215,0,4261.880449845545
2454958,0,4611.958374284414
3457918,0,3492.504453119225
1308991,1,4821.995734558189
1449508,0,5302.663467588419
3768374,0,5091.103115860767
2419910,1,4500.204947457263
1111835,1,5477.142904937281
2683684,1,2546.404238292978
1159625,0,3865.8616383965855
482505,0,3772.900102549103
1112522,1,2743.446925805555
2777799,1,4765.863874519383
1694880,1,4323.839823571544
3422343,1,4128.905431008955
1469539,0,5780.901767880917
3740761,1,3730.428348446429
1204905,1,2615.856587296293
1028930,1,3271.348996050044
3658737,0,4334.010010857676
872369,0,4441.864752395327
3194944,1,3181.033372549785
422891,0,4887.902153127658
1959181,1,4196.055798808116
1362525,1,4530.251522716904
2215631,1,4311.3559335304
3318966,1,4653.968397143739
1372490,1,5170.3895352794925
1291497,1,3832.2241869915074
1770566,1,5618.832613863978
3423350,1,3386.6640654444773
1827607,0,2566.4863772255267
1423967,0,5334.97921190911
2463057,0,4649.610874988066
1777704,0,4492.418957571339
623062,0,5374.96149407767
929387,0,4862.876507481355
2964783,0,5074.300501124432
2764160,0,5053.396093254324
1013176,1,4649.1554079895395
1407974,0,4091.15103211976
1840493,1,5288.723996118531
279705,1,3894.686094439591
1043701,1,5230.557087978865
929064,0,3713.077766857945
2968750,0,5110.78265263959
663681,0,4294.64056010567
3794011,0,4196.3671840995
531867,0,3926.1656561093305
1154797,1,4475.18907115371
2721030,0,5271.136053479446
229015,1,5253.292334262178
3885549,0,3656.7576084543
3733009,0,3819.5981501909237
1360508,1,3376.688494961821
3012296,1,4608.245858854716
3321193,0,4125.763642071449
1608800,1,5085.34411731954
3949796,0,3604.2888534168737
1111289,1,4369.062212958132
1125634,1,5207.531608107293
2579560,1,4347.292487454094
