sample_id,z,y
3141834,0,9785.684544894608
826573,0,-1345.6345148768748
504022,1,-1092.27717371143
3370023,0,9883.347702564546
1524765,0,-1332.9421491415364
2199922,0,9757.980453707696
3316885,1,9823.769123392136
1019843,0,9830.655490528583
735243,1,-732.7053963306728
1493414,0,-1376.4594537253838
3360856,0,-1350.0270292536384
2801983,0,-1386.0883045425728
1817707,0,-1339.8533836478393
2599293,0,-1337.0953611575287
219834,0,-1348.4182955702827
3361623,0,-1270.0754131928343
3106070,0,-6384.878690452606
3956662,0,-1326.2986179553864
2795458,0,-1327.527160375965
1218274,1,-1235.4401258744604
1043269,0,-1253.499486550222
2198316,1,-965.0768612071896
998082,1,-414.27158541384097
687045,0,-1313.5542412630796
1547507,0,-1335.3903298998143
2482790,0,-1283.0044680812775
2444826,0,-837.1785168895856
2254905,1,-1068.3214613784842
3260144,1,-1360.3333158461073
2415519,0,-1350.8453701717665
1882122,0,-1074.3760907792746
1903750,0,9749.092193252056
810705,1,9714.548959037531
1035836,0,-1414.2562606413885
3319587,0,-1217.6203580653028
2023678,0,-1320.0801381372835
2807705,0,9811.234600390795
3163302,0,9878.821594971017
1137914,1,-1028.0641231226043
852002,1,-1157.0466323978048
2593394,0,-49394.619026511245
1256591,0,-1228.4271837413637
3067244,0,9721.808988228311
3337491,0,-1291.1252537028101
3005570,0,-1340.6321658797892
2764832,0,-1271.4358158023385
2106643,0,-1326.598637103593
971612,0,-1273.8010655252317
3090002,0,-1281.4212201325324
1632064,0,9838.299087370557
750031,0,-1246.971363352526
2427182,0,-1282.277230878819
2230799,0,9812.133134868209
3345978,0,9882.66347378428
2585039,1,9901.04448090993
2716131,1,10153.807212412143
950966,0,-1434.2785554742675
3918984,0,-1351.4146759204975
359408,0,-1308.2363136114134
2124088,1,10014.961791836842
193451,0,-1382.3757101386288
3205545,1,-1276.0161808438518
1395270,0,-1275.350016327093
2046365,0,-1434.3541164859544
2756415,1,-1279.3748618017535
919653,0,-48035.99477979856
3766125,0,9775.754764114588
1155979,0,-1343.4718181194676
3743543,0,-1279.2112038408143
3019134,0,9695.534583088265
3405617,0,-1292.3492382379716
1899082,0,-1546.2073320990983
3343506,0,-1409.1173550604794
1202396,1,10113.833955625993
2613402,0,9745.541774286305
1479641,0,-1386.8694714662588
3454056,0,-1424.5733526238876
1515146,0,9864.076932373568
3186671,0,9835.358625214913
3523029,0,-1333.7147173616765
3117983,1,9970.155453781068
2395002,0,9729.309092149822
1099914,0,9768.527786371746
2202330,0,-1295.6709237837408
1035626,0,-1250.281754058347
1700199,0,-1363.768391699272
2688209,0,9792.908681285699
