sample_id,z,y
2704067,0,-14.447482644062346
2196055,1,-29.509992625449392
2865647,0,-14.209830571910864
1547908,1,-29.69162500651948
986410,0,-15.347708212366024
546650,1,-27.461087250558187
3130956,0,-14.335420255575444
1330902,1,-29.8646523062906
3264693,1,-29.14634954856665
856826,1,-29.02505800133466
1985270,0,-15.899432869732502
866517,0,-14.586234492905271
3039293,1,-28.246622771108687
2269632,0,-16.050947307488226
963294,0,-16.193807022956463
1456111,1,-28.432563203598153
1128905,1,-29.652808304532574
3692024,1,-28.00735920979708
2139056,1,-28.033202817933468
3422882,0,-13.833066609948384
3540709,1,-27.397108144975363
3157286,0,-16.59730376621963
3020162,1,-29.881313681717927
1811404,0,-15.732736541034296
567779,1,-27.402704822866454
252621,1,-27.77953735227032
2183317,1,-27.346155244928386
1647838,0,-13.344157867945974
282782,1,-28.097694316961046
2666021,0,-15.882426073707334
1195992,1,-29.933615711697637
2938549,1,-27.579944039372133
1117577,1,-29.73025844634102
1695946,1,-29.572143281565474
3928772,0,-15.61892489199534
1751806,1,-28.485712058748472
3070650,1,-27.071178361182753
2204589,0,-14.521244981144177
1811716,1,-30.009591454377148
1700817,1,-27.326627617337444
1634605,0,-15.8275064993895
2414776,1,-27.806952513532462
932582,0,-16.04396375995787
834117,1,-28.039623683900892
2139152,1,-28.31576847518159
1461434,1,-27.083154265069872
2911828,0,-14.854207025770869
1913033,1,-27.121258959469575
2898316,1,-27.886506136054617
988966,0,-15.335397625010016
1497100,1,-28.12625182193265
3231508,0,-15.690275305661277
728489,0,-14.0216071030743
688252,0,-15.883629937011968
318288,1,-27.988372759369042
969620,0,-15.756237961482086
1827122,1,-27.37550870919275
3313921,1,-28.172115479136863
2190949,1,-27.976634921089612
3540845,1,-27.86823538905835
3789487,1,-30.227443476966847
1137741,1,-27.592493188328465
1046885,1,-29.541374338454848
3199765,1,-27.51032814508176
2586734,0,-15.233413963009859
2876540,1,-27.460679009479655
674487,1,-28.03907647924436
1990017,0,-16.260436709654172
1698599,1,-29.673184879079866
3328864,1,-29.805945109264606
2697517,1,-27.275848208228876
984334,1,-27.45038802183691
743171,1,-29.213343611247694
2591214,1,-27.347087615494537
558687,1,-29.6595061335721
1049480,0,-13.558114788403856
1913196,1,-28.028760498682352
3069202,1,-27.539303585087243
2253433,1,-27.383619730159516
1835397,1,-29.845827633231632
422447,0,-14.373923672466145
2158576,0,-15.77798117168501
1626930,0,-15.757504436521325
1470348,0,-15.906765959932736
2729662,0,-15.838629105666813
3028154,1,-28.073245013304664
2116710,1,-30.13571339612824
2496100,0,-16.049905648959236
2881882,0,-15.822351383542522
2742286,1,-27.399906194321147
2785887,1,-27.31233753861053
1845148,1,-29.681924196078945
3189786,1,-27.077667682927917
3511127,1,-29.616281750842052
2128270,0,-15.347950096526107
2965936,1,-27.00070145395798
3536362,1,-28.011743883841465
1067460,1,-29.189480251828442
2905004,0,-16.003248867719616
3251803,1,-29.6818999958656
2574585,0,-15.80043039912447
1325519,0,-15.492723407458122
3309277,0,-13.784105452654073
1401378,1,-27.587028874664853
440289,1,-29.88484039399765
1526445,0,-15.600401190830594
1753441,0,-14.26471723407561
3133914,1,-26.715719877277113
2398540,1,-29.760444039808448
