sample_id,z,y
972958,0,-13227.432647270422
2411233,0,-10165.851448411693
214092,1,-15163.352432169435
3075140,1,-15012.758636930814
2937863,1,-15164.34711473392
3413246,1,-15027.396623213372
3521523,0,-13429.826401205797
2530008,0,-14508.379209625487
2727646,1,-15552.791059607167
1393802,1,-14304.54713433951
1434498,0,-11449.491996594614
1493190,1,-14304.471844564834
2509589,0,-12838.616083327335
973376,1,-15635.82264628035
582618,1,-14304.427323864073
1382560,1,-15418.762390104479
702468,1,-15011.910811523814
3671758,1,-14752.592036520376
3934759,1,-15679.795719033486
2165588,1,-16584.109386270342
2056974,1,-12683.601452403775
1091784,1,-15418.64250245021
375957,1,-13048.09149439366
3357730,1,-14968.460452063031
2135466,0,-14951.515955895722
1433993,1,-12749.934950581166
3468402,1,-14304.435640248357
2795228,1,-15012.00058151591
3080171,1,-14969.327842658422
1227872,1,-15107.325923513947
1638842,1,-14889.837373555509
2169375,1,-12724.556025714806
408565,1,-14969.640120277543
1142484,1,-14304.58899098905
1192509,1,-14983.64288293137
1678226,1,-15016.49487238111
3707878,1,-14024.598231781487
1783829,0,-12487.295098670906
1483307,0,-12132.817301651572
2028686,0,-11440.321689227807
3733173,1,-14886.379629227258
3750747,1,-15250.800672218467
1493030,1,-12941.47151305238
384918,1,-11577.005805551882
3115304,1,-15029.49706588409
246607,1,-14024.004539512394
272247,1,-14885.584814522597
3498333,1,-15567.80259275654
2764392,0,-12428.53637878624
2910740,1,-15695.119922509884
3464883,0,-10441.74932378144
3052751,1,-15012.729323536543
1958448,0,-14434.222225874988
2470310,1,4885502.692474491
1431035,1,-15261.464684421864
1290949,1,-13817.832193648255
1542391,0,-12611.755681867151
1793527,1,-13480.18415033288
2729920,1,-13864.26498694554
1662543,1,-14630.040154060047
3841152,0,-9110.8369539841
1492922,0,-5137.7280131965545
1643905,1,-15163.35657117715
2666079,1,-15029.457002615736
859228,1,-14968.491194585124
290611,1,-14968.56943239907
1618923,0,-14508.627612487444
238974,0,-11721.617127594007
3770087,1,-15027.712352992206
1896272,1,-14984.549505339704
3043835,0,-11860.482241432128
883043,0,-14567.177912231515
759867,0,-13227.380820473885
243577,1,-12466.762520002349
2249933,1,-14969.382188574113
2195797,1,-16246.993202694834
2212676,1,-12750.151718775272
873287,1,-14752.020862589872
2206313,1,-15107.235088942327
2395764,0,-11535.203569517917
2483290,1,-14124.464608318067
2756415,0,-14425.423796902796
482826,0,-14551.988321968336
3270954,1,-15246.321072299857
1574428,1,-15553.483023290246
3761497,1,-14968.547053939308
2728433,0,-12949.842001660962
2796044,1,-15367.46490152795
3708151,1,-14886.524234487051
513065,0,-11889.520475360694
2838912,1,-14886.630534071972
3837226,1,-14885.57511315253
2803351,0,-13487.474776018273
3316492,0,-13841.463376957165
3078982,1,-13481.059022566858
3939432,1,-16134.594237933787
3350455,1,-14438.531008598542
1661608,1,-13840.30498368495
2601120,1,-15011.985881751218
3250874,1,-13757.937630028733
2702526,1,-11301.503646963703
1153145,1,-15107.624190406326
2717053,0,-10981.50588155661
943393,0,-13502.891012779812
301653,0,-12180.349002539419
2392423,1,-13480.189396813958
3410131,1,-14968.520424678953
1630126,1,-15012.026630025739
3192657,1,-15241.250815290066
3399265,1,-14885.765418120971
3105775,0,-12626.844271555106
2156950,1,-14751.814660690658
3248650,1,-15302.18900299796
1126969,1,-15011.98079654598
1029183,1,-11301.573834377414
3371884,0,-11505.595863104829
2696568,1,-15163.242058421312
245689,1,-15163.476355237743
1092907,1,-14885.696783884076
3143765,1,-15694.324560211548
3837190,0,-13227.213587030083
3268889,1,-14983.699363532593
1076069,1,-15029.48506332493
3701967,1,-15290.6883483838
2423008,0,-10047.99701671129
3428095,1,-15246.283967054158
2404032,0,-13885.119400088031
667839,0,-10308.22708954539
2450360,1,-13652.534149449364
445272,1,-14983.831631375957
3146374,1,-14751.676827160185
1026353,0,-14567.593182712568
316661,1,-14968.456352650714
1161540,1,-15037.615963618286
3413498,1,-15305.280441480772
2791493,1,-18929.01437308337
3939631,1,-14917.145686362537
1812575,1,-15694.982967530297
2464984,0,-11859.75518877531
1131329,1,-12743.530639997778
2629543,1,-15305.13815582261
2198650,1,-15896.895017621808
1538312,1,-15242.17442495138
3102933,1,-14973.303943880328
867679,1,-14751.739745100671
1081281,1,-13480.14834648652
2485700,1,-14453.386325750187
3951231,1,-12684.624217830584
2831901,0,-14509.281306943283
2444349,1,-14290.60090618147
2991766,1,-17063.046862096107
2579560,1,-14968.434158476803
2948306,1,-14646.366643592786
3516439,1,-13480.280339834111
2881730,1,-16718.78557494274
1566718,0,-11565.504062229742
3250714,1,-14885.629323459376
2868820,0,-11903.874451555306
2471250,1,-15178.40649502418
3061854,0,-12950.647304134674
291254,1,-14081.051000464024
264113,0,-10795.307681996464
3255206,0,-11548.995454948326
3133850,0,-5970.767871716576
923524,0,-13242.264357528595
3540148,1,-16113.7134235939
3900664,1,-14166.464467927277
1499588,0,-11549.003033224979
3695878,1,-15241.980401899944
1584251,1,-14537.227162870391
1227447,1,-15160.431199626764
3340852,1,-13771.367700212075
1048896,0,-13227.130018410093
1154029,1,-15163.411010362055
2910053,1,-12467.656073103337
3057870,1,-14969.337414766693
350744,1,-14751.659338244157
474444,1,-12578.701845304282
2808800,0,-11244.231663789198
2527272,1,-15027.201865794677
975312,1,-14147.222071555745
2913238,0,-14552.6867230431
2404487,1,-16050.797285856492
663226,1,-14983.667391886345
1942449,0,-11923.240161963631
966652,0,-13921.983974504155
929183,1,-14885.544191276766
1786344,1,-15107.329891661151
514412,1,-14124.69477239688
1099494,0,-10229.731804102074
3900453,0,-10711.314493316437
1987632,0,-13492.107260229941
1467773,0,-12983.312356578444
2496691,1,-11468.378902007846
1074955,0,-11857.825281726778
1334362,1,-9975.068966409353
219547,1,-14438.291338411203
727928,0,-13444.003854459206
1143235,1,-15163.251107062491
3531724,0,-14567.341153747988
902373,1,-15241.368391091522
3893303,1,-15164.113982165618
1410199,1,-15289.710622146558
856943,1,-12750.15965516785
2828797,1,-12684.487793167578
3384687,0,-10937.948932054169
1611098,1,-13255.094807665362
3756046,1,-12858.420376689912
3034478,1,-14439.070142692388
1315008,1,-15163.37519206296
2672231,0,-12906.389229911872
1886445,0,-12907.508320838273
643339,1,-14453.483115537003
821522,0,-12933.211693864121
2719382,0,-14425.488170405415
2786200,1,-14453.260950743992
2529262,1,-15163.35831351432
1784754,1,-13864.212579658382
595354,1,-13000.491579291005
2877026,1,-13870.26311370374
1874395,0,-12984.243193028193
2126395,0,-11829.512687482162
1437579,1,-15246.159895892073
3879142,1,-14125.411578348456
2419829,0,-13884.892170233192
3546131,1,-14806.813687100921
3408033,1,-15650.651759422344
3473484,0,-10062.148590856033
1972157,0,-13920.00478805312
1305943,0,-8237.807038725286
208552,1,-10338.996560324478
549283,1,-15246.28751755516
3251854,1,-14124.44705507706
3374147,0,-13841.352709572406
2519481,0,-14567.172174520147
2703957,1,-15029.478208745722
3887755,0,-13765.082421035964
1634229,1,-15418.971547673746
1459036,1,-16172.527042833399
2504396,0,-13841.454155337224
2254438,0,-11673.615068296558
1466285,0,-12954.163291152765
1908719,1,-14439.172217746906
3152892,0,-12693.948290210554
3869338,1,-14081.84870661787
1021350,0,-12709.090497613302
3520578,0,-10456.463393447619
1496964,0,-13282.30361356654
1259378,1,-15324.135367134311
1542710,1,-14752.52592862565
938760,1,-15917.303998156653
2497200,0,-13365.524004302355
3474387,1,-14023.80777506987
2245843,0,-10721.466863518188
353740,1,-15246.265275434844
3899405,1,-16051.863899866887
619014,1,-14885.542232250875
1979159,0,-9248.306679207595
1154922,1,-15246.490591129806
3307790,1,-14023.843606023202
3805832,1,-12765.105656794349
2475763,1,-15324.109830559073
200723,0,-13758.525325295894
3198870,1,-15013.16493650519
2578868,0,-13148.59755942975
1757698,0,-7573.511066994654
1155685,0,-12211.540938174792
941372,0,-13980.795630512364
3538667,1,-14968.652880666372
1062283,1,-17134.297711524014
1092127,1,-16177.511379602198
3078866,1,-15553.446254665945
2264828,1,-14886.623845312848
3195281,0,-14425.457332313066
2261558,0,-8370.782481424581
1564149,1,-16051.648604256243
1978363,1,-15328.466435336628
3933307,0,-12932.771855212939
3385132,1,-14983.593546150443
551540,0,-13409.936238951163
2244374,0,-13858.89919757427
1622296,1,-14536.408479747233
3750541,1,-14304.446809326613
1466645,1,-14751.742934029273
992881,1,-15163.274761012004
2620461,1,-15418.721122965297
2935152,1,-14769.520328260485
2174343,0,-14508.460585824041
1016670,0,-14508.384912775071
3408340,1,-15679.052353652494
820913,1,-15104.786557765576
1151664,1,-15163.315228832553
2164731,0,-13900.238817615818
297530,1,-14304.647689113173
3948392,1,-15636.437579130155
1989163,0,-13487.746162620346
2913407,0,-14552.733006702036
1688637,1,4885347.979583623
3218022,1,-14968.536980571726
1046882,1,-15246.285693888354
196462,1,-15324.012898545227
1624151,1,-14968.420861161674
3162065,0,-14551.956750582185
2994581,1,-14752.573493602087
2257131,1,-14969.652498592508
1354277,1,-14124.40337087827
3422057,1,-15116.571087601107
3093323,1,-16718.774509606123
3483322,0,-12823.277564594047
257524,1,-13032.848972293274
869385,1,-13836.007648891687
3318460,1,-15029.484645268773
1613031,0,-14567.27517176339
2811860,1,-13496.290890234124
1301018,1,-13960.102608301737
3404122,0,-14551.809650362902
3328037,1,-16134.120532465768
522802,0,-12949.89390205395
2767290,1,-14885.60548645665
2982226,1,-12859.569200793307
735171,0,-12777.158598631593
1298473,0,-4678.748239930551
843711,1,-13890.044431076973
3779544,1,-12712.958515677092
2246280,1,-15246.306229464335
3181841,0,-13884.841054518916
2279887,1,-14124.531560655782
1137772,1,-13757.98417537193
3245452,0,-13487.44883332305
3250735,0,-10937.962163817612
1448607,1,-14106.730680234496
2877343,1,-14969.351691629847
1991804,1,-13733.20388061842
426171,0,-12546.065251437092
2542610,1,-16463.558168066917
1984214,1,-11972.97314741687
1527309,1,-15709.762450087368
2461661,1,-14983.710861505764
3089885,0,-13901.217421206258
316324,1,-15246.328890836732
2681036,0,-5181.201743184572
1075721,1,-14885.620573258017
2870762,1,-15013.089241967722
946240,1,-15027.406408787345
709189,1,-15679.026199416865
1821337,1,-15247.33780808646
1266444,1,-15163.21314869945
1233035,1,-16246.748173858428
2547861,1,-14905.054059977629
2506690,1,-12466.997361987385
1061519,0,-14508.401773921965
932927,0,-12428.340590799264
2810684,0,-10062.909343490606
2623573,1,-14751.729981463093
3075381,1,-13996.063994363665
850966,1,-13817.969976148031
485023,1,-15289.64674593295
3919519,1,-14969.400993665702
1085625,1,-13860.75744850106
1739368,0,-12428.334004522012
1266224,1,-14983.675172709889
552861,0,-14508.484442979545
707212,1,-14807.144361169425
3078589,0,-13845.931887348836
1021381,1,-12380.971324534932
420126,1,-15163.331675929703
234262,0,-13444.176063981924
241327,1,-14885.5902363979
1370416,1,-14885.808826920646
3395830,0,-13841.43133626029
2551260,1,-14885.58911172871
2690091,1,-14023.80979173465
3776229,0,-13760.298287713895
3181132,0,-12345.598425917182
3274028,1,-14983.724012900813
1192452,1,-15027.18943889569
3909384,1,-15242.179754690782
3419770,1,-15012.214637406241
2169532,0,-10434.621617047078
321849,0,-14551.838857143475
2012067,1,-14751.87531220165
3536279,0,-12820.553047107587
3722179,1,-15028.123530628838
907850,1,-14751.95881980138
1898900,0,-13228.329854315469
2558149,1,-15163.310343410956
2457096,1,-14983.641340127297
1055496,1,-14751.78013421813
3107431,1,-14125.346901848729
2763405,1,-16177.263604997894
2212482,1,-15029.636724712507
3408622,0,-13361.137040496347
2495913,0,-14551.975029575646
426582,1,-15246.301253427608
1836393,1,-14886.328967121626
3653677,1,-14968.616329563685
2984725,1,-14752.726582377334
1480046,0,-12823.742499031232
1763614,1,-15972.033963770418
470201,0,-14508.525664360206
1289109,1,-15027.431720069664
1849850,0,-10938.853604258566
1564595,1,-15010.01356568248
3056351,0,-13445.158640090744
1163580,0,-10391.231927207955
3441820,1,-14900.681044597362
1298767,0,-13227.238720045161
1337311,1,-15323.955288442368
2543759,0,-11933.658323236345
2037267,0,-13996.068350293648
1779011,0,-10533.289516596828
2053090,0,-12364.710501405289
615391,0,-13227.120670348399
724464,0,-13487.445700617493
3060110,1,-14752.802528613058
2689103,1,-14968.53305005856
2239379,1,-14304.414507228337
2414244,1,-15916.963796657665
997628,1,-14081.008781907887
288148,1,-16133.71091238028
2905251,1,-14107.583425812685
2221511,0,-12965.18997124538
3354333,1,-16593.946255454157
2196597,1,-13477.307478825316
1741017,1,-15635.622261278624
2645153,1,-13786.328279329327
629263,1,-15163.540563776614
3417676,1,-12749.977891542405
2910562,0,-13459.893981416382
1032994,1,-15241.342703317714
2262808,0,-14552.823422279305
3541102,1,-15027.42485389447
1463249,0,-12823.370909462657
2500451,1,-17351.117776119987
1341342,1,-16177.179389353327
3797356,0,-10427.180837997348
1038775,1,-14304.601887455578
1320119,1,-14968.491492663512
3384887,1,-15163.473986757408
3949827,1,-14107.681640725901
670157,0,-13839.175105219852
2740469,1,-15246.27694962848
1205091,0,-13361.001781892575
533683,1,-14900.674577025418
3881188,1,-16801.668480508677
2578182,1,-15107.3099281965
3100635,1,-14969.377999350358
465600,1,-14968.553382087588
1987115,1,-14889.922498119155
2463999,1,-14139.677833879958
3104616,0,-13503.74527844285
3438286,0,-13884.95051431803
2978726,1,-14107.536482848189
1470026,1,-14304.469536289107
3077396,0,-11549.77148826846
1622871,0,-10382.65790396804
2927736,1,-14752.657151453772
3456003,0,-11859.53466911344
2794857,1,-16051.003570534429
1133627,0,-13360.981794587044
2721492,0,-9326.788159860049
3423174,1,-14916.289752277178
2711206,0,-11814.484073658901
1130385,1,-15027.455399828268
1309865,1,-12858.49957171619
1767015,1,-15027.273024535503
2531741,1,-16192.846096771167
2871837,1,-14886.563410450617
245524,1,-13652.561692285206
3360500,0,-10441.533081291174
2908162,1,-14439.000169228084
3750258,0,-13922.106565970422
2973333,0,-12965.79661451603
3885021,1,-14886.556903050205
2162312,0,-11060.132292463
403418,1,-16717.769491088788
211558,1,-15917.072044989201
2418170,1,-11435.378290625684
1934136,1,-15167.712651988393
3092037,0,-12472.536394190825
1339085,0,-12906.447519573869
2191015,1,-12466.886880694363
584633,0,-13408.80176807333
1458088,1,-15029.555566315714
1440437,1,-14885.588515032114
2534885,1,-11450.478037265999
3533906,1,-14885.53290037805
1976310,1,-13762.391388078691
3325324,1,-15044.659296097345
958731,1,-14983.782643453247
2421063,0,-12776.99056285342
3141372,1,-14359.765304534678
2199980,0,-12987.516633115305
3266124,0,-10427.246962122828
2565524,0,-11352.51747358777
1544239,1,-15164.249032051124
857201,1,-16522.71979830695
