sample_id,z,y
3369114,0,-14.720162816601963
918396,0,-198.39332501466131
2710587,0,-8.710185297562047
3510559,0,-13.928463385710499
2260680,0,-14.413471710298705
973679,0,-9.764692656230052
2817559,0,-5.419796179369997
977489,0,-9.203232670474323
1374950,0,-188.44584143827052
2882837,0,-1.571373054858848
2426134,1,-29.677873629146337
3726911,0,-15.261560788649273
2265996,0,7.521113801146632
2581572,0,-193.4038348826023
1080841,0,-6.540674936067354
944981,0,-14.704818943222625
3508655,0,-3.258930654367706
3337536,0,-13.972155919357586
2717146,0,-185.14243820768573
1963356,0,-11.661086392097022
3920000,0,-6.8696226374032845
2917175,0,-14.166658704860271
644637,0,-2.5800995408288796
3360856,0,-27.74448899701839
2521732,0,-14.513017980929996
3173899,0,-189.44038091164683
1119085,0,-56.801519567644114
1819590,0,-204.77429446682135
3950595,0,-189.33740907936146
2868951,0,-15.236586584159276
447227,0,-9.987349426457394
3455973,0,-72.2153122625633
2186881,0,-14.436867883052775
1290773,0,-9.484836925707196
505489,0,-204.58651591690352
1033188,0,-43.88202671641539
1249124,0,-8.920887100106139
734396,0,-10.199513175076255
3337479,0,-18.930875182156065
2026066,0,-14.674304593725624
1620253,0,-8.912369561254973
1344809,0,-189.46100715106985
955303,1,-23.80852216559882
3253238,0,-72.1664047735703
3187484,0,1.320982913145152
1993961,0,-9.844701820081259
3499968,0,-9.551344033378216
465127,0,-189.4345571239226
369287,1,-33.479109109715054
1538200,0,-10.194927229887194
3103028,0,-15.088665982178021
1095938,1,-23.204735332395597
559143,0,-1.4640050527872397
2269662,0,-10.066513768249433
3187337,0,-77.28853729568301
2465861,0,-9.699500390020397
561658,0,-82.85243788194909
2714248,0,-9.572250635543652
1131396,0,-182.8737185913983
2234341,0,-5.6063609377638635
3157952,0,-13.938302261992197
1320611,0,-9.592900910211917
421401,0,-14.807257970475591
3851854,0,-189.3018688883896
1371892,0,-5.525078177514635
3882640,0,-193.5961536225729
1208798,0,-14.861987831993993
2939703,0,-14.087429527998252
637792,0,-9.329022110993883
1335566,1,-23.157863329473212
1621092,0,-193.75356002596155
2046919,0,-9.760965986387603
2423317,0,-9.46956051143676
1233257,0,-15.407024759742114
1508001,0,-19.60047064872284
3750328,0,-10.39659902861558
1245011,0,-15.11576444465543
1636086,0,-5.569080209622903
3919908,0,-57.145861112439235
2791259,1,-17.730414952898062
3104116,1,-18.52185257310466
2245625,0,-5.533544534335209
965021,0,-31.153574972962286
995556,0,-193.6940983587404
1234686,0,-10.448931339071429
2457408,0,-5.2485359866017065
3268468,1,-23.816542389580782
1060796,0,-185.93063634950738
816080,0,-201.76046688070215
740751,0,-2.307754121965807
2991219,1,-22.92487927316802
1845769,0,-15.591515489299168
2508547,0,-193.7174178077542
3860543,0,-5.269143445512833
239757,0,-13.964418564227438
3337774,0,-200.74141748800227
1441047,0,-5.102339767574305
2015012,0,-21.072894323884555
1367686,0,-3.0156850611171735
954622,0,-193.25357383901178
508846,0,-15.18355090358944
1562926,1,-29.360466262838006
