sample_id,z,y
1083415,0,0.4196647555455276
382270,1,-1.075104215351801
1531526,0,-0.1838218901049628
2583954,0,-1.5057112224751896
1204957,0,-1.6988431408723952
3057273,0,-1.3317003352259504
1602163,1,-1.0457860818539129
1703316,0,-1.4639672939997594
563587,1,-0.5193399874798837
2280449,1,-1.031762909613447
1693338,1,-1.4341361724649153
1458890,0,-1.5864711484793055
2674643,1,-1.3447908623188516
1009525,1,-1.0311288782941541
1057237,0,-0.5463581428789333
2282492,0,-1.7220258810441091
603812,1,-1.049590706464954
2780229,0,-1.5028163096552167
1613193,0,-1.6924278246382858
2621976,0,-1.5633991206262592
3083207,0,-1.2326284267018452
2471240,1,-1.3305246373083612
3671677,1,-0.8082866133688004
2535803,1,-1.3602231869257857
2555609,0,-1.4280251164500624
2006338,0,-1.3842678466053875
3326412,0,-1.1858126041322208
2551260,1,-1.1647029166640714
2855048,1,-1.2465777233238402
2247485,1,-1.3477902095554866
1625364,1,-1.3697582484392339
1269658,0,-0.8396225361730683
2264961,0,-1.036722377126469
1094792,0,-0.4473799784006837
3209507,1,-1.2442525641061073
2804776,0,-1.623256977697351
424430,0,-1.5503312670730889
3900075,0,-1.7713681364833014
3341904,1,-1.0892855854294292
2475737,1,-0.9766565301495391
3191856,0,-1.5792038935201709
3348367,0,-1.2622031350016103
2215170,0,-1.6145749994562506
1316718,1,-1.4812633188128428
3511679,0,-1.6795321055943004
3923286,1,-1.2687118041716579
254729,0,-1.183543177485353
3451002,1,-1.024165710426172
3278196,1,-0.7340692641223938
752032,1,-1.034895775033565
499017,1,-0.8819222181248043
248905,0,-1.3733173776123488
1139477,0,0.11687087858531242
2262360,0,-1.0231156366315066
1559855,0,-1.4456176794284694
852362,0,-1.4620764808691702
2639753,1,-0.7369184062742855
3535451,0,-1.467065766261569
2560117,1,-1.158124700310246
3744650,1,-1.4896754616594188
3257795,1,-0.9344453676777923
562189,0,-1.415588452619522
2991388,0,-1.1778804399092757
2256781,0,-1.7607603199001882
1374811,0,-1.2586546045807347
3670522,1,-0.6821676249239687
1381610,1,-1.1118010551693875
3265215,1,-1.2088582879045435
515775,0,-1.5811311288710235
3446492,1,-0.8865105850303662
924242,1,-1.0836326283752862
1735905,1,-0.977194217422662
1308970,0,-1.4339324532459559
1236277,1,-1.3917906004892888
3160383,1,-1.1545099673531285
3894815,1,-1.3149795631463939
426251,1,-1.1912576538404929
597504,1,-1.1976952246964694
3112971,1,-1.0113194283628102
648159,1,-0.9133211167500148
1998628,0,-0.9555146451249786
2053021,1,-1.1139912483667331
3840428,0,-1.6138182443055862
1433773,1,-0.947106124200896
3926299,1,-0.9308604731805975
2914112,0,-1.5968004908084563
1462125,1,-1.2734609660343619
2137456,0,-1.5350440604853417
2664127,1,-1.2987738425889903
978732,1,-1.5329736089265418
3688975,0,-1.4236725542496331
3960967,1,-1.7263497389518703
1526230,1,-1.3920891302070393
1815045,0,0.18050449071992453
1717713,1,-1.1433770326105555
504988,1,-0.8279389044025658
3947896,0,-1.7744070300463601
3736406,1,-1.1899236957055976
690487,1,-1.1227211184196362
3490763,0,-1.5440739632318063
3882973,0,-1.6564844806616734
2552865,0,-1.1552162396024788
375250,0,-1.5614789364448123
1647537,1,-1.3740339003260538
341436,0,-1.2192981745645222
1248612,0,-1.2894362189219257
2014659,1,-0.8941202016510483
