sample_id,z,y
747560,1,-798.3343215623939
3093059,1,-4439.765672053383
361265,0,-892.5605981424511
1002764,1,34894.09174681066
2669324,1,-1054.614387029637
1195655,1,-882.1142710277525
518876,1,-1177.9218541588434
1026327,0,-23711.66758990662
473056,1,-1081.1871089098267
1139706,1,-36808.99321983781
1593299,1,35127.0490022233
3896226,0,-1699.2148845951338
2772159,1,-1033.362942261017
2268272,1,-1023.7839426659506
3737973,0,-922.6562589413592
1343398,1,-697.3881703362051
2632145,1,-21727.319294977166
2236983,0,35189.13389673909
1072824,1,-36062.61168406381
1948064,1,-1060.9914270927857
3322123,0,34372.37634290948
3778541,1,-891.1280883837759
1857711,0,-57088.20214544923
2643231,1,-918.8476748742437
3179721,0,34293.45693810407
2186095,1,34050.67920753069
3789087,0,34673.741736305245
2151500,1,-586.6621347352126
591719,1,34730.53059984503
3499639,0,-691.4430917018835
3432689,1,-834.0023837679447
1829571,1,-37884.369672768604
2948647,0,-553.655068474086
2885223,0,-750.5072103740241
2514680,0,-652.8078101828886
2614833,1,-1040.237501007366
1784861,1,34170.748197655936
3490866,0,35282.196283970465
2118356,0,-1118.9344860277636
1660436,1,-1065.370752338813
1958100,1,-2051.9998323524806
200166,1,-773.3629661029727
1458490,1,-345.524431663959
1677428,0,-657.8141203423675
1461369,1,-586.9292831186647
1424182,1,-1359.2504330849329
1346381,1,-1721.5135091966958
242456,1,-578.338030087461
539356,1,-984.6171148388911
3250546,0,-1201.7421294924718
3859849,0,-202.86547040503595
2121442,1,591.0493450484809
821797,1,-59289.7687738314
3832552,1,-880.1458506641694
839748,0,34736.93090341343
1526728,0,-660.1746641919343
1816599,1,-36986.14318230347
2736459,1,-464.88155418195316
3484358,1,-685.5952576354381
1205222,1,-903.0212303961155
3793601,0,-693.6434945102844
1219219,0,-1053.2230560387602
2710583,0,-409.8589780594381
2926145,0,-945.5828546963564
3382765,0,-745.8754268545921
981337,1,-1056.3039538497171
1881396,0,-36295.465041593896
2040334,1,34509.542681749095
2645153,1,-59264.02327580802
1112631,1,-1276.8840934748625
220697,1,35075.449170640175
3287168,0,-460.82124752380855
332594,1,-843.9001072026213
2711251,0,35164.91452295233
936779,0,-1870.0935232371157
2689857,0,-1386.4946293705805
3233299,0,-289.8329147830467
3706982,1,-387.69068490329965
411353,1,-1377.9347968035577
1135240,1,-37081.98071057386
1370523,1,-1121.9077340516512
1089786,1,-94986.51818467461
1628100,0,-1167.2675960680376
1620316,0,-459.33552480098547
1518055,1,-550.7714944642971
507945,1,-1765.866948655013
1360721,0,-1727.2986971002354
3898261,1,34988.41362078964
2635158,1,-1392.0996575622996
1052289,1,-36331.221362684315
3753461,1,-662.4790666852576
2972157,1,-1690.9558692711196
1760794,1,-716.6610625298803
3011123,1,34511.04142398295
2751551,0,-227.80430730391285
1573204,0,-1521.8155651756351
1615342,0,-1110.5165684496103
2277033,1,-348.33609629472346
698893,0,-1054.8687915060862
446881,1,-1575.7737401242537
646359,1,-1139.9215030101218
310631,1,-1285.718920618546
2587887,0,-59170.35677387931
914714,0,-2166.467315112023
700251,0,-1092.0973878612465
1682175,1,34515.5595792073
432055,0,-1063.983140142971
2890946,1,-685.3783158026874
892790,0,-2591.0834708815373
2686465,1,-1173.9319305874717
1430500,1,-444.41269763843565
3204582,1,-1690.2549183296778
1162202,1,-1557.7405114989183
1144035,1,-37318.01475211846
2925663,1,34119.24359911855
2719230,1,-747.6650784404328
3073606,1,-59159.91413699959
2637177,0,-821.7552870280465
1864368,1,-36543.08186704194
1512843,0,-579.7244747050437
2407083,1,-927.7926831155055
3185093,1,-1544.5909984550108
1469138,1,34781.54436256417
1540316,1,1342.3298242721194
552163,1,1011.3818645441897
233819,0,-803.6271290169193
3395476,0,33810.215717612366
973602,0,-1255.866462975534
1222481,1,-941.3358603434567
650936,0,-2585.296881051026
3150946,1,34893.36975337675
3050547,0,-2147.6582360124476
1128596,0,-36404.968537978406
2207105,1,-1372.7509324749694
3061789,0,-408.7291552799065
2729622,1,-1141.4305630471613
912351,0,-918.888960290493
822374,0,-943.6322348511393
709660,1,-1034.8865995476137
1786868,0,35236.68211793668
844170,1,34992.07397235613
3166748,1,33841.75708552043
3801853,1,34857.11959904364
833736,1,-1871.793660679275
3433326,1,34723.95868192486
566200,0,-392.67836684706634
359610,1,-1400.5555383721855
1028930,0,-766.258126921452
271537,1,-975.437752163813
1323830,1,-341.0705539238419
991594,0,-1160.5473088407455
2730246,0,-471.7025094405268
1056600,1,-36676.2537712054
2441993,1,1049.7013360982519
1342108,1,35238.182513695305
1814405,1,-36735.534795152635
2547391,1,-3028.0536000786665
3771367,1,-811.8417899518096
2559847,1,34537.95447473325
2202423,1,-1140.661133024997
2624737,1,-115055.64458654213
1822498,0,-37429.031816237024
1013768,1,-663.3709949644517
2164149,0,-1539.8032910769596
2805926,1,-835.6051428858929
621727,0,-1335.6006029554715
2639377,0,-658.8985955466608
1411417,1,35112.33395818817
3443468,1,-344.2019708912418
238634,1,-899.295384890805
2700102,1,-579.9575510465838
1060210,1,-981.3233329092294
3832093,0,-1916.9343998222264
2858434,0,-1363.5170034488096
3930321,1,-1342.3165494236491
2715564,1,-886.4592844863173
2860299,0,34493.75931418951
2696098,1,-2143.8504722230527
1557968,0,34798.61891198998
1685672,1,-59738.2051539774
3840366,0,-802.4176745542555
1148210,0,-92366.36543179073
738098,1,-1077.536242853981
3245230,0,-958.5720201525771
2883335,1,-826.3171405508854
3505009,1,-1181.960756276809
2645792,1,-469.2042238783141
2265079,1,-1049.4450466159267
3214854,0,-652.4751734382005
3747831,0,-2568.4686699443073
3953500,0,-718.3422309882022
994099,0,-794.9454211345344
2249118,0,34716.40055984522
2550548,1,572.9681830159852
1684765,1,-821.0314556645171
3009533,1,-1056.5906971816803
1479872,0,-1049.0256253350337
3747966,1,34829.81089128822
1263756,1,33672.68817860948
1281195,0,-1303.9105284814452
2167313,0,34028.10609945189
605501,1,-581.6423225037016
1067240,1,-37009.59958486608
2601290,1,-764.2327082003874
3267546,1,34798.95706018373
3014128,1,-1352.821192438582
1255522,1,-1038.8319478145968
277966,1,-1421.1221443880488
2980720,1,35072.12694910225
2788319,1,34705.10520786
3538225,1,-801.6956874203051
2027616,0,-59166.98499030896
2212326,1,34163.13292449832
2629131,1,-506.3518780027562
1962796,0,-648.8779986339805
3534556,1,-905.5382978529815
937766,1,-1243.6740751783727
1961682,0,-1595.0075022814935
2222429,1,-1520.5302483392447
1869032,0,-36812.63430450052
1625804,0,-1618.738982295374
2192485,1,-282.3311156028544
2729427,1,34866.51258440258
1849128,1,-731.4288272138392
2223338,0,-639.8608266094219
2215691,1,-1555.914278396066
732874,1,-821.7798352177358
916556,0,-21236.291686513523
1843957,1,-37450.166229929644
261508,1,34521.77228532481
1945814,0,34888.476221758305
2393203,0,35244.05059727522
1068298,1,-37317.8445436874
2799647,1,-1181.4002821514025
305962,0,-758.7978245896408
2141436,0,-770.7223932109516
1868485,1,-1835.754692979051
2931268,1,-992.6688786488654
577031,1,-584.8087444301959
3856027,0,35206.69845181729
419866,0,35031.97786340035
272112,0,-1032.0656827429507
1457690,0,-1085.679818389748
1516545,1,-1343.0231962361543
466349,1,-1500.4683612750391
2246871,1,-59168.311278742345
2111306,1,-860.6674917481375
3456131,1,-1335.3694505509256
495509,1,-59256.282265794114
724022,1,-795.3904052775251
2606592,0,-713.9792630485463
945451,0,-335.2670214536373
2165443,0,-486.8425970283391
2589069,1,66.85577682396298
1412691,1,34674.71959759199
3448773,1,-788.7348310553344
1830188,0,-37341.45631678923
1164453,1,-36674.78366339631
751885,0,35182.77890778609
3447958,0,-2146.9549771546444
3158887,1,-1047.0475676907633
562568,1,-1356.257447974389
698781,1,-1010.1924633445404
1012163,1,-59240.080117708
961771,0,34928.578603800765
2821070,0,35362.33031683887
2223392,1,-740.6455219043766
680713,1,-1690.4021884823214
294070,1,-2602.433118457883
1355108,0,-484.2477383979588
740780,1,-269.8945259935615
686344,0,-867.4725649855453
3208162,1,-933.758188256146
807495,1,-1547.9174923473743
2685201,1,-1273.7894884222067
932935,0,-646.4042494480079
3948249,1,-869.8149092268166
2699526,0,-1083.8106875648573
1224519,0,-1118.0428669955124
1284178,1,-1342.2942315557746
3442662,1,-1196.5233074197336
2985503,0,34986.128614060886
2159578,1,-607.2035238228029
3856363,0,-421.8703508390714
321946,1,-1500.9240551797718
999492,1,-1065.2334002179568
2912261,0,-2232.872122672365
1978970,1,-1202.8690052250533
2543137,1,-1080.5675595296577
1897847,1,-36554.90801265605
1283265,0,-1086.7701017426568
2649100,1,-766.9043171857611
298003,0,34930.91901919921
2671713,1,-936.5049084788495
1145441,1,-36539.21791330106
1007846,1,34362.42822777347
1975318,1,-2786.858551729779
345820,0,-859.3543562701363
2272828,1,-785.2710645406761
1335396,1,-1074.436442055061
2264415,1,-1082.1217165203718
227355,1,-780.9566392007546
1600921,0,-1037.8645859451683
3038988,0,33679.6600789671
3021018,1,-1046.0367338931712
999047,0,-1330.700410132955
2464219,1,34298.51537015428
1204341,0,-942.83700430898
2499753,1,33978.215845006496
3726973,1,-1676.2956451235905
2052659,1,34784.61221431807
195396,0,-1180.5481201647285
3023563,0,512.6805565378479
2561985,1,35223.8683982008
1791053,0,-1207.4429804108038
1819600,1,-36812.1903616009
1740613,0,34958.82390904246
1293462,1,-680.1256135977078
3206115,1,-1432.2936073995356
942187,0,32937.96300914326
2214777,0,34569.83197679409
909592,0,34532.15619251363
1482449,0,-1415.32568457591
1710886,0,-1226.7256676627699
2612159,0,-1395.003315054344
570858,0,-920.3040059499666
1778099,1,-593.0170290448115
201294,0,34783.29097281534
1579570,1,-609.4165575957322
1327534,0,34783.11627017171
3157563,0,-1366.3343105415736
3328851,1,-1133.8665838890379
1693475,1,-2313.969080019081
1900047,0,-36748.5797336039
2806219,0,-1526.5934394496976
1082247,1,-468.2507645257559
600059,0,34621.34614991764
3683257,1,-1324.5964812281372
2122051,0,34321.82651813968
2163268,1,35342.82588004468
3481375,1,34858.74639085299
2459301,1,-353.4920388797314
1133890,1,-446.9497143223245
1295647,1,-1304.7644099050397
3882326,0,33665.68467442416
3759692,1,-801.6291490713141
839300,1,-817.8645830938423
2550568,1,33767.91800155787
3061445,0,-59081.71155721381
1829614,1,-37419.977532478595
1468881,1,-1205.2248235704853
1048973,1,-1653.5226560538902
1630687,1,-1684.445213215763
2137885,1,-1191.1646666573872
3128151,1,-1552.7520947368887
2139144,0,-1307.0904186910698
2273114,0,-473.8511770375188
962032,1,-780.4076730490967
3183444,0,34756.80605484215
2021510,1,-1057.7437429337367
1644723,1,-1352.7641765170395
877998,0,-1547.7852052562143
566385,1,297.72341808713117
1257016,1,-666.7609407939773
1406692,1,-95000.37375092399
1602120,1,-672.2893805868799
3293860,1,35356.85083523989
2264260,1,-745.5212250788037
1129495,1,-38321.36738558393
655961,1,-830.7959889979694
3763100,1,34768.92333274
3157312,1,-677.791994853573
694059,1,-1066.8327784712405
1359494,1,-564.0823468509751
261400,0,-626.7719436018485
3451986,1,-1044.4022991772351
1207814,0,34692.22652506105
694709,1,-1523.821930481008
944978,1,-1054.2028386952236
2942254,1,-1205.6853888171063
1428401,1,-1515.3183240181604
2055406,1,-885.4299747694997
3669846,1,-437.409559823992
1062975,0,-36734.879905141446
3273088,0,-1393.4022174716422
2454462,1,-1003.1177152737738
3043203,0,-617.2498486892122
3527755,0,-2056.511833474239
1470679,1,34150.871928844565
1533563,1,34702.365960159084
3001311,0,-698.6812034957356
2064551,1,-1058.6950042529843
3958598,0,-950.0664585448878
1493280,0,-669.6753382231598
3405638,1,-1053.8678453966324
3311100,1,-1050.24282513782
853753,1,-932.6983821031441
3707757,1,-2563.196602342371
441976,1,-2584.341580375642
1038332,0,-1026.8519163917872
923462,1,-1324.7577889770196
487620,0,33041.39472601129
1838915,0,-36377.71397465152
897988,0,35012.90248474706
3172509,0,-1055.5888353234668
3056949,0,-2396.440302778654
1563399,1,33487.17270254529
700770,0,-1208.2938211837509
1488160,1,-2311.5568509686514
516947,1,-1531.744432505086
3321694,0,-59219.49506577464
2579969,1,-508.6203454193188
2724301,1,1314.202809198038
588684,0,-1451.0162306973637
3878314,1,34575.048233720074
2146093,0,-1731.7693224015395
666647,0,-282.00445639700973
1731006,1,-642.8136122648415
699729,1,-829.5339890640336
1841046,0,-37911.59922291731
3227958,1,-784.6105539347834
863834,1,34510.934536020664
1733902,0,-924.3287688529446
2967439,0,-1529.9330391726353
2758399,1,-9762.208472618113
2665315,0,-444.21927396939054
249535,0,-1036.9584379935145
1620711,0,-1038.9980232393102
514478,1,-1194.3074373090815
3875829,1,-1017.3904176227644
370662,1,-782.012299981953
615995,1,-847.3595121192698
2472070,1,-1089.221124761465
709582,0,-470.0231280343362
1663666,0,-927.198167196629
3801910,1,33906.29025413931
1780593,0,-21.774486687905807
832079,1,-804.3313314872668
3911498,0,-277.1297189524443
1725176,0,-1340.370367602177
2784435,1,-893.7920110754566
236978,0,-469.53414754289554
1326280,0,34466.23029110313
2509585,1,-977.6033896689654
3711786,0,-472.7075770869683
3249148,0,-2110.8081885583447
907660,1,-1035.0542177397758
2926590,1,-1259.190554419566
1557090,1,-59263.23578854524
1140884,0,-59293.10039677002
1052121,1,-37109.45974565527
3743365,1,-1559.2228364330253
709466,0,-1038.4125885742621
1444710,1,-1088.280469286442
1390201,0,34909.19749196324
2696973,1,-1043.9304574695861
3749867,0,33260.17989642004
857796,0,-1049.5642974123507
1662015,0,-1014.733964199196
3859508,1,34709.59321636066
1986901,1,-1126.1195913418194
3274589,1,35044.62669411586
2501666,1,-764.2551151489981
1574402,1,-944.5130912775476
1214307,0,-1059.268083658953
2186405,0,34720.65743080699
2414562,0,35235.021088191264
3280407,1,-1363.5573132300744
1554801,0,-1102.418742078907
3060829,0,-779.2674397426701
3401565,1,35192.67471215072
980117,1,-1164.8968575946997
2601827,0,-954.3772957465936
1878653,0,-1908.4801538981158
2516470,1,34606.16190263849
1093755,0,-810.6168395169661
2234674,0,-894.3963986794029
2603058,1,-23654.17033131013
1627854,1,-477.83979126609853
2893499,1,-955.2791777682171
1069870,1,-1157.1463640253246
3755804,1,34736.740142176124
1525455,1,-1205.7531824148168
2427144,0,-59175.09805830406
2199495,1,-447.428420785766
1407886,1,-37131.37040861588
3801940,1,-1017.0191143365391
3070187,1,-1070.617674289475
972647,0,-652.5773420402523
2647759,1,34839.68862789126
565574,1,-970.1042463924671
317128,1,-1573.263086545285
1571079,0,35225.797906111955
3289130,1,-1349.4118172421433
1123519,0,-37097.01194138461
3167016,1,-767.0453137526799
703666,0,-2626.143528121104
3355011,1,-663.1573709102443
1620491,1,-59228.039626857506
584962,1,-1101.3584668120686
963444,0,-1399.3048734885763
1631076,1,-902.4404918276243
2807662,1,-429.1728862086421
3214661,1,-731.7357623325894
1034620,1,34116.9752512137
2664060,1,-1871.0524584411655
3011376,1,-798.5748246306979
1162185,0,-1552.7376540493483
2561160,1,-1053.6288594749806
3345533,1,-920.5634995882739
758020,0,-918.7300320256282
3234647,0,-1072.584973151842
370413,1,-685.7974935406141
731524,1,-1208.3050687998498
336991,0,-5523.14930722079
2390903,1,35213.041909900836
3438685,1,-1188.8611210470688
516543,1,-4913.567543333402
3667923,1,-2146.0769021906294
3066278,1,-1087.6412172531952
2419377,0,34801.188986224144
3489429,1,-563.6922487705332
2945509,1,-1156.4654573605928
2503829,1,-953.284556518123
1449504,0,-1038.4405844147852
2791493,1,-1324.7082844390109
2689127,1,34354.36787865734
3803161,1,34837.818275220205
3539668,1,-909.5663672893766
2700595,1,-803.8547517839902
821209,0,-534.434919301803
3305540,1,-1514.2279826608178
562444,0,1171.5401796602723
1115792,1,-37861.20906263785
1810188,1,-36380.19446202238
1109286,0,-36738.765565214875
1545683,1,-1896.9478642407742
276635,1,-889.6802078680313
376620,1,-701.5695485296645
1390247,0,-811.2622233629637
1350633,0,-682.131415429056
701797,1,-661.839715910523
1689183,0,-1424.9595274479475
635832,0,-1045.5053549067557
1060663,1,-37295.84012716273
1306271,1,-1117.6296665289478
2167245,1,-237.74761573762032
1881859,1,-37295.57998857628
3767885,1,-1042.3910639085566
3889280,0,-762.0239095146645
3856035,1,-408.79425989152276
3375073,1,-1021.6304775213072
1293139,1,-1228.6334925390643
2276406,0,-2135.1127464492024
1257256,1,34958.18687598168
2428022,1,-1192.5164908592585
840041,1,-759.8306126208543
2045369,0,-1032.0262036077008
1497918,1,-963.9216897726159
469418,0,-59098.27473806848
1300355,0,-748.4876805674662
1615349,1,-358.5446413960169
2159988,0,34324.527793843685
1065839,1,-95379.36995614627
2688427,1,-59296.05187375418
3390973,0,35187.58961344886
1725687,1,-700.1151206181048
2881114,1,-1152.1272944502286
240664,1,-1047.5664056085382
3863089,1,-751.587467456044
277405,1,-1402.9641184100233
3651416,0,-3608.9822345007665
230611,1,-2563.4422266828897
1897433,1,-36691.96602933108
2844359,0,-642.0690496876535
3194999,1,-471.2838035771108
2867356,0,-1063.21583209311
3959483,0,35139.63785872652
725094,1,-756.1416926520596
2941624,0,-1202.3572976314083
1165523,1,-39436.721822056
2637373,1,-1061.1075688527058
2420452,1,-1203.7468746800623
1167490,0,-37131.18178988569
2774792,1,442.5889247690277
3787759,1,-1158.3467589788072
3121304,1,35036.24200904929
2511000,1,-1544.4591618444388
3236104,1,-324.55700706780704
3120014,0,-667.4040998525012
1335422,0,-1718.347372098027
2185898,1,34748.738979590446
2279261,0,34792.265847880866
2901190,1,-1387.5501698132812
2773429,0,-2616.478110755235
1463754,0,-355.64864593069075
306909,1,-961.6797630378983
3308830,1,34538.89420229702
2660019,1,-670.5568149419564
249315,0,-651.3131856920685
965117,0,-536.1201833545754
815822,0,-1044.5492001227376
714295,0,-1346.3803678745935
3733294,1,-567.8907685819732
1371945,1,-14547.226471811973
3497210,0,-102.72601855230627
3661281,1,-822.9844439503012
3086233,1,33143.64660895144
1864612,1,-37109.763926307576
3855323,1,-1427.3983344475978
2820370,1,-905.282740345733
846797,0,-1018.9691491677256
1667282,1,-963.5481977436833
3152322,1,-1529.104064323496
460611,1,-1091.5606901598567
215129,1,215.23435131205358
742703,0,-165.8225188967711
1218427,1,32928.90380963238
2668494,0,-1805.1616448767427
3141803,0,-543.8131887492924
3517852,0,-773.1457466129199
2005236,0,-779.1248938808671
1128748,1,-115301.53041692804
1690011,0,-1096.0552219342615
2014492,0,-477.22208185539796
1515795,1,-668.248474515312
1403324,1,-1055.9819641212937
3931693,1,-766.2930851534527
2893322,1,-582.0479078388399
493416,0,34637.498614655335
1145306,1,-1237.259570768751
2131902,1,-2815.4905486276016
3303492,1,-258.10772104801015
827878,1,-1197.8883989318138
3500211,1,-1021.3298452724908
391062,0,-1553.3800840830347
472164,1,881.1972125741008
2887834,0,1220.608431225184
206813,1,-2197.42611630873
3456374,1,-1017.5232198332844
1369987,0,34979.03641386679
1756004,0,-2130.886839552319
3014190,0,-914.5097556864149
567297,1,-1080.8429442582478
2209329,0,32745.708940122535
3201618,0,-1003.5584544678815
2613455,1,-1176.3317304155282
1406155,1,-1058.174230725325
1277321,1,34900.40438986038
3270864,1,-1125.0317532287518
1458890,1,-350.6431194257126
1630942,1,-1275.7337881150036
1054476,1,-94910.2212801801
3861676,1,-1145.7897037346067
417878,0,-1538.9792176593699
870453,0,-422.11164760429983
3302008,0,-909.1057024979089
1047668,0,-95252.63816432911
2215035,0,-683.7968138353904
1147242,1,-38248.467048191174
3220903,0,-1721.8926782234323
693461,0,34547.12591522678
1233705,1,-1044.7311807302988
1334831,1,-489.43248382181054
2595308,1,-20659.229796360087
2716311,1,-944.516043832051
1376671,1,-1080.412271348904
2284423,1,-1228.3208798611456
2869003,1,-785.8864000128395
548189,0,-1185.8197509075906
1319383,1,-570.1626270500972
2154799,1,34154.99204839566
3508239,0,-752.0816019507048
2888929,1,-1365.1015676866266
2542758,0,-860.7909071146132
3789632,1,-905.3412556724746
426869,0,34554.54602721302
373030,1,-59163.65429306147
1002205,1,-1640.2967255789783
546513,0,-1068.2243685965404
2458990,0,-578.5451883118673
2707009,1,-539.1109522104388
287384,1,-1569.1688821257337
2576435,1,-520.7898392380423
1590388,1,35303.34198739065
3230862,1,34769.24252476548
2730556,1,-1027.1717540440382
1541867,1,-1032.2330909691723
3423504,1,-566.9472354449721
328963,0,-1315.929587155809
1083439,0,-756.0440705479124
2035957,0,-3100.3168335307228
2811410,0,-895.5250721745223
2574827,0,-1197.5614753206883
321751,1,-1021.3437864713795
3838557,1,-992.6321088679604
302061,0,-1718.3385476516476
3497634,0,-59159.02514939708
1008180,1,-897.8477617461215
451521,1,-3438.865477699274
1277755,1,-2714.3228129353015
1558861,1,-1722.1325363073088
