sample_id,z,y
636647,1,-997.7410610830216
2218027,0,-124.86819241979718
2194652,0,134.06153523752184
427938,1,-877.0626609055147
1137427,1,-1089.2505193322668
2979080,0,-650.5472582061592
2734955,1,-993.0947170900304
3650680,1,-1398.5136977727939
1888794,1,-1069.0591964661096
3717788,1,-890.9059360295845
2547948,1,-804.7268078129508
1483012,0,-473.25472180052327
2052013,1,-728.1535873453208
2928111,0,-425.6449112051003
1150190,1,-770.1554197891857
1452401,1,-840.9542437457972
2458125,1,-904.6369710099519
701797,1,-1192.5533213188116
3459514,0,-655.0033307877015
2785298,1,-938.763392676937
3654838,0,5683.289296258777
1215704,0,-646.7811858188264
1124537,1,5414.191716895004
2492353,1,-802.0353137242129
3843486,1,-1086.2753500835433
2142873,1,-738.3588405443018
1682938,1,-1345.8968804371937
3163816,0,-633.1088371724171
952119,1,-1170.9439582943724
2184801,1,-958.3378727198512
3478705,1,-1351.519974807096
3201403,1,-768.1068775221196
1620142,0,-410.2077759413109
2444349,1,-1397.6593853358286
3317812,0,76.88801294455175
732045,1,-879.8880236828
347619,1,-802.4561505309347
2639425,0,-584.8944385376891
1690435,1,-1229.7845513280888
3848190,1,-726.8073430322626
2880514,1,5041.378692603764
3489306,0,-488.4243113778078
1880001,1,-848.7639937668749
695071,1,-878.6807717125324
2692610,1,-691.5622310008257
2865036,1,-836.0315105350567
2185527,1,-1127.2633954474566
3105921,1,-675.1785093078038
1718275,1,-897.994521576051
752021,1,-958.9004289142151
1138575,1,-1199.2954031269655
1365877,1,-841.5530724948549
2395747,0,-527.0001440327455
2980365,1,-874.3054248980234
3162435,1,-728.2112133251333
294949,0,6187.374694921082
1728321,0,-603.1231260100419
2832703,1,-1226.512916614374
3075484,0,-534.9184330916871
3434249,0,-568.7162879720685
3502585,0,-662.4575130055864
3843742,1,-1041.7178238741328
376867,1,-739.4498855679485
2803876,1,-1422.1399754562233
3198767,1,-802.7335666970333
1444710,1,-796.5278847132081
2673641,1,-1001.888807355583
2547034,1,-1351.2019176747954
292807,0,-513.8434772244835
2769904,0,5977.459469987286
292260,0,-246.66289744218292
3459922,1,-1022.1975446808357
558998,1,-1125.5974242457644
3315295,0,115.75483725542391
1933971,1,-1062.8836116315738
1520717,1,-761.9207626710431
731905,1,-673.1478760436335
1092478,0,-660.1520845248266
862155,1,-765.0654031799345
2819918,1,-1126.8205416027126
3236392,0,-428.9226484183279
503615,1,-1228.7843059376214
1194558,1,5398.198375933081
2705545,1,-1437.7200026332991
2620516,1,-743.1125849758125
3950999,1,-1063.095049671207
1409976,0,5899.171038578106
2915988,1,5258.379621993587
338322,1,-1147.4053810783234
633369,0,-582.2459799559472
982065,1,-897.6047810661815
3733332,1,-1220.0380293798808
263998,1,-1148.593359097362
1349641,0,-266.24610729970703
2770146,1,-751.7417241295847
3136343,1,-1062.724297130964
518742,1,-978.2891456866477
927374,1,-801.7038649378926
1381610,0,-305.45254661758366
1953596,1,-938.5104374884475
1663724,1,-824.9445095858428
3531227,1,-795.3500108736137
2986134,1,-708.2725530433595
2395547,1,-1162.343149695801
2659509,1,-930.9634399536093
1675865,0,-602.087580177886
1061745,1,-1422.4772114397608
895283,1,5151.717042013638
3923439,1,-815.4352893304359
1423008,0,-473.74135825531977
2399058,1,-909.8116262957395
1461433,1,-939.0347961759369
2535910,1,5279.0121101279765
2868865,1,-1081.1283215388507
1089139,1,-1725.4980182397933
3167396,1,-919.4367193676612
3796391,0,-455.5129466401484
2538516,0,5751.299061525645
934723,1,-822.1013806912621
2482191,1,-1104.7032426892677
1828013,1,-684.8519162800651
2905017,1,-708.7818333566935
2677011,0,-448.0081757830346
2129725,1,-783.5736753196343
862874,0,5990.390047483066
1451835,0,-504.13871716169797
266527,1,-856.6723668356718
3687665,1,-879.4875541771602
3101401,1,-1214.4766101256919
1490078,0,-569.6403157131846
3748404,0,-151.77149237681508
815822,0,-625.1773437147518
895637,1,-691.4287607617185
3457969,0,-653.9374643850583
3043072,1,-978.472691286851
1595842,1,-919.2009099867299
1974155,0,-337.28539789299026
385084,0,-255.22037072614464
1434730,1,-1070.2428753768295
913617,1,-918.2375127536617
2602926,0,-181.08537205014656
3663643,1,-959.6394993470037
2737782,1,-1055.721568804521
1003918,1,-1083.6314561175955
3079817,0,-644.5221772940006
2260674,1,-802.3329627082122
1057082,1,-789.9641688501013
2060951,0,266.33226523765956
3351788,1,-1000.1698229611729
753340,0,-637.1071287573551
1208798,1,-1168.4230948906222
3842590,0,5812.876819043823
2518279,1,-802.1744594559256
2487274,0,-459.17805657654185
2753201,1,-898.2352241077906
1769713,0,-199.00898694295157
2860417,1,5619.153771409528
1382950,1,-1812.7569529927387
977033,1,-1106.1871295823964
953986,0,123.55339678826141
375668,0,-391.60920852180254
3336892,1,-1125.776154851628
3416924,1,-690.6832875383159
2777752,0,-395.45597069406824
3959142,0,-625.7331232831107
528145,0,-559.8473592633333
3486671,0,-456.15206000627853
3804294,1,-764.9189579259922
507463,0,-649.9460433554009
554250,1,-879.6734762873825
2677084,1,-826.0669910284363
1424680,1,-1093.2517234264524
1011633,1,-746.5774012563573
2673770,1,-793.4258371178458
1334871,1,-821.6423971067268
3789404,1,-801.3257091314194
1029283,1,5524.256350984682
2398130,1,-802.1729407238628
3385740,1,-1617.4934233773288
3396840,1,-1681.7936712823978
1701788,0,-629.425257869785
443814,1,-1236.6749076152237
3938054,1,-1017.9138193940569
2924114,0,5717.720103421818
619667,1,-1220.517473590707
988820,1,-939.2507345622378
2468382,0,-306.2389676006008
3796149,1,-1127.1575326173147
3897508,0,-536.08044439365
3744876,0,-326.47427607122677
1958100,1,-959.5105223787037
1263159,1,5025.1246622158305
2803943,0,-550.9011089399925
850540,1,-1084.447465738273
2006290,0,5780.345168324503
2834449,1,4996.032426651641
2891263,1,-756.9250627073748
470065,0,-433.4876759219291
2457988,1,-1704.0232191580958
2591336,1,-1433.0435776746376
1769195,0,-441.3272498909843
1664800,1,-959.1121518681053
3906686,1,-752.799532315109
3308737,1,-859.3705174811266
1987040,0,-424.6620780821222
2673344,1,-902.4107072414068
2277950,1,5236.888469851081
683814,0,-246.4866746150278
2972402,0,-459.46527235416903
1228379,1,-894.4883911542835
2557100,0,-636.0909381281491
942044,1,-859.8592663244931
1660384,1,-745.7981539455757
2847286,1,-691.1501362482387
2849624,1,-936.1015040427637
970062,1,-899.2912358613994
3266570,1,-824.3881010565357
1704385,1,-3724.107755097344
1639764,0,-307.72075795587375
423281,0,-516.0159273567225
1383943,0,-358.74918204094064
1276158,1,-710.4771166472012
1672169,1,-1084.0696517684112
1083450,1,-1197.119012932904
3734135,0,-619.0794700177034
3165635,1,-823.4779964945141
2137480,1,-1040.7908384272862
1615903,0,-423.6612537392754
3059483,1,4760.688963598528
911879,1,-765.364722830062
2841264,1,-1160.7175640156572
1883521,1,-865.5330066126577
1608579,1,-1105.569392721975
1737354,1,-1042.3231990465724
351781,1,-1215.8738523627972
1082597,1,5584.8545753469425
2121411,0,-568.6375617841123
978244,1,-1126.606725594345
1145735,1,-1349.4072250199317
1986980,0,-1.2799813321948932
515370,1,-1104.7404428128639
2186175,1,-1469.0396656148926
1566377,0,-411.07919529164127
2544125,1,-1897.9453624173382
1227489,1,-940.3558456588482
494528,0,-482.6500286858388
3874878,1,-779.4667417221713
2662098,1,-1677.201051297097
3671758,1,5215.225874780823
3425758,1,-809.1633847388161
2965878,1,-844.9823422839597
1099280,0,-397.90226358017486
1885355,1,-716.2901319107096
371960,1,-928.9755821987029
2776207,1,-1327.7207711675976
607190,1,-781.8392622363269
1359105,1,-1136.3424500344345
3942968,1,-765.1385741851864
3265242,1,-1264.8022942339662
2495303,1,-1193.4662899518817
2724042,1,-859.0491861021566
330689,1,-1356.0608098820921
3008824,1,-1027.0138482640484
960337,0,-596.6464342294424
1435824,1,-999.8729070708887
635449,0,-249.05234960051004
2017336,1,-1444.5358282524712
943296,1,-1237.4936237660752
2128849,0,-425.40924925601496
3061005,1,-1033.5630727811072
708977,1,-979.6372869302138
510909,0,-453.50161595037065
375063,1,-1282.8140744026905
1098546,0,-78.71282683707497
1052059,0,-415.2227546083954
522836,1,-779.6009390052565
819006,0,-527.2012497613433
1060488,1,5373.173987326254
2167001,1,-1033.1579917573122
1788786,1,-917.475647286551
3213891,0,-76.02862566031608
953566,0,5965.149291463657
1580524,1,-1248.2121693683437
587509,0,-349.3038537309647
3690275,1,-836.9639573814749
726515,1,-857.8277783607764
891377,1,-911.8519498266608
2136964,1,-805.2117816483557
3317918,1,-840.1279996701088
1133808,1,-1005.017455557341
249698,1,-1005.7276938378672
1355985,1,-911.862425562528
333045,1,-1135.5035249139444
463561,1,-1533.2438519472396
2874169,1,-782.7443912722691
2428908,1,-2043.0648190239342
610488,0,-505.2664515469078
2803055,1,-859.2052296246583
753042,0,-68.03593128104954
1572179,1,-1553.1170208515314
1120552,1,-944.7169207277681
1986863,1,5216.980670319484
1881327,1,-1132.1470612910523
233416,1,-748.5579085220147
3271721,0,-596.2819966202887
3188633,1,-727.6572415231801
3738598,1,-1061.8181200634947
2213060,0,-637.0507972259622
1277981,1,-746.0895312380206
3548914,1,-777.5865307282921
922923,0,-534.875766323147
1332041,1,-1383.1384229957578
3712392,1,-999.934472645527
3905759,1,-802.3637654428743
2702152,1,-1024.7590040653952
2063641,0,-488.2190945115725
1904299,1,-1080.7226190195079
1072303,1,5210.723918360264
2733807,0,-65.75573673075635
3961212,1,-1041.7207589230054
1006778,1,-938.8577222329149
1069710,1,-790.5848273095221
1422855,1,-783.6172609605992
1535216,0,-489.1619977635758
3259289,1,-840.3227812897389
3244492,1,-1170.4158567545403
3099864,0,-503.35635393805984
1625003,0,-637.344082652226
512336,1,-734.4299776549161
2873398,1,-712.8444175724451
2257771,1,-1445.4905384789452
2980721,1,-1035.125990448153
1751919,1,-771.5791340849942
889412,1,-1328.336897872493
2434978,1,-840.2412414221666
3175650,1,-845.5651662775592
2114947,1,-1421.8579162234766
352711,1,-1282.4806544533328
1076932,1,-1089.2164268448128
3929963,1,-880.8408279466303
1710507,1,-916.770767313477
3396755,1,-979.9027785748469
1399993,1,-950.8021399837779
591450,1,-675.8041925254357
3283370,0,-73.76097659023532
3464904,0,-515.1085206661681
1595213,1,-1260.2661337948937
3807581,0,-654.8252451591943
2550726,1,-857.1447409309719
1875645,1,-1062.3075732687687
3073476,1,-968.33044839606
2743025,1,-842.6746554026016
385038,1,-1023.4196431941598
1916627,1,-959.3551579210776
2516871,1,-1171.0668728081769
3933678,1,-786.1217742534428
2223944,1,-1083.2517417581275
2500925,0,182.0468448014069
3782927,1,-1237.3033314311342
1890826,1,-1032.7646868699896
1140022,0,-89.17529762239265
2980168,0,-645.2657228194186
1342845,0,-618.513541701411
312394,1,-930.1643325733564
1815754,0,-541.679485271934
749571,1,-1375.15869318007
3530351,1,-876.802137551229
3916469,0,-633.7618404102336
2175058,1,-1001.2250411896582
2459149,1,-1127.5333489836669
3799353,1,-1215.5732688629355
410918,1,-969.7630683370257
2862575,1,-1048.430972823192
3893969,1,-1107.735479509359
202741,1,-724.6238900922325
3339300,1,-727.8211805826952
2500789,0,-407.5936002426716
3490096,1,-841.6660930836479
3021990,1,-898.2593230427075
1838250,1,-1069.8657079967904
2206591,1,-821.6887829010266
1398301,1,-1164.2492157728993
1600678,1,-802.0851453578704
749836,0,-654.1901617691678
1888427,1,-1092.2761409620832
951352,1,-802.4181871922526
1224727,1,-685.282938727073
2538321,0,-233.78287119975363
340583,1,-877.3635187842992
2761349,1,-711.1950037590482
1132944,0,5945.054527800903
1600811,1,-1225.0505024322085
3541530,1,-804.1336915448721
3050984,1,-828.9355098454965
2891660,1,5406.998781764873
2893642,0,-611.4893789619222
746635,1,-705.9545775074184
3251823,1,-1097.848284437079
1132753,1,-981.5493678250274
1322852,0,-634.1693461414498
812878,0,-619.7871762614362
3035527,1,-1057.0015025739501
3139860,0,-351.35167792926046
3450910,1,-691.6088940421623
1945188,1,-1542.8800512568116
1014047,1,-1041.1652790975359
2469822,1,-1021.3408066881271
1404673,1,-710.1777989949678
1452849,0,-471.68890436598093
3752151,1,-1083.2252287298134
3004815,0,-135.96992343759672
2631171,1,-911.662807911473
3851854,0,-581.5849312370924
2797175,1,-878.6244713783295
235252,1,-854.4356331786164
588766,1,-765.558816534707
3514338,1,-1023.7605139034509
3057070,0,-633.7329508223604
3297869,0,-586.6376157458265
2540780,1,-768.937976144001
3872871,0,-615.7552116185136
2651846,0,-178.39033656662232
420912,1,-1139.4285775032954
1233664,0,-350.2461553732738
3303924,0,-654.9972901475376
3777981,1,-1350.3135599180935
3041849,0,-140.98007099262148
3706361,1,-746.430625270878
1318796,0,-350.96541655714805
1076670,1,5272.196696065509
3062698,0,-324.6565581260364
1520388,1,-692.075557463221
3703077,1,-1397.8091400693113
1266653,1,-1617.8397986397213
1858251,1,-823.506360566918
2858152,1,-859.1094078824598
3153722,1,-1851.2105085794192
2797929,0,5812.312414102225
620868,1,-1361.4834938365295
2439394,1,-1351.509201254162
3875064,1,-845.2286378446942
2568219,0,-417.6843186903489
2634343,1,-1273.1369360499946
2605256,1,-1432.6229703261363
1908101,1,-1180.2549932260013
1004612,1,-1593.9621419090904
1267310,1,-1375.4417945188825
1855845,0,-401.27775335207065
3112288,0,-570.4528096736318
2779118,0,-610.5049181470247
2211723,0,-552.1617367163146
2130406,1,5458.9696750224475
3064489,1,-1282.4304400828776
2716131,0,-197.73071240896095
855914,1,-1261.75344476183
3215647,1,-938.9195412941077
669124,1,-736.0304198087708
1000395,1,-765.0204074838514
2124839,0,-255.73432453805225
2996808,0,-254.58117746186394
2653680,1,5454.633911500745
314237,1,-674.2004754526757
1030007,1,-1037.545358389517
433925,0,-408.54667802329925
985658,0,-364.472000369932
523016,1,-672.4692951288793
1094413,1,5231.077294669992
2186881,1,-1041.6879877824606
2485847,1,-840.9735746182647
2620725,1,-840.2424277794415
1742906,1,-837.519627557769
3506379,0,-527.1684582886814
3118717,1,-1085.3763188283544
3150789,0,123.07375723288251
2613121,0,-428.33504256685785
2240506,0,-470.27562557921027
1119212,1,-1263.1231399443075
2908618,0,-652.4019410237636
3233068,0,-321.93400116266713
3750258,0,-588.6301377884538
2676512,1,5078.422933832746
2625764,1,-779.1332975874335
2860110,1,-1420.6172938920013
3156667,1,-877.974647962951
860792,0,-364.17165571043483
3140543,0,-394.2457871486149
2882486,1,-1021.0793002650119
2800771,1,-1059.8293161394085
603266,0,-659.4773595009076
3746969,1,5414.361156737895
2180251,1,-939.5544509088193
1382534,1,-801.4644425999084
508410,1,-795.0068438216376
1988994,0,-660.8756244353762
2684646,0,-511.69949165652133
1390185,0,-288.69956787011824
1616390,0,-518.9845072029128
801091,1,-990.9429602704163
3958184,1,-1126.3143538970307
3332816,1,-859.4260383163935
2041748,0,-449.14847839463124
759009,1,-823.5268189613254
3752589,1,-1105.2730584060266
2535802,1,-792.5002100732534
2003224,0,-503.1930027910989
2676251,1,-1320.3970450629276
3843183,1,-879.562388402747
2011280,1,-802.0948130743819
3486979,1,-802.5507706099054
2635804,1,-1276.4764551910785
1055031,1,-1068.0213618045598
2889595,0,-494.1621513755261
349633,1,-964.5652739220748
2774780,1,-1020.84328704593
2224123,1,-1237.019756495081
3910998,1,-733.3628221629806
733877,1,-1169.9442782979302
2779473,0,26.722597750707006
3789136,1,-858.4899442963683
2770328,1,-1064.5069490844244
666127,0,-515.4589150824578
3658772,1,-845.3232254155153
3115264,1,-738.9921661803461
3428245,0,-364.97310716581325
945242,0,-507.9145065227299
3388056,0,-619.9136104600963
3094746,0,-293.2398355127208
2855554,0,-336.2318116119906
2976911,1,-1147.1617177487399
3700230,0,-335.0646430176885
648152,1,-768.7443339276583
3437338,1,-1104.556806483856
3497641,1,-713.2874553335033
2274580,1,-782.5950003685133
3219401,1,-958.9252733603288
3072469,0,250.98102589230078
2881870,1,-1127.0454668735765
3801782,0,-439.41669670264156
900610,1,-980.2451591146386
2606119,1,-856.7893574180443
2889690,1,5330.027997200908
1262435,1,-1568.3512193364347
426963,1,-1148.963889560163
1134396,1,-827.8296073406784
3747679,0,-668.1731491803602
344968,0,-553.419859684177
2401172,1,-900.075079258485
2825022,0,-339.47654004084904
895199,1,-899.2767813024739
712654,1,-1104.4740167658492
1319580,0,-321.85859124049153
1621322,1,-1749.5330866899467
1734314,1,-960.7812752397957
310437,1,-840.2538856700388
3183659,1,-801.7127073114415
3360989,0,-52.252782740908444
563324,1,-1062.3263726933806
2156513,1,-1567.5470124258336
2719337,1,-809.1567048477941
2219940,1,-1213.5715926952746
2604925,1,-1270.051433041911
1529532,1,-2277.3120668484744
1963295,1,-1083.4745329327316
1986098,0,-280.8270129954023
