sample_id,z,y
2695507,0,-15.48903273067016
1338507,1,-16.276594758664142
2168714,1,-16.125915271549278
2652277,0,-16.68369621123979
1539587,1,-16.63777578610468
295080,0,-15.512629067943557
3382855,0,-19.043049911478242
3412599,1,-19.259975421529205
3012590,1,-18.694051926965702
3948196,1,-15.8243123176203
1069193,1,-22.537184587648934
1156137,0,-12.905692992956975
361459,0,-16.824469552988063
1881303,0,-19.94932938826229
3200888,0,-15.790478231855198
3095836,0,-16.447276531115044
1728453,0,-16.352483908839588
3341647,0,-16.65164997218647
3304372,0,-19.43705650249861
1857122,1,-16.458177368254532
2179449,1,-16.140358894856742
3809909,0,-19.92391603578248
3116842,0,-16.10211890586547
3888406,0,-17.056164738545696
3054688,1,-19.44315191545615
1979001,0,-15.998484024676122
3263914,0,-18.7185499328819
899339,0,-19.539925105665077
3485363,1,-15.896530338314925
2985921,0,-15.73607485026532
1769030,1,-16.22211921080651
447538,1,-16.36191509572099
3883795,1,-15.845288519870888
2612684,0,-16.084978287382526
3315214,0,-16.129609231788006
3042010,0,-15.75762303158571
2591411,0,-16.294483142684115
591328,1,-16.819016971779707
1151015,1,-16.714141947872044
589216,0,-15.848102165522283
3054684,0,-16.083753509796356
2846914,0,-19.190262280422946
599827,0,-16.010422270304684
2638364,0,-19.20808710038848
2166701,1,-18.973319439866437
945189,0,-15.318815064633208
1681352,0,-9.986469084522454
2203513,1,-15.622602959164789
3329324,0,-22.273892213205613
2860233,0,-15.40542947016345
3320930,1,-17.296868886107053
1710777,0,-9.533337767478065
3411680,0,-16.358928402141704
3729743,0,-16.11884274230448
1661558,0,-12.984817708294855
1508826,1,-16.445156725260084
1209827,1,-15.684720146994183
2471522,0,-15.570886413819077
1631545,0,-15.8315510147185
1757060,0,-16.177296787293205
885524,1,-15.960290460323565
3463732,0,-15.891323856123806
263553,0,-18.858715706539996
3745207,0,-15.700661306209609
3386419,0,-16.444788211462765
1425737,0,-16.430695708666526
1383599,0,-16.211923732397533
801640,0,-37.28683829272598
595882,0,-16.03681944689602
2257168,0,-18.995963449542966
3660432,0,-15.80269487229164
702116,0,-15.88273765125896
932952,1,-16.754042630217242
993103,1,-17.251159904284478
1343864,0,-19.611782348875543
2610783,0,-37.78810092084535
750095,0,-15.924463684850993
557008,1,-16.09647430918251
1240974,1,-16.528783181094656
829213,0,-15.829597582207526
2862065,0,-18.806463227685132
3238079,0,-15.78395119679698
3133888,0,-16.388682890333392
1342073,0,-19.16433200487913
1542710,0,-16.21529426449168
2025787,0,-20.42986091976388
3680292,0,-16.24125983044375
357466,0,-15.958259260126699
3676906,0,-16.1786929526409
894627,1,-16.501978269201707
1845769,0,-15.872106302574581
1784882,0,-15.574570134574945
2027137,0,-16.550876249173488
2418376,0,-15.901208859601686
1866547,0,-15.984697117575317
3740314,1,-15.764871460891762
2527744,0,-15.950531508251792
3838714,1,-16.84684680600504
676579,0,-16.100721013761074
3934722,1,-16.02308621896707
563318,0,-16.299504308212278
3455508,0,-16.01443153723462
1966975,0,-13.246214311647988
3670146,1,-16.050395762108682
3790312,0,-16.31453490216723
2171032,1,-16.05061139614937
1857781,0,-19.41819282529131
831169,1,-18.979817818690726
2668639,0,-15.599374978097076
619099,0,-16.40686696520449
1544717,0,-18.94839555243287
2024176,0,-15.612620884240162
2565948,0,-16.123099603312973
2252140,0,-15.863210860294124
2049515,1,-19.083873134383428
3099582,0,-19.0017370229352
2135429,0,-15.448438428483348
3212885,0,-16.653004361247667
833277,1,-16.370487804448487
1389544,0,-18.490130667903497
2617326,1,-20.21172538449187
494696,0,-16.153010137584676
746974,0,-15.569406337989527
1101888,1,-18.33248387292897
1286851,0,-15.582142585932923
2789362,0,-15.385423226065674
2594908,1,-16.19049785917928
1376581,0,-15.896906195629796
3217876,1,-16.64942552809316
2983571,0,-15.659131018940467
1953073,1,-9.943000587319842
1669039,0,-9.416155270835125
1197354,0,-16.402945590856813
1414932,0,-19.160861220681262
1990641,1,-19.19409560389417
3653394,0,-19.02169949545055
1352373,0,-16.35176352622942
1479115,0,-19.39370738805456
302536,0,-16.210013127435197
1237354,1,-18.555441172509383
945818,0,-15.634228252846732
3259173,1,-16.39681482706067
2570207,0,-16.128661934501853
1114268,1,5.597143017900278
2619568,0,-16.15835472960327
1165463,0,-19.548603032202635
504427,1,-16.64462831965992
2454396,0,-16.298722676773473
2016184,0,-19.04315017721791
1777661,0,-19.041308802226332
2550592,0,-16.078899268898628
2204197,0,-15.963961891356904
3779985,1,-19.411906294305968
2964045,0,-15.430981181999867
3281646,0,-15.03876299440311
1738929,0,-19.14636692467145
3120901,1,-15.861090492526396
674938,1,-19.305247930426326
1661215,1,-10.013235662983753
3345681,0,-16.288292584664863
2734169,0,-15.690948688967678
320518,0,-15.92728358320015
1610404,0,-16.254500274345723
396821,0,-15.478947043843085
2857870,0,-19.950953349195515
2840999,0,-15.800239140873858
3728678,1,-16.14410575387094
1958174,1,-15.527893268760826
1674349,0,-9.715598750125768
1957295,1,-10.078037241627442
2979128,1,-16.09126416812667
2457491,1,-15.73810591797997
1194472,0,-15.665511578155904
479227,0,-15.114289656272275
3691221,0,-16.116615412539577
2623866,1,-16.25511954180239
3401960,0,-15.443752366181469
2061134,1,-19.288363663311635
2455271,0,-15.946648654185502
1641902,0,-16.683404663093448
3444532,1,-19.877661594259266
3114260,0,-19.169171044143358
1152841,0,-15.564089926614134
1360702,0,-16.33786997829904
694472,0,-15.839050407021851
437825,0,-15.779231571606898
533691,0,-15.502836061890445
2016103,0,-19.180414358718295
3469888,0,-15.906455841269826
2239105,0,-19.021456140250418
1869136,1,-17.16992883749804
3664541,0,-15.71388769465453
3800495,0,-16.219429255939364
1299762,1,-15.717298453305888
3060587,0,-16.174309873040183
3692348,0,-21.45604803288509
556477,0,-16.621187861445705
2024013,0,-19.290151521870815
800010,0,-37.85768149499585
323016,0,-16.116415492661194
410714,1,-16.716171465361754
1848366,0,-18.64856763556615
1956518,0,-12.31407226173058
2700018,0,-39.436914760301065
2210096,0,-19.206594933523892
2762293,0,-22.481450335583155
1880306,0,-15.520084780744169
1165680,1,-15.525990919619536
3907890,1,-16.280597890444316
1663835,1,-9.64614214185722
3358584,0,-19.99025985693232
621513,1,-16.56714209253238
2225337,0,-15.719881013538613
1960483,0,-9.458304962848624
883434,1,-15.714952862276558
3930634,0,-15.7580140114487
1047271,1,-15.61015670138
1405504,0,-16.087394696287728
2890689,0,-19.54195996916495
1815165,0,-15.135714741628226
2571536,0,-26.282181817723668
1455339,0,-15.72957648019812
1788697,1,-23.14921448955702
1918583,0,-16.246099538988812
3661472,1,-19.852375488990884
661036,0,-15.339205089804407
1726895,1,-16.353103022333546
1984181,0,-12.689392048766168
3140374,1,-19.574227412864563
994103,0,-15.349856036574279
1150323,0,-16.12743411939173
287530,0,-15.829931724333186
2584277,0,-19.826153182156755
1121494,1,-16.13331931010394
1866835,0,-24.990200177867685
3268316,1,-19.309730192449326
720294,0,-19.626676783192142
751312,0,-15.942349846198494
1121535,0,-15.9743367759225
524270,1,-16.279987892687963
1534516,0,-15.963092693416488
382868,0,-15.626324977821954
574652,1,-17.06107543205011
1634986,0,-16.14230245599692
3503436,0,-19.307914820274306
3285758,0,-25.68656806079504
1519361,0,-16.181820206121564
3898003,0,-9.943405420913178
3917960,1,-16.079545897342765
2160544,0,-19.192655523220274
603748,1,-18.92877015653084
1880795,0,-19.240525583839016
3937825,1,-16.81895432607056
2605664,0,-19.238015948408687
3477399,0,-18.406215280929054
2784583,0,-15.707299058703653
386684,0,-15.983213363680335
2537543,1,-16.342729813053378
1125634,0,-39.97569250109649
3548442,1,-15.669867985470047
3180577,0,-15.755000400885493
3917475,1,-19.230378796794273
1573906,0,-17.02740421603132
2738413,1,-18.748459141464586
1540656,0,-15.515044363550889
951961,1,-19.37059304242345
3863929,0,-15.740947812890171
1972510,0,-9.877641646907511
391676,0,-16.280504983088267
706281,0,-16.398654164346972
257899,0,-15.93144243246588
2105178,0,-16.110507527281
2001535,1,-19.1782122996463
3286763,0,-15.914897130124427
1234174,1,-15.814961271216703
1597256,0,-15.925254746470271
665521,0,-19.91315256925404
2918562,1,-16.76636782621714
2829291,1,-16.76542122899585
3844327,1,-22.780972652843413
1573896,0,-20.022432589561156
1145982,0,-21.56098104814274
941802,0,-16.374770682651217
1238881,0,-19.307713522356302
1616869,0,-15.793948047378352
1473645,1,-16.551379975362693
2507834,0,-15.982477664514278
2897435,0,-15.635802055385849
1590012,0,-15.72091761968257
2003932,1,-19.367953861958377
1048594,1,-18.8202343526664
3181922,0,-16.24275717415873
1305549,1,-16.971660415089666
904427,1,-16.40670290923049
2763186,0,-15.569093276688287
1303653,0,-16.322286565278848
3143310,1,-15.980232881126584
2948346,0,-15.648250030559609
305751,0,-16.01303527582873
2437899,0,-19.185855116445317
3429078,0,-15.758770881230515
1127785,1,-17.090332912222774
2011328,0,-18.756299408855952
398025,0,-19.366648225094746
1867711,1,-15.748517377361337
2269296,0,-16.183196510867422
527042,0,-22.071058776693924
3240872,0,-16.746742205364978
357453,0,-15.853536474398123
2241278,1,-19.62995353464075
3126417,0,-15.742728019842643
2566414,1,-19.34723151755642
3696508,0,-15.726033898799022
3202861,1,-19.545043432842952
2827679,1,-16.918417860186945
1678944,1,-9.620181481979518
1239597,0,-16.165239877628444
3507906,0,-15.644446718260456
846298,0,-15.556848751542885
2540192,1,-16.813046302527297
416890,1,-16.579538611981118
1441180,0,-18.67674840552378
324029,0,-18.864331060982497
3918483,0,-22.602409715775348
517409,0,-19.691254016420764
1115312,1,-19.48143488771473
2274412,0,-16.060997894084824
886999,0,-15.863168248916551
2205502,0,-16.72271515047193
2446087,0,-19.350656393071674
2063077,0,-19.175021995843732
1197867,1,-16.888984739277603
2443566,1,-16.267523757150997
607629,0,-17.013169087984142
1067142,0,-16.20903394095636
