sample_id,z,y
1067336,0,-14.20103329411028
1729519,0,-14.430055935444635
1590246,0,-14.19650812764918
2458852,1,-17.57344958476498
643504,0,-20.13373724543255
3031502,0,-18.02257990364774
2689342,0,-17.06244270255828
1091401,0,-18.171339243789795
3465803,1,-16.284682512447795
2202068,0,-20.62987396268372
2962038,0,-21.007782959352415
2588653,0,-18.127616980819816
655645,0,-21.448498814536517
3505742,1,-25.520140785445697
693605,0,-18.207831145659107
3092725,0,-21.848084231621126
2258563,0,-20.704921437243186
2837463,0,-20.754541941259866
1016235,0,-21.790572804019437
494789,0,-19.96356108734808
977844,1,-19.118517712362735
2727650,0,-21.459305686005564
2706266,0,-11.899438155893314
2670376,0,-14.205373602812399
1093023,0,-16.93645089028787
546578,0,-21.255151725932976
3229652,0,-20.942710878898477
3653097,0,-20.734536119492862
2752014,0,-21.466472404308462
3474969,0,-21.78633875521737
3951064,0,-12.014342288646244
2417556,0,-20.955526715763895
2863219,0,-21.173241198381813
2465651,1,-18.984353861447797
3939688,1,-17.996264710445953
650936,0,-20.310055124800584
2947806,0,-21.77294323714516
2672951,0,-15.555734185640118
1883095,0,-20.914819317718447
2509959,0,-21.44655661578306
1234235,0,-21.1984553767118
1870911,0,-18.196089605866764
3944468,0,-21.452336125976252
1466678,0,-20.88263976369615
1869032,0,-16.983691066273146
3099160,0,-21.870024409142765
1972990,0,-14.839316594442861
195728,0,-21.078225339840245
1905971,0,-21.730894746082907
2689741,0,-15.709935896065327
1625207,0,-14.277558447113615
3143418,0,-17.920490066117658
3935578,0,-21.913535182143843
420659,0,-19.86874726711372
3661113,0,-10.956927071551032
1458089,0,-20.867550592532133
1341279,0,-18.34261204864044
585936,0,-7.294031646681296
3878476,1,-16.09295172796277
3176608,0,-21.330530996137185
520924,0,-21.659118448519763
2029390,0,-21.766564602383024
3548384,0,-18.251835196009605
1277734,0,-20.133003906223447
1056232,0,-18.04236657657208
2807923,0,-20.894582544446468
3805307,0,-19.569611768558342
3001544,0,-19.06595102159132
1478609,1,-18.871957256164222
2935702,0,-18.042257677503063
486718,0,-17.222841557861024
2539681,0,-21.590766758307037
3406340,0,-20.615577707083926
2691896,0,-18.470962999634242
2206998,0,-20.61397167743701
2703581,0,-17.4624858087945
1569116,0,-20.410525374368646
3077293,1,-17.861385393177546
1942915,0,-18.624923975758364
524645,0,-21.502809510695908
691863,0,-21.690336703140265
1231138,0,-19.994406462691224
1032212,0,-21.52975970765224
3741916,0,-19.996085517306266
937486,0,-21.605314565974727
849126,0,-15.170472133612968
3845816,0,-21.341136771859947
894545,0,-21.04854670977271
377818,0,-21.81026533763196
469515,0,-19.855166314674037
2184496,0,-15.340763622429723
2213448,0,-20.55714010594624
2653921,0,-15.660611313928353
2145241,0,-22.13345639940497
1900232,0,-15.26667892768549
3208247,0,-20.64696487845695
2928265,0,-20.38267067826157
3401682,0,-20.849310224159083
3097404,0,-11.184783934590575
2660533,1,-14.811225440432587
3724023,0,-21.42801657253057
193451,0,-20.995642779654258
2530121,0,-14.563554078127778
3417731,1,-21.428993744307736
286465,0,-17.856735819341164
1259424,0,-17.872033550155727
1626247,0,-18.547915720908733
2698811,0,-18.096490721418593
3179568,0,-21.619211203382466
3325421,0,-19.41081886630046
3025034,0,-21.394607503718422
2061434,0,-20.020704126960688
827491,0,-21.208796605849244
577147,0,-20.95092733269084
2995592,0,-15.114542301180096
2743995,0,-21.008133643253366
990929,0,-21.20291140144725
697838,0,-11.302658479076824
613999,0,-21.21294928610601
2798502,0,-17.811689697779048
2042955,0,-19.85572636057236
1519436,0,-14.887052022054203
1201990,0,-21.97738764352021
2729820,0,-18.344516321436508
1271753,0,-16.944329087334825
1151752,0,-21.113331413251018
1139210,0,-17.855821770663056
2237735,0,-17.50487856169143
518707,0,-7.850660356485499
2113054,0,-21.19385434385045
2923607,0,-19.775071307539
2476957,0,-21.374868285358925
3187065,0,-21.51044693021717
444585,0,-20.179104036357856
888074,0,-20.45901710758091
1547908,0,-21.369543680333624
535757,0,-20.947206455114106
2008102,0,-19.055546254766334
3441042,0,-21.875375862346917
2247207,0,-20.61501128869297
1518712,0,-18.180906632755285
1555886,0,-13.985660346887098
3091437,0,-17.35720966599912
1993299,0,-20.68038207971576
3916255,1,-19.438317815285085
2454694,0,-21.17904366809492
1748322,1,-15.5222488872121
1452172,0,-21.09544105868031
2273269,0,-21.342482323846493
2232181,1,-18.72563249427481
2713987,0,-18.0814765334272
1355142,0,-11.417949025194957
211479,0,-19.133899191288958
1758486,1,-9.29962200244414
1067003,0,-14.698076666767925
302641,0,-21.06927840308924
3947044,0,-18.03445332035111
2811268,0,-15.497794257060763
1333480,0,-10.545064566553236
383035,0,-20.78007709757085
3288960,0,-20.84373997293825
2704953,0,-17.88941130873141
3756899,0,-21.67317582400283
2555609,0,-20.404342626940974
3542295,0,-21.588948985896387
1829638,0,-22.305703285683354
458409,0,-21.4115505749503
3870772,0,-18.434156480824303
2801525,0,-15.314766448979565
2680937,0,-16.990573716316717
1935330,0,-18.01340203600524
1388978,0,-18.17225400901912
