ufid,size,%_treated,%_censored,%_effect_size,effect_size,link_type,snr,tx_importance,deg(y),deg(z),deg(c),n_conf(y),n_conf(yz),n_conf(z),n_conf(c),n_conf(cy),n_conf(cz),n_conf(cyz),dgp,instance,random_seed
a957b431a74a43a0bb7cc52e1c84c8ad,1000,46.4433589175,0,71.5440578331,6.373162257740001,poly,0.8327533599150001,,2,3,-1,6,0,4,0,0,0,0,0,0,604793
6b3fc7d31886456dba322bf1935e706c,1000,52.6207922075,0,-3.22530438445,-10.5992795687,poly,0.819461567653,,2,2,-1,6,0,4,0,0,0,0,0,3,651789
2c3dda4d6ff142c193c031d1665a09e0,1000,74.44365385020001,0,0.0186759154638,0.341015566068,poly,0.8465360624349999,,2,2,-1,6,0,4,0,0,0,0,0,5,887232
cdfd58840aa34ae0b4f7216f0dd0338b,1000,55.921668328900004,0,-17.4349860139,2.23767772745,poly,0.833439252368,,1,3,-1,6,0,4,0,0,0,0,0,7,573436
f6a55762b6b243098073b7897d020d86,1000,53.234800024799995,0,4.22389233021,-10.460638329,poly,0.829101429531,,2,1,-1,6,0,4,0,0,0,0,0,8,869804
ca964272644a489596c98e3731929366,1000,55.364871527,0,-102.96558690399999,-1.5360490871899999,poly,0.870322707835,1.44269504089,1,3,-1,0,2,8,0,0,0,0,1,1,507417
0d6b86caa1594787a0862953aa21d210,1000,52.292460113900006,0,-103.97508980200001,-2.32128192141,poly,0.818454487288,1.44269504089,2,2,-1,0,2,8,0,0,0,0,1,4,765370
cb36ffcc84ec468c9255b1c121ffe808,1000,61.6909718213,0,48.0443583311,-13.7165000022,poly,0.8668569266189999,1.44269504089,2,1,-1,0,2,8,0,0,0,0,1,5,14765
0f5ed763e53141518e129062621d22f9,1000,50.548445763900006,0,1.01258773128,0.0271996818653,log,0.8678187307170001,,8,8,-1,2,5,3,0,0,0,0,2,5,153939
f326750d6f444ab79f4767d276a6558b,1000,48.3680989029,0,-20.1197901218,-0.12647013750999997,exp,0.8465491684550001,,8,8,-1,2,5,3,0,0,0,0,2,7,503687
476ae9961bab4b008970ca13a2fd059f,1000,57.671866179300004,0,69.0260723012,-0.258866664198,log,0.8322844891850001,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,0,292378
4d41b08679fc40d39d9245e9517ab628,1000,52.595000717,0,6.13491922865,-0.142760984099,log,0.825560208725,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,1,151949
819160dff3d54f87923c9e9cc70e364d,1000,47.562567329,0,-26.435626778699998,-0.15152397513399998,exp,0.853979203779,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,5,107161
611df574551a46669d6c4f1d247b2841,1000,66.5923153567,0,0.0768100743232,0.11768171254200001,poly,0.9651729146979999,,2,2,-1,3,0,7,0,0,0,0,4,0,869878
17787531d43f47a6a01d3930dc8b44d7,1000,61.149474931899995,0,117.326131968,4.43461928312,poly,0.959856843303,,2,2,-1,3,0,7,0,0,0,0,4,1,305328
e84f5c8ff9e04e048d74087463e300de,1000,61.8143643435,0,25.4271131106,-3.66693358186,poly,0.9361466589849999,,1,3,-1,3,0,7,0,0,0,0,4,5,108171
aa188754571b47979a162beb9600f2a6,1000,52.701728555699994,0,69.1049581975,3.9555159597000005,poly,0.9804193797299999,0.51389834237,1,2,-1,5,2,3,0,0,0,0,5,0,543716
c30f45d269a84671a7f7ec05312e9bd5,1000,42.9034773832,0,5.7247636473500005,-0.41416022863000007,poly,0.95780920785,0.51389834237,1,2,-1,5,2,3,0,0,0,0,5,1,866019
2fd4b7c574be477aadc095786d8dec24,1000,54.6036776067,0,-1.8213969079299999,-3.34228024587,poly,0.9867890661409999,0.51389834237,3,1,-1,5,2,3,0,0,0,0,5,7,14566
851a503c9dfd48b588edd24f80dfc8b7,1000,61.0205064939,0,-2.09450410446,2.81795184245,poly,0.954217343228,0.51389834237,3,2,-1,5,2,3,0,0,0,0,5,9,243836
d4acd27feb0e4849943597b914e69728,1000,45.0577827988,0,-3.21910080124,-0.018564373559,exp,0.989306383434,,9,3,-1,7,1,2,0,0,0,0,6,0,55033
c1aad745c04c479a98b366ced810e164,1000,69.3940399885,0,-25.543822564000003,-0.106024409058,exp,0.9480030071269999,,9,3,-1,7,1,2,0,0,0,0,6,2,791870
7f0f324bc54b41fa9238a47058323548,1000,75.333919478,0,16.76337805,0.212901189159,exp,0.956313728872,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,4,380120
86cbb931c8fd49bb8508947a861fdcd7,1000,51.7594514321,0,14.4824087926,0.216634454536,exp,0.940729924174,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,6,493226
