sample_id,z,y
1908375,1,402.8516623343007
592231,1,-49.13665920731878
2118246,1,-24.40161477779216
3754605,1,-37.03279280189946
1125622,1,414.2234008717794
3886560,1,69.91975456860885
3837816,1,-8.25116810264585
2724900,1,-26.369605175114955
439389,1,-28.891967798648462
2732090,0,404.7746528802639
2720025,0,407.37031686141916
3346790,0,0.09914428573212686
1002608,0,-22.13672134265602
1061405,0,410.3826210484163
3837190,1,-29.08232243153622
2657224,0,85.05994801574425
438555,0,9.743861094392031
1095969,0,391.75697711975954
3178702,1,-28.82064521470665
1890887,1,426.60435977189906
2430511,0,-38.92710884636985
2207998,1,-40.754768498734
900122,1,-34.5553371191452
1281378,1,21.527687424107814
1100516,1,421.88761058457374
2878934,1,-24.40291499857243
3360759,1,-22.421193133046625
3370073,0,-18.893285277968072
958185,0,17.32761259336949
2833213,0,21.552601695612434
2202058,1,-40.95081297762214
961776,0,-43.672099685500534
3047048,0,44.777194527600344
814828,0,-17.99179598946074
3879409,1,-38.14860189507095
2521120,1,-26.347854403213294
2405435,1,-26.828093467096355
1622658,0,-22.370985044184618
2897264,0,-30.786135804294876
2510241,1,-33.58927703470308
1630066,1,-27.30978734773702
3726781,1,-25.26356329986092
1414441,0,-35.306671959363506
2881216,0,413.29857316333846
2887930,0,-21.436636958456564
3436471,1,-40.56328148021562
1552148,1,-22.56099005573283
1966210,0,-20.28050815244989
2001966,1,-14.922202583175439
370979,1,-37.11485419158062
817122,1,-34.50429792014767
1978200,1,18.877565291215326
1232021,1,94.16305362010314
615016,0,-23.05241675366157
3486482,1,-29.33852227045779
2530600,0,-27.00052940463456
2665955,0,-5.624313191159784
2777716,1,408.18452769905326
497685,1,-22.473634066280432
652595,0,-29.64961011158728
3920815,1,-22.85766104224596
3708781,1,-31.937601857106223
3721928,1,0.7921012147704387
3208255,1,-38.43462628810503
1606456,0,-24.33502593521799
3490371,1,-28.369388146180594
829886,1,-22.444122124521268
3697335,0,-20.53826124600819
1119758,1,405.0533436303274
2721624,1,36.813830030287036
3303511,0,-35.01069880263013
3955629,0,-36.18624715693686
439945,1,-45.937739601775625
3702183,1,-7.416718296195233
1326338,1,-23.682570764688755
3272814,1,-24.73412472626402
3842160,1,-21.197195354199163
3136041,1,-36.42037180924229
800768,1,-19.585450588820947
1502695,1,-30.48234999286657
2602833,0,-30.99094725863355
261360,0,-30.833934121875103
2419589,0,-29.225609011343597
3845315,1,-40.317946053432216
1078073,0,416.6366620829508
726180,1,-26.449672546941663
2397106,0,-45.94989755421342
3530185,0,-25.512472997922504
2716152,1,-33.865902299655275
3698742,0,-4.077688717168196
3866851,0,-33.01717512478775
1660941,1,-21.367634175529503
3462304,0,-35.055468017884124
596252,1,-39.117138981269136
1262367,1,-28.9958375667512
1165906,1,419.32458923434825
1064178,0,420.2845241078074
1468478,0,10.599962160097313
1257262,1,-28.996640368761327
3910288,1,-31.057714373366707
225234,1,-36.348990513034565
1996957,0,-44.85587181914141
2757388,0,-30.12327370930626
1446042,0,-5.9407512003569956
325996,1,-28.836675548418466
391676,1,-13.138879218982265
1814258,1,416.7743670013553
3422629,0,-27.333118436010633
1164074,1,406.31199432194165
3882125,1,-7.835037107129327
973661,0,-22.58148897849778
417006,1,-38.06830147987808
3122871,1,-36.347928780957744
892898,1,-22.419953268272916
321946,1,10.047338546435789
281949,0,-38.73898921410617
2575170,0,-3.32863863910945
3425620,0,-27.68033437388838
2991441,0,-19.483592655094515
1894206,1,397.93379353085925
1277321,1,-26.534002394517827
229567,1,-42.81539471725964
2245356,1,-43.99398110945531
2509728,1,20.594854759463566
1993840,1,-28.642010607851706
1056082,1,423.22477013830604
1823038,0,397.65875937374557
2064743,1,-23.280311223727264
829533,0,-18.178829373414914
1145990,0,407.59139688729863
2479067,1,-38.28003426010878
1838020,1,415.5693932438418
2193586,0,-43.72233181037934
3013460,1,-45.07694340562042
3940067,1,-41.46861248973179
1699470,0,-33.91278800659784
2639527,0,51.54490131735752
646130,0,112.50334278630208
1521497,1,-27.132704114983035
2869673,0,-25.987069080479685
1778819,1,-30.923548365886667
415349,1,-34.006894911724174
3931394,1,-23.23740799950696
1263650,0,-21.643413275641933
3347093,0,-23.937370973514724
3890516,0,-6.7570573231140445
1642297,0,-20.109412678591585
1832372,1,404.67894994611345
662688,1,90.5813549106028
1643687,1,-28.078008031835722
2658339,1,3.6892688710710013
232611,0,101.30761440327414
1611397,0,-21.29349390662463
1993966,0,-7.228923924373211
2127651,1,3.5545822094473225
3089445,0,-26.0233596114644
1089080,0,380.7311816454117
1475435,1,-30.47046205575152
