sample_id,z,y
944489,0,-176.1112400690502
710330,1,-100.57214272167532
2932926,0,-139.53483235240273
1694970,0,-173.43961234653509
1389233,0,-171.33172443384956
1646521,0,-103.89419628380206
818580,1,-195.678304603848
3332250,1,-81.06086788502297
459340,0,-125.4963082971039
538079,1,-100.50444647442525
1680528,0,-163.12388075915484
3082761,0,-104.07672256908819
476833,1,-100.79491535934072
3342924,0,-116.74348128632624
328769,0,-144.19593353244437
2776705,1,-199.5843112544421
3049525,1,-76.27064550364236
494725,0,-104.01858720767216
1592750,1,-100.82233613976817
2112309,0,-117.04397695436317
1463486,0,-104.22888894937167
1868882,0,-175.45942481287668
301365,0,-103.8827424948448
1150654,0,-104.10628376134243
2798455,0,-175.6477660123331
3863089,1,-104.8704063931031
1940099,1,-91.98294863273573
2556033,0,-147.36345045807548
953549,0,-108.60696055551308
907850,0,-448.8331336013813
2146076,0,-178.9157974631869
3718162,0,-120.49070768888005
450794,1,-100.43097952436602
665057,0,-104.12741065907137
960242,1,-100.62612098601109
3125111,0,-102.35580723797321
351020,1,-100.4086880385695
3408119,1,-100.55058086066394
1896324,0,-468.49657988035233
3023038,1,-94.38160552271248
3928223,0,-104.17583901555444
1684462,1,-91.69447371294264
1745021,0,-104.16950883019464
1272022,0,-121.31858482802137
2908552,1,-111.29172603266
3713272,0,-104.37350715732084
1021070,0,-145.87329164441115
821905,0,-126.14091804550388
1829097,0,-79.79791422401395
957635,1,-100.80159118151049
1815611,1,-100.48371223368275
1689569,1,-419.76930367443293
404529,0,-104.08829184451253
279075,0,-106.9073599099501
554250,1,-100.8402216367863
617764,0,-104.28844189338946
221498,1,-100.61640358066487
2647759,0,-104.12282762091478
1539622,0,-145.48184464500233
3490522,1,-100.50571874294106
3412368,0,-174.5438264734535
265370,0,-171.447706869997
1378667,0,-171.1252221091819
1217075,0,-104.34831840102319
2966705,0,-104.34047294274183
1499624,0,-136.68509947810747
195040,1,-105.03756878482518
851979,1,-100.4835547275529
2123616,0,-104.17143317861661
871106,0,-124.49472003380546
3284483,0,-104.27417908269508
1874791,1,-104.89454117659237
2777827,1,-102.94958450374394
1439271,0,-140.74352179391855
1747913,0,-171.2405971967023
1554019,0,-140.71431537170602
709321,1,-100.37933837301775
2588305,1,-103.90122705070634
812294,0,-112.5986478118099
1443049,1,-100.19848227478987
477272,1,-100.43472906268268
3543301,0,-175.5732532760005
2915921,1,-100.93722647911738
3228113,1,-100.42251493642291
1078565,0,-117.44071139062513
2571317,0,-103.71851317713283
