sample_id,z,y
3306629,0,-9.368409571598939
1575343,1,-10.164508740288051
1882321,0,-9.483114659476373
2166711,0,-8.54298218100443
979478,0,-9.193769540020964
2836460,1,-9.794793694645332
393203,0,-8.688357028746793
2531517,1,-9.979329504030403
2046842,0,-9.656884153464235
926555,1,-10.601143184559039
1762784,1,-10.07061104285678
1477915,1,-10.688541869951433
2220279,0,-9.308207213144975
581798,0,-8.921007501068527
2166223,0,-8.886462571981905
865767,0,-9.367133725630103
275332,1,-9.73159425207238
301365,0,-9.171457828364435
450886,0,-9.00527470453848
2714653,0,-9.410697140987246
1618035,1,-10.13415910632317
1300617,1,-9.809731386456608
2673763,1,-10.31359849090915
1008519,0,-9.481838280443833
1711747,0,-8.749537448532838
3434472,1,-10.186831667878751
1311401,1,-10.40017295557001
2861147,0,-10.607463738992996
2727015,1,-9.37850872637221
3194895,0,-9.386597892674605
918447,0,-9.086161641357256
3807703,0,-9.242966398313294
1877758,0,-8.854348893967192
3847091,1,-10.250839481102567
2698683,0,-8.758973950218287
3430840,0,-9.57361087028465
3454818,1,-10.491450336497447
2122075,1,-10.007924906366815
3145148,0,-9.404436078719279
3773888,0,-9.387592241654122
2644374,1,-10.58405904325919
1859250,0,-9.297000859767738
2004452,1,-10.092413997682456
1257115,1,-10.025238256003242
960191,1,-10.439053764138537
1388640,0,-8.87875682074252
235553,0,-8.981707950603152
3518530,0,-8.953080432054536
400512,1,-10.473401755287606
3727457,1,-10.167908803661856
3227696,0,-9.54723123682141
2022593,1,-9.749015996372444
3272219,0,-9.506289466786525
1830575,0,-9.11986833654243
253295,0,-9.176236506504805
228492,1,-10.240406029495748
316181,0,-9.277239724544094
2016688,0,-9.33471524004646
3887302,0,-10.149017514656716
438622,0,-8.474085836390234
2693915,0,-9.75933050892814
3544337,0,-9.13684864072715
1415339,1,-9.661415125604629
3196982,1,-10.809788561688618
1862234,0,-9.470798883757299
3332097,1,-10.295177574209063
2693842,0,-8.747256562810138
3734115,1,-9.582647946307153
3669701,0,-9.2234382219946
759080,1,-9.998173659556645
3701671,0,-8.941086125214555
2010005,0,-9.449330454619057
872726,1,-10.394207331554522
632769,0,-8.720550232466149
306846,0,-9.341320491210936
1685046,0,-8.98635849819735
244443,0,-8.60397907014123
2669696,0,-8.967188716324785
1066974,1,-10.161927984318634
2471160,0,-9.568057103464207
2132117,0,-8.814420927837194
2724191,1,-9.990628808265484
2764970,0,-9.000522273278678
1906384,0,-9.735560102113322
2897176,0,-8.926314782870751
2893511,1,-9.73745072225258
1643087,1,-9.894505783047409
1885765,0,-9.187009467843076
634159,0,-9.776141355940291
3400026,1,-10.05254118003209
3716499,0,-8.886761953663246
3910503,1,-9.664006186559611
569626,0,-9.509010284607765
1878603,1,-11.062955488404926
1562887,0,-9.944877750688978
2121871,0,-7.802330487770117
2730069,0,-8.834256042180096
1815611,1,-10.38547181246583
3440371,0,-8.848152236767266
2547168,0,-9.136221437953946
3187218,0,-10.13107368837722
1645219,0,-9.012729540223356
2425586,1,-10.767249943121273
633917,1,-10.222565675345866
2669257,0,-9.304043220528508
3841911,0,-10.011837559448843
2868680,0,-8.788949988158851
3957741,1,-9.828858752809722
1677490,0,-9.003715968345105
1858396,0,-9.2542967260983
2250054,1,-10.249691765867784
570089,1,-10.271793599709001
2710395,1,-10.611358667093548
2947660,0,-9.494854838417947
3010084,0,-8.887254873175202
203982,0,-9.747766126907386
1681664,0,-9.072754519450513
3212958,0,-9.10531578127658
1707524,0,-9.980804029596488
1078142,0,-9.421424423061426
334399,1,-9.605647836195866
307025,0,-9.328013446400881
1352955,1,-10.451287794066433
2279183,1,-10.390819487729061
3220596,1,-9.717784272866382
3100379,0,-9.677818731499023
2708638,1,-10.37741360166746
1066472,0,-9.641967572410419
564498,0,-9.344488680918001
1129342,0,-8.950956547533732
1158894,1,-10.560692314182964
1150340,0,-9.146695399324313
341861,1,-10.768548428598352
1944223,0,-9.319461240734938
1274246,1,-10.118795530791115
975198,0,-8.941640361383648
1748710,0,-9.430017837145105
2589142,0,-9.400329524891998
2463054,1,-10.651288756039518
2772462,1,-10.375393387808888
259794,1,-10.129365577036053
3026596,1,-9.744626042932921
2107414,1,-10.711986977640148
2177040,1,-10.148576440688156
1253562,0,-8.060983449014335
897080,0,-9.513203134447515
2554239,1,-10.713401430302364
3092685,1,-9.808944911726813
3698380,1,-9.969276244744066
3204648,0,-9.011470959429321
274666,1,-10.765292173642782
2212336,0,-9.015934294011453
3536570,0,-8.788550858376576
2282305,0,-8.649425029443815
2615855,0,-10.125871891813546
351435,1,-9.93675074918561
3032225,0,-9.469722980203434
2624277,1,-10.18250925517047
2616891,0,-9.668352538326825
2743211,1,-10.747870384595696
2465711,1,-9.839816789088346
1643454,0,-8.87028271950214
339084,0,-9.015129143410368
1458937,1,-9.851718429499677
3958418,0,-9.53477359423102
681280,0,-9.440725686501745
2432657,0,-9.486854961637096
1235092,1,-10.770329030796086
3411375,1,-10.472963290697603
2547945,0,-8.782665091330829
3033703,0,-9.274405319578449
1538583,1,-11.088576611258025
2671980,0,-8.428832513763567
2513996,1,-9.859967667865888
1382468,0,-8.907347534677994
3389730,0,-8.836241767701644
3734363,1,-10.018038337869637
3118959,0,-9.069234519193769
1827190,1,-10.754383231179238
2495096,1,-9.505268150496978
2805176,0,-9.849361974998041
967928,0,-9.35125188477465
828416,0,-8.870852001116846
2517485,0,-8.521708519407259
2875936,0,-8.98867541289112
3256203,0,-9.265591582819207
2147398,1,-9.432521023128396
3908113,1,-9.648841646835274
3673838,0,-8.837111163431539
2668329,0,-9.35580671127542
3721082,1,-10.635924291050188
700561,0,-8.78669073496566
1273985,0,-9.71519647466403
1139130,1,-10.51835057259992
3110422,0,-8.966266305449592
1566015,1,-9.998686590266844
2798455,1,-9.855831573966016
528253,1,-10.146155846524437
661594,0,-9.039671308656304
1139210,0,-9.518635003368328
1769668,1,-10.313173710684746
318739,1,-9.767596652696442
3460921,0,-9.186325371231566
2630134,0,-10.317010949588019
1766442,1,-10.343638956236102
1377573,0,-9.533342943037372
2803873,0,-9.307434685836483
926475,0,-9.656018883707556
2938221,0,-8.519779753074118
1531055,1,-10.035052658782526
922828,0,-8.340458822890708
920946,0,-8.937599901120151
1961682,0,-9.513810971740886
2887975,1,-10.430057285351522
3728677,0,-9.212884086375059
1701591,0,-9.27477672113411
2208655,0,-9.593333758493703
512846,1,-10.937036639159542
2919817,1,-10.818194424435791
423964,0,-8.66960192918589
1429112,0,-10.107757304735138
2522801,0,-10.165720352630267
1768828,1,-9.981642715947418
3531070,0,-9.159474849360429
1427481,0,-8.923073960078451
876449,1,-9.957400338260133
2038430,0,-9.326179964387446
3885708,1,-9.733218196321223
923240,1,-10.705532239698378
1385749,1,-10.743256601947012
2861221,0,-9.150396029460387
625943,0,-9.32238246086837
377474,1,-9.972988441800917
3321068,0,-8.75795529484029
587294,0,-8.78734287511985
1915925,0,-8.795327580709683
2139144,1,-10.459681043862426
1940023,0,-9.704319851770542
2481998,0,-8.707839917414018
975073,1,-9.665754918134965
1448920,0,-9.386277838811168
2222661,0,-10.2048315389452
1013700,1,-9.9050744451909
3843533,1,-10.385976370190102
1915265,0,-8.711095553695925
418337,0,-8.607963884554653
2519254,0,-9.175705728414245
3317845,0,-9.557174438839612
395580,1,-10.51770243792051
2579566,0,-9.309769794356393
1704970,0,-9.581341578365956
3231798,1,-10.238178437916888
1498461,1,-9.568247037223784
1843294,1,-10.079079629206433
270272,0,-9.44264581672634
3007184,1,-9.726314910498536
2709497,0,-9.265879931007929
1134812,1,-10.66011658275093
289756,1,-10.493694074484132
571668,0,-9.146777320540997
3783406,1,-9.98542042798832
3895408,0,-8.50219775569852
3254374,1,-10.894793056003309
2394392,0,-9.270348648254986
1441167,0,-9.16626214984816
327303,0,-8.50084146084264
3911969,0,-10.046766538291147
2533112,1,-10.268658391742498
1378209,1,-9.624043935171217
1339085,1,-10.816720494901158
1990017,1,-10.310866590529034
2696556,0,-8.104249788166705
905641,0,-8.852241709146451
3842369,0,-9.08733162315522
1682156,0,-8.990779851324037
3750753,0,-8.91289406926089
2609671,0,-9.428759272501063
1742930,1,-10.580322646004982
463896,0,-8.736590963286158
3717820,0,-8.163242766159323
1740131,0,-8.528308554941304
1890391,0,-8.963052413366214
2703267,1,-10.444200901058855
2510361,0,-8.820319352532865
3316146,0,-9.237980479480889
2460316,1,-9.974907346137654
1554766,0,-9.056208413156918
3460690,1,-9.861885757280207
2848010,1,-9.949693309200876
2282040,0,-9.578671111862487
877368,1,-11.131187437647016
968145,1,-9.947454774398931
1594458,0,-8.839038764724698
857899,1,-10.688227699944866
204429,0,-9.22753529416537
1758230,0,-8.861434620525666
2460402,1,-10.5635475623487
2282855,0,-9.442229131937731
1083970,0,-9.384596773904384
2413465,1,-10.351953568249598
426695,1,-10.57580481543546
949356,1,-10.214398589072527
2688347,0,-9.445879081486279
861168,1,-10.783466850717645
3118071,1,-10.33844690634048
908379,0,-9.341035431700227
1023503,0,-8.952609742040138
3704286,1,-10.031473407684212
235461,0,-9.87165190733445
306266,0,-9.076782274565419
2759966,0,-8.789729945942097
2262592,1,-9.282811948544268
1892564,1,-10.74321825653772
2522972,1,-10.205819289357748
3072143,1,-9.841005871193536
1885355,1,-10.033673334618063
1848219,0,-8.437846115338429
1819304,0,-9.041865218240826
673700,0,-9.22144783229453
2566500,0,-9.225416888768226
1477056,1,-9.612118183174307
3046289,1,-9.746528820554598
322328,0,-9.343499025056794
2578147,0,-9.207991266998567
2001282,0,-9.29170414275758
3047912,0,-9.290465332615955
2605944,0,-9.211224614124806
1979808,1,-9.829941905730248
2752585,0,-8.360360093064672
1442084,0,-9.35656647606078
616092,0,-9.420187143263531
1477567,0,-8.9907024179194
3679218,1,-8.901840026585056
3407857,1,-10.564954142038212
3122854,0,-8.496293641077727
1681840,0,-9.46468895331728
1733287,0,-9.832611013712445
3888211,0,-9.17178503347263
947334,0,-9.254363220953005
2052556,0,-8.821524604895732
525865,0,-9.640221296746974
2901741,1,-10.619606182282622
3943123,0,-9.415937775734264
1733670,1,-9.575510347780446
2611915,0,-9.291480592526996
1739459,0,-8.636892544849324
3490137,0,-9.233484480494734
1536165,1,-10.735913828601367
1395148,1,-10.440286761217706
3541507,0,-8.836121161484234
2732287,0,-8.089828507282256
