sample_id,z,y
1468369,1,-126.61958611163531
1644326,0,-4854.154539152867
2807125,1,-6865.754587387059
2492356,0,-4854.267109028483
1124030,0,-4854.101066830464
3677549,0,-4854.303325467758
1410199,0,-4854.583435108508
2606656,1,-4858.934643091638
3084402,0,-1363.874701599986
3360269,0,-4854.443076669082
3947489,0,-4854.169508428846
3325940,1,-4859.0366535349995
2607254,1,-4858.997383851784
3434863,0,-4854.19612273854
3895442,1,-4859.031870869402
3861345,1,-4858.6142464330005
1279866,0,-4853.927529295784
2767389,0,-3370.0915636088243
2489873,1,-4858.486952605919
486821,1,-4858.698007745826
1957913,0,-3378.0644339014725
1828893,1,-3374.6186347032954
554639,0,-3369.7387683581983
3212301,1,-4858.822975249007
1892676,1,-4858.895770064826
3501287,1,-4858.800201065047
1324840,1,-4858.9275862485365
2106727,0,-4854.2740232186225
274259,1,-4858.717885743914
3187603,0,-4854.213794186749
643407,1,-4859.003034719285
1138725,0,-4853.927640159762
377166,0,-4854.0777376231135
2053068,0,-4854.271308255056
2941712,1,-1368.4082716693545
1049066,1,-4859.165571800625
1092279,0,-3824.1997678808307
963151,1,-4859.0251465182055
3945068,0,-4854.0592790049695
3872125,1,-4858.807105763662
2004651,1,-4859.08452578845
676527,1,-4859.204770800418
2114004,1,-4859.073005107822
1437723,0,-4854.122107032698
2528164,0,-4853.886403934163
3652092,1,-4858.783279608974
1253911,1,-1368.434292404268
3706934,1,-4859.121112485552
2831807,1,-3374.692798291052
843666,1,-3392.745353073615
1733279,1,-4858.980736391787
366553,0,-4854.1577128653835
3664045,1,-4858.695558521213
2891660,1,-4858.714051009946
1742577,1,-4859.259004446064
3733393,0,-4854.23414428309
1764317,0,-4854.334480754277
861437,0,-4854.497798696413
572716,1,-4859.257814211871
3848323,1,-4859.021158991146
1337743,1,-4858.913342196963
317565,1,-4858.973790862105
2882862,1,-4859.174924697055
2140739,0,-4853.976790728405
1551838,1,-4859.0561976122035
2519943,0,-1364.0360296287765
2457829,0,-4854.247435555154
1933953,1,-3382.6686990468265
2591746,1,-4859.386953246588
943562,1,-3374.759694077702
799878,0,-3369.849798058277
3937300,0,-4854.002120315667
3353134,1,-4858.583210567968
195597,0,-4854.194350187239
2800049,0,-4854.327055985837
2489975,0,-4853.708728463722
3952874,0,-4854.006784312627
813676,0,-4854.11265358759
3439580,1,-4858.762656726029
284131,1,-4858.883737506069
3406176,0,-4853.973103757857
389895,1,-4859.012857222142
1679771,1,-4866.50588989191
3390441,1,-4858.894269830288
2123183,1,-4859.041560515701
3659373,1,-4858.728505338722
1890334,0,-4854.409558201553
3195568,0,-4854.196908941818
996445,1,-4858.814071480063
3361800,0,-4853.986144146407
2150504,0,-4854.102060632612
3663540,1,20.532483533294847
2138955,1,-4859.243770514901
1487675,1,-4858.694517915323
2859092,1,-3374.4842908455266
1740603,0,-4854.026570781382
236877,1,-3374.607450014122
282580,1,-4858.976396544241
1049275,1,-4859.039428793931
724540,0,-3370.254072235088
3150021,0,-3408.45249943614
1540000,0,-4854.12391413613
3118898,1,-4858.970392265138
3678976,0,-4854.4778257338385
526814,1,-4858.665377648897
3766361,1,-4859.040848201448
1689961,0,-4861.934594771396
541827,0,-4854.015666174154
1235102,1,-4876.803295280947
2237363,0,-3370.572045499175
3282902,0,-4854.219097361499
1436907,0,-4854.311939917118
1640868,1,-4859.143355574673
927210,0,-4854.0342917870485
2016567,1,-4858.965536924829
2408269,0,-3370.071135591103
3533656,1,-4858.847890865239
3655896,1,-4858.802834031438
2927385,1,-4858.772986364603
2443606,1,-3374.62518726413
3688542,0,-4854.149628826783
735299,1,-4858.623178930144
1585172,1,-4858.803194659564
488434,0,-4854.394758409533
3091286,0,-4854.293520922506
1378357,1,-4858.962469784048
517988,0,-3369.9282791961105
2203453,0,-3369.9189751917543
293364,0,-4854.354111240582
2708922,1,-4859.36083749394
436598,1,-4858.656078247985
1372406,0,-3369.8306950256238
3503439,0,-4853.985380697362
3872969,1,-4858.841110291638
3049794,0,-3370.03238353607
3105117,1,-4858.922971375351
2613469,0,-4853.947020140119
1866529,0,-3369.8474435664048
2109283,0,-4854.568784128087
3751492,0,-4854.445775105533
3448153,0,-6855856.2217904115
3098861,1,-4858.665772754152
3347164,0,-4892.599868007147
484502,0,-4854.274217698632
3208162,1,-4858.680152777177
2538697,1,-4858.819619468788
2722022,0,-3370.0372842028937
2056068,1,-4859.024358285344
1752938,1,-4859.143724870137
1072827,1,-4858.96105469633
3861828,0,-4861.779635405181
1111836,0,-4854.35081945274
1478460,0,-4854.486404109727
1220353,1,-4858.7695609679295
633176,0,-4892.171495415324
1202596,1,-4858.8274019804
1907556,0,-3370.138710812681
974129,1,-4858.71758619868
3187829,0,-3370.3444922416716
729324,1,-4858.70750703723
2791828,0,-4854.504687993342
1900193,0,-3370.1214502569223
2981680,0,-4854.031969816391
3659025,1,-4876.696802993619
1857728,1,-4858.896625889555
2904359,0,-4853.670145298237
3893459,0,-4854.115769800967
1964855,1,-4866.566195303536
505424,0,-4854.224092730657
263665,1,-4858.97654160126
1121798,1,-4858.919357513666
1057611,0,-4854.080857594486
686840,1,-4859.1138345053505
905020,0,-4854.114497374251
1627884,0,-4854.197905575195
2474578,1,-4859.172608529052
3175448,0,-3370.353941285096
1625609,1,-4858.864796340058
1487835,1,-4858.941585070311
256825,0,-4854.326857647495
2393193,1,-2225.59688812019
2139456,0,-6715.520383812538
2274408,1,-3374.666384344616
1638320,1,-4858.624939373058
922926,0,-4854.048175225318
2646190,0,-3369.9312496233224
1213768,1,-4858.986988531579
3409285,1,-4858.913453040484
2763526,1,-4858.84516489044
3736740,0,-4854.261721718681
667088,1,-4858.7990790498025
324277,0,-4854.142044878276
625877,0,-4854.365814002332
1717356,1,-4866.772292768548
924653,1,-4858.694716143818
3272121,1,-4858.617172495834
2830619,0,-6754.631528267673
2656895,1,-4858.850148651859
312026,1,-4858.736817391098
1544703,1,-4859.025900425174
536586,1,-4858.946655436534
1344902,1,-4858.529060125288
659817,1,-3374.5622975241017
990331,1,-4858.777645422107
2590344,0,-4853.942442833862
1609810,1,-4858.825996348174
1946750,1,-4866.714746513908
1737246,1,-4858.97237473837
1109305,1,-2225.766410146151
1852355,0,-6715.720287790526
