sample_id,z,y
3951044,0,-174.90589320030088
1500879,0,-184.263653526505
3403058,0,-184.81666968632774
1360791,1,-185.20210488313123
2672331,0,-176.74231116293578
1534024,0,-174.47036081288988
1272813,1,-184.60194596894553
297382,0,-174.29049357192085
3907493,1,-181.78780356853582
2893779,1,-182.05071482752354
2873996,1,-182.18598964289558
2122570,1,-127.86913208995082
2919348,0,-201.92608552095052
244488,0,568.2040262105311
622609,0,-174.6928518452931
3303347,1,-181.5474410865464
3340127,1,-182.22020849497434
1838027,0,-169.62194917606107
2627156,1,-194.67285437783727
2486487,0,-174.06727211903092
3784694,1,-126.36483070155774
3758986,1,-243.1200390291795
3296108,1,-193.05001652280572
1867380,0,-171.4219645863567
1619208,1,-184.8873539214517
1216016,1,-192.86465708355033
807465,1,-186.87937733053664
235351,0,-174.7604016742258
2883762,1,-182.05517193646494
1536165,0,-203.16123707501103
1243412,1,-128.0807808640701
2535464,1,-176.5737313475574
463077,1,-182.7181315559728
671384,0,-174.33172266751606
372044,1,-182.1527258762692
2155572,1,-181.9217121168921
1374895,0,-172.06265254690626
2731174,1,-192.7473725661462
3523348,1,-181.62350450099865
352386,1,-182.42656825564654
1532828,0,-174.7453546195535
1464939,1,-176.84660865392357
2663287,1,-184.9645496184734
3124863,1,-183.09390453348993
203849,1,-182.23996024545318
1386073,0,-133.11671231181154
328570,1,-181.54106715827604
2878146,0,-120.39821656575137
3511361,1,-182.54485568666706
2774780,1,-182.2582879514212
1570336,1,-136.87928370573613
2166802,1,-180.50152552946207
3034178,1,-182.36356499896948
1220408,1,-182.1080121058027
1244761,1,-181.97489038565462
3833263,1,-181.1360681643477
1233001,0,-169.04811380241975
2560527,0,34.71016490666829
3948754,0,-119.47505766464481
941736,1,-182.50441939528739
3137858,1,-191.4003350543637
2844605,1,-182.27312665068462
292213,0,-174.49208452301673
1994068,0,-203.4698785510898
2902874,1,-242.76359213299355
1278127,1,-184.79519436813447
1993420,1,-180.36729987528355
1126844,0,624.7064875021332
2523267,1,-182.4508569604986
3871177,1,-181.60971779111645
1486515,0,-174.27277469777428
3011919,0,-173.9553703046979
759400,0,-203.8658553891816
1168802,0,-172.26330302625678
3169200,0,-158.56698511477026
2571754,0,-174.14440863938057
2226315,0,-170.12776152321507
471819,1,-182.4917138237484
3241513,1,-127.55895210428106
3324805,1,-137.30834883616126
2811202,1,-181.8513141007821
3733294,0,-124.83051208266552
3952748,0,-184.72468133420307
1307219,0,-181.31882861929967
1504083,1,-125.88746748122627
985410,0,-174.5016213779018
437383,1,-181.76844176694962
863616,0,-172.1955331888752
2866863,1,-182.41024083816947
1234175,0,-66.7360835108576
2989679,0,-184.20638065215883
3911969,1,-181.96687056460962
2119365,1,-191.44853409120591
430631,1,-182.41971743044232
1662600,1,-213.57723236847647
691696,0,-174.36981294468578
1168077,0,-260.54397880031314
3894786,1,-80.29251048863073
3358585,1,-181.81439375834105
3283858,1,-138.01188503262276
3422343,0,-174.77919557492896
906802,0,-180.77653318562494
3509906,0,-171.85636164114234
2498357,1,-181.73097976446226
1487017,0,-174.16715897125968
2976410,0,-184.65470672953023
1240001,1,-36.856430595968206
209414,1,-181.57401368256876
2637346,1,-185.047320514709
528672,1,-181.57138881142058
2628428,1,-184.26122134168517
3155299,1,-182.84401677280903
2718208,0,-130.45424632126097
570516,0,-174.3070959441088
2285515,0,-204.01250716863385
565574,1,-194.0088007301481
3282424,1,-178.7382011543862
2151122,1,-181.4351115437817
515268,1,559.9986951964551
1219915,0,-174.77546588637367
632115,0,-174.90026325456924
414154,1,-192.58061329915478
652425,0,-175.29929129972393
1356097,1,-194.35916958213264
1719118,0,-186.83448893364812
3444919,0,-174.38235210489563
1822998,0,-179.23892949708753
3531058,1,-181.88826772249698
496615,1,-182.7881198774585
3006455,0,-174.66432680294662
3366142,1,-195.89301977829422
725936,1,-210.16818449309054
2108787,1,-182.08662030366594
2423911,1,-182.15740922265852
2930927,0,-174.4993048666257
3404001,0,-174.07980457760345
2009922,1,-191.8323482805285
1945748,1,-139.35027007720737
2841325,1,-127.1174450682241
1839424,0,-172.52004906080035
2767017,1,-181.54111269885757
1594458,1,-195.4428302195995
2822979,0,-169.3924461629506
2770572,1,-192.7549844178402
251764,0,-234.78917999475362
1914579,0,-171.9890803005988
3103125,0,-29959.41074252791
955819,1,-182.755437135973
227166,0,-174.88522683350888
1939503,1,-67.9850414455335
898995,1,-181.54569017370773
3312961,0,-173.9617238758735
1373875,0,-205.05794957118746
1702177,1,-179.3175601593788
1013949,0,-173.55605203541282
2725498,1,-182.86219709854748
2286993,0,-185.00814746611147
682008,0,-184.93148209779127
3444072,0,567.3493427091406
3918845,1,-88.61395565868379
3755277,1,-181.3266725243035
969778,1,-182.47591488434625
2061088,0,-210.92598081064614
3235853,0,-174.6238246696446
3916141,1,-180.69220494862887
745290,0,-174.60515968275465
2651942,0,-187.22689455746212
2177315,1,-190.55573764255738
213110,1,-182.500300719001
1890623,0,-172.59495789097744
2921153,0,-174.55406841335443
1707977,0,-176.61286076614596
2769471,1,-187.8678459108242
1209966,1,-191.81510631628348
2622418,1,-195.16084998131322
2129215,1,-127.8255986601571
2556665,0,-174.02093238186885
844743,1,-192.5554147555904
1279512,1,-184.49280308440552
3328424,1,-182.5891024816724
3890740,1,-183.2441542823092
2399195,1,-182.45807094864594
3197497,1,-181.3539152834077
1635651,0,-177.02164615157403
1899994,0,-116.82715449548556
1031766,0,-174.88723947202962
3229211,1,-192.8161194090176
2177299,1,-182.13969102679906
3138361,0,-120.6095668241064
2601171,1,-184.57442276618644
219436,1,-182.17789627298544
1866367,0,-171.24672213614855
3773007,0,-292.3835386599938
1169485,0,-146.7444069887558
2930072,1,-176.67231276348477
1988523,0,-167.74676243829367
1092159,0,-117.32803983560581
2752123,0,-130.2769149467996
449783,1,-210.50117058849463
376878,1,-182.4613727646154
1193859,1,-188.50199141992488
3282877,0,-184.50848934335477
1409884,1,-219.8302284772487
3957144,0,-185.67996661742185
1984840,0,-20.527179815669417
971930,1,-181.62563120663515
2241801,0,-167.0638310665027
2745033,1,29.535131723316656
2152770,1,-155.05649341055178
395880,1,-181.59231634826332
1560485,1,-138.26843474803474
3224133,1,-192.29126825964138
421713,1,-181.75387491894074
3370101,1,-181.70383711798286
2396397,0,-120.4478382185973
3222991,1,-252.76216063271744
2278667,1,129.28029193923243
523800,1,559.8584769782332
943324,1,-192.3158599557971
3169178,1,-179.52970561962857
2556943,0,-173.85851604594947
842312,0,-130.4079206205762
817763,1,-207.10666264940076
1963649,1,-183.46210333948787
1910950,0,-171.74333208519937
2188654,1,-182.0404823858375
3359214,1,-127.53501063835266
3395008,0,-174.5169774060214
1354043,1,-184.29657110879702
1973086,0,-177.24778292330262
1520717,1,-182.75425813379977
1661608,1,-184.67630993924791
818890,1,-177.61459576880216
2178610,1,-242.54485290383408
2627594,1,-212.7084059853879
3374587,1,-181.89993607199102
1613831,1,-222.61505480534484
2700177,0,-187.90157490992982
358329,1,-182.1977926633779
3416117,0,-175.12671854170318
1780676,0,-187.2807055214916
332470,0,-174.3267439460106
975322,1,-181.82852745854177
1988411,0,-179.58799230104287
1089895,0,-172.59680443875092
1462484,1,-137.56341474730206
2933717,0,-174.64356692007917
2852405,0,-174.00430878646043
657166,0,-29217.31312466282
3049794,1,-127.23097640057695
1859045,0,-172.2715483169649
2624850,1,-189.72114267208863
2847573,0,-245.19504856790394
2276975,1,-182.10456464797088
1386588,0,-177.06701634011662
1477784,0,670.7360276637567
3931693,1,-192.22698834151117
2243993,1,-182.22561308812723
2184551,1,-182.50154726942446
827491,0,-174.98636110719355
3505167,0,-169.45821364383508
1025476,0,-185.3712007602058
3367229,1,-211.43022979126863
3541298,0,-169.12914223304293
2494288,0,-38.740805546837706
1463135,1,-181.69690818675835
3089176,0,-173.36174820273672
1549131,1,-182.02002986501572
459955,0,-174.44952066956978
2604097,1,-184.3908918655042
1072473,0,570.5515582083227
2481875,1,-242.61432548034372
3668256,1,-181.96995395692124
3773977,1,-137.74997418152327
915206,1,-182.26176510590497
1123108,0,-182.00648237247105
255226,0,-173.73519089816398
2891499,1,-128.08291375468238
2247485,0,-184.46520247279668
477841,1,-211.25111040058025
1094413,0,-117.5343664527845
1563702,1,-253.24048730877772
1672830,1,-184.04904853281153
270255,1,-181.9762851156804
985159,1,-182.3548753366383
3691701,1,-181.0184047403275
3299725,1,-182.65183432583956
1627884,1,-180.17960539223984
507806,1,-181.9615828645828
273879,1,-181.82127802552375
223314,1,-193.64541249750317
3258560,1,-192.17671707600215
1961720,1,69.5067781334396
2720203,0,-169.8769011358683
436814,1,-182.25405210847248
2975339,1,-247.69656082652705
1025920,0,-184.90836786249824
3664045,0,-175.43919318526696
1578883,0,-174.6549885465095
3355471,0,-169.35168394371374
3836913,0,-172.4829377084729
1511073,1,-243.14281502846916
2719069,0,-174.7973793553234
1319760,1,-185.0705161423826
3759975,0,-178.84756835115445
1009340,0,-120.37479075894089
1708131,0,-117.73386385805553
2401712,0,-149.933174981878
1586006,0,-199.4074492248075
2038833,0,89.32370484397048
3510392,1,-181.40078390683402
915744,1,29.739506060847205
3365677,1,-181.9754007801322
196048,0,-174.829073605729
1859934,0,-117.11481467338858
2740526,1,-182.17069360448937
1909958,0,-181.19217312324588
2921284,0,-174.71816861729386
2979302,1,-182.7476554300795
1246957,0,-212.98669085894463
1862610,0,-127.86853980516504
284027,0,-185.2801347226358
2716258,0,-174.4606521918321
1277047,0,-176.5645877763651
3746673,1,-182.58631333004675
3033498,0,-174.6319698082152
2441927,1,-168.2815528977689
2686349,0,-176.79767462055423
2230777,0,-120.01836928447139
3752981,1,-192.29325385565667
1867229,0,-171.3588976678909
249799,0,-174.06717807016454
811296,0,-121.13962905590427
3015426,0,-119.9682242486609
1972295,1,-179.39483565387474
2819503,0,-185.14225207206613
482999,1,-242.30061659774148
1839422,0,-172.76279596058737
229618,1,-182.46881145153452
545035,1,-182.2469158590728
1462772,1,-182.00568639829584
751202,0,-82.27471718824569
1559828,1,-177.48141146306997
3775796,1,-191.67783480211114
280497,1,-182.6827519675481
1502132,1,-192.77685890362065
1137095,0,-127.27862399215607
3191280,0,-174.1131903623287
3036309,0,-183.54852503658586
2926265,0,-120.29027179556005
1263691,1,-184.648640785468
2196996,1,-168.63904396879232
3170100,1,-182.2050295639848
3928480,1,-192.37915694597604
1233896,1,-127.6078225068928
672139,0,-174.5692415792785
222064,1,-182.33470818209804
1812820,0,-171.76769215219866
1852696,0,-171.23246040758886
1010904,0,-184.47169798183378
1618826,1,-184.43329489381915
3499978,1,-182.85046436144765
947594,1,-182.66907332807108
2034004,1,-181.8248215223522
1199682,1,-220.47119715796697
2662421,1,-195.1170134667237
1086009,0,-488.6356537122405
2671560,1,-185.09573680986065
434796,1,-181.94646975323678
363619,1,-128.0351917726095
3457261,0,-130.23863910743805
2226478,0,-174.43029362083317
3014704,0,-211.9042279522843
975915,0,-168.06813646708747
238526,1,-181.2018627045427
2779859,1,-127.87330684179535
876899,0,-184.37625388931684
1769491,1,-181.61732499148292
938118,1,-181.8535508940099
862620,0,-174.54204537948857
1534064,0,-184.59994330650568
1438132,0,-169.19370517656014
2266528,1,-242.34590000998827
824630,0,-169.97968216619827
3179192,0,-147.59071239453334
1280658,0,-176.73135671286678
1088515,0,-171.73359178282428
1053965,0,-181.93953675094062
3701671,1,-192.11149156241146
3068032,0,-173.80126567351044
2641420,1,-184.47007964499088
1762446,1,-184.64158420840812
1774207,0,-177.2371529151397
988989,0,-120.32305270566914
1698071,1,-195.1110179266436
2818493,0,-245.4767851918575
1267722,0,-176.90111086250818
3009122,0,-202.93207284190981
866124,0,-172.199787490842
3127114,0,-173.94888806976226
1499176,0,-114.85324275127347
1410461,1,-165.72092271826602
2138605,0,-174.9121080081748
2437437,1,-210.8386130716873
1560734,1,-191.96349077004604
2717115,0,-184.00626056405875
2636269,1,-69.25096392105195
286527,1,-182.49867151536452
3921620,1,-192.62959959445885
1810024,0,-171.24194544181722
3424258,0,-184.8798188828093
3278033,1,-64.6206783137678
3668999,0,-174.69954513147735
309361,1,-181.65308511238092
3330259,0,-180.05242432059387
1769207,1,-192.44920186824115
1091401,0,-117.33941255808134
1580098,0,-185.30609446540552
2144226,0,-174.97336584072022
3152860,1,-186.81296287225905
2476137,1,-183.11183803220254
2178764,1,-182.41958579893986
1353745,1,-182.52900566054788
2549192,0,-174.51873085338215
571682,0,-174.32844352224672
3486637,0,-119.7179984591141
1955582,1,-184.59020807410758
1676600,1,-183.85243106045596
3495807,0,-120.4154022923794
2008349,1,-191.9542587284364
1288038,0,-177.17997202643525
435627,1,-209.87936614999174
2999643,1,-182.93886680970408
1346230,1,-170.81000670307512
1299210,0,-177.25781677108515
3525765,1,-182.2005775997551
286677,1,-192.46417508014193
529210,1,-182.67127923398874
2660019,1,-184.49750873001707
713787,1,-182.20363898881817
2670347,1,-189.66265300760764
3128490,0,-174.24554969655136
2589069,1,-213.6754660293575
596000,0,-184.7655971957631
2919643,0,-179.91073051507428
1146238,0,-171.43316597880525
3837885,0,-204.29479699325086
1597999,0,-133.26216251809507
1345753,1,-195.52752039243387
2862545,1,-182.09233196791976
1042001,0,-171.93013987885624
3420745,1,-181.88412567801592
1944419,0,-185.63821098983695
916217,1,-62.88503569599992
2184480,1,-168.22693971731135
1975351,0,1317.1282919229443
431478,1,-127.92530467675995
2136964,0,-213.4846050629687
995480,0,-179.37631936890926
3340987,1,-182.7351618217562
3087889,0,-184.09351399303205
3723693,0,-173.78717121844744
3059035,1,-181.79809892915276
3953673,0,-174.6727090667261
1591508,1,-185.23334291224873
1941381,0,-171.75571523214683
3918483,1,-211.7924205292289
1758672,0,-186.80699970765903
2840977,0,-184.55748224161408
1054291,0,566.225049839109
3851964,0,-174.58403078273133
2017980,0,-173.64113122242384
200863,1,-192.6334629254194
1981452,0,-177.08290885087052
2681747,0,-206.13429518998777
648803,0,-180.0052980411999
3505807,1,-192.80089267138402
3325748,1,-182.16945473766688
562052,1,-182.44147726030982
2136306,1,-182.15181426648073
1741634,0,-176.99722645838227
3112778,0,-184.77508680871233
1284495,0,-176.86801319480466
1047859,0,-171.99994737755853
1311860,1,-194.7251385446936
1775627,1,-176.75951917135865
3269403,1,-192.03373194797655
3336214,1,-181.51995018253962
2259763,1,-280.59355806561916
2682901,0,-150.8796442508361
534993,1,560.5075182217906
3103066,0,-172.0601615737045
1644593,0,-122.69220628356551
652979,0,-173.92728061658204
3174866,1,-182.24929324786598
1450766,1,-137.3008859926767
3499690,0,-158.76413552022566
1887041,0,-171.13535166574655
2779118,1,-78.7927790800654
3721781,0,-119.81277658379294
1362484,1,-89.26868640384042
1050565,0,-172.23934094812898
1864909,0,-182.7750869995877
1413849,0,-174.9882766845537
1050956,0,-171.20350139146882
1814197,0,-171.73219765705664
1504682,0,-179.15917988167078
427686,1,-181.53115079662854
261648,0,-175.32725330622392
3934405,0,-175.03775603052807
1936709,1,-195.15901489691342
1980385,0,-175.96784229576457
670845,0,-174.68494933678392
3947553,0,-119.8005092673311
1631076,1,-192.64560557265264
1957718,0,-499.7458234339931
1134812,0,-489.7143556747971
2000701,1,-182.34881295997127
2620273,0,353.66942374906097
624172,0,-234.47401963820016
2472477,1,-181.7271198369635
1644634,0,-177.35822106050904
1342108,1,-125.36597079685323
3346771,1,-181.93943909925713
3089374,1,-192.79842319987347
2658688,1,-184.12822131266205
1301678,1,-185.44117293552438
994149,0,-174.88478762065827
635449,0,-174.35564341236253
2891524,1,-210.22560753477694
459761,1,-181.84386450616503
261011,0,-185.18799463313894
1764425,1,-177.6518013500315
1942573,1,-182.59324531257877
3205545,0,-174.15531057364726
3111798,0,-175.1049528479259
2888531,1,-192.75579517059788
241756,1,-182.0470662148658
2145377,0,-120.33205065645555
3284924,1,-181.85127164407314
2814303,1,-239.2866723632467
954118,1,-181.91523004141
2633021,0,-177.24950030543943
2468832,1,-181.77037182411794
2881265,1,-29967.65456626788
1192934,1,-209.48666988674574
3466252,0,-201.3621872978376
959588,1,-182.42108623980187
642898,0,-174.99871569720318
3076207,1,-10.549269376218579
1429112,1,-181.4508737544958
2668216,0,-171.82760829271172
2723004,1,-182.06586582729255
2859110,1,-128.11309765920782
2461987,0,-234.70248989505035
3310377,1,-181.7437465824223
3131959,0,-119.61558092009092
1197950,1,-127.10907604653634
1978425,0,-122.17496908516934
2820484,1,-127.9451821530465
936495,1,-182.26013339114482
2059617,1,-182.5965703221497
2701377,0,-206.24706657838655
2060417,0,-73.50043190825043
987444,0,-175.12390931659857
3762547,1,-191.44215812995301
1648005,0,-172.1460155824728
1479849,0,-185.22074873364488
3946309,0,-184.3259227037773
2703099,0,-174.01092265268727
2789219,1,-192.33391975904885
1449898,1,-192.57739249554282
2483590,0,-173.97205170528136
1986774,0,-176.9641454592953
1396612,0,-177.014480258579
269915,0,568.0194926883065
3130121,0,-174.91959470522215
2803055,0,-235.66866464649303
514948,1,-182.11725677387358
298378,1,-182.03049257277206
3342690,1,-182.57312542206577
211052,1,-182.30831760030836
1853294,0,-170.90099684680237
2844231,1,-242.84586917920973
1561903,0,-169.84073408822397
682981,0,-174.83677165374903
1171593,0,-179.39216971633192
1079325,0,570.0328056727171
1787435,0,-177.2137152737098
1026027,0,-174.91586256149753
810910,0,-173.9719165913317
461050,0,-174.27592395738932
1353523,1,-184.8490406823428
1998465,1,76.30619769981308
945058,1,-126.37434375173471
3752150,0,-170.1475847269301
2630528,0,-182.20176207798042
562568,1,-181.48288700113352
484642,1,-182.0583970402355
492089,1,-182.21516451716565
216544,1,-181.97644970057678
3241461,1,-192.16352304327228
507563,1,-191.94085097610963
2750986,0,-128.97850956333596
2254185,0,-169.6393537088889
1274363,1,-185.38862325798155
2919557,0,-174.39143626511793
2417064,0,-203.72832540068217
2019663,0,-120.01546622293687
3015320,0,-70.75794664900717
1772780,0,-103.5600225104949
3197351,1,-182.1027753555965
2732372,0,-120.40513113809247
2741390,0,-174.7265164112528
1551333,0,-173.7430645366216
2927067,0,-174.12961080614394
1056517,0,-182.71258623237082
3446580,0,-174.15148777027736
3870355,1,-181.77061157509652
1910663,0,-200.0429271013333
717324,1,-192.09264072855436
366109,1,-192.22101869934977
2433585,1,-181.72734460111076
841247,1,-128.46318684332857
1867889,0,-200.66881619986404
666246,0,-174.45562838206524
987152,1,-191.74032729415612
829638,0,-114.79354950385104
460297,1,-29223.78971081232
2209202,0,-202.91881293382403
812894,0,-174.83836145016215
1762940,1,-184.28958437085893
1782478,0,-183.31311168496688
1946526,1,-210.83157450041028
557252,1,-182.44725258143416
483176,1,-181.96488697895205
3388359,1,-209.82618689867203
295035,1,-181.79033653503606
2723939,1,-181.79523827829422
1992923,0,-175.05699012688135
1168821,0,-172.49595186700947
262706,1,-192.33329178116793
3451556,0,-184.9625265519439
1231160,1,-190.9221248709459
455475,1,-249.06198599995633
3910092,1,-182.26904533195636
3114118,1,-182.05710591569505
1458040,1,-182.9247614104525
2547945,0,-233.90760111981461
287519,0,-184.43244324664363
2984222,1,-183.29801031494452
2208249,0,-174.61892704438995
1827581,0,531.4116481372762
962512,1,560.7168387725652
2639188,1,-245.45612504310168
2904508,0,-169.60891716697068
2915733,0,-174.04178156004818
3934015,0,-174.77035195945803
3443497,0,-174.4426751106724
834887,1,-210.23767526729878
2943953,0,-178.9383985317096
532470,1,-137.93404789916167
1459876,1,-176.66811039681107
2121342,1,-90.19398685916
3052781,1,-79.61726966452629
2818526,0,-173.99729707038892
1211025,0,-180.149868647885
2181682,1,-192.9335384104756
1549166,1,-253.36372692118584
578981,0,-174.71885258011906
3235327,1,-182.40792554744473
1811271,0,-181.28586701250836
3053518,0,-169.44832966582672
1325305,1,-245.261849815998
3412286,0,-212.38246805751027
2706639,0,-172.16500085199618
2001192,1,-211.362146782983
2704891,0,-177.28317393057839
1489439,0,-172.0168060591134
619480,0,-174.75421176270135
843758,0,-185.19555386047296
3053180,0,-198.59116808402874
1755829,1,-184.76145532330165
752953,0,-174.92560728386593
1168261,0,1322.8161493978675
3143225,0,-174.52663002412447
1917654,0,-116.5087799969108
1987609,0,-181.71829075845054
1278129,1,-184.50974309812761
943018,0,-115.50311112109401
515370,1,-181.91156740379702
3363553,1,-192.34127535849476
2486033,1,-220.75997618481577
1037648,0,-173.69310817864869
212012,1,-181.93411450325235
2721402,1,-219.45478535577865
2898333,1,-182.70212132182013
3659796,1,-183.75028403450625
3889175,1,-182.04806503684597
1224687,0,-203.51296625589617
2766668,1,-182.04149253743873
391608,1,-182.57555380187083
1791599,0,-177.65274774470404
748528,0,-148.98407350341745
3518527,1,-127.66771466336262
3890632,1,-180.44013790796387
3389580,1,-182.67306260818563
409816,1,-194.7934631012061
1791240,0,-175.9615675612971
1080492,0,-171.48875400855476
3483835,0,-177.68195117990652
1694896,1,-138.46782484432808
1974571,0,-187.39766866392836
3749761,1,-187.33841983999594
3410790,0,-174.1604427918577
1782016,0,-176.21957029919045
3025644,1,-181.47457582732878
1274438,1,-195.09316460648822
1243608,1,-189.75505796884474
2414732,0,-147.81803647570715
713241,0,-114.38124242759642
1863213,0,-171.5844260077466
2197173,1,-182.46361893075732
2064081,0,-184.6441365854738
1916032,0,-171.76000590488843
1419181,1,-181.54089062291567
1110148,0,-172.23859127377332
549047,1,-192.37787607683754
2253658,1,-182.52449663583596
1511817,1,-182.43917203441188
932962,1,-211.0684385167665
2551115,0,-174.6232073900018
1024797,0,-120.14937713882777
424460,1,-181.26907891769605
1252360,1,-186.7806689447573
1042459,0,-170.03342597550105
3789905,1,-180.91274715385677
1981335,0,35.48452957332846
1792320,0,-175.82932265821506
500794,1,-176.756411908517
976024,0,-173.79242946628008
1843150,0,-116.33609957432607
2014600,1,-79.62856956730039
1395599,0,-177.69114345723997
3682830,1,519.5027929489648
198579,0,-110.30632399105667
445665,1,-182.1283785365867
1049066,0,570.9198500944657
3301367,1,-182.47219041662544
305017,0,-174.6178767091535
3799353,0,-29954.178617113135
735632,1,-182.35209316486515
1838190,0,-170.38233816074214
491065,1,-181.97100861960507
3910741,1,-181.8626939397244
2512128,1,-179.65809706011726
634432,0,-202.4578287583324
1591176,0,-205.94738764376203
2673243,0,-187.53154166838254
2124740,1,-182.25847213419476
2123380,1,-181.37615156813138
2139724,1,-182.5220061658052
3735949,0,-184.53391014403397
855525,1,-182.44277372383462
1615831,1,-129.44455469158657
3372351,1,-182.67201924905567
3895519,1,-181.77203760602623
3494793,0,-174.16813201600937
3895911,1,-192.10397445022693
2268878,0,-159.79695665512915
3233011,1,-192.13931940853604
1373227,0,-177.70818120776934
2790422,1,-192.4221175975599
3853639,1,-182.44688716543754
1710408,0,556.3935364849156
3354139,1,-182.04812540969402
2014447,1,-181.37907604262963
3660606,0,-119.84149994154251
1388555,0,-176.68050906175034
1500370,1,-192.45657000363792
2908913,0,-203.41933485497938
