sample_id,z,y
3033706,1,-34.592990045161415
530184,1,-33.84699734552659
2174533,1,-36.05972502110419
2144213,1,-44.267481268686076
1874020,1,-34.111997614901036
3290771,0,-34.09526225598281
3745464,1,-32.27021343944123
1003386,1,-34.32183408722565
317146,1,-33.27762805823735
1703101,0,-34.88608391650202
1558580,1,-33.877546545811384
3452832,1,-32.87362279377704
3459751,0,-32.37943312020738
833332,1,-34.36297571155146
3081096,0,-33.5033830819567
1875084,1,-37.506747657527264
433083,0,-33.921566645133346
870876,0,-31.9599928934183
308265,1,-35.16962887355458
3047713,1,-35.263218902599824
237409,0,-34.80618895109634
2493721,0,-33.677403359501305
3920058,1,-33.4400357184476
1538200,1,-36.81484577034138
1957425,1,-32.89085141963164
3412261,1,-35.28192203065235
506064,0,-35.06725968978664
218562,1,-33.18051802685032
2869249,0,-33.864506619933266
2714908,0,-31.941626098938155
2565792,1,-33.19178134327778
652336,0,-33.346960946506584
474226,0,-33.543439390299206
588684,1,-33.12084867055497
3512833,0,-33.73774275414264
3801249,0,-32.309852287541425
284309,1,-34.03984310054567
212244,0,-32.537141586952835
481017,0,-33.37126948890546
3467570,1,-29.8122384448983
2865858,0,-34.62357737913832
3959765,1,-34.49914687993536
2512674,1,-34.50560849210081
1330277,0,-35.89597936416816
1018092,1,-35.22255602027243
3656965,0,-33.1044573978756
1970658,1,-33.70562639330878
953423,1,-41.08647770507568
1065747,0,-40.47917879012379
2111460,1,-34.26219781187938
2945555,0,-31.67378988066293
3037977,1,-32.95406315286384
1017445,0,-32.23518569126684
939657,0,-33.9292209810166
3217026,1,-34.214500676679506
2276913,1,-33.745329244421164
3296057,0,-33.40982870654215
3278092,1,-34.181195375702245
3668509,0,-32.77299248120975
2114541,1,-34.25830788890552
3053174,1,-35.554629324388955
3090002,0,-36.40963887016667
3106531,1,-33.90604683718238
3285758,0,-36.48984371604914
2117310,1,-34.83594671601235
230885,1,-34.47503721494858
2421841,0,-32.766208211873796
3054411,1,-34.98776448616876
2499904,1,-34.21389906608459
625192,1,-33.56730945488542
562270,0,-32.67213245119506
1872353,0,-36.32943253559505
3175731,0,-34.10684284887948
546513,1,-34.71110367554291
2906998,0,-39.16328939556889
3273447,1,-37.17319684338792
875548,0,-33.794939563449624
970519,1,-35.28165256687167
3732201,0,-36.17985409509433
1897580,1,-40.17972596551019
2762300,1,-35.0829162921673
1126844,1,-46.49629158222157
3402158,1,-34.39407299493602
3033080,1,-33.64723641427786
2926708,0,-33.43141724669637
3366739,1,-34.39049037308616
3735833,0,-33.2857462758446
3533995,1,-34.35901801256177
2465049,0,-33.61695904197518
331854,1,-33.835740074162395
1558167,0,-33.97061276919541
1309444,0,-32.887248816217856
1962566,0,-34.420719176175346
1581984,1,-31.36172026341297
1955723,0,-33.8670950807302
1705487,1,-35.60110380926435
1550372,1,-35.37298944259337
2228725,1,-36.13594731537893
288148,0,-33.583218276169156
2849898,1,-34.18141167841484
959034,0,-33.70672482208541
1305745,0,-33.945333884585004
2786005,1,-35.78025935684321
2897880,0,-30.44082142198311
1425340,1,-34.41961116095259
3028532,1,-37.01960033711781
1515641,0,-34.31218331633017
3874040,1,-34.09386003898628
1762789,0,-40.178124582506754
3098373,0,-33.52222972848191
3441820,0,-33.41053465243268
257899,1,-36.731237182930045
3153441,0,-33.77264229307571
476202,0,-32.80374382372595
1515914,1,-34.52134806508603
3120988,1,-33.63139869955407
2009199,0,-32.41849471039753
