sample_id,z,y
318886,1,-327.60913753953855
2152825,1,-299.6966290774942
3074310,0,-298.2804564130956
3059194,1,-274.3119008011062
1587004,1,-308.50602849035835
1418843,1,-309.9797929047726
1971994,1,-281.7631276829274
2692610,1,-292.5049503211831
3420867,1,-313.48408986932424
2977877,0,-280.8261946018676
3431114,0,-291.2473832465708
1264346,0,-294.4273228014786
1618435,0,-297.818073621957
377007,0,-283.0765655808775
387390,1,-299.47417087301085
1557485,0,-287.6832594077762
550160,1,-296.4386564583364
3850361,1,-308.4024073584645
2795127,0,-286.9600114031701
3764864,1,-315.7843105366686
2108998,0,-284.7480976202332
1240974,1,-317.0731866204667
1335954,1,-286.10832569866477
1140887,1,-303.0181420200556
3175944,1,-310.1088901895028
525879,0,-297.4918508067362
2500393,1,-306.50370727805625
317565,0,-275.04680094427175
277401,0,-284.21189168290437
1385749,0,-280.8786078767947
3523756,1,-291.2764466680274
1570944,0,-301.5373235209505
3424835,0,-284.3281703535534
3907355,0,-277.5257519900538
3783745,1,-310.7883265158985
3549162,0,-285.9042179110317
987183,1,-306.2900145704538
3028510,1,-301.5695398709437
2719651,1,-306.6176229926877
1810489,1,-305.69206625049463
1988535,1,-306.89847616759573
557318,0,-287.7621081971357
3300745,1,-320.5668482717885
371144,1,-313.86210562857605
2540888,0,-308.28856321949667
1660726,1,-291.7820745895117
1740389,0,-277.8274204885046
1032487,0,-286.55427917048155
2912083,0,-284.53818058125955
893425,0,-286.6431371676755
978974,1,-313.1746611330327
3302003,1,-293.63854312394415
3862031,0,-287.4259362508192
2614491,1,-313.2907799106622
702116,0,-290.7490613572335
3419477,1,-320.32297310783105
259753,1,-310.298832917076
3165345,1,-281.56992965923865
728216,1,-307.70940135648544
1628996,0,-273.9703341558135
3119859,1,-308.2463341926761
1557872,1,-321.77290760772195
2892806,1,-292.89508394857677
1824093,0,-287.19405927719885
2807632,1,-309.69429856492116
3535181,0,-297.08197451505225
2206800,1,-315.97951901035657
1119288,1,-310.8652917614471
698781,1,-300.01173891777097
2657772,1,-325.4082668421198
1771315,1,-299.6471617796149
272630,1,-326.51224108493983
1303069,0,-294.52977453583793
3313853,1,-291.17789841058055
1371275,0,-261.457863430096
1280960,0,-298.09534358440175
2695884,0,-294.8115036110599
