sample_id,z,y
599262,1,-19.469458521755517
957004,1,-22.130426088903636
1097519,0,-15.503500845968015
858173,1,-16.29980147006235
3512833,1,-17.876559620767587
3272009,0,-30.102284665530586
264363,1,-21.484074161695634
2712207,1,-18.589609030282382
238577,1,-19.375316757413227
1327698,1,-19.542511038154892
3475903,1,-16.09799940003353
2974100,1,-31.47333913686316
1456177,1,-17.148940220249592
1052121,0,-16.48737708773058
238109,0,-17.344355954047053
687857,1,-31.677869503053326
922923,1,-18.841944125044343
735243,1,-16.3482575290447
3327572,1,-17.142774572511733
2549192,1,-19.514456762895826
3664438,0,-17.924998039586217
3882321,1,-17.572622250344292
2581429,0,-28.85592369278522
1436834,1,-18.39354872681063
2244652,1,-18.09671666607238
2604859,1,-31.931628785547986
2777429,1,-16.98446111264046
1020037,1,-31.55400579030642
3222486,1,-17.591388635679465
1573443,1,-16.41630422052532
227192,0,-18.02188977129735
3438289,1,-16.675972630160178
607000,1,-16.98700895928167
1138262,1,-18.799114448449885
2436581,0,-30.580227206475225
1839424,1,-22.315349056877732
2027278,1,-18.883720229427336
2894292,0,-17.885538378603055
932955,1,-31.675021326142865
738693,1,-19.270491524716356
1779780,0,-17.16091778636519
3876693,1,-19.33756322971989
3371810,0,-19.938145711895505
2631246,0,-16.421833286370898
3495807,1,-18.618278467373518
1217238,1,-19.261061563541624
859539,1,-17.912497931503957
2891229,0,-16.60471383687651
2511081,1,-18.504423353805027
3759444,0,-17.41156253257758
2547117,1,-19.627974211257094
1745546,0,-16.689887968581555
1807242,0,-17.535031945266745
2196063,1,-19.619397364007522
1631167,1,-18.110466046952393
437660,1,-30.995529181205683
1663801,1,-19.892757574335924
412956,1,-20.381783628632352
3414327,1,-19.406212901257746
2390632,0,-16.582150054143206
2566916,1,-17.93693803462918
531587,1,-20.260408960266986
1722762,1,-22.587340355210117
3289072,1,-31.284951456316758
1560865,0,-19.48182870216694
3171601,1,-19.120095666414393
3424561,1,-18.307792944252636
327634,0,-17.68619637533787
2988880,0,-18.027753482767206
2467237,1,-15.82881084792284
405467,0,-19.513796216804277
3272121,0,-31.072072032699904
813416,0,-31.90621674967136
3004731,1,-16.75026376835091
248413,1,-17.428309814347053
3913014,1,-19.23512892363679
3284427,1,-17.94728124386013
1712244,1,-18.04897325747497
827602,1,-16.84776083208718
3417360,1,-19.928053650597192
2186175,0,-18.52599508256152
2681640,1,-18.023366682537485
3256328,1,-17.620755224077843
2624744,1,-19.67311538552714
1544734,1,-19.257995689889224
1727035,1,-19.13550515657896
691989,1,-20.570990243454602
836303,0,-18.57766773060425
655177,1,-21.078208231904586
3185040,1,-19.159767858120322
841314,1,-20.304933554510246
976036,1,-31.28647315032273
3127718,0,-22.574140117687058
3057889,1,-17.644839664183053
2790618,1,-18.123309865540726
1701595,1,-19.93427425225633
202920,1,-20.524708360814437
1031885,0,-19.909122864739203
637517,0,-20.04596641258675
2814221,0,-15.165559706955305
1965949,1,-16.58357940632103
1626003,0,-19.670367081003942
2883938,1,-15.512060857872543
2052485,1,-20.12319986954562
2798116,0,-18.17860342370054
1647062,1,-18.26299539258522
490354,1,-19.369564098921277
3000373,1,-17.475710917817118
3273256,1,-19.058518159535303
624371,1,-19.019811298953023
2859110,0,-17.86677585851302
3477643,1,-17.841551446294275
238622,0,-18.25930715060452
3443854,1,-18.069117130616636
2979280,0,-31.146505608796993
1245210,1,-18.849381329366317
1527170,1,-18.904550268245682
2664575,1,-19.79533895387485
866252,0,-17.529714671706305
2518352,1,-32.76452167955798
3944512,1,-19.373156695674925
3407043,1,-18.45373644605726
1154401,1,-18.603665196528613
3951231,0,-17.773995403022912
562663,0,-18.001513683520425
1425775,1,-18.373385708233922
2567700,0,-17.51711240489169
877076,1,-19.643969344205175
1867514,1,-20.088063099408604
2443140,1,-17.422649488263318
864093,0,-16.899627959932253
2531866,1,-31.106062505562978
638333,1,-19.236707454319713
2915044,1,-21.52970120157217
2760223,1,-19.370247922737803
2841233,0,-18.93948056252643
1330668,0,-18.1508390020398
573019,1,-18.045044297432412
1706063,0,-17.668536268414602
1841918,0,-17.821919847838767
202435,0,-17.5610234222263
885196,1,-17.270590982939652
2532239,0,-18.659504450635
2401635,1,-31.796875281811733
1248923,0,-19.883089871781326
2052856,0,-17.248882106613895
1246402,0,-19.35842709265295
2626535,1,-30.856968987658355
1904085,1,-19.30425409622684
1137709,0,-18.277653663218842
3905913,0,-30.562489541597223
820748,1,-18.043460162389515
3808051,0,-18.12656304932552
