sample_id,z,y
3105290,1,-44.906939030458595
3759513,0,-50.30555135677205
1957365,0,-81.46711908475598
529384,0,-61.652874530649
2636269,0,-13.204957177637802
475935,0,-50.676709552171644
3301588,0,-39.628179266646214
3503090,0,-49.939863593076524
1036429,0,-50.45725723267389
215171,0,-39.58608338799167
3017621,0,-50.78374024141346
1300955,0,-50.46227391355025
1260079,0,-74.3298806255667
3881888,0,-50.71695469020147
2810869,0,-61.818102724427355
1698639,0,-47.1821526222585
1128094,0,-39.50486544148929
2488888,0,-39.63903213764316
728092,0,-40.160082441829
1643955,0,-50.42463685478449
2155170,0,-39.55171654989625
3540719,0,-50.54897440218395
813549,0,-30.661662059857143
2187580,1,5.470070983616119
833019,0,-74.05212659849191
3476052,0,-61.700477515907934
1634940,0,-74.43624464305707
3306308,1,-34.575137119059406
2180325,1,-68.88147355478146
1082885,0,-62.02127400771666
1875895,0,-50.26521352575276
2478849,0,-40.19787753276871
2632677,0,-13.55718304700127
3000656,0,-50.63249565135765
1431632,1,-34.46761666252878
3465989,0,-61.8230019188684
2936992,0,-50.472687231747685
1427527,0,-50.399602499766324
1394886,0,-74.44086300249322
3913924,0,-61.636128881421776
1902835,1,-68.89791698933115
2698701,1,-56.40615376536682
3097091,1,-44.925309315036
3742199,0,-30.003253920553572
1511845,0,-61.88522275220672
2123957,1,-45.04631699251158
2869735,0,-87.13132538843232
3087696,0,-39.68925031464123
361642,0,-39.8298604368307
701613,0,-50.55309776434147
3781750,0,-50.72132619815903
3265078,0,-39.824353410503136
1941593,1,-76.09722523049537
1861324,0,-61.94298944865633
3868333,1,-68.91799473655679
3153093,0,-29.942391024482927
3209199,0,-30.022826005660942
3100257,1,-34.09183851146861
2429021,0,-61.859515430404485
2976318,0,-39.476767124989934
2039862,0,-61.40566965123112
965380,0,-50.29994791053928
700095,0,-39.29064891066006
666943,0,-61.888634395941715
610162,0,-50.31230497799053
1035626,1,-68.59627577510867
2009083,1,-44.83483839865668
2681918,0,-50.290433122755736
3322077,1,-34.3148216039611
2905343,0,-39.99127044246182
1298346,0,-30.21475423651162
3024746,0,-40.07195971137586
2166298,0,-61.399428936709626
2241964,0,-87.24881378510273
2891037,1,-68.74823700193949
3231798,0,-50.6226417782957
2659644,1,-34.30271973469124
511084,0,-73.92596322971966
3444028,0,-74.00951524780646
1146077,1,-44.64581279524883
3258693,0,-6.301998177639021
1957295,0,-57.8404472898758
571211,1,-82.15219430632894
3923147,0,-39.64189332244289
2705856,0,-21.081545928762704
220382,1,-56.25787481405318
853217,0,-50.276652923972335
1698450,0,-94.89153889837
1904436,0,-29.799192918900665
2452594,0,-39.62268715931468
413896,0,-50.40183748146876
3948743,0,-39.87756010370616
1846999,0,-39.24345456572568
1699733,0,-46.86388159054987
3453791,0,-50.11648636819466
2628571,1,-45.29366888460145
750432,0,-87.10081085997997
2399225,0,-61.8713986626717
1489106,0,-50.874447975502974
2489705,0,-62.43627486642125
3722036,1,-45.29280860202022
937105,1,-68.76625823215107
1626009,1,-44.791618532877436
1056852,0,-61.64174207409187
522105,1,-56.26864872812318
1067460,0,-39.79361027935814
1474472,1,-68.86338839001789
728401,0,-50.62290943477633
2004373,0,-21.730046350218657
2186989,0,-50.095411415037496
1256728,0,-39.938504260757774
1960150,0,-46.982198153358055
404192,0,-39.79902266830593
1777746,0,-61.93235434765762
1432441,0,-39.683918162698696
936779,0,-30.295317022621596
2477268,0,-30.129439639333448
711269,0,-39.71207575439924
2638243,1,-56.577135231002465
1427962,1,-56.151990752380904
1029055,1,-33.99136147261263
950289,0,-39.88777615935142
552554,0,-40.06699180177947
390751,0,-50.737337987113236
841193,0,-87.3589032800442
3020677,0,-61.601461847257724
1026526,0,-39.41234363976894
433083,0,-87.6944146695155
2286985,0,-50.73928999129176
3923702,0,-87.36597227520595
2808279,1,-56.379790168730466
1510664,0,-40.20803421328462
2890946,1,-45.22179700018316
252035,0,-39.81877827762957
1435173,1,-82.09955161815732
3143027,0,-61.80245251608034
3460249,0,-50.440737142093376
3247350,0,-50.282946121201626
3746487,0,-61.562246119349396
3547994,0,-50.25765368657429
2906587,0,-49.94839471311695
1237696,1,-56.30687174989352
3678736,0,-39.57720502409788
714769,0,-50.45054929243495
1567572,0,-40.08824884644584
3732765,1,-56.553935183416115
1132136,1,-68.78232242399702
288900,0,-50.380098626286625
959323,0,-40.03680362917932
1594036,1,-34.56353987159083
3267050,0,-39.58903417620146
324364,0,-39.769187502441696
2502844,0,-39.389282321055845
2983712,0,-39.880085176563114
681280,0,-62.02590255414252
651817,1,-44.92339227022625
1869032,0,-73.5965258817896
1086491,0,-50.510060132442696
200634,0,-61.524493731090686
3458940,1,-45.1827849539768
2815247,0,-29.89140497346131
3255869,0,-50.226302728203194
1066958,0,-30.061120144090513
2757236,1,-24.79624558674885
3303901,1,-68.72792243016107
551988,0,-61.97246872824793
1369388,0,-61.83021670522676
3197630,1,-44.84523959293025
1435057,1,-34.1094259118119
3298263,0,-39.75849669125756
1244291,0,-61.39132640951751
249398,0,-49.8629828390662
578063,1,-24.0928187186861
3187235,0,-39.48287531728493
1405966,0,-39.53618233880248
1958226,1,-52.52749581007383
3714868,0,-50.19743864470958
3006449,0,-30.61435631691902
1303171,1,-56.326086215699874
2222820,0,-87.24486896354057
383298,0,-50.50249216335777
3115780,0,-39.95243781500568
272698,0,-30.30384565926812
2727670,1,-44.91866011412754
999318,1,-82.11410497793273
2580572,0,-49.815051430620294
1480046,0,-30.41199113904352
2275616,0,-61.8596346863015
3284483,0,-39.40237849153913
1427468,0,-61.76918881065956
1772565,1,-34.55308990643742
1463951,0,-50.40877877787713
3833263,0,-62.09280427438003
2017200,0,-39.85340949085454
714426,0,-50.116221545079995
1143185,1,-34.24635043833866
3197011,0,-29.892362931957678
683386,0,-39.65974980000149
508846,0,-50.54799950991096
1743399,0,-39.49064752762958
1948319,0,-47.439251009861245
2788585,1,-68.9347864500677
400732,0,-61.62541274815919
1245578,0,-39.528135295947536
1014570,0,-39.762145761341124
3844709,1,-56.439081109742084
1749495,0,-40.10752053353113
3340788,1,-45.17554787790062
558775,1,-68.67456537444068
3461262,0,-39.80946977746949
928095,0,-50.45038673459924
2504105,1,-24.577853028777806
3780370,0,-30.019392535925896
3333727,0,-50.40199581140127
2904835,0,-61.23412353368453
979819,0,-50.65578564521583
526390,0,-61.877610594043
1315439,0,-87.43103478967147
3860594,0,-50.37724414766744
3009744,0,-40.33172139558413
2492746,1,-45.259067655281456
1467468,0,-30.011553543238094
299155,0,-61.79037933245992
211999,0,-39.96737150611134
3370023,0,-61.49263011552846
1501221,0,-29.60258595061056
3503867,0,-49.85636025447392
351435,0,-61.89859664259368
1606264,0,-29.753165452466245
2947072,0,-50.443330442785665
873702,0,-57.517479828992926
1212339,0,-50.29104418337502
3943681,0,-39.566874398262165
2819503,0,-50.14493580184178
3235721,0,-50.912205545832414
909763,0,-50.278210180793145
3360094,0,-40.597278962756924
2848614,0,-87.27700575890195
1108108,0,-39.72282999699891
2279946,0,-29.508893179474253
2852432,0,-39.63364152116014
569280,0,-50.464991754852875
2690895,0,-39.929830151410805
3047610,0,-40.06776495513393
3884926,0,-30.086214352696757
469451,0,-50.32125346013916
2258232,0,-74.18131940367317
3457161,0,-61.93727492235506
3395008,0,-50.21606871660158
1553610,0,-74.1971499101809
1088515,0,-39.8971264432667
