sample_id,z,y
3793442,0,-1.863965017707344
974124,0,-2.2060348008886175
1743611,0,-2.3207791612286557
869444,0,-2.3995459146474563
1672971,1,-2.3738479207022176
967897,0,-2.3583127005006386
3174355,0,-2.5819217783268966
860479,0,-2.069347101921004
1471488,0,-2.054379830630793
2730283,0,-1.8690385654888275
1548694,1,-2.5509228911259303
3221865,1,-2.2929115591131826
1121783,0,-1.2936371548480088
443320,1,-2.687279468647063
1504689,1,-2.398999798779645
3892904,1,-2.3922684276610333
881676,1,-2.4375184855583347
801829,0,-2.401152313891114
1852696,0,-0.8555864165004399
3524193,0,-2.012093223382869
214789,0,-2.6254264036232122
1434715,1,-2.7472300948767714
3474818,0,-2.1249485473612197
2106687,1,-2.5508448088047704
1083142,0,-1.1104065045130465
1356920,1,-2.60219595762057
3525886,1,-2.301860460766224
3453791,1,-2.3626672438576977
374964,1,-2.8083047491649733
375884,0,-2.1785638796824633
838276,1,-2.4113454516294097
604588,1,-2.6516978332232464
1136836,0,-1.1632112141982884
227652,1,-2.1802935019337806
603235,1,-2.3781705151894212
2738691,0,-2.1725232017166376
3433796,0,-2.46205448475769
2680817,1,-2.5121001058140777
254481,0,-2.454534999876612
485012,1,-2.5071378415508945
2024462,1,-2.8143631682331245
3851756,1,-2.6034848083819995
2975269,1,-2.2557959317434793
3206605,1,-2.147476013286736
2720250,1,-1.7949684947289373
1865486,0,-1.4176197735525984
1974628,1,-2.5142760269899656
2770458,1,-2.498291811732872
1205742,1,-2.2100149448091053
1887165,0,-1.1132315385187026
1522059,0,-2.394285142246437
3666379,1,-2.422918092439236
3268779,1,-2.190008510673786
2276239,0,-2.3401344448022465
3723445,0,-2.639072272012571
3379323,1,-2.1339319182066268
843923,1,-2.15688499196544
974514,1,-2.449886037607471
1453419,1,-2.315401438492213
2464656,1,-2.251818228079472
736949,1,-2.754073368891408
1711428,1,-2.20243364215049
1954855,0,-2.266732584696173
2719144,1,-2.295085084029143
1621222,0,-2.2733594098201713
865695,0,-2.2131238895269276
2186386,1,-1.9569145935771413
3070028,1,-2.440215233615153
1002676,1,-2.518793349590685
