sample_id,z,y
1916675,0,-12.742531641816855
1195015,1,-15.321163340646095
3511901,0,-13.29901524641346
3326763,1,-13.977909990330526
1149376,0,-12.20193252338018
3178320,0,-12.19209100510532
3357125,0,-14.081513814617674
3027473,1,-14.413132587424714
410801,1,-14.433815501984506
626647,1,-13.474949787713951
883630,1,-14.138844343838167
3121163,1,-14.514017004589208
1681980,1,-13.856451989382503
344366,0,-13.75883722364932
1565787,0,-13.569062412041125
644297,1,-14.861989530611947
670595,0,-13.117516293611645
1324816,1,-14.571142338280952
1706797,1,-14.368676907602692
1520052,0,-12.104443177653458
981536,0,-12.144250054344429
1237822,0,-13.90805592426988
2233433,1,-12.99477693468218
3243437,0,-12.899081829963626
875138,1,-13.0720971101885
598351,0,-13.950423068836642
723127,1,-14.441993708095524
3718078,0,-13.551832766159142
1569116,0,-13.25952468048539
3797356,1,-14.211599199047471
1488592,0,-13.766895639220651
1599601,0,-13.56591624994161
1704183,0,-11.660020741399789
1864909,1,-14.417632996295506
2206933,1,-14.147859509711294
287442,1,-13.584036691725029
2615170,1,-15.115615665294213
1538774,0,-13.20454287915076
2925463,1,-14.919070651185162
373831,1,-13.749048073288856
928496,1,-15.009794808786205
1910950,0,-13.448758874457171
2853781,1,-14.892654388900729
3303146,0,-12.92110603805346
1979462,0,-12.516916212441192
1857241,1,-14.716293738693944
1322749,1,-14.083937656977119
900884,0,-12.939346072476805
700347,0,-13.54376551880705
1608579,1,-15.359459263864437
504580,0,-13.08073508468915
2808831,1,-14.799336508373106
3506037,1,-15.067417145280805
399270,1,-14.286623142136813
2167145,0,-13.138765665190112
3093140,1,-14.331945202653637
879740,0,-12.961435823563471
1974259,1,-13.027639970661054
2552224,1,-15.786629971325972
3697415,0,-14.015491418584306
3331333,1,-14.908251249866584
288900,1,-13.92824081208996
1826208,1,-14.85731303668625
3922884,0,-11.804817125702792
2711356,0,-13.933481072104065
3341068,0,-12.487236604844576
2994537,0,-13.898548561743766
3937889,0,-14.033428998692766
1939852,0,-10.616469935874662
1564681,0,-12.978905516306543
845366,0,-14.366367310517553
3942463,0,-13.275335776922832
3067296,1,-14.116009547357576
931263,1,-14.381735386751876
2976048,1,-14.642739738983204
314612,1,-14.966253133460246
2151058,0,-13.518649313692135
2584220,0,-13.15903250070309
1516563,1,-14.501574746388474
3391754,0,-13.134944294119599
2988514,0,-13.749170468043301
3197171,1,-15.125885983116783
1916001,0,-11.831195327192441
3296735,0,-13.13681764613512
1487566,0,-13.431562056432028
979845,0,-13.272359128031683
3791778,0,-12.838504952170608
1100279,0,-11.817535825802901
2428026,0,-13.651347556387066
3133106,1,-14.85282040960099
1215482,1,-14.792433837187511
1356760,1,-14.62229250907831
2180212,0,-13.65995167342917
2779648,0,-13.044718132699527
3105324,0,-13.552792762220768
254365,0,-11.991505049062997
1964617,1,-13.628514841865089
1248358,0,-13.155764807252856
902405,0,-13.380510843910542
3724537,0,-13.479776857105175
634354,1,-15.048902520883667
2611661,1,-14.094893800095582
3677187,0,-12.061892074545517
669953,0,-12.64254419112686
2283872,1,-14.124573048632389
517200,1,-14.774931270762172
1675643,0,-12.388572181275714
1886734,1,-15.124981289520068
3850852,0,-12.532363935398863
2236558,0,-13.896602340855058
315298,1,-14.155789336404183
1825284,0,-13.133487406439736
1857561,0,-13.309023188756816
2559738,0,-12.388658840099831
2879434,1,-15.355351003520843
3741874,1,-15.231832977971955
1811101,0,-13.951446696665577
3779431,0,-13.967193304164397
2870971,1,-14.646708484108975
2019355,1,-14.959802705353
1868337,1,-14.969164308663222
3348171,0,-13.107130148751116
1542710,1,-15.17385419098761
2854204,1,-14.499090941210705
2471957,1,-14.989086593214424
1294977,1,-14.125242684319872
850540,1,-14.82060087810359
1490974,1,-15.11659992538827
2418936,0,-13.333906366176349
1753006,0,-13.414669626087626
2932768,0,-13.605172094969083
2804824,1,-14.771348986616642
1435725,1,-14.758078318022562
3312185,0,-13.663372679921
1776624,0,-12.154712583462912
2064312,1,-14.413884117273954
431031,0,-12.96831647636745
2151252,0,-11.391802481781996
950042,0,-11.90511545122187
2842678,0,-13.774952543941009
1239379,0,-13.280643568124345
3699568,1,-14.379129322968517
2780342,0,-13.392203788560556
1080661,1,-14.835899225871147
2197220,0,-13.572504908164474
3111045,0,-12.470997759589036
2872597,1,-13.836611083827796
3297868,1,-14.879483700723762
1915559,0,-13.19357043405323
2502379,0,-12.801523800264356
2943832,0,-13.83604825042266
3496992,1,-15.0646744865788
2645210,1,-12.344035968636904
1380469,0,-12.630018328902961
531148,1,-14.575574176497142
1572629,0,-13.5616832477715
3431356,1,-15.598631141499954
3247007,1,-15.055133166408918
2038425,1,-14.728609987051739
3079822,0,-11.533919546995312
686796,1,-14.559834566577889
650822,1,-14.108864494964351
1908375,0,-12.602738349479761
266135,1,-14.581048783776389
1940344,1,-14.513517232996051
1581575,0,-11.897267624963497
2785216,0,-12.434521083359872
2766003,0,-12.275914190709635
2810572,1,-14.282066034486068
1239163,1,-15.036041655019988
1831542,0,-12.946460798582262
942239,1,-14.95697002197882
3706332,1,-15.532978747804128
3388065,0,-11.763387721553254
842210,1,-14.511582968525607
2492099,1,-13.073046067660634
1213524,0,-12.539917416856063
1083612,0,-13.430670877569973
2189633,0,-12.23616631438463
1785823,1,-13.906373673586797
2120501,1,-14.220013563110244
317928,1,-14.079851205985722
929698,0,-13.132224414336198
1704559,0,-10.912314956061977
282672,0,-12.980744433877732
655714,1,-13.644837662872442
3706333,0,-13.463737531328116
3011015,1,-14.032643542360862
2635276,0,-11.401418212196802
2164450,0,-11.752844989051779
685610,1,-14.583185061791491
383541,0,-12.828782339392198
1243893,1,-14.940439435777009
1065267,0,-11.814173901328633
2171144,1,-14.597984738507348
1758902,1,-13.405819100778958
2964337,0,-12.324726111499022
244614,0,-12.572316815983912
2236507,0,-11.687497137233677
1729651,1,-14.229364756637946
2609918,0,-14.061862583824967
1167867,0,-13.838056071581468
1142613,1,-12.573696577447128
2179282,0,-12.919142160574081
2149857,0,-12.458204509542337
514426,0,-13.539663051544219
2146081,0,-12.224136439554004
3049363,1,-13.996939579939811
2161753,1,-14.405160466127741
472848,0,-12.919775398794881
2577954,0,-13.378752919007452
1086780,0,-12.185375575709871
3011232,1,-15.361218558601118
753873,1,-15.333417393674194
1941116,0,-12.409025657799098
3252959,0,-12.902300209102163
3218911,0,-13.85939829694867
3286760,1,-13.704765916713527
1518424,1,-14.412998832759785
1683803,1,-13.135033824103019
2451383,1,-14.460105117102573
2560708,0,-14.422975371161959
3155730,0,-12.092408681544581
3765028,0,-12.285218471461638
3888697,1,-13.26458167369592
2664575,1,-14.807659418195932
2475739,1,-15.469273741593577
2617326,1,-12.454371947498235
2916584,0,-13.736024709532746
1604984,0,-13.334693050166896
1453870,1,-14.36495553634747
2698318,1,-15.565745283649834
2986285,1,-14.514600147301199
389117,0,-13.380585894927798
2728880,1,-14.770379566922227
2600735,1,-13.961449534560165
2246577,0,-13.75399627594955
1666244,0,-12.523870244432766
3067387,1,-14.585844559995186
2675704,1,-14.931171905307755
1624151,0,-13.198216706182523
3360863,0,-13.152676231648567
2660474,1,-14.762175326664353
3932654,0,-12.90829592929833
984170,1,-14.28312887654861
1516499,0,-12.53434062364226
2276832,1,-14.858849696692694
609804,0,-13.379985963795193
2924511,0,-12.339216955205444
3810006,1,-14.827615112819027
3369829,0,-12.428773553405465
3506379,1,-14.701672747659961
2940296,0,-13.22964465490013
2155282,0,-13.604051834024656
3453791,1,-15.208145449746967
1845246,1,-14.760522070745225
3917760,0,-12.260031961896047
3232761,0,-13.318226260530484
425403,1,-14.188587891721845
493161,0,-13.033897449385668
447431,0,-13.054215618750453
2741719,0,-12.60833006835325
2252194,0,-11.785757096770853
2428715,0,-13.425937158498684
1087419,1,-14.021957411173979
201426,1,-15.469940807723706
2031659,0,-11.522152660048908
937538,1,-14.959690916865611
2225718,1,-15.347265325573877
3169905,1,-14.682533848013003
1344199,1,-14.807034837590042
1435642,0,-12.301854891748244
1565036,1,-13.052570629455309
3197067,0,-13.840852932673245
2405624,1,-14.255375863475427
2158438,1,-14.687443575862476
3343820,0,-13.97541381449185
3916601,0,-14.026845843864956
3249148,1,-14.074141598490936
3805215,0,-10.878070497586684
3528846,1,-14.591644490155517
2284467,1,-14.398646897979365
2985172,1,-13.432810981337065
2444641,1,-13.057569690802444
1754807,1,-14.609248657477366
532016,1,-14.521878039181491
2858198,0,-13.316237508977629
556221,0,-12.93567300548676
2901301,0,-13.382758268436508
3156130,1,-14.11542737969237
2846959,0,-13.021663372130238
2969378,1,-15.389180504683544
1614704,1,-14.772044131199333
885426,1,-13.726058604623605
