sample_id,z,y
834119,1,-12.925690267802853
2854533,1,-12.62215194431401
2500212,0,-11.737394244680585
3852865,0,-12.319922630615837
2965501,1,-12.899060303944273
3907444,1,-12.426548929353624
2937401,1,-12.952356087061808
1201480,0,-11.920207620486588
3400003,1,-12.544506933333576
2226486,1,-12.81625258603905
2017029,0,-11.89125222062188
3733009,0,-12.181927586748651
2194768,0,-12.192737239696593
3548348,0,-12.199460039325576
2478311,1,-13.085741871195925
2022641,1,-12.640695871148294
3089491,1,-13.045828836535529
255548,1,-13.383635604513948
1488384,1,-12.426952339274427
911739,1,-12.226465722811854
954639,1,-12.679578966883323
2406757,0,-12.134599361343817
1196567,0,-11.849814406874263
2881784,0,-11.939813913957972
3237961,0,-12.35282610578169
2776871,0,-11.802219598579775
2694854,1,-12.5590942331741
1015880,1,-12.832476896137045
965756,0,-11.341878670450997
3375073,0,-11.909162758401855
656359,0,-11.678467343094434
3683039,0,-12.235262856906614
2409774,1,-12.537746281168408
1093664,1,-12.388402744074885
2915042,0,-10.874114583121782
3170331,0,-11.93625514398333
2674079,0,-12.231612925732954
3895933,0,-11.98348129843363
1335783,1,-12.849790749354614
2518025,0,-11.769117991142473
2849034,1,-12.805134948407787
3045328,0,-12.041028897729866
3693833,1,-12.857878923855361
1873203,0,-11.991935463665122
1919461,1,-12.528754163413433
2461670,0,-12.1289231148779
938524,0,-11.7170096220043
334739,0,-11.595931411390605
270206,0,-11.686122553039148
1565532,0,-11.842006089709876
2262490,0,-11.917744923248527
315563,1,-13.471067403855647
3959661,0,-11.81628237806664
2808880,0,-12.352209185425304
3703819,1,-12.628574464005768
364152,0,-11.985147322612304
3397406,1,-13.288295114832357
3896666,1,-12.799602546610096
2140072,0,-12.010726313138361
564736,1,-12.894063485199789
3941156,0,-12.225394505042813
3274898,1,-12.905813842893782
2535316,1,-12.81837244504767
2211957,1,-13.046282875141788
2219168,0,-11.80916805643458
1948441,0,-12.22446532263546
500991,0,-12.136422422885518
2048586,1,-12.84093959704282
393956,0,-11.572178018231583
2057464,1,-12.997195909921105
1113313,1,-13.10028762385804
3536548,1,-12.720228579025433
1997482,1,-12.897420077905663
2689593,1,-12.782510983589408
2127253,1,-11.583658475930113
1955349,1,-12.902582892888308
623021,0,-11.622137361131973
1544153,0,-11.88823966659696
2603526,0,-12.047700440911754
568354,0,-12.323575392560645
1624403,0,-12.809254299839269
1615603,1,-12.429383296010942
656350,0,-12.697001471949806
2030550,1,-12.091280595093902
657730,0,-11.978995759030301
3279414,1,-13.444350011235674
3129433,0,-12.443325930583129
2773566,1,-12.535878640632365
1205901,1,-12.577202624478474
1564182,0,-12.12139860175954
3936319,1,-13.253246201225307
3272835,1,-12.663787896015066
3200086,0,-11.536294250770268
1839431,1,-12.46744205554563
456903,0,-11.65180521943769
1572179,0,-11.308469329796415
973336,1,-12.723064142542622
1453764,0,-11.870704138448975
3805020,1,-12.279617037111437
1367088,1,-12.410998155377705
2202139,0,-11.62474163811707
2782097,1,-11.703795622987155
3880684,0,-11.95316992398534
2507949,1,-12.963676751573876
451344,0,-11.989215683688743
3221865,1,-13.176470137033519
3021830,1,-12.32675993944645
647881,1,-13.301138143759735
2623618,0,-12.040231524159609
398418,1,-12.287872941059826
1158982,0,-12.874771522697138
1850346,0,-11.642260403843517
806245,0,-12.163909700375742
2560761,0,-12.645336523263323
308833,1,-12.647952263510968
1969726,0,-12.677118975919491
2727747,0,-11.990593536605502
992757,1,-12.96150640939002
1344821,0,-12.823580795541936
3697310,1,-12.13713922148339
2460653,0,-12.507245025606665
2582256,1,-12.490098424422971
1457607,1,-12.997368589385664
3797446,1,-12.682837396820082
930629,0,-11.29325061430031
1250811,0,-11.915017153767794
1070671,0,-12.06054915953022
284296,1,-12.874798975338278
1952304,1,-12.944383594249278
3401682,1,-12.843999188592203
3780289,1,-12.500815791912895
304874,1,-13.008632994511952
898430,0,-12.682416339826572
1295494,0,-11.936405590904545
3862297,1,-12.865114060145789
3767894,1,-12.42789295866435
1808171,1,-12.825991443195923
2563724,0,-11.929111541285765
1074457,0,-12.18466249972391
2656553,1,-12.539992124430652
512284,1,-13.24054772684979
1954294,0,-12.850120116004812
1838733,0,-12.241604425516687
308325,1,-12.444788695946237
3027063,1,-13.382144237068317
205425,1,-12.992644110653565
652438,0,-11.777882450273907
3411117,0,-12.27987344792002
2837461,1,-12.87889034539725
3742450,0,-12.306965225320836
2783254,0,-11.442689036376002
2530053,0,-12.279953273584809
3475103,1,-12.527861512552612
3440909,1,-12.584322343442318
3222525,1,-12.7635143779716
1919254,0,-11.984452662811929
3300664,0,-11.739580545901454
1614204,1,-12.28846080939098
1136463,1,-12.872469335645116
2403486,0,-11.859083960447894
644835,0,-11.560139398660507
2771352,0,-12.268042035610256
3946188,1,-12.680410261176217
928435,0,-12.186881024647223
1433824,1,-11.9861528101405
2412148,1,-13.02065573649809
1870609,1,-12.511422714066855
3495508,0,-11.662295455647506
940186,1,-12.343731093816604
2416394,0,-12.246170624330674
1582856,1,-12.171133277677692
2498321,0,-12.005110554368796
3773977,1,-12.663596090918123
3309303,1,-12.350720676498398
2549605,0,-12.135356723012665
1540477,0,-11.783147195341465
1786423,1,-13.196349779693277
3253024,1,-12.96983907451963
2754035,0,-11.858544074295352
3136962,0,-12.320935430093002
351645,0,-12.349896848882416
3739588,0,-11.714063854631993
1305549,1,-12.56828864653286
1434221,0,-11.826188220703726
1076809,1,-13.164666826924263
1751136,1,-12.137280875127209
1569825,1,-12.795492957343837
908707,1,-12.901592188242047
2605217,1,-12.415457166202888
1066437,0,-12.151251083993204
3278163,1,-11.980345567533845
2971893,1,-12.92070062887119
2132921,0,-12.121039875667902
1643090,0,-11.58738356703624
355118,0,-12.258666510114622
901632,0,-11.691017702774145
1442968,1,-12.879808830681093
1964893,0,-12.800425257883866
3363187,0,-11.498858323252263
3386139,1,-12.830932338475169
2560345,1,-13.583175204448763
3906807,0,-12.178701654568094
2169279,0,-12.049838822562691
1158454,1,-13.066304087034542
2496306,1,-12.707005268972853
2170957,1,-12.704016349842473
3911288,1,-12.926478917200333
1455892,1,-12.77889391474233
1746232,0,-11.763784379916576
475216,0,-12.165289116007163
1458490,1,-12.369998793424534
421578,0,-12.614673217016751
2637386,0,-11.821565162505678
849284,1,-12.810910835186672
515124,1,-12.303698487736119
2689973,0,-11.776387715091289
329700,1,-12.605859433767268
1686868,1,-12.828010844051349
3272044,1,-12.046084860428252
3895808,1,-12.834077499585954
431276,0,-12.49501610346761
1139953,1,-12.97386226639249
3453076,1,-12.554197552119534
1109695,1,-12.955339373223763
1956559,1,-13.604397634034024
3216921,1,-13.13107693387518
3304053,1,-12.278320162231275
1692583,0,-10.504587230566292
334235,0,-12.34657052030036
2852205,0,-11.67619033461742
2867899,1,-12.131130938786931
912213,0,-12.322992854060585
879694,0,-12.145346439228923
3260437,0,-12.072377802708546
3149212,0,-12.169659048989624
1580935,0,-12.334295537371196
1602534,1,-12.952797277608152
2139429,1,-12.269424702069566
3932811,1,-12.221789798670509
1234885,1,-12.759780087460623
3285460,0,-11.511416964931206
2247959,1,-12.858789103268904
2967143,1,-12.732679773192459
2413465,1,-12.931908305194902
1999219,0,-12.1374041220261
2675704,0,-11.54684522730371
2575250,0,-12.2168793839268
2535802,1,-12.472320875579584
1899395,0,-12.043725333665495
372069,1,-13.087855562349395
