sample_id,z,y
3664758,1,-1.7865501776230437
1061322,0,-2.097527537428564
1951503,0,-4.115001754842463
3473402,0,-2.3360070757511475
478739,1,-1.783567646061032
1851675,0,-2.522793895235349
2522870,1,0.49491984104574266
2472282,0,-2.6687165727667193
1813855,1,-2.6221585569417916
2718965,1,-2.1907004005977044
3872886,0,-2.3348961560437655
2589338,0,-4.228114713359925
1697375,1,-2.164613979588569
1220121,1,-1.7655556725297978
390009,0,-2.800490323447247
983757,1,-2.401095413649153
285968,0,-2.0167257060955635
2758128,1,-1.6709246521868577
1379453,0,0.39816783576736337
1769491,1,-1.3551651688937936
1218495,0,-2.1610893836130773
2632745,0,-2.665651329512712
1162880,1,-3.3287044865345363
3171352,0,-2.4573774222312705
1703080,0,-2.495457195553286
1491949,1,-2.94766843617058
3284901,0,-6.987398918474838
3740173,1,-1.6595452459633537
2872591,1,-2.004625349032781
2608737,1,-1.309689977334774
901400,0,-5.843149715738619
3788596,0,-3.900954843407958
1913290,1,-5.883430416791755
546610,0,-1.824454886960979
3934562,0,-2.420927224365977
1155580,0,-2.2246496899695276
3247901,0,-2.5193329618122253
625770,1,-1.688312423364926
2571559,1,-2.0795189684697584
3783513,0,-2.853105577240191
3202860,1,-1.843469230287347
1918341,0,-5.8050149094257515
953981,0,-2.35458653150617
1465903,0,-3.5796807922611236
2613736,0,-3.2394103018497136
1780606,1,-1.3541332974782683
3191115,1,-3.5707051547477757
1755244,1,-2.256284132080907
2243230,0,-2.7628447479042384
1491543,0,-2.1789790056770797
2157058,1,-1.8653403433290872
1303844,1,-1.2893329851065405
1495557,1,-2.4105915557085145
1555708,0,-2.2573704637029453
3654112,0,-4.062178084195339
2498832,0,-2.7882349052347157
702861,0,-6.792677086717382
3463277,1,-1.9708557808991802
2196753,0,-2.8047684846962126
1876583,0,-3.3458814053487775
3339671,1,-2.2148660629541377
1106491,1,-3.6752295207045567
3065886,0,-2.218706383305603
1216727,0,-2.4737605762779404
3760600,1,-2.5157953692784862
3163358,1,-1.6465750689677678
3338918,1,-1.9343960076406028
2714956,1,-1.6161875143643245
1286130,0,-2.787560651902568
502766,0,-2.2545764181674466
3862762,0,-3.8837123795674007
3740049,0,-3.542435163319164
1271863,0,-3.0714903279317296
871928,1,-3.320862472724876
1565755,0,-3.453827406026621
2743041,0,-2.4020190883136907
2421715,0,-4.325749157489006
1970311,1,0.2538697367367264
1095904,0,-1.4314062456000056
3344971,1,-1.7106468107045616
1811653,0,-2.8290209477184747
925196,0,-4.596369855527126
3409214,1,-2.0043330057972777
3916094,0,-2.3805048698986497
638616,0,-2.7476484098177956
3862089,0,-3.0492051341769737
2890237,0,-3.4005375793950923
977890,1,-2.0858013922350525
3773885,0,-2.6138319763020825
3439851,1,-2.133927259215295
2693641,1,-2.568978927584185
3862596,0,-2.4461375757186636
1898877,0,-2.53425787294177
3200823,0,-2.698436843229761
1889810,0,-3.294006842926666
3136811,1,0.4318726413019224
323285,0,-1.9880158115174011
3006094,1,-1.6056296248763187
2506792,1,-1.7891394393488322
3652878,1,-1.829388850419233
3471055,1,-2.178575693199242
1214278,0,-1.9152091718388777
396698,0,-3.459941952990144
3180957,1,-2.2153639737879183
959596,0,-2.207678561906125
2398668,0,-3.1373772923040733
2232223,0,-4.208269563897429
2154701,0,-1.7172464194187111
2159600,1,-1.7717645940310147
2167285,1,-1.3962116036346464
1284810,1,-2.21690740652154
2110896,1,-2.2748186271900854
306009,0,-3.200047333180582
1105997,0,-2.547701273417751
1126969,0,-1.2464188345649996
2966090,0,-0.1716116637329933
2150584,0,-5.13717828789586
3092655,1,-1.6970686496443264
1296785,1,-2.058471152197235
1707403,0,-3.3659132678226955
1379972,1,-2.158759368665667
3010610,0,-1.939752988012871
1721359,0,-3.0072189884947726
1148471,1,-2.584409882436875
249164,0,-2.3815146213177516
1275335,1,-2.590490171413645
1793527,0,-3.6167306819429426
1885682,0,-3.3041178720758326
2150977,1,-1.868078262482654
1783109,1,-3.1330286090682558
1156757,1,-2.6311649450829773
850768,0,-2.5591145618546904
2994168,0,-2.1971347322738266
3406496,1,-2.71459553814598
2285301,1,-2.4396443198424342
260435,0,-3.5323782864383046
1051120,0,-1.6104026128673605
3510824,0,-2.695016188290273
3319773,1,-2.321576007119264
3680266,0,-3.0622566405540272
1643933,1,-1.2914549783409277
1332699,1,-1.6429187432730696
