sample_id,z,y
2486487,0,-1.12224919155438
1772028,1,-4.764532851648628
2970755,0,-1.6187620793283952
3169794,0,-2.103912368951365
2625114,0,-1.3950800500915945
3858320,0,-2.1437868748338955
1875741,0,-1.3760282533114598
1897770,0,-1.7356188953543192
974718,0,-1.2940100209292005
1567514,0,-1.2118518004997254
1223009,1,-5.3507991517364815
1906875,0,-0.9032498592469149
1290617,0,-0.959346713364835
3100400,1,-4.302818204686273
1467291,0,-0.9551182778966635
3117202,0,-1.4017712981142239
2563497,0,-1.3632007074934678
3667233,0,-0.591318668163762
3765191,0,-1.039348757263398
2581607,1,-5.114907818958404
3436789,0,-1.1764046206540522
3155965,0,-0.9305825980539137
1599414,0,-0.521311296354899
2838177,0,-1.6390621804115626
3735387,0,-0.9557243323284255
938422,0,-1.5514492372326245
1903534,0,-1.6810283440928928
1166372,0,-1.5457884974900715
3792842,0,-1.041746003653198
1397676,0,-1.2782421989413992
569805,0,-0.5573349648484552
1683494,0,-1.7436470507815143
2431170,0,-1.4287537278703262
1266630,0,-2.0536765879446
2002810,0,-0.9753804292632311
208078,1,-5.369048229940201
1843344,0,-1.0349598483958757
478743,0,-0.7631535772663591
238489,0,-1.0202977750006232
2128270,0,-1.2481450659041162
1407886,0,-1.254780043069126
471678,0,-1.202585554672156
2921109,1,-4.7068462279415595
3655175,0,-1.230309779826415
2577478,1,-5.3042816236651245
3000257,0,-1.0679824999291248
2856476,0,-1.5509091866821048
1481355,1,-4.954476125884647
699579,0,-1.4283862801067502
1459327,0,-0.7852905841806748
3481666,0,-1.2356362759071693
1412181,0,-1.6930957454517896
2446667,0,-0.24387363640315407
504924,0,-1.058803065826457
231972,0,-1.678683654815095
2221094,0,-0.7107651432213625
309759,0,-2.102035460874331
834547,0,-1.213668459747768
2276571,0,-1.0199934343180572
2448022,0,-1.7274832878997803
3703784,0,-1.6998538874496794
404629,0,-2.0986699293163102
2251837,0,-1.1865255775757457
3669026,0,-2.043514658599476
3057273,0,-1.616606962626027
2004622,1,-4.4623604190489505
225373,0,-1.9884701424450117
3180958,0,-1.3884265087255152
2713618,0,-1.690486468915158
3108647,0,-1.1968257655455559
658008,0,-1.3974487918484557
2265256,1,-5.422639167007984
2602920,0,-1.7073110510666516
3439543,0,-1.5325317976571193
2142338,0,-1.3707597483305551
3956658,0,-0.9293069307668986
1944419,1,-5.004581369430942
1111443,1,-4.810580236428869
3340355,0,-1.2273880019071135
1378297,0,-1.8448840325388183
1936350,1,-4.629319110985314
1980371,1,-5.446254178775964
2806399,0,-1.2321014134678219
1943456,0,-0.8723306325024086
3183522,0,-1.754111671760895
1954745,1,-4.509697911961156
3437139,0,-1.042062785098898
1129596,0,-0.9929641788731097
566890,0,-1.2536165090077414
1030602,0,-1.332788029372975
538239,1,-5.17173001324926
278068,0,-1.6719484194606584
1051338,0,-0.7581707872915184
2830813,0,-1.053984053707124
3802277,0,-1.2799647516020791
292258,0,-1.195533284982261
3163561,0,-1.4621460331896756
1819448,1,-5.297568711732297
1130582,0,-1.2949077100998518
1141994,0,-1.736308315385592
2769471,0,-1.1053875552344443
1989019,0,-1.6858627035469267
1364556,1,-4.841234052152678
3039431,0,-0.7952241962127609
3465130,0,-86.1675088678941
2239744,0,-0.934386668507678
3843739,0,-1.4943722855658308
194859,0,-1.5051231306192743
2988947,0,-1.2438025036391889
2933461,0,-1.2920565658064929
3878355,0,-1.4468365104381133
2824827,0,-1.7071559148718738
461272,0,-1.5626527343793324
1779341,0,-1.6420925091817045
1228423,0,-1.2146216234835898
3789975,0,-1.5482545197086641
2748879,0,-1.146048100697934
3541378,0,-0.6967932579885826
3154143,1,-4.461360539829493
2806885,0,-0.5750911927488139
3314811,0,-0.9776401052184234
3747092,0,-1.1512962524983728
874722,0,-1.4675025729874531
1040432,0,-1.473687475185079
3927497,1,-5.515058512779147
3005830,1,-4.683114569921248
384996,1,-5.183904518849671
2617415,0,-1.655522459078066
2271526,0,-1.1246555664873097
459940,0,-0.5561240712554377
2856417,0,-1.5092401896886471
2401666,0,-1.606855293790565
3957409,0,-1.4470525360220197
2896859,0,-1.5927049772929007
2424820,0,-0.8071941365717804
3738556,0,-1.0710644653089205
379417,1,-4.78392071912616
355884,0,-1.3608894973003156
1888427,0,-1.504447551666155
1529446,0,-1.183258653636571
2032024,0,-1.2548435417902821
2865574,0,-1.0465089953535684
2751008,0,-1.4393494647234628
1458705,0,-0.8607870891000331
260213,0,-1.9394165482287373
707005,1,-5.180013035694256
2048302,0,-0.7276500040002587
1810304,0,-1.960335845338031
2281154,0,-1.3781736835767773
915752,0,-1.4062926915144545
1304331,0,-1.67306479478089
1111495,1,-4.922863429958453
2113423,0,-1.210762746582074
1749495,0,-0.935417912035537
3845786,0,-0.9144091115761743
2981513,0,-1.3434926925210202
2256673,0,-1.69538647213637
252167,1,-4.870985503640764
2991578,0,-2.0124951503327306
1075033,0,-0.5512607795625919
1664252,0,-1.1934481223289135
2749647,0,-0.3424028029729649
1559476,0,-1.0511409294025267
612157,0,-1.410749410374519
1547204,0,-1.2052256850866225
2713531,0,-0.3956061070975234
1126506,0,-1.490898663971507
636220,0,-1.3094027343741341
923915,0,-1.1539707353321527
2213560,0,-1.6594240545485066
2437935,0,-1.385464074736394
755588,0,-1.2182374405742689
1736778,0,-1.081536962352017
3099435,1,-5.130483514905005
1269145,0,-1.4771108213398203
1575334,0,-1.3887511523097296
1942315,1,-4.9718481047832785
3232641,0,-0.9381372613129058
3922590,0,-0.9126540287074425
2883938,0,-1.4629935335467488
2237159,1,-5.45544336727408
3093193,0,-1.2008036698846658
2519491,0,-1.7043108330091952
2983772,0,-1.5088750670954871
2511185,0,-1.276944312941014
623672,0,-1.3911004230527726
3463673,0,-1.2915855267473064
823590,0,0.08470437014881105
710102,0,-1.7430513393271112
1024323,1,-5.109971590515338
3807840,0,-1.1747227863584258
377514,0,-1.7137878119766659
1371257,0,-1.4716343769359852
3766964,0,-1.9844660439255626
985304,0,-1.2898531136168412
3883390,0,-0.6921563512549899
1911237,0,-1.975403123691974
3747574,0,-1.4204904653756218
876023,0,-0.5047683282215156
548574,0,-0.4582067347069293
2211451,0,-0.9596666085443581
893046,1,-4.532071168027421
2550812,0,-0.6049023267673506
1200074,0,-1.8770064161345688
3398024,0,-0.9442536171794937
1415622,0,-1.5191761720036392
360230,0,-1.6900513129523373
699679,0,-1.2598297695649625
3292147,0,-1.5666990574298294
742476,0,-0.9828695051734635
2010359,0,-1.0845055269100383
610620,0,-1.7425318233132296
220538,0,-0.8600592289901877
310800,0,-1.5331227690787348
2547861,0,-1.4377098793687566
3142877,0,-1.1829668951557992
1314033,0,-1.5789657831825035
3299842,1,-5.021495001177182
2789006,1,-4.9936068487679774
3928444,0,-1.494825090427049
3712054,1,-4.794160165850658
3487532,1,-5.086298811311826
2856510,0,-1.1712529074820566
2604407,0,-1.0003550030003208
2140756,0,-1.0066132733302264
411790,0,-1.3505344093650056
2249249,0,-1.3405156953422492
320895,0,-1.6255417735293731
402889,0,-0.7443512673989594
3524701,0,-0.958651198239554
1217891,0,-0.772078608529589
3445760,1,-4.880722461851258
1679140,1,-4.622376613202198
1470207,0,-1.775682635883003
1464030,0,-0.9885966627409972
3041420,1,-5.318141393450846
1868207,0,-1.605099585531984
3806334,0,-1.245056455001048
1389953,0,-1.2753926036184937
3879488,0,-0.875948992334461
3235853,0,-1.587674621418053
615352,0,-1.5588630919755588
1620810,0,-1.1759439815238824
3053178,0,-0.555783392179038
829687,0,-1.5216871543685375
1746468,0,-0.9507673918844987
1992612,0,-1.9559145962558833
3357757,0,-1.244948258662108
3952711,0,-0.731456141524953
1107419,1,-4.508801231723707
365524,0,-1.9266378203075587
2721355,0,-0.963649150205559
528787,0,-1.5122300984476593
1076900,0,-0.6720955324919344
572901,0,-1.0371867172910056
1780676,0,-0.8827528240972143
637517,0,-0.7952597585968514
1052266,0,-1.1872047935994594
555992,0,-1.4506563946520674
925860,0,-1.5813983818131807
2615744,0,-1.1650491544137347
3909189,0,-1.6742316392939265
3048472,0,-1.5670958649854747
2403256,0,-0.9535539142498942
1323187,0,-1.5738128692393856
973776,0,-0.7987486185388755
2512070,0,-1.704026175000903
1958100,1,-4.9497949928703
3851361,1,-5.2850953601514625
2877146,0,-1.676389599302909
1233495,0,-1.1403272805256097
652220,0,-1.0123310982733935
1062774,0,-1.1550937443724962
626785,0,-1.7605141976490266
2725015,0,-1.0188136100897711
2765771,0,-1.5003799359181211
2006046,0,-1.4654901687175945
3015523,0,-1.5794230142977972
582962,0,-1.625883335459252
1126128,0,-0.5272451866884574
340559,0,-0.9925904435109941
3390023,0,-1.4143888305337977
1615182,0,-1.5538951363573126
1696677,1,-4.774333337995638
3496894,0,-1.0698767460355314
1487972,0,-1.3870901769326938
431280,0,-1.3001656026995136
1766967,0,-1.1182335306762263
1288437,0,-1.5569762087102714
3752412,0,-1.2366987178825959
2559843,0,-2.255787801546128
1295797,0,-1.5676573383756174
3458979,0,-1.4050456879024158
3543637,0,-1.3276629675022735
1084691,0,-1.900699100823637
1724440,0,-0.7821256890767467
2539662,0,-1.642246799894938
880211,1,-4.440421946412696
3202816,0,-1.4921307034092302
435453,0,-1.673225931279515
2403180,0,-1.0756563025912813
3277858,0,-1.3021551860568137
2276847,0,-0.916359586446942
735359,0,-1.483865407757724
3182736,1,-5.035963297056407
281753,0,-0.9015892153675995
2464678,0,-1.588071308853711
3145921,0,-0.9933304607050293
2237537,0,-1.2798766025420303
2658339,0,-1.6571875976577806
388438,0,-0.9724847989133703
689380,1,-4.98298301380196
1390925,0,-2.072950064388672
1534041,0,-1.9804551996269164
2402721,0,-1.0858844462320643
3103430,0,-1.3799829165693103
347798,1,-4.64718195536226
674014,0,-1.9144244910550663
3328501,0,-1.374270528392232
3177844,0,-1.503684228198264
359935,0,-1.3481500388476013
3266074,0,-1.567963530811051
3544549,0,-1.4294419853532767
1504589,0,-1.5593023378666253
422207,0,-1.7755831282160648
473001,0,-1.7988861537023229
2242885,0,-1.4492257217613536
885251,0,-1.7067236426924086
1210711,0,-0.9816697630890808
2793871,0,-1.2356884682061604
3546131,0,-1.484024385276903
3257066,0,-1.9385775103049196
2834358,0,-1.333334240770902
2985744,0,-1.548005978308702
3227152,0,-1.4514872115332096
2452654,0,-1.4613450321181296
1535511,0,-0.5955037907244048
719199,0,-1.1221878018905984
3495237,1,-4.845265233309172
375146,0,-1.201038981922746
2912020,0,-1.0382291162676616
409468,0,-0.5880163536611616
2807150,1,-5.6382216131776905
1778721,0,-1.502547390099275
659116,0,-1.5601498083753054
673514,0,-1.981689979384725
3145487,1,-5.606968270468491
3699928,0,-1.552250642134501
2980459,0,-0.5678172109736602
1283921,0,-1.181087897013388
818574,0,0.4569907346159461
1378051,0,-1.7795679337102008
2243181,1,-5.213259495210241
3110540,0,-0.948087267025534
2245436,1,-4.452207564257957
2046015,0,-1.307845033890943
830473,0,-1.7136529879432054
3934759,1,-4.818100146052209
3520573,0,-1.6275681304118836
1625180,1,-5.4683065127210995
3318635,0,-1.3130677288348847
280863,0,-1.6808182430064342
2882316,1,-5.0309669577116685
2216762,0,-1.1696778414727838
256967,0,-1.3676468636012469
2168038,0,-1.653835282468103
3095800,0,-1.3022650298474905
1793199,0,-1.732198804601226
960443,1,-4.565784011621128
3146433,1,-4.5857860147283525
1666041,1,-4.633318816594003
2575170,0,-1.6843500026499765
2198193,0,-1.381540397220501
294070,0,-0.9401475357276153
3000447,0,-1.0958616056584993
3018000,0,-1.2773917475460022
2427506,0,-1.6436513373966086
677004,0,-1.2835930240711804
2505557,0,-1.305128435865073
3346750,0,-0.6494378421629398
3658233,0,-1.2004636521945573
1470524,0,-1.3812925114818195
2236255,0,-1.9281518103118858
1590769,0,-1.338594136538442
1156821,0,-1.264924498583897
1904388,0,-2.0644866800435926
2278055,1,-4.3248196065841915
3547669,1,-5.13676191532669
2540824,0,-0.8839519985998401
362023,1,-4.978113956521742
2939061,0,-1.1200898136089914
1948494,1,-4.159361437210997
3085666,0,-2.040597625689188
2608153,0,-1.1363005957559937
3795448,0,-1.5202482291567454
2639071,1,-4.895473022114037
1679330,0,-1.288832388137526
2881455,0,-1.86870975468994
3006908,0,-1.4584365928997192
3650680,0,-1.2560379474363166
546614,0,-1.2095637279215166
3039296,0,-1.2229884766052637
1910404,0,-1.867377210113856
2554937,0,-1.208478019694519
2001591,0,-1.3982541232729255
1627099,0,-0.8475771597997152
3837137,0,-1.0361343790128617
3035039,1,-4.3517099733624365
1637390,0,-0.7964235373447744
2448017,0,-1.8550202766931903
1698692,1,-5.061762709936957
2978942,0,-0.930534127271424
1134419,0,-0.10187008515103269
719692,0,-1.8181652162514634
1201025,1,-5.12796464110259
2019220,0,-0.8007223730273386
1345337,0,-1.1272708637974145
2064362,1,-4.688172602112969
2710631,0,-1.2675094762674404
1034940,0,-1.8004130705352406
1836569,0,-1.1498990654985495
3713465,0,-0.9762957666632809
2685656,0,-1.136519859247667
567612,0,-2.0276042532321816
3061332,0,-1.5841558464811831
1485890,0,-0.9993808868689774
2428301,0,-1.7563279931174702
1538515,0,-1.5180422060857117
2473362,0,-1.381051387477839
838025,1,-5.1377390690674725
3051172,0,-2.1320840450063554
3164095,0,-1.0648455410758035
3307023,0,-1.3743273806732719
843132,0,-1.140291677597131
2287354,0,-1.5507370017687037
1838830,0,-1.8848579752904597
3155987,0,-1.246078883458948
3215449,0,-1.470988766758537
3807277,0,-0.7338281940959284
2432181,0,-0.8579209884834267
633957,1,-4.473176863709493
3465267,0,-1.9442050345210675
3722576,0,-1.0422030253509509
