sample_id,z,y
2555609,0,-8.733425284985538
1595613,0,-9.330261562507403
1952702,0,11.857423299136903
3906426,0,-9.012489062905313
3059483,1,-9.92434258991497
1614591,0,6.719640440296991
3456074,1,-9.273859384640136
2051148,1,-9.162130283893783
269919,0,-9.697462527857809
597323,1,-8.980779939550263
2528949,1,-9.061875246791775
1463843,0,-9.69308608186548
1305613,0,-9.309798022633405
2043081,1,-8.706272194418213
471937,0,-9.064295294641918
1118244,1,-9.2939115197091
1119507,1,-9.628169870867142
3700526,0,-8.911865791243516
3804560,1,-9.239386217305375
446099,0,-9.336276287833975
2654038,1,-8.84300130580937
2887422,0,-9.129047959233336
1704098,0,11.734872451132539
2204400,0,-9.383738588982919
3112357,0,-9.645836097872161
2184376,1,-9.119941360249415
858438,1,-9.280111907358918
1390247,0,-9.498275090460645
576020,1,-9.343148611229543
3933354,0,-8.773406664924387
3481476,1,-9.254194297580229
3257125,0,-9.91805840900684
1234312,0,-9.068393096308567
1446781,0,-9.464626262402579
875018,0,-13.447890380644239
263347,1,-8.648368209344342
2730579,1,-9.710381732020213
1883580,0,-9.02166430925082
3123645,1,-8.727045566871391
1192294,0,-9.510571191815735
2639902,1,-8.88504580222115
534476,0,-8.905731552972282
210087,0,-9.377403363447046
3382202,1,-9.287677999356754
1288419,1,-9.605771803852134
2021878,1,-8.25363077196036
2398379,1,-9.630046061241417
2848918,0,-8.897378459620022
2932913,0,-8.823886761425666
3323568,1,-9.38508551956949
1755363,0,-8.945834699708966
3267244,0,-8.482756055639694
2704661,0,-9.158103429003155
2111559,0,-9.042838729326686
2937179,0,-9.096449956182235
1686946,0,11.78781731524842
933423,1,-9.38275147807976
1136484,0,-9.032778089952323
2618355,0,-8.794904360959869
448827,0,-9.021038913397339
1550675,0,-9.422592290291993
296664,0,-9.538317659727738
1815327,0,-9.775019994958885
3077029,0,-9.214464622976912
2394356,0,-8.544498928721406
1025711,0,-9.191381696586015
3833206,1,-9.064560156142052
1359487,0,-9.618877332375792
1836139,1,-9.501707637985518
371205,0,-9.58222175227201
2176727,0,-8.507583127828955
3058975,0,-9.265392175083786
2017370,0,-8.753622945992081
480487,0,-8.924439566997258
3897508,0,-8.927412739644396
1260565,0,-8.754257968568723
2234544,1,-9.179770823049264
2121781,0,-9.003481072034173
2138963,0,-9.005889236562947
2561076,1,-9.017707337020125
401876,1,-9.306164651170254
1862303,0,-8.491547398611573
1002546,0,-9.305666223685943
652466,1,-8.779109758276096
578644,0,-9.273604264107016
3509996,1,-9.19873111169231
1936216,0,11.57665401234043
2932859,0,-8.80497762197215
2231379,0,-9.50802821233717
3125827,1,-9.717773892501858
1494085,0,-8.980809405015581
1518962,1,-9.051645082132653
2743175,0,-9.064067922012992
1589557,1,-9.323686482666782
3910741,0,-9.195237347657653
3786205,0,-9.03052381986315
837806,1,-9.336706516297594
2821385,0,-8.831275506661543
1599184,0,-9.305816834538948
1357458,0,11.818317815132367
3351444,0,-8.8236730275947
992763,1,-9.17104122883764
478775,0,6.697428345533994
1998813,1,-9.024288074025689
2417140,1,-9.231921150911175
1644723,0,-9.076414946123208
562076,0,-9.1940169598501
1253241,0,-9.171718489494554
3416731,1,-9.303704592276679
3688698,0,-8.913297972970385
2691040,0,-9.472483559872632
3931399,1,-9.117641269445146
3194224,0,-9.092028776984488
2580776,1,-9.334022674931019
2884534,0,-9.345403775008604
3849466,1,-8.845229412765365
2987417,0,-8.766274320032602
3524329,1,-9.24640044404017
1959636,0,11.990274358495366
1109372,0,-8.755969757774732
2568673,1,-9.201111164767125
3065403,0,-9.162322312060155
