sample_id,z,y
3759902,0,-525.1431372398389
2626008,1,-543.6078095135969
2228550,1,-535.0070883879954
2697305,1,-477.09856486493095
1222383,0,-101.45872167599825
316633,0,-502.3763082911422
374366,0,-88.36990593270741
3067328,1,-141.92094209665493
2709950,0,-84.56027658069462
1864612,1,-133.0598599956844
2189085,1,-140.69862706902038
2231000,1,-116.74660715414099
1104886,0,-112.93703592092885
745411,0,-63.995820605494785
1467509,0,-543.1359479284541
2209824,1,-107.85706007235716
549929,1,-87.76788797788268
3514174,0,-193.6639731022896
1245245,0,-44.457709444733936
1223278,1,-81.89410609269046
2616610,1,-81.68586802824122
744899,1,-115.86219457088198
1685729,0,-79.03206540497814
3866554,1,-118.51682535794957
3534775,0,-171.73855777112254
1877638,0,-135.63761549148498
3795342,1,75.87404974117173
1148899,0,-142.27488071374157
1918767,0,-122.59535016325552
3330225,0,-155.99523672238476
3367369,1,-57.9544080198919
674005,1,-529.5866820396311
359082,1,-103.06464186739423
3907585,1,39.50047543498648
331854,1,-72.37201710198786
2424037,1,-543.7322945323075
3222627,1,-161.48733938214312
2566198,1,-88.47414430720208
3337536,1,-111.76949596767285
838336,1,-511.4810685636891
868669,0,-114.56944369081154
2636208,0,-526.1773908412936
2019688,0,-264.8135435993396
3280124,0,-172.41303577036214
2206933,1,-167.29370185154036
2543050,1,-543.2542120106905
3654107,1,-133.08430874324313
391709,1,-57.0050876601495
1690961,1,-108.57871418127743
629382,1,-172.28083106234874
2973654,1,-175.55875963324127
1404970,1,-43.76603232748378
2454407,1,-162.5585859241477
3795521,0,-171.4366522439305
1425166,1,-92.41788350581109
412164,1,-514.8101831462882
2247675,1,-117.41203960116503
2277556,0,-108.71305997434281
3468052,1,-502.4653648551761
865694,1,-146.67226344828518
2541101,1,14.325311805427937
1331288,0,-57.460579153016894
3144403,1,-487.0700801445093
858228,1,52.761245211350534
1128905,1,-4.301183213232284
1388137,1,-99.30098725566832
1686002,0,-165.45666307278685
3931181,0,-539.1588775536636
3019787,1,-97.34869417469643
446905,1,-146.62565794071406
3745875,0,60.499588341935606
914947,1,-222.21621176851113
3460041,0,-99.13706661705439
1666222,1,-121.38076041109578
2934629,1,63.2687815571394
3145784,1,-93.15429337354365
987942,1,-6.29713171346428
3868860,1,-111.33478918725967
2520696,0,-162.5896510543848
3856502,1,-78.39304938903635
3333498,1,-477.71519830985426
1242935,0,-130.24472523525225
3875082,1,-121.52866348420332
2651497,1,-73.18831324667163
1488669,0,-129.8600749993494
251764,0,-67.78916181019072
1724490,0,-133.09156816443158
236387,1,87.84876534960529
1694068,0,-49.78357744314641
1258804,0,-117.6180896065104
1776697,1,-126.77892642336349
1272427,1,-124.08618373835682
1967008,1,-101.26176776529539
555684,0,-67.64047806298233
3007895,1,-72.46238402827844
2833356,1,-82.66973018684085
2471830,0,-38.60982379432156
2904552,1,-501.6115732384916
864885,1,-86.69812929556323
1036954,0,-257.9536385250112
2785136,1,-77.76983416575212
878948,0,-67.64486433494143
3878216,0,-142.37231419181774
612329,0,-104.143582303227
1596922,1,-39.49265584407872
3687875,1,-70.37796401029198
1105831,0,51.24522259653436
291183,0,-170.5757085389989
3850667,0,-149.3514353082566
478898,0,-113.46065141649139
452642,0,-117.35481808251225
2584637,1,-53.83688088334994
572901,0,14.626442441809978
