sample_id,z,y
3341784,0,-7.001659277138701
1559170,0,-7.353893478018993
1542061,0,-6.447445985316007
1568931,0,-7.068863125333931
1812115,1,-46.436432786600164
1490223,0,-7.835762879750753
307555,0,-6.738440199516532
931100,0,-6.774319128403784
2870203,0,-6.8967007770094595
3070831,0,-6.886704126751123
2018793,1,-6.167620005751267
3122446,0,-6.597668234422274
3146397,0,-6.63609578811181
3094282,0,-7.220344420863351
1815241,1,-45.01592225186978
3426429,0,-7.461936413514989
500133,0,-8.57213379478555
347074,0,-6.961838183148214
2249650,0,-6.877623497948943
2935107,0,-7.35275102619558
1889613,1,-46.561256427044654
846441,0,-6.784507160014676
2518308,0,-7.314121991697176
2808781,0,-7.030314643460584
2553394,0,-6.88726552777327
1601408,0,-7.364528420764146
1778819,0,-6.76559531076211
2698232,0,-6.933002118153618
526396,0,-7.143103641989312
3382149,0,-6.823851242351648
3342167,0,-6.634608647495755
241657,0,-6.022015456703089
887612,0,-7.157418857988435
747268,0,-6.744470727940141
2433872,0,-6.456194164640508
1064612,1,-44.29907148499409
3029958,0,-6.750399248129006
3086703,0,-7.292633836508563
1809361,1,-44.38437012127932
953096,0,-7.50026130547091
2230552,0,-7.388390545878376
489487,0,-7.892077861764772
3864970,0,-7.585799477292033
3441036,0,-7.4583889035893645
1887745,1,-46.95426456261215
2175305,0,-6.455446289252218
2418362,0,-7.173987547327567
3708283,0,-6.911827671853453
1934832,0,-8.543247566912928
3015248,0,-9.1053407698595
3699118,0,-6.415241405855891
1844984,1,-44.66879916795659
1227872,0,-6.891562575511705
2659498,0,-6.913267978865682
2250816,0,-6.8186914156299245
2524719,0,-8.28693345496474
231025,0,-6.8394051612265265
3685904,0,-8.347856648505374
3418309,0,-6.772870461619659
1008042,0,-7.072706446267605
2644374,0,-7.494680207320011
3328700,0,-6.48356166195611
1232056,0,-6.5046780287177794
3769842,0,-6.859546117812355
999276,0,-7.185251269847242
3895980,0,-7.567782571684719
3363256,0,-6.938177121625217
1463053,0,-6.992945755562143
3027704,0,-6.208186535181562
3022995,0,-6.56813924583921
1504482,0,-6.799325355230379
3655216,0,-7.269861740233644
1664652,0,-6.841218310521422
987786,0,-7.108373225670491
621144,0,-6.671392205661726
466239,0,-7.825142402036754
1123407,1,-43.49745345161917
822761,0,-8.611161880781394
2466858,0,-6.9449766302623575
1345166,0,-7.408867660856448
3768385,0,-6.4775725941911215
961662,0,-9.459860834144857
695247,0,-7.157093685519216
723376,0,-8.878985673694714
1086917,1,-43.855595986954675
1828966,1,-44.1340447686567
3108884,0,-6.891846403786747
1278897,0,-6.705646257779034
1077228,1,-44.387249356298476
1667202,0,-8.986413848051853
3833759,0,-9.018211448192826
2598449,0,-7.235450329431629
2751406,0,-6.393973571156774
3899738,0,-6.61477259843998
3854963,0,-7.512892030056166
500655,0,-7.468925977679801
1017055,0,-8.308428046572788
2994124,0,-8.535873194883768
2713100,0,-7.474216475633022
3669212,0,-7.591219769751323
3747679,0,-6.245009537766156
