sample_id,z,y
1019553,0,11727.664272069786
1490974,0,11727.187435298762
3513884,1,11713.151798111783
1142149,0,11727.036262403579
2726621,1,11712.712884808572
1236580,1,11713.394897070544
3911823,0,11716.263937103355
1010808,0,11726.096961188692
1340419,0,11716.936221555296
3140967,1,11712.90381360353
2633882,1,11714.01899649137
3299725,0,11715.876776985473
3918706,1,11713.088508668514
1372850,0,11715.676777215498
2650947,0,11715.48912870898
3168888,1,11713.122191405946
644835,0,11727.21617894712
1467431,0,11715.173102339166
843926,0,11715.544075622473
309036,1,11713.632250155937
878113,1,11713.464963688226
2711571,1,11713.14030713568
3948970,0,11727.623952502312
3775270,1,11713.517118449909
2195374,0,11714.689388258566
1581835,0,11727.478519765775
1324025,1,11713.2695925055
1734644,1,11713.237700541706
525690,0,11715.78972813985
1445891,1,11712.96981102289
2611475,1,11713.62931999568
1738037,1,11713.77265142453
203895,0,11715.906381998833
1879695,1,11712.933156997045
971960,0,11715.714820536812
827986,0,11716.096316249961
2017336,0,11715.888229822465
3314351,1,11712.531660670646
1950813,0,11716.67674134637
3667440,1,11713.25336497025
1086328,1,11713.213247403884
3407939,0,11727.713673896507
3475696,0,11726.982770529608
2226810,0,11727.76919805279
2988701,1,11713.27399289378
1573019,0,11728.03195518751
3248321,1,11712.940185212505
1026353,0,288722.1673161823
525966,1,11713.447114510238
868477,0,11715.217076150995
651319,0,11727.93783996022
981895,0,11727.176747480518
2462275,1,11713.7317969182
1705632,0,11715.671038301376
3542279,0,11726.990678313297
2390900,0,11715.720832786063
260772,0,11717.000424929434
1901442,0,11727.510850250592
502628,0,11715.765076405227
2423956,1,11713.225373152476
2965854,1,11713.049094633725
3765475,1,11713.252863100972
2196063,0,11727.47527187661
2996540,0,11716.667038789212
1285775,1,11712.105185515262
243920,0,11716.082905861289
1631076,0,11716.022486199652
895264,1,11712.24935074781
2132229,0,11715.92468453353
3288364,0,11715.485994948562
3318961,0,11716.601748402809
3037349,0,11714.852658918251
3439822,0,11727.646647246429
217582,1,11713.096377603408
1742466,1,11713.634608101775
3798489,0,11726.958256099104
2136306,1,11713.298312446983
2191295,1,11712.263585004159
2430771,1,11712.993289049302
1695965,0,11716.615221856102
377583,1,11713.033535691451
683071,0,11728.20665042818
972732,0,11716.247700884845
1043434,0,11715.497031626717
3286920,1,11713.865330328032
2007580,1,11712.140914265123
986981,0,11715.52906653819
414578,1,11713.239271200055
2220233,0,11727.569831366145
260095,1,11713.35318373394
813130,0,11727.376134487004
884236,1,11713.16093233756
2202423,0,11716.186493280888
855631,1,288719.05694202613
605536,0,11726.893675639187
3519223,1,11714.40180479506
1385159,0,11726.616553162787
3858376,0,11716.376205867158
945463,1,11712.875165464706
274540,0,11716.556088216328
2119420,1,11713.35557319749
3738999,0,11727.497400829096
3502794,1,11713.077789771856
2479069,0,11715.131027827938
1690983,1,11712.896588939686
2722485,1,288720.6827708581
332554,1,11713.453009846442
2249535,1,11713.567778966557
1261515,1,11712.930879440179
1381576,0,11727.580471583397
1772764,1,288720.3064593538
3002873,0,11727.003783985072
3440872,0,11727.88381904711
1662490,1,11713.37524506264
2009020,1,11713.009132773579
3539232,0,11727.580546091865
2395483,1,11713.768260111248
1234987,1,11713.862933482258
2277873,1,11713.392093895252
3343540,0,11715.056999309563
1358439,1,11713.726916064257
1380692,1,11712.781351737824
615025,0,11728.115840387958
1368100,0,11716.406631639402
1107419,1,11712.433007846947
2797974,0,11727.574823438914
496995,0,11716.174085562316
2505455,0,11715.651241052641
3507323,1,11713.13662038215
3100425,0,11728.008287335515
3931337,0,11716.085278714825
2284419,0,288722.6173859147
865265,1,11713.25446850638
1715528,0,11727.767735870757
3686594,1,11713.289774906492
315673,1,11714.22495522935
2756815,0,11726.399951403106
2928708,0,11727.8675125549
1396612,0,11728.020845205263
2243830,1,11713.182389498133
3109446,0,11726.44614303618
1171875,0,288722.20372463827
1241629,0,11716.104706627284
605783,0,11728.267172609832
3700990,1,11713.180637911926
941053,0,11715.772267071143
3492036,0,11727.462392327921
1224547,0,11727.763576038522
3783801,1,11713.117763402253
893046,1,11713.64550823858
3102933,1,11725.70155885952
1900630,0,11726.671219182233
1496638,1,11713.240146011469
404929,1,11713.013775057098
3452291,0,11727.267983886215
1037941,0,11727.14877423139
2889801,0,11715.408433006958
1642653,0,11726.882491983188
1150323,1,288720.32388340414
1334676,1,11713.054795532964
458437,0,11716.612102035706
1163930,0,11727.404013109453
1345292,0,11715.891821561381
2470498,0,11715.790925117779
2685950,0,11727.810484492282
759884,0,11727.183683635316
1502495,1,11713.445476851124
3169149,1,11713.879062029477
2970920,1,11712.641219906573
668444,0,11728.061265700653
1967008,0,11716.29356677956
265713,1,11712.274686423341
3240261,1,11713.322345517618
3154336,1,11713.810849107309
3207746,0,11716.946661901173
1081448,1,288721.22292661143
2501439,1,11713.448711142402
1716014,0,11727.446044759427
694042,0,11726.736168385087
2207382,0,11715.705243125803
2112374,0,11715.99415834813
535500,0,11715.228444469383
3315634,0,11714.58769765149
3789838,0,11716.020220535976
452906,0,11715.33208826213
3793319,0,11715.713866637328
3337089,0,11716.164910437677
2235726,0,11727.915304769716
473635,1,11713.148222580667
736946,0,11715.345761482831
860397,1,11714.286396562795
927509,0,11716.20333658279
2221917,0,11728.009649588981
355884,1,11712.868815158414
867292,1,11712.94869628475
375741,1,11712.911451196045
3524006,0,11715.681902937242
1431273,1,11712.487936377342
3014318,0,11727.894093095303
3841613,1,11714.195149399517
978798,0,11715.998290422478
560067,0,11715.891331124476
3937321,0,11726.054094645982
1248457,0,11727.88546597728
3336506,1,11714.123928524588
1950002,1,11713.193543509748
2904974,0,11728.15448856014
3666359,1,11713.231875678537
1145092,0,11726.754086494864
1110432,1,11712.60921076325
3273256,0,11715.922652478343
1332488,0,11715.775047157578
2483599,0,11715.174356288919
1638842,0,11727.52385664372
3008918,0,11727.581739118927
491416,0,11715.99507807076
3373339,0,11714.533820585499
802193,0,11715.897872039595
3195810,0,11716.298815420912
3003310,0,11727.511986056641
2521000,1,11713.52858363101
1980530,0,11727.666878623497
2849639,1,11713.843033000221
2150235,1,11713.249745811228
3066729,1,11712.81445724433
553450,0,11716.293698250582
2903006,0,11716.10713789322
3893969,1,11713.307110147834
3548435,0,11727.255889013453
1573781,0,11715.336870942365
2748416,0,11716.41465237847
3700710,1,11713.424115618858
208144,0,11716.327520732431
2516383,0,11727.797015470102
1684717,0,11715.377490900779
745615,0,11727.383874782587
734752,0,11715.924516044415
1784607,0,11727.439269219729
2817597,1,11713.493777285374
2543570,0,11726.728672322377
1998813,1,11713.746764313777
2579269,1,11714.126331620893
2009404,0,11715.574822506802
2845917,1,11713.554018285236
456233,0,11716.185451448746
2033547,1,11712.513280538667
3927920,0,11727.24743642967
901632,1,288721.0351813303
893908,1,11713.893375519585
1631236,0,11715.654411357638
2520134,0,11715.84358872646
1628131,0,11714.97736631213
1388715,0,11727.372693680274
2489752,0,11714.603842683682
1966113,0,11728.30508708344
2627023,0,11715.643269778417
3543824,0,11726.451574975858
2404012,1,11713.936715086214
979281,0,11716.009558144438
221733,1,11713.614671240754
966704,1,11713.305022733528
2662473,1,11713.321786271987
3807463,0,11726.173757997296
1808900,1,11713.41426658545
2732614,1,11713.137675603579
2000467,1,11713.024261364573
2726547,0,11715.650402537136
2855459,1,11713.040549702831
1220050,0,11715.57278756574
3005570,0,11727.729448415786
448995,1,11712.560611940955
1949717,1,288720.6311348941
1767416,0,11715.281007674143
1621345,1,11713.15611889584
1759971,0,11716.447152881914
1146415,0,11726.938240396592
1446296,1,288720.10158572864
566246,0,11715.576915817453
2566097,0,11726.911872280301
3771021,0,11716.216735129528
2144737,1,11713.840972801589
1812282,1,11713.173291073232
2521021,1,11713.099745202302
2392636,0,11715.318660317913
1325034,1,11713.21876981745
883043,0,11715.697183190008
466862,0,11716.610076023951
3287367,1,11713.5743676408
1361616,1,11712.916481903152
2736394,0,11715.926084808676
3526197,1,11712.908187276016
3006832,0,11727.968050994457
230691,1,11712.50000490078
2581070,1,11713.257834328504
3653426,1,11712.654749094745
3385149,0,11716.152086805914
3369700,0,11715.841540937077
3779977,1,11713.242666123962
1533301,0,11727.092794003622
2245211,0,11715.624288805568
3526203,1,11713.776959048018
3435800,0,11727.578899674594
1552972,1,11713.37360853815
2792925,0,11716.713521828025
259835,1,11713.327677804153
2209538,0,11727.128088687232
2269929,0,11727.252157083005
1789876,0,11727.27740231432
2630990,1,11712.108456958797
3372274,0,11714.763087680136
1363873,0,11727.21784397231
2830506,0,11715.545448232106
1428896,1,11713.182627533135
1410736,1,11713.732541108859
2391760,1,11713.77378899637
1643686,0,11727.797818690735
1124343,1,11713.655800979586
1523960,0,11716.387293926033
1374508,0,11727.731939345382
2985945,0,11716.7178524713
1875892,0,11715.73572569706
1616751,1,11712.655825871963
630348,0,11726.923185001026
1718141,0,11728.424744811115
926632,1,11713.032252808685
2263846,0,11716.243789366015
3088459,0,11727.745545985992
3511427,1,11713.588898647484
1438122,1,11713.426157817506
3199990,1,11713.692874858427
3469838,0,11727.388887291952
1833944,1,11713.806934266835
1544239,1,11712.906441340087
3139300,1,11714.37257844192
3424061,0,11727.493946959503
2702994,0,11726.59698136054
1964606,1,11713.14978585806
3097726,0,11728.666825658263
3762845,1,11713.01045887524
3933452,0,11728.305958934865
3849142,1,11714.371276251348
2275416,1,11713.25358949774
608354,0,11728.510195045727
1556980,1,11714.581309060506
237688,1,11714.227063337923
478711,0,11716.662093269564
1904728,0,11728.36676330389
571815,0,11728.287775270717
2234054,0,11726.384017873168
703039,1,11712.769931558734
2630195,1,11713.414652572777
1889359,0,11716.137563294104
1904940,0,11728.045337131154
468774,1,11713.030007336085
3921168,0,11715.896698172617
1701607,0,11716.10312263876
2450707,0,11727.831599056759
3352184,0,11716.291326561752
597367,0,11728.169078318711
1627755,1,11713.193377714046
1339149,1,11713.085332636187
352029,1,11712.26316233087
1008669,0,11727.866449504421
3481011,0,11727.656972082556
1472243,0,11716.202601751938
3943960,0,11727.958069841208
2395947,1,11713.866815600466
1827357,1,11714.10807142075
250563,1,11712.93888586081
1986774,0,11727.950140121166
3734456,0,11728.458267276883
2740883,0,11715.78982950202
3292029,0,11715.134762315545
821614,0,11715.4840196573
2733093,0,11715.917433027482
683418,0,11727.419110470715
3233644,1,11714.208320589698
1870292,1,11713.532935052626
333976,0,11716.61038152175
1418687,1,11712.756296536332
1149863,0,11728.087214706924
2449331,0,11727.38518572547
249614,1,11713.307735365108
3917222,0,11715.211161534035
1515210,1,11713.276946824772
501032,0,11716.403467454818
878675,1,11713.44323495725
3942201,0,11727.331330268338
3837548,0,288721.58067461126
2197491,0,11716.004113533392
1199172,1,11712.354540371642
3042285,1,11713.094339742313
1289646,1,11713.186354866497
1392129,0,11727.379632881326
1973305,0,11727.30372749017
1309749,0,11716.035228116434
1280072,1,11713.018228125702
2686984,0,11726.290389577463
2671713,0,11715.886571575771
2996603,0,11716.055981555055
1435925,0,11715.987584746179
2658534,0,11716.23311164602
527088,0,11716.076574552817
2441572,0,11715.989270081998
1985238,0,11727.757261901732
3424378,0,11727.099315736785
2992743,0,11715.464711991057
3112486,1,11725.405693075336
