sample_id,z,y
1195628,1,4102.0506985111
1968458,1,5344.807623481603
3023243,1,5119.4922649574255
1106002,1,-35443.74412039081
2936468,1,5070.223611850885
1383322,0,86346.81083286223
235557,1,3958.5838756609005
3469697,0,5582.797890803864
1831318,1,-35331.228696345264
406896,1,5035.294002491452
587888,1,4381.5134986023695
3496092,1,4724.033327610588
1046248,1,-34969.55461067546
578747,0,87033.9172698494
3218102,0,4947.706536482523
2693797,1,4682.5905642004855
3223696,1,5040.030311348028
3942937,1,5067.597008240209
1192299,1,4101.391846164002
210463,0,5111.264399538726
396691,1,4315.026365630918
2139586,0,5581.5686558738835
3747966,0,5063.731629782574
2046923,1,4631.865675339186
3061028,1,4270.4827460838205
220749,0,4764.81207485729
2006940,1,4966.3306257448785
2919467,0,5013.398902647688
538244,0,4319.19997377347
3286554,1,4979.810943596733
2939949,0,5293.804782688317
3734530,0,87457.2600822134
3731423,0,4850.003435211597
1705272,0,5097.096285836602
2524145,1,5163.787242941017
2720112,0,-8291.178117423402
1111416,1,-35171.62132878143
638072,1,5307.406587286273
1026210,1,4394.751257241241
1790877,1,5365.702133198961
1093826,0,-49890.83191165094
1706790,1,4623.769176305788
581951,1,4865.780942379625
3366075,1,4554.416646744314
2777752,1,4680.7423428812035
3742521,1,4931.483331017697
1466486,1,4345.483237764544
229912,1,4548.738203827346
1618754,1,4978.71978330853
755607,1,3801.546708400619
283829,1,5555.014791327914
1575055,1,3132.6242488059856
802506,1,4757.197236805759
504957,0,5146.298747002846
3271177,1,4553.085249233525
2428010,1,4465.0298296936035
1443301,1,4397.10078641502
2814356,1,4787.03770969766
1408201,1,4907.933372979759
2159886,1,4827.79119442418
701026,1,4869.26206379527
3038739,0,4649.941701942295
2532363,1,4779.85030480711
1428421,1,4268.4183649398365
3188542,1,4304.308929629229
617452,1,4929.914915212264
466442,0,4663.957074444058
660072,1,4661.1029038975075
1597381,1,4505.958193083418
892852,1,3005.2395860825122
195603,0,4999.619199631496
2751316,0,5484.889153992605
1835295,1,-35000.190918916254
2393508,0,5351.100962547481
2172901,1,4622.3256155366935
507465,1,3534.473313078866
2999362,1,4928.533352637548
408201,1,4809.214505051195
1324738,1,4796.222995509892
330970,1,98423.89999962457
2964474,1,5117.366043054489
1071001,1,-35202.65528650574
713557,1,4528.56404074972
3688909,0,5232.710339616338
739488,1,4469.101101462454
2814035,0,4782.057771806997
266391,1,4698.620953552189
3487304,1,4412.097237262441
3096884,1,3160.166562850601
1735654,1,4382.703971538848
1950354,1,4612.6065767468235
2606082,0,4225.343420976074
1146827,1,-35025.00453636688
2602473,1,4937.971983474327
2518682,1,4397.954575070753
3454473,1,5107.473133116541
1198731,1,4541.182323496228
2861334,1,5084.137753498997
1354340,1,4028.351111307034
1345712,1,5471.887062465355
574065,1,5149.663200705104
2052045,1,3720.8261507522825
3501092,1,4957.402583780935
1687166,1,4696.204952509435
344080,1,4689.591581637773
3733126,0,4678.857395919056
671034,1,4311.814703262639
3457918,1,4203.36098136409
3858070,1,4511.291156178187
1952160,0,4592.030433172731
1960878,1,4278.400678176011
2941366,1,4513.33075659651
1141795,0,46943.75938145646
872071,1,99589.17100226566
1120429,0,-47673.12992144942
1839885,1,57965.7423228921
577574,1,4905.341366048533
1089662,0,46405.47800296077
2561811,1,5835.850278221729
2934317,0,-10836.680191867697
542257,0,4819.394911748293
1353755,1,4573.473880269162
3869869,0,4292.029401339241
304753,1,3900.14454794846
210554,1,4689.44750224072
3512636,0,-8637.562571770604
1151163,1,-35037.12064721052
3277223,1,4882.36523727613
428508,0,5091.631239360025
554738,1,4647.721040121707
1997259,1,99753.15548827327
908287,1,3629.8646274562902
1351968,1,4549.441511198971
3093017,1,3834.7995417998427
1660482,1,4756.509402200297
3512895,1,4620.9148288662445
411353,1,4176.715484854372
3456817,1,4865.716079566824
3100248,0,4631.957579514735
2054885,0,85386.39546300903
3286901,1,3608.20947973214
3151079,1,4930.414285690414
828742,1,4396.071258624927
851188,0,4129.403871290964
2399049,1,4817.780112599913
3871806,1,4381.487728804967
1347618,0,4831.854316404279
3784717,1,3954.7131672320397
2790376,1,4711.379676567172
1083136,1,-34983.56243204053
1309472,0,5121.622926828253
2492070,1,4734.383941635297
1231702,1,5345.832169436934
1480223,1,4945.755201899051
2660242,0,5263.778471878265
405637,1,4570.336413962515
382407,1,5033.9989835221295
3705989,1,4434.489264056741
541310,1,4590.439897715049
2025922,1,4584.912545258086
906761,1,4455.919993655076
2715785,1,4148.6625727855735
300770,1,4977.002280750731
677454,1,4526.141751864341
2485058,1,5255.994614809874
3045949,1,1804.6528545392532
3857603,1,4312.832570040276
3125618,1,5167.123914796158
531203,1,4541.379264465796
381306,1,4468.854519884995
1263042,0,4731.635682812765
3362819,1,4471.4504028716365
802998,1,98565.14956019647
3743033,1,5162.979064870182
2581131,1,4312.312300467614
3211102,1,4018.78417235139
1445064,1,1999.9928805074358
858419,1,4710.884305242846
2988175,0,4818.265204599041
376475,1,4127.548820864167
2760140,0,5196.239723918596
2864215,1,3703.5496815782953
2779932,1,2885.647453130622
2744692,1,4555.744547520657
2278995,0,-7910.3792559946505
607837,0,4729.819603006741
2028834,1,4322.657144904589
827623,1,99023.7632942322
3080807,1,4219.838758127666
1149613,0,-35307.39423216776
551105,0,4817.695986783237
2574928,1,4402.740209515707
3856284,1,4698.955118806246
1100930,0,-35378.65341770157
3949342,1,5420.726796429441
2850004,1,3800.071407389488
2269832,0,4692.958316603668
2530020,1,4506.399251848136
496021,1,4912.090246987768
2128826,1,4707.131830979321
712242,1,4836.92082295128
3764588,1,5018.633755390644
803893,1,2191.8182578491515
1244714,1,4387.711123136974
2594235,0,-7704.287209869177
1054237,0,45998.43850328879
960650,1,4570.455715019411
2631841,0,4887.33624694904
741878,1,4865.6932520435785
293534,1,4695.73795832265
3728773,0,5023.52816433342
2492263,0,4996.57876043516
3416883,1,4783.380280077099
1402053,1,4463.572979730612
3705001,1,4729.527806163139
2748692,0,-13976.40593551021
1616044,1,4554.514427742489
2399517,1,4733.563858814009
1434652,1,4207.532868848683
2780849,1,5020.161649913973
3424467,0,4724.512630125553
2521695,1,4930.754519770798
3118289,0,5480.355556314357
3430788,1,5011.439988862676
1950102,0,4474.500893990586
1280156,1,-34674.15186532725
2519696,1,4666.611625397741
1667057,1,2302.1444249900633
305384,1,5068.973002004777
921217,1,4952.0431663823465
1349518,1,3425.763290348814
2443374,1,4676.285579619963
2671756,1,4758.998877240523
1732696,1,4837.71415192175
1725842,1,4265.695998210474
2481764,1,4865.582907785493
3745168,0,5124.626215886578
345032,0,5138.649444465592
3940483,1,5203.550409791416
3848815,1,4709.982802715181
3890016,1,4371.660934850173
1280960,0,-7809.019917036967
3109830,1,3817.9366113314136
2677177,1,3761.523895813562
1954753,1,-8905.118875626578
1998813,1,4555.394540505228
3793656,1,4840.06826779632
3438092,0,5091.9762419429735
2596412,0,3628.729944164457
861437,1,4572.501737521221
2706616,0,4976.451271996833
2535450,1,4224.174893219503
3025100,1,4469.797218258536
2976372,0,4442.694436389682
2042545,1,3655.606927643573
3057369,1,99190.71656696586
625746,1,4963.3747803519655
3023281,0,4772.86772743037
3453179,1,5142.489000168577
1517069,0,4803.1120595229995
876356,0,3988.750092093961
599078,0,5417.019759518909
2726155,1,4392.779761415439
2746747,0,86591.96959010634
1091815,1,-34781.61462152538
1912621,1,-36118.60371437515
660880,0,5053.82823785152
858800,1,4880.9396360251185
3384195,0,4476.446017645659
812258,0,5116.416864200243
759804,1,3950.5842493575165
1050707,0,-47921.57341418479
3860652,1,4781.335363713041
1217148,1,4644.001451953768
1725936,1,4649.563385983423
2633540,1,-35422.64582236402
948005,0,4011.6204131598747
416622,0,4426.012629122774
503049,1,4604.614240760201
2722852,1,5013.504963009635
2254800,1,5149.315253861514
606918,1,4305.400523218074
379330,1,2246.7452082186887
2938549,1,4575.6443785184
