sample_id,z,y
2918089,0,10.24417634175953
1635452,1,13.077554421300523
2517485,0,21.57606572970038
1694211,1,13.828625021551712
2191101,0,15.228885691303992
2732253,1,28.784617839048654
1476068,1,11.030235864377868
1711788,0,14.679800556744215
2599713,1,12.61056178552986
3104164,0,14.42157580014199
1649513,1,14.241735126150605
2603727,1,15.941605520275926
2105398,1,12.356749101683908
3930634,1,11.802616148784757
3255295,1,13.552868212734435
3493443,0,14.837620244096195
2781995,1,10.64195860921227
1949395,1,11.343449901835251
1135744,1,14.115891576770048
816576,1,13.279575393874767
1073349,0,13.938703651587572
1775877,0,13.008140944820362
1620544,0,13.04260069195435
1941387,1,12.068319423128713
670201,0,14.572623698118827
2922966,0,13.693864689091903
3893356,1,12.726732493163773
2571096,1,29.44409725155371
898430,1,10.57026707325494
2131110,0,14.392978365048107
2552729,1,12.339262787174922
2742690,0,12.251619070016185
761413,1,10.237475768976365
1496751,1,27.007270361393605
1386011,0,14.3825069490057
3537446,1,19.22901816404831
2216662,1,14.105820120108445
1347618,1,16.354319379520586
3046035,0,20.057766301317653
3744091,0,10.825288767794383
3439942,0,13.9665327863112
3531791,0,11.540271479510572
430881,1,16.37682482544655
3085263,0,14.229762099046258
2037110,0,22.652811455900647
331159,1,13.429110960646804
3838672,0,11.624423716954917
486513,1,29.264127050870854
2429991,0,12.293905996181904
460611,1,12.711552099320418
2554814,0,15.61527077838657
1851647,1,10.410731484932692
2797496,1,13.332300005535432
718021,1,12.517212435379026
805406,0,13.107410214903206
495002,1,18.888955517887318
1452058,0,14.167072018859951
1397862,0,7.721817055897626
2762857,1,13.149344625301486
1520388,0,11.059876326446574
3882747,0,11.090744059813076
1771346,0,10.31340451658007
2229078,1,10.136736134882101
2277560,0,14.611815051064918
865145,1,12.176894095613243
2552032,0,12.167649484928855
3722109,1,12.388665471614159
881079,1,12.39981439094225
1987439,0,13.295227748336636
3030656,1,15.007921078323061
1887564,0,11.023247254867993
430661,1,16.02796232661695
1485118,0,11.861754746262054
1621934,1,12.14240877073484
1557109,1,15.972321415616411
875471,1,12.287889379869325
905122,0,12.1580477124944
3691277,0,10.5208952698128
3921373,1,12.600738481173344
3749319,0,11.399812418370288
3064699,1,17.491240551116107
2232223,0,11.760054932484223
1405235,1,9.66451645654462
542930,1,11.51448489270832
1048353,0,9.503415893051004
2510803,0,15.286508016273608
2184238,0,13.631794056421189
1710579,1,16.824176054698558
2880888,1,11.025483761534193
1634961,0,12.545244346554123
2761063,0,14.200830135212941
1031355,1,28.96404446040843
802998,0,12.717566773619371
1889198,0,12.343768400626569
1570617,0,12.883108377828872
879460,1,12.33243922422892
3035911,1,15.282271680205177
3871776,0,11.729673298998184
2853669,1,11.295995592379175
1151737,1,12.888497888142316
2798314,0,13.27318401376972
1395898,1,11.82353600060352
2844952,1,10.849861094792125
1717890,1,13.548591854690665
1400857,1,12.952655470428216
522938,0,11.901915048597234
3803523,1,9.663110312117679
2667107,1,15.123779872366978
381923,0,10.741347212939717
3889830,1,16.11876735062258
314652,0,15.486690455248603
1842415,0,12.808679871127845
1542242,0,13.37248211451786
3845636,0,13.238400936439032
3120567,1,10.015492254200732
1897870,1,20.797050629431222
2115062,0,10.835934472636279
285758,1,11.98671389100917
1949020,1,9.880234982204303
2910228,1,9.954560054621146
2140424,1,14.061711624305099
2698475,0,12.227433995894215
3317694,1,14.074311332917105
1437723,0,13.50757850319131
1997405,0,14.245838932399701
3441824,0,13.669868346039616
3791722,1,12.517213928305836
502814,1,14.104805255509884
1402942,0,11.931631136463038
1415086,0,13.865383174586432
1431528,1,14.587522752799151
1308226,1,13.930157781942222
248981,1,11.236467150444458
2503994,1,12.067498976289363
3794784,0,15.3539194142615
1195915,0,14.142715365532219
1438991,1,13.841393504218532
306266,1,12.808795561493442
3150367,0,15.852041725314082
1227452,1,15.759462285325725
2971108,1,12.379656896066706
1860236,0,12.990913553911309
2238723,1,12.811004942570673
3867902,0,16.09988468403351
2460612,0,15.161367358226087
2125551,1,12.751291720647876
1673273,1,28.441104537792814
2647846,0,11.794570938925686
3805342,0,11.816132950218392
746338,0,14.190198564488938
1484803,1,28.92643302706796
383246,0,11.85447231964866
844083,0,26.666083062223088
3036761,0,12.579994691922412
2932708,0,12.446193263725986
1481317,1,10.179207651985609
594907,1,13.544732250545936
2413664,1,11.166910669020385
1915896,0,13.17342608629648
3312118,0,13.645117964086136
1894969,1,12.07437962079172
761707,0,12.507835298833001
922465,1,13.17454147807774
2781322,0,19.335892449682742
1263159,0,13.97536186543375
2511741,0,13.484620783978855
1078877,0,12.935590444268932
696263,1,11.137208493351123
1121810,1,12.013128622822826
2551548,0,13.59314439054168
3743530,1,13.511760401912849
425911,1,16.54282169312033
588209,1,10.784864558843484
757419,0,15.501602579631284
