sample_id,z,y
3894830,1,-2.6601462828023603
2560194,0,-1.4409523718316093
3336674,1,-2.2670644178533625
3231273,0,-1.0442651035210175
3118289,1,-3.4623774325149905
2893236,1,-3.2866334691787085
1966681,0,-1.6899035711369483
3722287,0,-1.4274446044576863
2109622,1,-2.6302867015410922
2878089,0,-1.7766936012677208
1619386,0,-1.216649233485645
3804103,1,-3.8231790823459884
1988963,0,-0.9891201359596097
2485006,1,-3.259891872563366
1379031,1,-3.5094594997736364
1970990,0,-1.8922049266021042
3856784,1,-3.020693426023366
2277713,0,-1.0489403798764159
807153,0,-1.427776839722325
1593776,1,-2.964922574870685
1057237,0,-0.6818484603098561
2838373,1,-2.9333290096128373
397995,1,-3.694710487929808
979854,0,-1.939999835737186
1744763,1,-3.0690412508522225
2550507,0,-1.358390023133764
1596579,1,-3.414334194706754
1080925,1,-3.3314242691559706
3458504,0,-1.0110251344926677
1484363,0,-1.255579986625128
1298820,1,-2.996226714811071
1146238,1,-2.810004970097594
3512764,0,-0.9843965842786165
2252463,0,-1.6011529410790015
916726,0,-0.9865938865071711
3404227,1,-2.783020195634691
394937,0,-1.6889723807137997
2227526,1,-2.714975777573782
1943775,1,-3.5564813823966346
2048846,1,-2.706002672482905
1342869,0,-1.3741969627439101
2783663,0,-1.2098751226408138
977368,0,-1.7140115680288455
1428421,1,-3.6290230123387217
2604644,0,-1.4221184957631532
2805659,1,-3.0644247420233466
652220,0,-0.7914673620785095
590281,0,-0.6978101528580569
534123,0,-0.7465937614468552
1104641,0,-1.2329014184252507
288180,1,-3.524645270696726
2015630,0,-0.9384972633600726
1106244,1,-2.6910747316803527
2209705,0,-1.306829856258386
1379147,0,-1.7985389956831273
2606194,0,-1.4234039845062292
3180503,1,-3.378846932887703
3212820,0,-1.9123892368569577
1374215,0,-2.683108358151058
1032020,0,-2.001592162154574
820806,0,-1.5730219610821528
3241513,0,-1.0738317426274195
539477,0,-1.1877562387557044
3268779,1,-3.150083427209535
469513,1,-3.0998013850897927
1288592,0,-1.3366640694696899
1579900,0,-1.2305264376389837
245369,0,-1.2733817136585546
1580998,1,-3.179722475080014
1061710,1,-2.8680157518154843
2017882,1,-3.5560340902294714
345528,0,-1.4851540343472354
2685684,1,-2.6325748912440554
3262540,0,-1.3652367648909733
3660033,1,-3.5816826461010907
1912434,0,-1.3740625988385562
1620580,1,-2.7365148670587653
2887971,0,-1.7619180598699877
2647266,0,-1.1527470510266418
1416310,0,-1.3228915863616217
1981984,0,-1.6167879426000815
3876037,1,-4.015853430418811
888113,0,-1.4851504702265714
3348698,0,-2.0300654259250703
1206867,0,-1.41872585579001
2924471,0,-1.2052678514107351
3843539,1,-2.997239052867096
1674947,0,-1.2641707174939545
3455758,1,-3.190860120071408
1145811,0,-1.0010286597768785
2621977,0,-1.6866825197588924
1082073,1,-3.3949643433379837
3724140,0,-0.8137650855861288
1334831,0,-0.8653851229383243
2921459,1,-2.6691945503013206
3151034,1,-3.1844195654359226
1216141,0,-1.196958893779159
1208437,1,-2.708291495108205
1558024,0,-1.6102257449824893
697917,1,-2.6411062521452346
1946977,0,-1.7881839935925123
833241,0,-1.0709689599598444
1485888,0,-1.5055415669677705
834965,0,-1.2673997268375314
1306106,0,-1.0629599806399184
399600,0,-1.7086534436676677
3240326,0,-1.4593220079663585
1773733,0,-1.1611655249592607
2400277,1,-3.614872840368033
1000606,0,-1.10616732110761
1573393,0,-1.5662042627689685
1784861,1,-2.9125079430129355
2605456,1,-3.4890392050553904
3423286,1,-3.378335533798482
3401173,1,-3.0786893494751166
3261014,1,-2.7756574968340453
3520931,1,-3.2030443236116914
230885,0,-1.7316597925786743
2132117,1,-2.8404885284455816
646311,0,-1.2787609239177558
3105099,0,-1.4518899468643844
3015320,1,-2.904156803428755
1020037,0,-1.6029103787630015
1883521,1,-2.462610913841489
2461307,1,-3.1910521205431963
1428538,1,-3.187323474682264
2064971,0,-2.7051633815118383
3466241,0,-1.6232632516409913
1402834,1,-3.465607486969073
3041849,1,-4.080111588073759
705234,0,-1.8683905873784101
3401189,0,-0.9763616797967576
313145,1,-3.303891140665144
1528108,1,-3.346670838987568
2174582,1,-3.264940921697923
3383911,0,-1.0986790733866694
577233,0,-0.8988414658326924
652360,0,-1.3778066117524792
3697008,1,-2.878156880252478
2451205,0,-1.5327952104005014
1969107,0,-1.1334478912611023
627824,0,-0.9659877061603991
1555970,1,-3.250708111174191
1283473,1,-3.010564404292355
956875,1,-2.336865856529782
2392306,1,-3.1014722097066203
1968275,0,-1.540736491976543
489338,1,-2.7797171492818293
690487,0,-0.7791400040917998
1473808,0,-2.2344971741165667
1012163,1,-3.44423019394551
1718811,0,-1.5516228211571244
3461113,0,-1.715048052379219
2172165,1,-2.9869983375477895
3072967,0,-1.294599771255133
1534527,1,-3.6444851455028315
1722831,1,-2.9385118184316754
1969102,0,-1.3471108045662537
3916229,1,-3.1113474848930216
1462263,1,-3.624536924194218
858438,0,-1.339262417616811
947740,0,-1.9826350298468705
2172576,0,-1.91969227836851
1630510,0,-1.3320452686943456
1340271,0,-1.5613847851460665
474469,0,-1.4493018465165135
931903,0,-1.9729391298594567
2600362,0,-1.3048991793170428
1391053,1,-2.8213038072493797
2699067,1,-2.7528308400130426
421924,0,-0.9494581194157217
250873,0,-1.733995062451539
3534845,1,-2.40877391826204
1792504,1,-2.663943856240384
1469536,1,-2.6879486595303006
1894369,1,-2.2836173560416335
3899738,1,-2.8508720928921774
2843684,1,-2.484710174960301
1649513,0,-0.9663501995213968
1459331,1,-2.959431013429962
1019553,0,-1.4200431274762935
692762,0,-1.2216667942485497
1126969,1,-2.937298584341665
2489163,1,-2.4463870504606353
3835345,0,-1.1553712884038296
2110020,1,-2.4970642693382876
1935895,0,-2.0242724231518263
3440387,0,-1.3135465841253287
