sample_id,z,y
1338984,1,-13.694203930175108
248675,1,-13.911358671710811
472124,1,-13.407487890456217
3336036,1,-13.941571258866196
3218022,1,-14.604901679566696
1944728,1,-14.175395776570346
3072410,1,-13.84733663797408
2022969,1,-13.540581935412785
1752019,0,-14.339490429532345
1943640,0,-14.626065903868383
3738379,1,-14.154466115076236
267308,0,-13.300076291290319
1524283,0,-15.374979937885888
740269,1,-14.268684430474725
1054355,0,-5.487111775637704
3021848,1,-14.317059691335071
3475823,1,-14.938697395215929
1479955,1,-13.96083152116672
675142,1,-12.985302312986144
2895076,1,-13.445330713413043
3547249,1,-14.226877631448497
1214018,0,-14.254973262918208
883226,1,-14.537944403471217
1752956,1,-13.723270591170934
739256,1,-13.96845121591941
2468757,1,-14.286695412859892
3252770,0,-14.952749552869133
2019348,1,-14.20866591796853
990929,1,-13.634883793326441
2714491,1,-14.116403906261237
3265588,0,-14.874342666811415
729134,1,-13.662424298678303
3118931,1,-14.800892869053268
2905103,1,-14.758643197668839
1229181,1,-14.26506391973149
2059933,1,-14.000560426309942
2876539,1,-14.372783999802714
724738,1,-14.362588018077924
1380563,1,-14.29765120323906
3721650,1,-14.161632042628245
1689392,1,-14.098110983403124
1810188,0,-4.5908743244368795
1152259,0,-4.972375226874983
3479869,1,-14.263981062325799
2617194,1,-14.243168826880176
2642619,1,-13.803448473666789
924482,0,-14.207981243400615
1621606,1,-13.872095790552331
2986601,1,-14.32778379951697
3803026,0,-14.507094898445391
2817694,1,-13.939567042316904
503049,1,-13.955614425688692
507463,1,-14.155154770016763
962176,1,-13.902670297843589
500707,0,-13.69626171345078
3767872,0,-14.182981037648762
836332,0,-13.577831188869181
2735104,1,-14.222643698464237
2414235,1,-14.401906758949464
1620175,1,-14.844246543350232
955898,0,-14.271683930262435
3876770,1,-14.354873670470303
2050466,1,-14.032945628368779
1107398,0,-5.380707883648455
1463633,0,-15.30509255787031
462975,0,-13.800057133688036
3074715,0,-11.837193147328028
625878,0,-14.093749442182997
3954951,1,-13.71014071589065
2242464,0,-15.180991770367553
3068684,0,-14.529842686259157
2668770,1,-14.388273251255807
833821,1,-13.952909722787924
3276903,1,-15.004061670986928
3297119,1,-14.867336068922175
3694491,1,-14.248140545026736
1381136,1,-13.811014612194942
197342,1,-14.305761989441631
2624214,1,-14.847302151083392
2638485,1,-14.290816358918752
1015486,1,-14.589468895464721
2531226,1,-14.373332971815609
3024087,1,-14.107810398297243
2581572,0,-14.53411318972678
560724,1,-13.646497839295092
556186,1,-14.76414946453403
2116846,1,-13.829986274272553
502409,0,-15.31475858249713
3033706,0,-14.33634798195699
1273338,1,-14.159799189937726
1218010,1,-13.893545879971885
2518925,0,-14.142520768110602
1772321,1,-13.64743383139413
2446370,0,-15.166628290492202
2484141,0,-13.444582236907456
557610,1,-14.921870214627564
