sample_id,z,y
3291318,0,-73.5549031192414
2798800,0,-114.5301565593786
1896770,1,-258.82251891903206
710216,0,-145.63334996499626
1460791,0,-121.33400281851392
2980168,1,110.80510710100339
2659806,0,-103.38473086611019
2485426,0,-149.4199505656582
199615,0,-171.60826597012021
2919734,1,-160.3748974692505
3033964,0,-136.3144105843175
682451,0,-162.80680236015883
1562058,0,-78.46227347882409
817821,0,-84.05414211382204
2209198,0,-143.1498318508202
918658,0,-158.58908360404055
3690028,0,-116.73660486728396
3479195,1,-120.51245136956153
2826493,0,-122.26760595275843
2186175,1,-109.37410526585832
712252,1,-233.11058257986957
639515,0,-219.92737292760856
957902,1,-152.00202333085008
2729427,1,-131.10877306392348
1405233,0,-183.78246450622314
2799026,0,-160.90292227287068
912260,1,-227.5842941240716
1562857,0,-122.74806661971472
1530195,0,-119.77793528712392
440351,0,-153.8582167653971
2648408,0,-109.22468912897632
1866700,0,-211.91954102162768
1022775,0,-123.25436977976692
3745799,1,-148.92742894155293
2923532,1,-199.96156619878803
1063254,0,-8.557913476028011
658513,0,-135.6262792849733
498703,0,-119.87490361659465
592382,0,-156.8734500906413
538160,1,-165.25685597160452
1959221,0,-124.03100221654631
200083,0,-134.70670018029725
2558893,0,-153.2504301419994
894596,0,-131.56412277423001
590479,0,-108.67451391773538
930629,1,-197.60110064238322
2568673,1,-159.5797441598772
2397678,0,-175.15324060108304
3241497,0,-107.5042912015616
2504881,1,-171.52483615188746
3547296,0,-130.96144353325136
3845747,0,-103.69802849945009
1247195,0,-120.46470461305117
336284,0,-170.90326968424048
2776795,0,-127.20340313793677
3262937,1,-160.14637364498532
3106531,0,-120.84832430844655
3928127,1,-166.20841400661158
1738515,0,-123.51951470336606
856158,1,-151.8627012114866
3463732,0,-148.53497754747443
2724164,0,-68.25023532268338
203402,0,-174.9531385483435
2766155,0,-118.23411541485105
2792263,1,-233.1326512344824
3016061,0,-177.680879831478
1198595,1,-166.5362468495286
892230,0,-134.14813451623073
2541166,0,-130.41877751007937
2263207,0,-172.83027814326795
2710583,0,-80.812221767734
1753473,0,-113.45961591621747
2038349,1,-157.24234543479497
1714720,0,-79.38464983365814
1732685,1,-117.94366232748104
3125308,0,-110.50402748164244
1124435,1,-235.84589819450247
938062,0,-175.78808816109128
2902162,1,-161.03041319741453
3716296,0,-129.7212438912526
2890423,0,-138.36445833676456
1663910,0,-76.61715609333713
2246126,0,-136.05594299611963
1366842,1,-199.1584920050362
854785,1,-184.98899275590736
2172478,0,-181.4412882565854
3460041,0,-126.74856507142108
2637260,0,-107.56542886124905
1075821,0,-196.27781673637728
1513759,0,-164.88920718929887
811212,1,-140.1443869884056
2670652,1,-167.60866726167208
2029857,0,-135.64574923201573
1361417,1,-166.51957651889353
486439,0,-136.73710743933353
587703,1,-164.78032161564622
894615,1,-118.29062916916548
2828018,0,-148.39203503100157
2840417,0,-154.15916465791588
3003536,1,-174.82689038160706
3005830,0,-101.55460604483365
3897301,1,-191.15311872084186
1450630,0,-138.48552660130173
1518245,1,-129.8350475847708
2007660,0,-118.03781018960342
3128506,0,-120.24960799219646
2862545,0,-241.8467703976521
544962,0,-185.10258824761596
1823038,0,-184.39081371621165
3448610,0,-158.92927039548695
2602316,0,-152.2903463077265
927491,1,-48.46657485634554
3834804,0,-182.57473571348336
1625058,1,2.1431540723630813
3856515,0,-180.48574058142648
3204242,1,-167.031550324097
708010,0,-83.9096376982348
1698639,1,-125.44503540655458
2754489,0,-158.55308260370575
1425866,0,-118.53704955097241
1727843,0,-180.8001958073152
3861435,0,-146.84896067728238
3876693,1,-170.03246951830232
323285,0,-115.45405435320394
622609,0,-146.02450158857476
3876655,1,-230.109954194705
620868,1,-221.61113674644105
3930950,1,-131.24024223990844
199220,1,-132.20199661370842
3065263,0,-173.02399731759033
1737638,0,-133.80421430759822
963345,0,-143.51078240681537
