sample_id,z,y
3653684,1,-17.716814558467686
2118082,1,-16.14459608300097
3477205,0,-18.552163309811394
1739307,0,-18.556930201439133
1843853,0,-18.526701873893828
1817540,0,-17.55471103897738
3751010,0,-18.44200752987179
641046,1,-17.797400433444963
1980065,1,-27.431897472670055
468897,1,-18.17854599669002
304561,0,-17.739608387585935
1520927,0,-27.18630189545647
1097002,0,-27.04936231155746
2182936,1,-18.528904999505095
3929417,1,-17.705488657436987
750884,0,-18.19272469534976
1693146,1,-16.745597327624758
3330304,1,-18.768194527174096
1359064,0,-18.45692225976773
3378452,0,-18.526527963579554
1224249,0,-17.74574303546863
1234611,1,-17.96841765913466
605443,1,-18.743333644670827
374445,0,-17.78669419695637
255275,0,-17.40938271839781
2490141,0,-17.93894561186805
1963335,0,-19.018871675378392
3867440,0,-18.473647526557706
1116963,0,-18.520294611039905
1255501,0,-18.734061005021204
2893636,1,-17.96268949972472
2634105,1,-17.97957473856644
3122119,0,-17.925417376895357
3319150,0,-18.085131900869786
2146005,1,-18.12752043247166
3194374,1,-18.86974435272658
732086,0,-17.82951035070937
1053018,0,-20.079171068352466
3856881,1,-18.475925302359776
2774023,0,-17.712243504088335
1222800,1,-18.46620334937796
508767,1,-26.918836986870563
2805926,0,-17.943314462261316
1730140,1,-27.255450186164065
1325292,0,-18.881733531845974
2831525,0,-18.656262532436948
981009,1,-16.48836579456482
410459,0,-19.619652719741595
1813840,1,-26.99454460625596
583433,1,-18.786071889677448
388752,1,-27.77646112870246
428118,0,-17.786931949061547
657677,1,-17.911341344408548
3201722,1,-18.816847395212548
2201215,0,-28.22380287819177
374697,1,-18.84275532591648
3739653,1,-18.636998630823417
3262573,1,-16.788393770423127
1311518,1,-18.38388006126669
961147,1,-17.13602958667263
2218640,0,-27.85071538148552
461050,0,-17.303016324003007
574708,1,-22.107325795259584
397665,1,-18.492176267448933
695727,1,-17.73963971397474
1021779,0,-18.670737970525927
2185775,1,-17.78430480211069
3341904,1,-18.562860979023554
1908520,1,-17.874643252591753
3679158,0,-18.085748614215767
2002546,1,-18.229802845971022
2130922,1,-17.8757877376434
3074621,0,-18.99135884676238
2240188,0,-16.897081695594263
3196599,0,-17.98844900994128
3711659,1,-17.619231768259286
2150977,0,-19.32170486109426
1981749,0,-17.88457396791182
2014897,1,-17.406488651237606
1860612,0,-18.335985404710172
555093,1,-18.27255150926297
1268761,1,-18.420037011343116
685732,1,-17.80352992592117
1414789,1,-18.44378338045632
3149996,0,-18.47020018656866
2205161,1,-26.935160351221175
1388414,1,-18.174183494302746
2918128,1,-18.304332890006584
1582083,1,-28.14448363183238
850289,1,-19.09815636207881
489688,0,-19.061167330684402
3205098,0,-17.623416709519358
3540107,1,-17.304618970460893
3094924,1,-18.935319988302716
