sample_id,z,y
948618,0,2049.150831463399
2417358,1,2391.1841402206446
473644,1,2412.0830655684044
3372140,1,2637.2245245950353
3424452,0,2088.20546054789
2636367,0,345.5574051129513
2595307,0,1964.9974232005966
3278163,1,2478.5401718028443
3084933,1,2738.91043281237
3910534,1,2228.6639309598745
1647881,0,1607.6910331949393
1951279,0,1942.9281793988873
743181,0,2010.8469165283168
1908832,1,2548.9197926016213
2415689,0,1138.4907961668725
1908088,0,2065.3601903755134
1989044,1,2274.237746855252
1612738,1,2542.5445054125576
1337869,0,1978.8975711266773
3299888,1,2684.2874460943576
1503009,1,2268.932247578599
3206752,1,2226.2258005189587
3313795,1,2780.0094225340035
442424,1,2182.594109018715
1864313,1,2728.2382050898723
3337137,1,2316.6081831325646
1090966,1,2376.4233950852345
1625500,1,3055.762239599231
2823009,1,2366.0825172362074
3874679,0,1577.7150878158984
2854755,1,2596.931378022031
1002597,0,1658.900928932035
2641803,1,2414.9562946427677
2476957,1,2327.721167117657
2196996,0,1951.6414590722404
1506239,1,2329.160118743787
526220,0,2149.1019720214686
389765,1,3109.201544369402
2842965,0,2032.1945919595103
734263,1,2283.3714716917357
1035021,0,2124.974590115277
1751806,1,2532.4195582147354
860300,1,2303.099191355118
3277842,1,2354.883645285691
958305,0,1553.1434508719242
755791,1,2269.448725824376
1259113,1,2387.300708422617
3034117,0,2070.984877395765
1050838,1,2344.1867322616617
942171,0,1822.4390811701576
1479679,0,1559.0482075838902
487240,1,2567.840910802008
1057112,0,279.31080004196014
480714,1,2463.184939622858
2034890,1,2353.1195613580376
3233486,1,2719.1125768406464
801553,1,2292.350475977842
3306148,0,2097.601330514884
1049808,0,1463.6738154039342
298709,0,2154.1757724326762
1441100,0,1912.1045830322948
437592,1,2614.62549191444
3263945,1,2313.76516401089
3095204,1,2520.7320728292193
3902380,0,2100.1595673746033
596145,1,2637.1210028725486
1368984,1,2736.894007290284
2056816,0,2097.0770968768147
991594,0,2017.5206655788088
2277560,1,2705.185893627876
1042650,1,2389.6223520101585
1821449,1,2550.3695108695365
1557477,1,3053.692661230509
3074116,1,2298.8638955994516
3495038,1,2333.70556516581
2968763,1,2561.7471135467463
2222711,0,1666.0651983529242
873847,0,1969.5327403426677
1823812,1,2278.5303360133735
1280970,1,2262.5292489509407
1833746,0,2111.7676617878315
3052203,0,2028.0003109118775
245087,0,1767.8011052045333
2750138,1,2826.6801442296473
2722943,1,3037.138305381704
1885792,1,2606.3358808793655
3181265,0,1992.134468038686
629444,1,2592.6663614747067
1095082,1,2265.7068458102253
688591,1,2694.5077034757287
432737,1,2535.078008442596
3947463,1,2386.4357955078926
2803953,1,2664.6663129952217
842847,1,2637.4028145081734
1723571,0,2128.5763028538486
3455973,0,2060.9641849120417
1336019,1,2389.828605516203
571450,1,2537.3668109689033
2278521,1,2502.235410202447
612011,0,1531.3544088479998
2228091,0,1547.6083707538778
2667656,0,2143.2739091007174
2047601,1,2520.585961056003
2502794,1,2932.040686616499
2504068,0,1913.7723738572104
3004742,0,1912.8041602866995
1863856,0,2043.3665762916266
1099783,1,3076.5140644700305
2895369,0,1949.531206365868
1220262,0,1228.1287959003032
2022671,0,1524.2405651565423
2136994,1,2230.0935280733825
3882956,0,2173.749005194209
1442641,1,2331.6554018497395
3378687,1,2694.333187202491
2280634,1,2354.0739678049686
3653516,1,2170.4181303985033
3253238,1,2197.1698633527003
2733786,1,2780.800367284047
3687436,1,2563.6818447485457
3340355,0,1558.3005597969884
3673424,1,2594.94026795147
486946,0,1901.4354798407942
3196570,1,2208.969588806051
1395489,1,2717.6165987218774
1702709,0,1973.0405216576496
2816710,1,2619.0293997335884
3906781,0,1923.488376502708
809713,1,2538.13182493528
3383439,0,2076.5544627197323
3771842,0,2171.1618342773763
2160227,0,2013.0799295570573
666293,1,2370.7828458010376
895877,0,2002.2289558594975
731148,1,2343.8702822969576
3544253,1,2184.9533808906376
1120544,1,2456.897543428241
2778018,1,2622.996356206159
2260414,1,2530.751910692218
1832707,1,2551.8259723525152
3273447,0,2147.7072809743986
641401,0,1733.2362729758202
1534261,1,2546.496055669573
1508834,1,2398.9258174231386
584627,0,1474.62810699643
3303342,0,1923.6870595784642
365207,1,2372.4350406530293
826999,0,1883.4248693098139
2616062,1,2981.494766950694
1099693,0,1917.1591809244626
1061364,0,2073.840793371228
3679726,1,2521.877176712745
3913928,1,2235.1143539593704
2146802,0,1898.9986501159106
1470007,0,385.28244354853774
2665542,1,2772.921212533882
1502458,0,424.5147870515478
3693833,1,2598.3677343682457
2242853,0,2125.7996220224786
3083207,0,2120.31741644824
3381680,1,2747.7286928076655
614326,1,2625.117341051354
1717450,0,2145.7029883758146
2531855,0,2040.257138361306
1427921,1,2369.0937976714904
1421324,1,2336.86128796413
1682849,1,3081.4055877773326
536011,0,1937.087909256254
1812006,1,2652.264523566498
2861993,0,2041.3726703728078
1361936,0,2038.6328792359477
2469149,0,2113.9695934529514
202452,0,2147.717077570647
3131010,1,2323.7827709377116
1285094,1,2835.3680848664612
2693489,1,2514.927681576459
3839204,1,2779.267129419845
3703659,1,2503.2646110390415
3664335,0,1783.5190938453875
2754919,0,1982.292468244054
334739,1,2584.198698694824
3860954,0,2127.4523978129446
966896,1,2410.5088978130734
2747271,1,2204.6644738916925
3959062,1,2344.8778394088777
1414798,1,2542.002611782428
214541,1,2227.383322552081
1903473,0,2128.7513634602815
3663493,1,2353.884801845834
1542387,1,2248.9145216895727
2846626,1,2581.5779111258353
510815,1,2660.891171056154
3864840,1,2508.6950426102053
3806585,1,2638.8639118542505
736759,0,1669.441292421965
1438992,1,2594.952134426372
1973807,1,2719.693421921127
1399570,0,2103.3538011523983
1000608,0,2127.0001124388223
629070,1,2209.0076338186755
445318,0,1004.8703596392229
2750588,1,2530.124627404962
663673,0,1342.0552125750894
991675,1,2694.3630763314327
3317055,0,2041.8486328645276
825177,1,2413.053724584229
614698,1,2553.8723690685915
1619581,0,1998.1522754868263
1350777,0,1936.1792571118544
1320711,1,2199.2430387111735
689791,1,2380.215043820424
3296126,0,1803.8923494294736
1973900,1,2509.0555043541053
2811420,1,2658.667869830406
1808895,1,2604.221039561932
1073981,0,1018.0360118864797
3437944,1,2897.5360690109155
3671105,1,2448.191140401188
2978714,1,2356.1482275133003
554453,1,2771.0039899479784
2608737,1,2381.090526943907
2145792,1,2327.9844672324925
281385,1,2698.6637808360024
3045210,1,2354.8082078077277
1523004,0,399.1898146708151
2819184,0,2068.760695322541
2947506,0,1857.6208169025742
1957613,0,1382.2739717697143
193815,0,1597.7502162261057
3112329,1,2777.1009677241077
2169532,1,2371.264159845802
870453,0,609.8483955220286
2242178,1,2500.295531969349
305017,0,1947.7542061438655
2805472,1,2170.4659482096995
3079042,0,1987.2274917176733
589060,0,2155.941394919195
1768679,1,2213.65939293849
2931268,1,2254.2717947842293
673700,0,2156.9831265912417
1533992,0,2165.0085762008434
2017967,1,2403.037962031296
232985,1,2681.716282024722
950760,0,1948.915489879938
3745403,1,2631.16597355873
3492766,0,2099.292720915268
2721222,1,2435.9718043889366
847493,1,2249.43720469939
3726074,1,2402.5493370838467
386401,0,2164.904274946847
2875066,1,2283.8472374269863
2631933,1,2545.3888021828006
2734539,1,2614.7139112504256
1683892,1,2673.989975982778
3297834,0,961.3232877803249
1935653,0,1941.7818032298496
3863124,1,2777.1381474500413
498150,1,2506.1464071484006
3724027,0,1759.8579745622244
1255522,1,2967.275575522565
410328,1,2314.084357359709
1847767,1,2284.894188953847
2552536,0,2157.7313524780716
1777498,1,2516.323365686351
714548,0,1231.5711459180395
1510221,1,2555.74948634869
2215691,1,2297.2263055253948
2445102,0,1917.0188427583264
2600785,1,2586.610602651627
1991117,1,2915.3980838145258
216627,0,2033.3187386864956
701432,0,1871.142885784956
3043909,1,2520.9564739799525
1311601,0,1612.4264765382159
214233,0,1866.5821707403761
755075,0,291.55205840396377
1726131,1,2362.050922354232
728489,0,1681.5419135785976
3369605,0,1813.8388650191837
2860110,1,2792.614836545415
3516815,1,2431.720060170359
3955173,1,2175.0017783573835
940134,0,1841.2939488595703
426295,1,2795.9193766617764
3474371,0,2145.4090531720162
3344572,0,1831.655366032466
1791043,1,2620.7379011440894
1647437,1,2680.134237873229
3163701,1,2291.312379925212
1087073,1,7061.245915155237
2547805,0,1977.5383628351394
245515,1,2475.5810935103077
1674405,1,2268.6891348091804
586537,0,1936.8296121692877
2167064,1,2603.855105866672
1137783,1,2565.6506951607084
3177074,0,1811.8915653107088
3847415,1,2186.372614296787
2483204,1,2526.4788939238474
1512202,0,2167.5566952276695
3512636,0,1408.9982543473714
2505375,0,910.0890976285177
246620,1,2542.439541372097
2517854,1,2308.624542986225
1701372,1,2463.364954151395
1702702,1,2602.6975127909177
1051335,1,2648.1275179997992
1133808,1,2456.420045089522
475503,0,1925.1083034358558
2449112,0,1786.6683607125424
2260680,1,2381.9239348151136
1374933,0,1963.1730010424117
3206279,0,2131.421551734247
442869,1,2413.779855231555
1811899,0,2099.2280527751823
2493669,0,1052.4144378335752
3409857,1,2615.0800713542744
3056357,1,2654.930569573348
2402037,1,2238.8469447437665
989117,1,2617.280843291842
2426331,1,2421.6028259562518
1016109,1,2437.4616548337503
973661,0,1328.9420476604885
2251851,0,1960.0389070021556
1106251,1,2676.177947983657
644637,0,2012.3059981964693
2897295,1,2330.921928077104
590536,1,2245.845032719139
2062289,1,2403.701321906009
698507,1,2558.152868048997
1962889,0,2086.7487442141305
2394092,1,2389.7978447449095
427286,1,2398.9391840417934
2048906,1,2577.105645768299
253292,1,2918.5389673029135
1170210,0,1844.056499745382
3341068,0,1982.7827741724395
3261239,0,1584.937944612456
1664781,0,1211.9095522653936
3199218,1,2221.907616755334
1939090,1,2928.5034307550477
1697949,0,1778.1685449122167
2963852,0,2000.918349080733
3290513,1,2327.8290396610646
2463665,1,2525.254547881533
1550228,1,2187.1078077328834
2397667,0,2153.148052426198
1071191,1,2559.707032418005
3731705,1,2309.347964468351
299996,0,2118.3071059512336
3308700,1,2340.9997555797813
3442681,1,2317.323882574741
235793,1,2561.3739192045923
237116,1,2364.6046208846456
472458,1,2500.328014092204
3727525,0,2139.955027781761
1064164,0,2062.0273885638094
2565390,0,1888.5020996673368
2566269,1,2208.789618966246
2828353,1,2203.2437091360525
1454991,0,1850.9624345698753
3695859,1,2433.1304478303077
2767165,0,2108.9190133361863
2854826,1,2798.889783968093
1152095,1,2401.195228038526
1827631,1,2720.4711758577187
2394234,1,2358.0291028407605
3845566,0,1108.8853040743338
2734624,1,2372.5347799187202
1366537,0,1769.5303408265472
752247,1,2633.9827012006567
3065259,0,2171.636563393054
3288739,1,2197.291074278613
2592039,0,1990.234435928808
585601,0,1539.1821516890152
1908980,0,1416.0687758018319
3879850,1,2255.874861378209
500177,1,2450.145106928151
331339,1,2332.8167746783315
2993953,0,2002.0172297184424
1867463,1,2263.609735222273
973585,0,1800.732854820103
3720410,0,1866.6243027892926
1033941,0,2069.0419417462267
2874492,1,2495.448116526427
1538765,1,3103.392486522857
3784289,0,1614.2222745886706
3730449,1,2499.7985733420483
2488381,0,2051.0416884434003
2931973,0,1760.9135723135198
2037690,1,2620.058101933054
717790,0,2109.8261170625797
1666860,1,2485.6760826763393
3716696,0,1990.1368199774754
2717808,1,2256.9478843349248
3932811,1,2439.3322410887454
3920400,1,2449.954523693418
705591,1,2734.309727211192
1032848,0,2144.8605178123357
2009870,1,2771.003818850393
259835,0,2107.3495936341756
884351,1,2499.972586155004
1966477,1,2928.306275860016
3195408,1,2172.7498686035024
726977,1,2327.2387922374396
2401560,1,2514.535795376759
514918,0,2119.162584906606
1198065,1,2577.457214019609
3168243,1,2902.465606425434
899680,0,2055.2235539414496
3953692,0,2059.8099045179283
2903196,1,2249.6613227652683
2821703,1,2409.2461312791734
2721069,1,2575.9317058389083
1666202,1,2526.977440982936
3832429,1,2174.140140120806
633068,1,2320.1145296095947
3495792,0,2014.0387509380334
1752786,0,2123.133129056849
3953197,1,2190.999226744799
2140619,0,1880.3733035655832
515356,1,2378.1373764415503
3050560,1,2332.418090038328
202416,1,2235.635385882238
1815045,0,1829.985425430062
275666,1,2362.472257928302
1850346,1,2539.919770677816
632848,1,2265.744945631717
2212445,1,2319.702019500644
3425421,1,2468.147144302197
1689486,0,2026.8747923501592
917699,1,2598.444582441923
3350178,1,2629.195044669274
2896242,0,2075.7967543215877
2827169,1,2323.048950041436
3110364,1,2224.630299697771
1590246,1,2731.7640915204934
3835523,0,2090.321360924101
2497151,0,838.43164082489
2572264,0,2009.6938251683237
1170808,1,2374.620438914309
3085958,0,1632.6987662060976
623576,0,1537.377664977485
1161064,0,1933.2716059780983
1456402,1,2756.8767737216217
1134419,0,373.7285062092478
1741710,1,2443.7105282609027
3407586,1,2194.4055721854015
1872732,1,2350.4366938541157
322204,1,2759.6699733079026
2980326,1,2594.7844463974534
2913779,1,2339.526281299563
2701171,0,2111.4156000566213
2574649,0,2049.788366496165
407926,1,2751.8713359462067
2598625,1,2301.5704921672354
2738595,1,2622.671579506445
1811976,1,2319.6961700340826
3923147,1,2254.5441348462036
359078,1,2425.848770162544
680135,0,2020.5322625222761
3353899,0,1994.5970507166319
3157424,1,2399.3699310440384
1639738,0,1970.9636729596311
1406369,1,2402.954689421825
657302,1,2394.1877511555704
1568002,0,2071.943039887303
1328035,1,2474.934435112156
3941488,0,2119.1893271984427
1063555,1,3281.1144678383444
449495,1,2216.6008068926453
3341695,0,2115.1414953481767
1356512,1,2202.8484685016674
945988,0,2029.8691346383396
3442329,1,2215.1750070900202
541650,1,2711.9427838730694
