sample_id,z,y
3414550,1,-6.11254764885259
3777675,1,-7.061653711727003
3760971,0,-7.359533499755828
1300319,0,-7.709294666575299
3149992,1,-6.887832030329673
3698402,0,-8.184705590021549
2936260,0,-9.575464587507655
2968799,0,-8.009510790532243
966577,0,-7.331060864351822
3067687,1,-6.944013285885499
2998219,0,-5.502835743754617
1312234,0,-6.5380910678826565
863266,1,-7.778404466352554
546961,0,-5.414383013992358
3042285,1,-6.112455998768253
2199255,0,-7.1553417342673
2744069,1,-7.133344812628555
3250375,1,-6.01339855390769
2034164,0,-6.262560273424218
3054950,0,-7.647348006844671
2421108,1,-7.266017759734275
1945573,1,-7.302140964023913
1322911,0,-6.868391431459808
1677368,1,-7.559159432513851
2598476,1,-5.05805782467161
3756119,1,-6.593966866583488
3378989,0,-7.3178493010790255
1319597,1,-7.568983066429908
2135015,0,-7.823732564842345
3931504,0,-5.4160732961646465
207522,1,-5.897016101213965
3541184,0,-5.678556835944359
996644,0,-7.87052591002298
3003299,0,-4.716198995499785
347421,1,-7.377169960457932
3029447,1,-7.645836155899729
2056961,0,-6.199778273848605
1978309,0,-5.81642440066658
1644819,0,-7.734586902925621
475216,0,-7.929811637546908
2988536,0,-5.806153187532163
439262,1,-7.989696030142668
1259378,0,-6.280768794930249
3668594,1,-4.4025254551425546
638137,0,-7.724570566429592
2498781,0,-6.259141558318115
1292057,0,-6.2152112899204095
2702224,0,-9.584571780732645
1504004,0,-6.484739971907897
1523704,1,-10.66789441094848
2976352,1,-7.478694099026892
3163814,0,-7.080093452414913
1624923,1,-7.681190241164764
820156,0,-7.598697723126293
3468487,0,-7.400169486298287
1280779,0,-4.754845673688991
1082597,0,-10.394504230286616
2212336,0,-7.157390675152209
3303132,1,-7.664151641288633
3139881,0,-6.920000598848866
2479969,0,-7.961453299584005
338982,1,-6.547856402543895
1346381,1,-6.033591695032416
3841292,1,-5.258090809995949
2157215,1,-7.626782597885355
551781,0,-6.510952983252633
990161,0,-7.627790456023774
2575250,1,-7.3179044729836225
425403,1,-7.4749588611336515
1266565,0,-6.2394928250264625
1239000,1,-7.630678230469571
277242,0,-6.516998051836304
2650566,0,-8.067977532971032
1903897,0,-7.537483053128554
381908,0,-8.045100939527801
983798,0,-7.143208525415584
499060,1,-6.030447388228022
1031837,0,-7.424086519441743
1771945,0,-6.806647790140268
2161299,1,-6.350419067182571
276811,1,-10.595496735347536
1091378,1,-6.766988021558235
3492271,0,-6.93015056314311
3036742,1,-5.863487095334688
2835621,1,-6.071331906629721
409074,0,-6.122984155507784
1427921,0,-7.181153903939666
3216342,1,-7.432098562277688
977652,1,-7.446858717580386
2910852,0,-5.642550046702907
1855085,1,-7.903749377623842
3421763,0,-6.10767700204774
1681705,1,-10.374855388577668
1630687,0,-7.289323269997206
1858727,1,-6.44137783488215
431936,1,-7.706905436710753
1345096,1,-6.887957788412963
1318097,0,-5.000751902468919
2809170,1,-8.30458259827925
2560026,0,-7.059017099005287
1771738,0,-5.342149154543264
807950,1,-8.915412621884464
2520094,1,-6.540923952402137
2032536,1,-10.981149095690123
1693299,1,-8.695605312947553
3313422,1,-6.94107492762986
1836564,0,-5.7616167756485686
318997,0,-7.077199872017833
282340,0,-5.846147481260283
2234109,0,-7.313184064750955
2605123,0,-7.852987588746945
2637599,0,-7.220565723552112
2263630,1,-6.440734884599365
1789041,0,-7.117867213413855
1473480,0,-7.98386333374825
263002,1,-6.772864851262314
3389078,1,-7.28342847816656
344239,1,-6.7973235412448885
1117803,1,-6.8663619815673655
541757,0,-5.127752480849773
2229618,0,-5.462630176817796
3264032,1,-5.500844062104684
1334996,1,-5.705571135167486
1235081,1,-7.156408493626208
3709905,1,-7.830449706075372
846039,1,-7.875022193957322
1708131,0,-7.6586131217768765
3475094,0,-6.233403977257015
2482314,0,-7.708537265138741
2566344,0,-7.7081361427089305
2997101,0,-6.981392789768898
816043,1,-5.534133531471914
3410786,0,-5.020311959604066
1302443,1,-6.807779781458957
2881604,0,-6.214330862842322
840347,0,-6.162095216796688
1580577,0,-7.499074140240777
3203766,1,-7.165694184749984
916109,1,-7.509957878089655
1072063,1,-11.129372908731078
498892,1,-6.901520121657334
1333761,0,-5.074511624378228
2799964,0,-7.709023210868599
3712938,1,-6.2582803792064725
633206,1,-8.037422165024909
756546,0,-6.741778521653667
965409,0,-5.938237687729669
2106369,1,-6.589502990455999
2487421,0,-7.574517047368772
2691208,0,-4.704326904632521
1107463,1,-10.531713055708597
554926,1,-7.430519849482339
3525043,1,-6.953911207694494
328278,0,-5.931951031811538
1023836,0,-6.807662600597823
3524151,1,-7.405191817969511
904295,0,-5.256454309696354
3287641,0,-7.212657559281085
3352214,0,-7.083448645070368
1915265,0,-8.103248730385538
2027026,0,-6.979655877719347
2629858,1,-6.588666667106816
2623516,1,-8.297316782116253
3124958,0,-5.849720636437315
1157934,0,-6.572537899196466
1908980,0,-7.160809890965748
1483918,0,-7.354559690646363
2471794,0,-10.535107424414603
1305274,1,-7.66864740592055
921280,1,-8.00783954174468
1840567,1,-7.454282443963574
2625099,1,-7.34651836111543
3746788,1,-6.817090782852744
2656563,1,-6.180434981272437
2451112,0,-6.538672930149592
3745761,0,-5.056210230944628
378411,1,-6.003929654410399
713557,0,-5.858931367929804
3426764,0,-5.770029719281678
1328124,0,-7.887189793653634
1498616,1,-5.876695633144344
3393517,0,-5.023890936614352
505647,0,-6.632087508791865
1306919,1,-5.000690351416451
1435108,0,-6.166025726697693
2917149,0,-9.673991002764744
1538515,0,-7.156333707213534
3106700,0,-6.1929995469537005
2712023,0,-7.072096284585602
3741935,0,-6.5717661774393665
2164884,1,-7.733560668569698
2822272,0,-8.079699873403312
1270874,1,-6.7026516685800095
661400,0,-6.968494421743458
1939702,1,-10.624403135973338
3785121,0,-5.073826597548902
806240,1,-7.124234186364805
3770490,1,-7.069076250962034
2031441,1,-6.721669836790052
2436905,0,-6.036798595500599
1072501,0,-7.213836755831621
3012523,0,-5.998749431626651
3329927,1,-8.374264734168003
2893414,1,-7.156583970082381
2564514,0,-7.053166361735457
2598248,1,-6.304129967531342
345783,1,-6.816123008698092
2216693,0,-9.743753099675807
1394212,0,-7.629925071286078
291759,1,-5.327815405787601
3705989,0,-8.022439279764926
2771759,1,-7.864558207827326
2730092,1,-7.480166758073905
3485839,0,-6.687962341038329
834119,1,-7.494606584561347
3320854,0,-7.402508042263343
589006,0,-5.778662039633793
3922992,1,-6.228130689828647
318389,1,-6.330080375049725
1634929,0,-6.42297585117401
1679194,1,-10.570370595760227
1234885,1,-6.550126752235354
883839,1,-6.950547595585378
2117536,1,-7.716311061832595
3725415,0,-5.7960000800106135
1952997,1,-6.561688647444001
955303,0,-6.764541114978998
2029745,0,-6.8321946521438575
2200275,1,-6.575773397148021
1700044,1,-6.82302732828663
321331,0,-6.272120845036262
686538,0,-9.73211124051302
992628,0,-7.970651041675084
613104,0,-5.2424915260684815
239757,1,-5.764262209642512
1447146,1,-5.418839429305662
3902912,1,-7.543690351318665
3438070,0,-6.700684871692727
2284075,1,-7.061687624583994
2154799,1,-5.6535614062947435
1452979,1,-7.764771840774946
1079954,1,-7.504810697174162
2145466,0,-7.496618416007611
1836240,1,-7.534754201259861
1411091,1,-5.53438844450567
2125012,1,-6.798125971133595
3884521,1,-6.2665999470645835
3491728,0,-6.280525458344947
1727134,1,-8.185813540078325
908216,0,-6.585263898595032
1608881,1,-8.421498748054836
707090,1,-7.837505759644843
3729208,0,-6.934201292672205
3868572,1,-5.7517144142125725
511505,0,-6.005278649801738
2494221,1,-6.340916477111229
466976,0,-7.391062604020832
1918153,0,-7.010404694070963
2202335,1,-9.878521824914955
3439580,0,-6.0809071352267825
2143406,1,-6.900084342543161
304193,1,-7.265139658009073
825561,1,-6.985405961500222
1815111,0,-7.3388856655766475
3054411,1,-6.918720518469408
833386,0,-5.743779710264512
1589959,0,-7.130263130051645
875275,0,-6.656893944512252
2667511,0,-5.501060281060124
2665938,1,-7.522449688652866
3093017,0,-5.92018476871237
3840428,1,-8.136855272006528
489562,0,-7.621890688554786
3112366,0,-7.3420175249145965
638232,0,-6.181305105752369
2833132,1,-6.806658712245658
558254,1,-5.873594647079103
2721624,0,-8.025583649584112
279855,1,-6.266687182303745
1342108,0,-6.299219721896943
600723,0,-7.1686846664075325
1833138,1,-6.600059153561453
1015917,0,-8.195595919864395
3320534,0,-6.6916992419507
2252665,1,-7.630506441633473
1386885,0,-6.189890396284023
682720,0,-5.7137482696569535
2702069,0,-7.569505484258444
814485,1,-7.40467716314457
2492746,0,-6.726209450090718
1702976,0,-8.591304040351718
1551368,0,-7.339240003993549
2878400,1,-7.7449831917086795
2846427,0,-7.966954025171843
2486760,0,-7.662466042965714
1196052,0,-5.61702406395486
2651801,0,-6.056558725464667
866219,0,-5.114332044128273
479304,1,-7.281584134491768
3545446,0,-6.723219445073807
473309,1,-10.61231970692374
2169004,1,-7.815613542673256
2035729,1,-5.73905874851438
3875888,1,-6.721726489282488
2261748,0,-6.988880954395753
500134,1,-8.139914387993501
3917252,1,-6.452472633020682
2255646,0,-7.474222766079574
2108403,1,-7.126599761170676
1911612,0,-4.765325641325696
2569109,0,-6.8867332773440175
817663,1,-5.516356640223271
1251241,0,-7.4131701900564995
3059573,0,-6.837123459870495
3515793,1,-8.027025334260959
541033,0,-7.685308984321401
877194,0,-6.199122962423767
485671,0,-7.497870539844818
2461619,1,-7.475771894304375
2765448,1,-7.018433609032463
352095,1,-10.692437645348452
2278897,0,-6.14022517712222
877837,0,-10.404211410660917
654124,0,-6.304978551339311
2194768,1,-6.13982726344626
1033820,0,-6.508154264720556
1036425,0,-7.365339277137098
3770826,1,-7.799204647077219
2475659,0,-7.032293039754831
235557,1,-6.143921708102904
3463292,0,-6.250224225734651
3670146,1,-6.53290215641848
3190449,0,-6.200839296595396
3140543,0,-6.62556576313112
2720347,1,-7.044071312483842
2851322,1,-9.778866096062346
3314500,1,-8.455947531858678
1671069,1,-5.989658670529587
2119569,1,-4.817771504150511
3875194,1,-7.087315629646602
1942500,1,-7.5202793795874285
1582354,0,-6.973586716288373
3451525,0,-6.051622188992158
2187983,0,-4.767540516587659
3948521,0,-6.615742355880077
700288,0,-5.422461581737452
306291,1,-6.912968769118771
3959973,0,-6.623139292299308
1356608,1,-8.655218898178461
2196248,1,-7.184885205902389
2844122,1,-7.010096670366539
3925322,1,-6.297494123363648
3248907,1,-7.761119229813016
652916,0,-5.723330402683094
2214875,0,-6.655899829250502
1544175,1,-6.2529955189588255
3285779,0,-5.6434885925972615
2989354,0,-5.839908763471438
681264,0,-6.6835689430375655
3081609,1,-7.111004328680548
671082,0,-6.744413134876468
863330,0,-5.414473879821002
2551417,0,-7.151809021565051
932187,0,-6.431765863532084
1475626,0,-8.428643126472307
1935870,0,-9.564542482215339
2770159,0,-8.047281412472866
2113223,1,-5.260800279832449
3319975,1,-6.352058792486194
718148,0,-6.765451292686268
2558380,0,-6.690703163835711
885737,0,-7.066087619609723
2781989,0,-6.784505943496602
2556944,0,-5.502252218730524
1207144,0,-8.121640188173032
1220884,0,-7.953153648268887
308799,1,-7.894665291990359
3053432,0,-8.356151463127262
3034117,0,-6.922782359237205
3342767,0,-7.213008063040891
258122,1,-6.2921597219997665
3157671,0,-6.838500328823503
1503194,0,-7.860345837619462
2555610,0,-6.819477042110967
3193201,1,-6.7752448892739885
688105,0,-6.518375769991225
476972,1,-6.984431869040894
708123,1,-7.771408462348478
2747329,1,-6.30735225074785
1912822,0,-7.54098887732587
3762961,0,-5.935993132895778
423065,1,-8.354738144369797
2811739,1,-8.920517768653042
3744148,0,-8.052858824543186
2186869,0,-6.442338601334471
2934481,0,-6.2480804027927
260632,0,-5.82567999327096
217455,0,-6.7291810253261835
3438297,0,-6.839392077544352
2560121,0,-9.55065822265033
2821477,0,-6.699131349361966
2261926,1,-6.474431120466887
194191,1,-8.349308069030394
2905851,0,-6.930306045284717
362279,0,-4.7271715915574095
3426930,0,-7.782858553792466
1056612,0,-7.885622119491165
878578,0,-7.1009409604903855
1309157,0,-6.101647588298948
2883849,0,-7.840685071851323
3202254,1,-7.6124534089118665
2948014,0,-6.775990765497065
459986,1,-7.36696608299358
729393,0,-8.084715001410828
2219090,0,-6.857406251503512
210929,1,-7.454330910144538
2260674,0,-5.206201189170691
2202309,0,-6.752842859931625
711078,1,-8.159545075551163
304874,0,-4.962588871758569
3364783,1,-6.483505354378058
1212962,1,-7.334491422551485
3668191,0,-7.410725567157925
2618044,1,-7.384330687787932
3402239,1,-7.534026427698814
2282799,0,-7.027413460291082
3213180,0,-6.697009918825187
1592750,1,-8.012961362235052
3832981,1,-6.392551630307751
857440,1,-5.985302459176364
359836,0,-5.358366154810212
1402147,0,-6.818825116516098
2903196,0,-7.999346711589608
379644,1,-7.8504503818933316
1382682,1,-7.473091418689169
1402344,0,-6.935371330923774
1083059,1,-10.929972311224951
3002819,0,-7.075094938460908
463432,1,-6.203252684563605
3779846,1,-7.598312805197687
889950,0,-8.067615772782604
3001173,0,-6.6428237675337725
3117729,1,-7.478536699523755
1934210,1,-11.048131373535623
598733,0,-6.036776077364704
457522,0,-5.954259886232915
3496399,0,-6.192096570659698
3227285,1,-6.7527398163020065
3911864,1,-6.546968346753644
3753387,1,-6.2198760384422505
3100425,0,-10.11980554073854
2803960,0,-8.14484225045997
2452745,0,-5.593912200567378
1572601,1,-5.621704992150717
1543071,1,-7.010277603997116
1380188,0,-8.106190977901083
2791719,0,-7.3653882896792116
2918461,0,-7.374989479701365
3514779,1,-8.079794595656574
3908201,1,-7.742482363267763
2752403,0,-6.205446296316823
3504251,1,-7.3838606078802815
2110870,0,-6.8908056370150605
1785522,0,-4.843542812435777
1008775,0,-4.888056440417628
2033491,0,-6.324208573071789
3263580,0,-6.285857448508731
2856399,1,-7.1225773896741575
363630,1,-7.544850041936581
3296421,0,-6.564841887322779
2817214,0,-5.720011150190016
993410,0,-7.203070894982167
3239931,0,-6.889313351885788
1292502,1,-10.246279914822217
846585,0,-8.052731016219466
2022833,0,-6.568897232516669
606767,0,-7.175226152793359
375929,1,-7.780096474162649
3723140,0,-6.198739305331898
594937,0,-7.849328338865382
1534685,0,-5.590192008106438
652360,0,-6.521076618864094
1879036,1,-6.739292925981968
1214138,0,-6.736233044877155
1211369,1,-7.498170618993711
1224096,0,-5.948028748658757
2184276,1,-7.256389234664062
1402308,0,-6.3561513371110765
3360981,1,-10.682448171580706
831907,1,-6.425856430415161
2978208,1,-7.236286567312087
2583527,1,-11.051070205421755
1042792,1,-5.955896938492632
2696568,0,-6.957925780463564
2634230,1,-10.845906823167558
2849209,0,-5.951338157026877
3924429,0,-7.968640370801917
2725015,1,-8.408988172261653
924967,0,-5.628319191115837
475935,1,-6.152987410724574
2528599,1,-4.423956334369203
1226306,0,-5.570486244447444
2705415,0,-10.53325869630125
1319323,1,-7.7141395440220615
1366852,1,-6.840988806733364
2009477,1,-7.811562995787252
2721379,0,-4.513330195634298
2202068,0,-8.052925200842756
2003224,1,-6.854426396732044
497524,1,-8.153589980213772
1770340,0,-9.52340453509542
3019315,1,-6.450875190436601
1397831,0,-7.460498660411485
2121134,1,-7.878534513375303
1333414,1,-8.708565417286163
585343,0,-7.209928202193901
3158255,0,-8.47665423100693
3347083,1,-6.214857840747681
706346,0,-6.381504095352447
3658829,1,-6.060849167894638
304239,0,-8.186999869911228
239926,1,-7.7527244397139095
3692279,0,-5.0654757933260175
3667249,1,-6.784014791207166
2550118,0,-9.938353403604694
957434,0,-6.816336764743254
1238628,0,-8.313952437458818
3438092,0,-5.34546759384837
571983,0,-6.977571066805881
3409905,0,-8.137773894956846
537222,0,-6.819377819469273
2593738,0,-8.353421476842575
1673326,1,-6.253602826565965
1086009,1,-7.332806871001974
3181114,1,-7.028055787635579
1469970,1,-7.494987107331693
3150439,0,-5.201302752515528
1376561,0,-6.439849727222651
2231058,0,-5.885608113788574
1245752,1,-6.251704004524119
1314492,1,-6.664664009861969
2212243,0,-6.7810849877972545
1156878,0,-6.061608749179593
657171,0,-5.22144621020682
2468733,1,-6.920119955283015
670635,0,-5.347689678718005
3759174,1,-7.542065415487661
1613082,0,-6.847266386473966
2249198,1,-7.542091454214494
2609047,1,-5.646159914177085
2113455,0,-6.996510512238529
987742,0,-6.995670385679364
1121640,0,-5.972990592700364
922673,0,-5.714407393350896
3761803,0,-7.223535830876448
2901741,0,-6.8152888166230525
343273,0,-6.919906006547651
3002790,1,-5.758633778843995
3508715,0,-5.41771461698916
3204072,1,-6.3753073112054714
1780739,0,-6.157404249975305
2531609,1,-6.742977095029318
3166748,0,-7.365918630620514
807900,1,-5.851281588042894
621543,0,-7.34982644031406
1415334,0,-5.445843784132735
1894115,0,-6.510026030550622
3519268,1,-7.4629402079003135
2551712,0,-6.869533666541642
3501137,0,-6.7200879549661865
2572904,0,-5.9502384557631425
3706966,1,-5.995476488618656
2233659,0,-6.469212351567115
1980605,0,-6.330723635582113
3018022,1,-8.119278273197923
3701104,0,-5.522541401922587
1539392,1,-7.612603824456153
329527,1,-7.454361272431315
2454665,1,-6.85951532664076
2395547,1,-7.958553976609516
1907222,0,-5.1285981458522505
1160287,0,-8.348240214191371
3151174,0,-6.246825484585269
1891399,0,-6.159527499231389
3324991,0,-7.505622162983149
537378,0,-5.795510713605646
965209,1,-7.9836094131532915
727640,1,-8.108051322491214
579245,0,-6.612052917563579
3392465,0,-6.985268240331851
2536505,1,-6.7950311116198465
3099236,0,-8.202230734696515
1842024,1,-10.031552208770982
2218985,0,-7.717279024797233
3806243,0,-7.075089853512574
1862770,0,-6.168569135065011
373099,1,-5.759532255276979
3385829,0,-7.036270428358807
2516070,1,-7.138970068143317
3943303,1,-6.940714950823862
3474294,0,-7.322214443127629
3519045,1,-7.166848540489411
3837913,0,-6.39033900269357
2841078,1,-7.8248266306697545
1158151,0,-10.682206616596941
1582790,0,-6.460450921248705
557067,0,-6.300042534862102
974592,0,-6.95400843020954
3431356,0,-7.044479950997885
2863337,1,-6.699336659321552
3734746,0,-6.099623954258173
380725,0,-6.654836201871771
1667724,1,-6.798879155824205
383415,0,-10.073059147231003
3528539,0,-6.14262670293263
1142451,0,-10.031019386457631
3142912,0,-7.414970195502383
2166451,1,-7.6702459320525
615556,0,-7.25092392214222
2038933,0,-6.417559807137382
1257666,1,-7.79269688302786
401973,0,-6.133572545200047
1788210,0,-5.929068596977007
619449,0,-7.415497148960742
1220027,0,-10.395700194165638
1251650,0,-6.309888126768345
2992960,0,-5.534326253550052
3190048,0,-6.7667667220655785
529138,0,-7.533054582692135
586754,0,-5.02925749281215
832002,0,-8.227915080818004
2531135,1,-5.28455585332068
3655910,0,-6.685406638194138
2937047,0,-6.995278539184577
3436024,0,-4.904140201478861
2400514,0,-7.072412444048723
985143,0,-5.698810233740438
870801,0,-6.133957803404139
1171518,0,-7.209462905962414
943562,1,-6.282217512619186
1685832,1,-7.3495033107431995
581987,1,-7.434804470652803
2463999,1,-5.2797154138332285
2904584,0,-7.4005623561846186
732197,0,-6.439593152089486
2624930,1,-10.13537947330591
587703,0,-6.834459210720063
1481220,0,-6.641668963379312
2142247,1,-6.2066839878859845
3440387,0,-5.8356500694162445
302107,1,-10.245568246216003
1599779,1,-9.899387623295256
3699651,1,-7.416393022676408
1003816,0,-6.596822815278218
1446781,0,-5.908778700454118
1123407,0,-5.008114177197558
898995,0,-7.4698750059540995
882347,1,-8.479475228287944
3775601,0,-8.077117858593677
1433280,0,-6.042246074888417
3953598,0,-5.500568853833717
365209,1,-6.670958929561469
815704,1,-5.8807132848082295
1914711,0,-6.857974864729294
2118141,1,-6.696994287957569
2185162,0,-5.599643960635535
834455,0,-7.593776166270241
3262235,0,-7.900047861071972
2636761,1,-6.319472214177153
3928692,0,-5.4578680076556685
3948191,0,-6.32359398498988
594702,0,-6.278039377714009
1075353,0,-7.334521485269065
3486874,0,-5.619849118196271
1585696,0,-6.697534358863242
1869136,1,-10.051951726243308
1577852,0,-6.109220767683703
2712683,0,-7.844005668831195
1912147,0,-7.1863505866440445
1749097,1,-7.5362582429592795
1242424,1,-5.939275358214433
209829,1,-7.210172601832201
3770594,1,-7.153573553163302
1903412,0,-5.936958585187766
318195,0,-7.293530355165546
281949,0,-7.960672079618625
474549,1,-8.439176852046135
2166458,1,-5.905402966191927
3768592,1,-7.602563852813277
3763639,1,-7.978341474938529
3932058,0,-7.073167042834337
3937296,0,-4.924617309381435
720126,1,-6.67532144533828
1051018,0,-7.499566642118869
3123248,1,-7.174263031412451
918516,0,-6.165848752016369
2696098,0,-7.744620874255137
1663453,1,-6.236076438360869
565597,1,-6.522267886705473
1774079,0,-5.839883888113039
3797741,0,-9.352061590578984
2454462,1,-8.155952907292942
2211666,0,-7.237946142493668
2477280,1,-5.479391246512105
327937,0,-6.392075190947494
3664768,0,-5.741132787400046
2775325,1,-7.531127101113219
2252359,0,-6.659175357468802
1360290,1,-5.518487702784401
2969528,1,-5.355810485135069
1289992,1,-7.070876217070657
3221729,0,-6.0012183564384
2628259,1,-6.620811996046508
579570,0,-6.262226621024365
1516101,0,-6.250218500325356
2885174,1,-7.686276256044184
2492955,0,-6.884342457655455
2935734,0,-6.50140360028049
3729611,0,-6.413303916619286
2563215,0,-5.189006226215439
2528517,0,-8.03806318179533
517510,0,-6.152618335203369
1460111,1,-7.203484643628075
974670,1,-6.820662409259795
1675444,1,-6.3076534993074596
916706,0,-6.1002698737313255
1135929,0,-5.623797341277322
2273107,0,-5.672891750896663
3094431,0,-7.810556557813843
2804918,0,-7.3229873912809476
2492070,0,-5.623678576212868
1246205,1,-7.888110312946366
3680261,1,-7.812691366245417
622752,0,-5.72197621559202
3231551,1,-6.391496239541273
2602828,0,-6.200142499918967
2770184,0,-6.848915467684887
2455845,1,-7.5853201670520285
3803501,0,-5.890772004857445
1711023,0,-6.934734215274504
1134023,0,-5.8701652288656945
3700428,1,-7.014312004017987
457603,1,-6.022505829239097
2569006,1,-6.756992371568412
3306270,1,-7.2696726113387475
2795477,1,-6.535160447366532
3262274,0,-5.586227383516583
372751,0,-5.754119501598932
1527509,0,-7.118262347791713
1064141,0,-8.403137774185698
2179857,1,-10.135012543439801
3365098,1,-6.306109233286669
3745884,1,-6.970930032107543
1126647,0,-7.283874579532904
199169,1,-7.589000972019543
3251385,1,-7.570905194814364
2676686,0,-7.95731457969957
1960552,1,-6.964055138439073
2976014,1,-7.622299825872763
855631,0,-4.9320708227087575
861191,0,-8.450196484878779
926397,1,-7.517396273773433
1613234,0,-6.811294997905499
263258,1,-5.908616396455237
597610,0,-7.648724881662911
877284,1,-10.391549793415571
1479115,0,-6.704102057677067
1498852,1,-6.570234523722396
3085914,0,-6.844402977626906
2525297,1,-6.816536485188265
2018393,1,-5.127299881955315
931758,1,-6.93027406937031
1978892,0,-5.38972360394517
743181,1,-5.570360236999108
1218491,0,-7.5639280946488725
3369318,0,-6.64607321477428
3682276,1,-6.658562521232193
424057,1,-10.453859363663684
3401682,1,-8.337812828473623
309444,1,-5.8432494936134365
3396201,1,-7.558873011872009
1477690,0,-6.217737871192293
