sample_id,z,y
1713462,0,-136.91119633868465
969422,0,-137.9079910462339
2108687,0,-137.0775597932964
915898,0,-138.63134170743388
3112486,0,-137.2451863477535
1813072,0,-119.50373478280768
2170023,0,-137.40191515264038
1435161,1,-663.0492347052466
2860125,1,-138.91861669722402
1072303,0,-643.7198886451513
2655267,1,-137.80057470351457
3317747,1,-137.95924177161217
2579886,0,-137.56885208970309
2721030,0,-137.48189823811887
2862650,0,-662.6259120683045
3516248,0,-137.47703172028866
239757,0,-137.341015722152
3134207,0,-137.56580203157947
2132120,0,-137.28835164220447
2518103,0,-137.366109561286
3755187,0,-137.2567476543262
2729121,1,-137.4826027054524
2168826,0,-137.0170629357004
1713818,0,-136.7697433895631
3726857,1,-137.72309546925246
1704337,0,-136.95018073250873
977023,0,-138.04696289146247
1219519,0,-661.9551521825049
1868560,0,-119.29512802238543
2689429,1,-136.89405355480125
2944874,1,-137.4051484319856
302762,1,-134.72235207155947
2825768,1,-137.26223615849332
2046762,0,-136.7854646163807
3354186,1,-137.1410349200366
1022711,1,-138.15740570344076
2529262,0,-138.769516855645
3706608,1,-137.4589166484966
2038823,0,-137.97911190623395
2941624,0,-137.00689588758365
3741358,1,-137.35823374705618
2825021,0,-663.2032149538168
1046701,0,-119.34600121244091
2874413,0,-662.4103415880038
3750258,0,-136.84837551893392
1484308,1,-137.56404691949788
970337,0,-137.37181857100833
844956,1,-137.30844706335301
713651,0,-137.17169668444072
1972948,0,-137.04820472081497
1539774,0,-137.03918033575894
326594,0,-136.91807268250855
3410391,0,-137.65050822694351
960788,0,-137.48635989080836
1790750,0,-137.47276148702215
3205769,0,-136.8644637608185
3906150,0,-137.67199989575363
1946591,0,-663.0722549878903
3189872,1,-137.60966512176975
2442647,1,-137.63430368742482
2396750,0,-138.09970776699475
3363851,1,-138.36911060801827
451298,1,-137.19429862297045
2971506,0,-137.4246051367469
850842,0,-137.40001594452627
2413151,1,-137.99911250430267
3326691,0,-136.4689465866834
1986474,0,-136.9405975216817
2981061,1,-137.48616552513357
1991067,0,-135.4082758442722
938612,0,-137.03159429477722
3143010,1,-137.63566160598793
537759,0,-137.87740749413757
3058494,0,-136.47794195834484
902907,0,-138.08138942434542
1075340,1,-119.16905855371853
3460778,1,-136.7198950601677
3544532,0,-136.85638344072106
3321727,1,-137.71511507654373
1549467,0,-137.12847483199363
2032584,1,-136.96290569078207
800709,0,-119.1776787406966
3937296,0,-138.5220749423138
1427697,0,-137.1574394312476
1789236,0,-137.00934538003688
427386,1,-137.98722094923713
1463322,1,-137.46632719667645
713234,0,-137.2544616987144
2750583,1,-137.59860094556944
730177,0,-137.50295291320873
1717586,0,-138.68418225371406
2411384,0,-138.25651677429286
1255123,0,-138.72791350170772
737589,0,-137.41690213430434
362483,1,-137.56839221716362
2784392,1,-137.75217644537494
3211096,0,-137.5469787584617
224802,0,-137.30866337075153
707940,1,-136.91079275840906
2010152,0,-137.80689809109737
3146499,0,-137.6324904679912
2466038,0,-137.2058734033493
2677409,1,-136.53502087654022
2985438,0,-137.89254907750825
2241867,0,-135.65475076281345
2999678,1,-137.3639570592282
3411556,0,-137.58260545026604
3487132,0,-137.8209935122848
1055998,0,-119.31641263487583
1229392,1,-136.85276645328307
3783573,0,-663.559689918987
1724180,1,-663.700408133394
2148574,1,-137.57963242887462
3544337,1,-137.06984659035473
908955,1,-136.83235514450806
746258,0,-137.04121129019632
2555253,1,-136.98734576224416
3522406,1,-137.73943032461483
708322,1,-662.8284731990276
3451880,0,-137.8117494723062
1821504,0,-118.78538220216312
3188798,0,-137.75926017942385
1269058,0,-135.86400545065453
2058623,1,-136.39335616958203
1431435,1,-137.57226582298185
1535032,1,-137.4425190974392
1708473,1,-137.60880671814186
273935,1,-137.4750109306561
824775,0,-136.86703008524748
564630,0,-136.4955549630812
2489951,0,-137.85084449193195
2814079,1,-137.44067234730656
1470207,1,-137.69015268472776
711758,1,-137.75054409971102
2665796,0,-137.10392811642336
3113996,1,-136.5986984645713
3887911,0,-137.32358562324572
580673,1,-137.54927495191995
3727647,0,-138.78352233332703
1528972,0,-137.58980991227173
2550840,0,-137.99116000028624
2845257,1,-137.53843484142078
1234610,0,-137.48370896761716
831931,0,-137.72876290143816
1062990,1,-645.8490012632166
1386635,1,-137.11081370175899
2707913,1,-137.93688341517552
1318488,0,-137.31989079904983
1280979,1,-138.1124194394806
1540660,0,-138.53966657123794
477064,0,-137.09470408363194
320472,0,-136.73665240894633
344100,1,-137.20062984918005
3302625,0,-137.3107159476392
898812,1,-137.52445187602754
3717896,1,-137.70858211381056
987183,0,-137.95468800491548
1637259,1,-137.451585231383
3650812,0,-663.498683342551
1577207,0,-135.5095898694498
3046123,1,-138.01356805530233
2872852,1,-137.63329982382186
3050250,0,-136.55344104566453
1286592,1,-662.9379783173089
2260859,0,-137.1892430583456
1124589,1,-118.26455766304962
3511944,0,-137.44262008047068
2167245,1,-137.22544778214683
1888634,0,-118.77634038198399
3505283,1,-138.09686320288128
3957825,0,-139.96564579130293
1719080,0,-138.47567788098664
1107939,0,-645.2325293233872
2169447,1,-138.19464889233865
3364380,0,-137.58917119369505
1876930,0,-118.25347853433401
1444447,0,-137.11492143940845
3840362,0,-138.0099842291459
245975,1,-137.54562782168938
3384887,0,-136.90049236961966
1870109,1,-118.1056781609845
2874013,0,-137.5385627232151
3176254,0,-138.92800210993227
1890147,0,-119.43088923908469
3928346,0,-137.9646089058998
603262,0,-137.61042299388265
3191226,1,-138.3347131494788
449092,1,-663.4695703995226
1215704,1,-137.04788618203804
403975,0,-136.36880237049274
1942064,0,-137.63096241786027
440351,0,-138.19338756741004
3779002,1,-137.67546790222445
1951928,0,-136.87311649726584
2701884,1,-137.47472348459056
438143,1,-138.06915958251096
1389120,1,-139.203255837903
2974407,1,-138.52645628666858
3916650,1,-138.65819128424135
422152,0,-137.55886031720797
2281665,1,-137.7756707723299
3722036,0,-662.8493161344558
3268423,0,-137.4052626961492
2150272,1,-137.805406090068
199615,0,-137.93288515310766
3425702,0,-137.61958197486217
277654,1,-137.96439889473962
1829298,0,-644.906700642844
2134268,0,-136.4359423025275
317928,1,-137.5565997695805
628243,1,-139.64839802367368
3155193,1,-137.501308996729
991834,1,-138.7423589962371
676628,1,-137.24380445160557
3915906,0,-137.44676041627798
3006167,0,-137.72409913638427
3866152,1,-137.5877603893119
939465,0,-137.58489605710312
3029124,0,-137.9244018646536
1963443,0,-137.09167016962894
3061074,1,-137.40287588475027
805071,0,-119.62372453315129
1135803,1,-120.07098617690266
1915610,1,-119.28671696894584
2772925,1,-136.88955938097496
445087,1,-137.4211810684979
3218665,0,-137.26847867491182
199543,0,-137.58975076917622
3700260,0,-137.7386216539693
616439,1,-137.34577603673165
710806,0,-139.42786359780706
3133852,1,-138.05841705359603
1151498,0,-119.5939591794583
588739,1,-137.80958653085852
2886363,0,-137.05663203018614
660360,1,-137.70039223551555
1416443,1,-137.7011249418355
1091815,1,-118.68809955571592
1552286,1,-137.25774664001017
3389243,0,-663.4776697146078
2574240,1,-138.5180889371175
331200,1,-138.6628796274313
813680,0,-137.00191816850955
1965029,0,-137.1781880574836
851998,1,-137.72140792905427
3875755,1,-663.8258476846338
520586,0,-136.52147804635015
244926,1,-138.1808209183689
1202674,1,-137.24270584908382
2235680,1,-136.49005940906326
974592,1,-137.90763575458175
578437,1,-138.44062444539497
401984,1,-138.863486031151
3549063,1,-137.59804569571503
502075,0,-137.50920350006695
898059,0,-138.56398309908906
2996975,1,-137.75759891744272
2278533,1,-137.5821982629886
2758569,1,-137.72531481805458
1326416,1,-137.23424545973623
2059492,0,-137.05418213142346
2395002,1,-663.4421696785033
3709476,0,-665.1244800525799
1997482,1,-137.20180678208555
1940286,0,-136.34943482762537
2862486,1,-137.1679336128593
2585351,1,-138.01532903550589
2111219,0,-137.8169533883189
672232,1,-137.51696692365923
2831983,1,-138.0931174931293
1381293,0,-137.10259531453806
373049,1,-137.99210849567203
920646,0,-138.30821256848625
3492073,1,-138.6896139682848
2128598,0,-137.4316992519171
3212727,1,-137.90742509073624
2635820,0,-136.86262321899073
2534691,0,-137.80761019518087
3088052,1,-137.43640871077363
544499,0,-137.56426803864127
3438953,1,-138.67887410346145
3485868,1,-138.4793453705876
3155510,0,-138.53869683297677
2515531,0,-137.40904310250883
555849,0,-138.2674898739903
2503723,1,-138.05200051928344
3390722,0,-137.818812526807
1879384,0,-119.27359674360677
2884898,1,-137.45060067940142
3115797,1,-137.25858472228958
740162,1,-663.8439474252206
1101130,0,-120.06122139223868
3051427,0,-137.9125972564942
3454835,0,-138.1891740379862
500414,0,-137.65433894743776
306404,1,-137.66669648393938
3845786,0,-138.2410335010323
1810853,0,-119.52287026436771
1850587,1,-119.01678892448145
3233633,0,-138.08274837630537
1612350,1,-137.48970738027583
2825652,0,-137.46113790139412
3346892,1,-137.30288436201482
564320,0,-137.70296225381594
1138593,1,-119.55915834559866
3022739,0,-136.5497245512241
2457096,0,-136.38446906019266
1221070,0,-137.8305052346606
976681,1,-137.89058015994277
1713538,0,-661.581198508564
322293,1,-137.81302162350684
2026532,0,-137.49175251243972
1584175,0,-137.5502508191185
706041,1,-136.8342833175931
2774191,1,-138.29488228456026
1647543,1,-137.8542801186618
536449,0,-136.943434117011
3019777,1,-137.48784921668843
2487596,0,-137.46379061212258
3133072,1,-136.96408728119496
921595,1,-134.09404637841007
2574312,0,-136.10650815795762
2654992,1,-137.09820295467009
662518,1,-138.82606770360042
1840394,1,-119.7298936549494
1732515,1,-137.96103955924474
359102,0,-138.27483515476303
483728,0,-137.09413373891462
631472,1,-137.65921816004825
245320,0,-137.00396118792037
3508149,0,-137.71517658240313
3104176,1,-137.58465259060264
2244374,0,-136.78312959997277
3054684,0,-663.7382134871737
1295003,1,-662.5795393596871
2791828,1,-137.07225819024308
2660533,1,-137.75863280811222
653533,1,-137.55041495328564
1966646,0,-137.09774685029214
1917995,0,-119.97839290496171
3473360,1,-138.11681321344614
1248580,0,-137.1652796072297
863106,0,-661.7518229777819
418672,1,-136.88502345270177
3219401,1,-138.30113790962656
3701248,1,-136.67318136748708
341716,1,-137.27357719053404
3241199,1,-137.8224446954677
3500625,0,-137.35731777549267
3484748,1,-137.87175301253623
275088,1,-137.5966392765538
2975269,1,-137.48006829426322
209902,0,-137.84084521724796
2427382,1,-137.55836135349188
1536014,1,-137.73935889950081
2527618,1,-137.6003461892506
1118262,0,-119.17687509640609
3387856,1,-138.84871314529255
855006,0,-138.33379833923144
2129920,1,-137.73190029893124
1424680,1,-137.83208028166803
2674695,0,-137.5157686037244
264979,1,-137.989672631695
1005850,0,-136.9927450100818
605767,0,-136.98272091043737
2165247,0,-138.00794223013057
2474162,0,-136.99192739211273
991521,0,-137.51852497229757
1222020,0,-137.05790332800402
2149857,0,-137.31260845447392
823216,0,-137.61951359582673
473635,1,-137.72245057322553
1420946,0,-137.54233669226477
3835148,0,-137.2165656150948
3686173,0,-137.36361229317708
2607057,0,-137.12522289443413
1143901,0,-119.50401667298306
223039,0,-137.66602566322624
1025190,0,-137.4189479201326
1601949,0,-137.20193343914912
491925,0,-137.05632887310833
2206058,0,-135.26208125871804
3069139,1,-137.27036490371663
1138808,0,-119.99678459958936
495571,0,-137.67446963901276
2985771,0,-136.97661430563443
1598152,0,-136.81265591685417
2282258,0,-137.2738621997809
2161536,1,-138.11848705575676
2106306,0,-136.96596043008327
2551814,1,-137.93789712447958
3244516,1,-138.10120064887204
2927484,1,-137.73917144518722
268494,1,-137.70820281733822
1074777,0,-118.78305519833819
2784920,1,-137.44972607103392
3395110,0,-138.12077223042817
2028303,0,-137.42833504754736
814819,0,-136.86696517883
428525,0,-137.23657270961786
1511019,0,-137.53897380690543
724859,0,-138.81665929847495
1999739,0,-133.44942435849808
811119,1,-138.62915615292366
2155983,0,-135.5523622664653
3690906,0,-137.46143432315037
2664300,0,-136.90384341886167
2694215,1,-137.5657641362835
2505455,0,-135.4774167731962
3198619,1,-137.79074802258938
3735107,0,-137.819149824184
1052601,0,-119.59092896036476
3237188,0,-137.47677162768224
2151095,0,-137.11275197719507
2566745,1,-137.2359575607821
3524298,0,-137.343556057504
3240005,1,-137.71875128899515
2406179,1,-136.9960277498278
2601436,0,-137.89211941290924
1760492,1,-137.6861682439482
1398168,0,-137.62453766536674
1744030,0,-137.1689945826468
1976133,0,-136.94901946803634
460405,0,-137.49330964864018
1739369,1,-662.6491130142895
3184372,1,-137.68427463214758
613341,0,-137.56315925619054
1486289,1,-132.88957763928457
548316,0,-137.64401548993874
1240917,0,-137.12550122007195
2054334,0,-137.20359068294604
2777609,0,-137.82520517719607
3794011,0,-136.0845187174224
1563190,1,-136.57384491762326
2033812,1,-137.07901793259305
595882,0,-137.48625058263247
508087,1,-137.79523825513812
2615880,0,-136.97187927063817
