sample_id,z,y
268687,0,-11.830992879358478
943414,1,-12.935322391425622
3535793,1,-13.119629058929183
2946063,0,-24.46687994104807
377809,1,-18.356803422850156
3037865,0,-20.532965528823034
2508905,1,-12.594768148853825
429043,1,-12.704670829357594
3322925,1,-7.902029982575345
3196867,1,-3.8342703715896387
1304226,0,-20.293832282088303
279080,1,-21.637114189772923
3246093,1,-12.729567713093429
3429078,0,-14.350064225837055
1436835,1,-12.466574535007343
3928746,0,-20.251022123348633
3415540,0,-11.811585876767856
2499785,1,-18.473191384266414
1245086,1,-8.771529134010486
2169532,1,-21.795983727823455
1824493,0,-11.593541285296018
239027,0,-6.51498656657722
1868254,1,-6.99937560185266
2675554,1,-13.134754730979752
380847,1,-9.594135985104932
368802,1,-15.551477928595634
495344,1,-12.777217827768558
1150283,0,-17.161474028538102
638793,0,-12.540056509190059
3540282,0,-11.913951770126959
535383,1,-12.795976219056534
2277556,1,-7.5967617363141
472963,1,-12.450652437332787
507563,1,-13.353038544898391
3854502,0,-9.069555859447755
2729335,1,-6.981927101500442
1993586,0,-23.054587501393108
605648,0,-12.179721766173055
1063676,0,-14.87760980065346
1515760,1,-18.747873198174737
2211957,0,-15.010863067573748
426119,1,-9.187627110889599
595143,1,-21.1873906164217
2498162,1,-16.093693592316427
3219503,1,-13.438129362288915
627188,0,-11.644696633604584
3659591,0,-14.79941362738375
3097041,0,-14.85290370071553
1064026,0,-14.632484230837425
913617,1,-6.755437619096726
1378426,0,-23.371946987492485
1782148,0,-6.536677195229048
1779288,0,-24.475241288599467
2578869,0,-12.395786761594394
3875402,1,-15.115819767033878
1332244,1,-12.073821412131265
2710376,1,-21.086931959586707
490758,1,-6.6962721145590045
3394180,1,-9.71482862465545
3118000,0,-5.743522961380654
465403,1,-4.321967567569247
963890,1,-9.129443434733043
2687598,0,-12.040631822874383
2453545,0,-24.202212336202866
1055051,0,-5.754505821350999
1484363,0,-10.005493725151373
2215684,0,-18.221634227733407
3319279,1,-7.261708043238208
2664204,0,-23.517107521424457
908379,1,-18.443610789677304
1744398,0,-9.04261778789728
3936632,0,-9.873902365192611
632549,0,-9.433390627864686
2649151,1,-12.33819013708443
1912637,0,-17.36972915347162
2236893,0,-11.794717753118839
345528,1,-12.532519049758372
2623348,1,-10.037278959947514
1365877,1,-13.193325222201516
726377,1,-3.7927379846769758
3946252,0,-21.38246988488752
1875598,1,-19.430235710011367
1784033,0,-12.13741284627348
306018,0,-14.410317784886063
1425985,0,-15.778670643976525
2559849,0,-9.475060691371795
3145995,0,-20.223727229112267
2260476,1,-15.866781397993472
1840277,1,-16.82500686372485
3685758,1,-3.6852013080190935
1152841,0,-8.658990131618777
3489946,0,-14.935462547488697
3850774,0,5.006950679494886
3021229,1,-15.460699554924528
679525,0,-18.133236113649787
1324721,1,-6.705900243497578
2975158,1,-7.005657334024706
1264687,0,-8.200826092302572
304152,0,-14.708069163586819
1955262,1,-5.464629622888143
3058641,1,-21.599404109431333
3752941,0,-8.692956327917097
965940,1,-16.038691007108778
3855327,0,-17.86012088735459
370459,1,-8.182020359945398
597123,0,-12.242147909899929
553440,0,-18.01580620854716
605047,0,-20.59836126813813
2240280,1,-18.283921821616037
654011,0,-20.361587778470984
2402011,1,-9.39624573949174
2009479,1,-12.490658783487168
3268439,1,-12.408806241524454
2662495,1,-4.073512619866946
3464295,0,-18.390333128154484
2675692,1,-4.672940163177216
2720250,0,-21.119874431266116
1905038,1,-15.499429162874858
3855763,0,-14.353243755580213
3409129,0,-12.10657000663544
1111239,1,-15.54551230033255
3087118,0,-17.90912441234004
1544703,0,-8.825918754220556
3036742,0,-10.858946731644384
1819439,0,-5.9679877073689305
2651942,1,-20.655759430268862
2257096,1,-2.7596709503821444
355118,0,-20.85004722672924
1406116,0,-17.675650026532832
3894786,1,-9.710413039691595
3948076,0,-17.299185944816877
2005753,1,-20.863354624057774
1248358,0,-9.229566974603644
1752979,1,-12.708903415723622
249234,1,-15.885685861277752
3457426,0,-9.739455359203681
929432,1,-18.687204505623647
1941116,1,-8.407426618019512
710067,0,-20.50203453151168
3700290,1,-12.402276861212885
992024,1,-11.908860667333542
1556217,1,-7.156606004339609
2062652,0,-6.424018722422669
3067526,1,-13.234257821055174
1965447,1,-17.754603158463443
2882837,1,-16.274073282724544
2574240,0,-11.643528344082704
1885661,1,-21.478133459532152
2833356,0,-20.338425286478547
928380,1,-21.553616722311112
1874462,1,-12.772183305134233
464746,1,-3.9784209208764723
2542402,1,-12.868766171520278
1560677,1,-18.161737592761
1748068,1,-4.381106758103616
1277429,0,-6.12409945378232
2543105,0,-21.229806088613778
1955065,1,-6.0207979499294
1490237,0,-20.726391261065515
622834,0,-15.243378960505126
562788,1,-6.090700981863364
1792195,0,-20.561087443217023
978244,1,-14.79823910658385
1168655,1,-3.9358482108011708
2722657,0,-12.283476260117892
591100,0,-15.23149036153397
612334,0,-14.655174433478768
1996918,0,-9.476282746910517
309854,0,-12.043149784233243
1876396,1,-13.755386265899864
3106492,0,-14.590631417269838
3389619,1,-7.636972119758515
2215754,0,-15.423304263117519
3042338,1,-6.794643745766724
2149634,0,-20.814747714768767
2582733,0,-7.229213545394817
579130,0,-11.684669170109697
3727442,0,-9.447999924271924
2150237,1,-13.215855146344198
1015666,0,-12.472881440134362
270946,0,-20.797939062678875
1436989,1,-7.838709171539956
1255610,0,-9.716425761656025
1489810,0,-19.87863301870644
1916366,0,-20.45013578359378
1718397,0,-8.537570390308158
1161998,0,-23.83714416291389
645377,0,-9.312468812703326
1530336,0,-18.33900341708951
2846496,1,-10.744731227856267
899344,1,-21.26385809390805
666583,0,-21.163396400468667
2454292,0,-20.85859771771507
3512636,1,-21.99828382298228
566246,1,-16.12691925862185
1277734,0,-12.588909807078707
1241205,1,-3.1755917061642895
235484,0,-9.886361466556222
3193360,0,-14.748810142125706
836523,0,-8.459388133584726
836116,0,-8.900071627571725
3264693,1,-17.325067201803925
3147853,0,-20.834006166866693
376971,1,-20.925892508293078
2518279,1,-12.486519895568351
3090349,0,-17.16758513474363
3079387,1,-10.292364604599607
2482880,1,-16.0578437645144
374964,1,-6.690597943992971
3767756,1,-15.011423726356819
3450844,0,-17.914268645839247
2567483,0,-11.85359528008604
3665078,0,-17.948789910573126
256920,0,-12.093881377512966
1767843,1,-15.957548547648685
946343,1,-10.382588090086529
1836240,0,-12.200218994994936
2463978,0,-6.246296562421295
879073,1,-7.075875941808213
2429587,1,-7.160995854527445
1760780,1,-15.709009347545049
3888468,1,-12.819333667035096
3947963,0,-19.9722562020746
1703188,1,-6.131676279630753
3058404,1,-4.387329877011145
1400809,0,-15.527383633424854
3719298,1,-10.249501162766895
1998070,1,-18.69940552167165
3031502,1,-4.548802504344794
1745523,1,-11.726442896535602
3779694,1,-9.54552755985321
3508050,0,-11.769167708102081
1740118,1,-21.142811830452967
863620,1,-3.8264614755285438
668171,0,-11.570682469366567
751806,1,-9.507606742383487
509651,1,-10.048285025999988
1753293,1,-12.565597417717871
2062691,0,-18.41954520297099
2521695,1,-21.312084909261447
3782938,1,-18.12630516761694
2521910,1,-12.672433672143613
523905,1,-15.549503982481925
2254644,0,-9.633608716897331
2494609,1,-12.166940221903957
1521985,1,-6.192097061461912
3194895,0,-20.74547437492858
1876872,1,-15.72353334877722
672962,0,-18.05949278061965
2427572,1,-7.161222629786175
908287,1,-15.670164253786135
1601572,1,-12.03463700226707
238181,0,-12.354475467408651
977006,1,-10.054607646355386
1320491,1,-22.606102075295635
2770950,0,-23.598608177056956
2644223,1,-12.7233695569302
3178702,0,-9.039272035160598
1839626,1,-22.047998389541668
2581256,0,-17.204616897473382
3878410,1,-7.25252082164172
1750093,1,-12.936315515600153
1086661,1,-13.17354381910319
3679158,1,-17.967045847522314
1064201,1,-12.802305992210314
281258,1,-9.308425087346645
1594475,0,-17.67817865481235
900518,1,-15.249003812052829
3731582,0,-15.114853615613344
2229593,0,-15.126204725506673
1636519,0,-8.823497816849525
1440121,1,-9.110636332264576
1117248,1,-9.947189198180942
