sample_id,z,y
3453639,1,23.827512289767466
3343044,0,20.036656031684632
3674694,1,17.30411548186779
1576395,0,13.632696068615157
1143914,0,14.012491253324864
2053174,0,8.695504138254408
1983944,1,22.66446245738446
1900335,0,14.404445096611923
2585456,1,16.807576145554016
3448530,0,4.402341518978981
3528136,0,19.286562668667074
3879428,1,16.78721751546226
3843183,1,17.305962612085256
3297130,1,20.065214729018514
1694076,1,20.281535301838932
740936,1,20.115226091079613
958137,0,14.062831705576555
832143,1,25.308698445687003
2838062,0,19.965085431047363
1285127,0,21.994773798456077
3780253,1,24.868105248156883
351018,1,25.768629006653956
1102913,0,17.27090662061647
3112927,0,14.075148376999412
901941,0,16.671016402141706
3952752,0,13.982166705908941
1754746,0,13.564922733040435
3121450,1,17.597126154879465
3235315,0,22.099280526301698
3019362,1,22.920752157295972
1426658,1,28.46645677751723
1106244,0,11.106078886077762
1873563,0,16.52975893624314
2605482,0,17.02288430373323
2213924,0,18.82913751566102
672069,1,25.62887335485159
1087656,0,16.41777648933012
800523,0,14.238901528791317
1293432,1,23.181355722632727
3078343,1,22.654469236547765
2754887,0,14.35520117295084
829270,0,8.23975204382021
2166802,1,19.748802694122613
605442,1,22.82132145047386
870801,0,13.398831047181037
3895916,1,20.353517958069162
978159,0,19.950594500359127
948711,1,22.38933305705712
2759085,0,22.49904996603628
2039519,0,17.048049002746062
1008912,1,25.024544102219732
966245,0,17.05401120007655
661619,1,25.7266584220473
1827856,1,20.198280547650125
571816,1,17.26923622756179
636450,0,5.416921146495454
1546013,0,22.506335428338396
570458,1,17.538424442970594
3542436,1,17.255004257872425
3274898,0,20.24177812761652
2965637,0,14.064369243722881
1571401,1,20.016619551219904
1433415,1,22.51565783943222
2252456,1,17.114716314885875
3795810,0,16.083224658741205
302965,0,22.015024159907775
2054365,0,20.044845167155792
3099944,0,13.999151028435199
979365,0,13.671772275395185
543364,0,19.587033285113883
1230450,0,16.53865232433025
3371998,0,16.495611283767847
1246792,1,26.041850403685743
2135141,0,16.652081239326087
1423402,0,11.5982656293144
2883931,0,13.63104477734215
1538038,0,16.856456843342293
618739,1,20.237337661860195
2907638,1,17.303969079528787
1911035,1,23.040685204919075
2777508,0,14.118527502150194
846360,1,17.286157313493362
1314502,1,25.733104723960203
2859647,0,13.931323958098698
2653024,0,16.822195965789966
1976701,1,28.434612100266044
1572125,1,16.99065434248337
2742292,1,22.95543857245314
842311,1,19.929627255535447
3021990,1,25.74120971016642
1667355,0,22.420927026492354
351905,0,19.024278445501007
1817867,1,25.487237982349573
3337559,0,17.070613962712653
290199,0,10.81325457022376
393435,1,17.867013437392423
3494338,0,14.33307307628795
2114372,0,8.089280932658342
568379,1,22.711473096004248
2556966,0,14.13838374246187
406734,0,3.1924172637230845
1291407,0,14.401638791997174
1406390,0,18.944974928078178
510331,0,10.546743840572379
1126242,0,13.805098156250537
275870,0,22.25637236609479
2055799,1,23.03973802367764
1881018,1,22.955004938367118
2046514,0,16.784157630307824
1033941,0,19.578439513031004
1752857,0,16.615670313759082
497741,0,8.341379894558846
635124,0,13.338095366762408
2911904,0,17.351259852389976
2894415,0,16.817536112469387
1619063,1,16.813980552371675
1004072,0,16.36852896321294
1941577,0,19.348217612512205
3452494,1,15.361096021995479
2549853,0,19.597843175577616
1966736,1,16.428390574417353
2143191,0,17.262564553952487
1060384,0,19.012597123843815
248805,0,17.429013934732996
900414,1,17.127997955564844
1996957,1,20.299184639602952
2989797,0,19.277864054911092
2135715,1,20.596092936525803
230388,1,17.307227652197565
241909,0,17.45679121174667
3738234,1,17.34765265719758
2940023,0,16.806708009139985
1437207,1,22.908276054334614
638524,0,13.52842955083159
2478849,0,16.59959520896845
3158648,1,19.5241771804074
3720893,0,22.197594634447384
3084301,0,14.499745799817818
904339,0,11.148029075694238
1987830,1,28.805782325746772
374527,0,14.124191054628604
505614,1,23.02254299786266
3499409,1,20.280676250430748
3359698,1,20.3798581623002
1322724,0,19.39382270513338
2708865,0,14.381243395950534
1293017,0,20.085312631020823
1106236,0,17.191646952425227
3413569,0,13.46278716433561
418992,0,11.233156606644496
2658576,0,17.225577253425104
3115598,1,23.254720406363045
3114323,1,20.245137565585896
996570,1,29.074495933400687
2559660,1,23.693065987473243
1889810,1,22.656689842138487
2882316,0,17.017441594861157
935798,0,14.307337215406655
549847,1,25.44483547640953
3936749,0,19.64874782344959
2777438,0,16.728133268530915
3047692,0,19.889202791373
999081,0,16.569566110011937
1984263,0,14.217722255857447
868336,0,16.551991763261356
1500011,0,6.13425006067817
3525673,0,16.932031736227323
891158,1,22.639944591304346
1476074,0,8.646823995205638
362342,0,20.095095734347844
1226100,1,19.824400598982553
3208897,0,19.597467783275885
1337506,1,22.80662515234903
3015546,0,14.468519470130756
2030865,1,26.61557615134814
697589,0,10.853702683674065
1956836,0,19.921937439691156
1443295,0,13.65007276652433
