sample_id,z,y
1435843,1,-11.938931837353618
2249118,1,-11.782658363940804
1838015,1,-12.330269974562226
2004694,1,-12.015309093061804
1244776,1,-11.956948298548964
715664,1,-11.68192768428827
394874,0,-13.558459143320304
2790716,1,-11.37289897148221
3865461,1,-11.810004965583143
1428467,1,-12.138830550338827
854323,0,-13.360559801250764
2939025,1,-11.955620450593576
1045533,0,-14.898953695622204
344083,1,-11.674866280622046
3386405,1,-12.101078063023824
1135572,0,-13.541912087342075
560237,0,-13.511758676495969
958570,0,-13.695597706684788
3879488,0,-13.323384479300373
3332723,1,-12.255145291245157
249614,1,-11.853142126115872
1004244,1,-12.175673083849881
236091,0,-13.395401198521785
3435780,1,-11.780315801894199
3150566,1,-11.808580026925808
2445340,1,-12.147367612659426
3318635,0,-13.46147910321597
2438555,1,-11.704628170804163
2415783,1,-11.93814824070405
1914445,1,-12.28277179066728
2184364,0,-13.12539000546092
636784,0,-13.38825037263653
2114391,1,-12.209314748744044
2803270,1,-11.636278999676822
2248868,1,-11.925981073002852
2905875,0,-13.237152693622791
2252222,1,-11.955405990508881
3286554,1,-11.995630725326047
3948852,1,-11.857747323274214
1666837,1,-12.489435869014288
1689052,1,-12.047398756311566
2927752,1,-11.937348337771276
2878089,1,-11.555365256416417
3229633,1,-11.912711212131326
3182221,0,-13.528611501823207
1011435,1,-11.784414847827467
408852,0,-13.17876513916603
1303653,0,-13.326289986219678
1130429,0,-13.417894173150389
2917175,1,-11.58247346502259
3072717,0,-13.650187934572632
1453998,0,-13.339747534155107
377809,1,-11.629869466612591
321984,0,-13.541514795501266
3052907,1,-11.810055104078604
3005830,1,-12.156191072516075
2413887,1,-12.08334640913124
3883389,0,-12.891601266609694
1736416,1,-11.5118421834
529384,1,-11.89581383221408
2407638,1,-11.902861894048234
904230,1,-12.17363049629262
3262861,1,-12.24580276663977
2891033,1,-11.845030516943336
1883206,1,-11.966861158794446
440380,0,-13.366353906075213
1035362,1,-11.621285276342073
1019445,1,-12.094984964144135
530490,1,-12.108037189354121
283633,0,-13.14424384837023
1419268,1,-11.683647860172828
3502520,1,-11.933047234232697
830045,0,-13.398955163131685
1763071,1,-11.903373851601867
2041991,0,-13.48024775963411
2517954,1,-11.799414662573232
916217,1,-12.659650067053024
570639,1,-12.140323881825735
2923992,0,-13.647453565174693
1512993,1,-11.898417111523706
2665490,1,-11.729475921368026
2833795,1,-11.733229492161176
3746930,0,-13.604499816580718
1148377,1,-11.85889461174081
3666956,1,-11.943972661403956
1988300,0,-13.463270556963279
1375623,0,-13.259275335428025
2246481,1,-11.548778507209876
3361755,0,-13.574527352263534
2889572,0,-13.724447875848405
1749845,0,-13.506779680046872
2567736,1,-11.913852366842969
3803037,1,-12.018632019678849
916350,1,-11.629276159511587
2678191,1,-11.865392212781193
2169129,1,-11.780572084760331
1061613,0,-13.421835691985883
1905770,0,-13.292991734436026
1622347,1,-11.782160407904922
2926264,0,-13.332675748056936
2555881,1,-11.629124724876664
2033803,0,-13.402553243874141
1484229,0,-13.186790892034743
2997767,0,-13.545892427064286
2419589,0,-13.416947874882718
449662,0,-13.499118193161424
2441598,1,-11.979966066845758
2017967,0,-13.086344739834407
867059,1,-12.312707182837931
1960483,1,-12.139687089837985
1628879,0,-13.238030173764654
3045716,0,-13.179139069406595
3141246,0,-13.609714125541515
1294793,0,-13.225886126859027
3212081,1,-12.059567452254079
2506223,1,-11.832314638004528
1378932,0,-13.650268886358582
3005398,1,-11.937387157678165
3479195,0,-13.571564096392803
1333540,1,-11.92201646306897
1369493,0,-13.218376765886614
279968,1,-11.6865444676883
3477769,0,-13.19456729871454
865741,1,-11.694796632706405
804315,0,-13.235929475792766
3857862,1,-12.14581916221196
3542269,1,-12.043223963347826
1991751,1,-12.32626688839337
1851692,0,-13.30413674013071
1294469,1,-11.81438703577216
1201185,0,-13.372577927946653
3805434,0,-13.268365864833926
3705846,0,-13.19037999714956
2863048,1,-11.656891930769655
756314,1,-11.63404496996731
1570879,0,-13.474971399951558
671439,1,-11.572407705433976
2470452,1,-11.698235559136483
3940999,0,-13.90398522735733
3875802,0,-13.116244330240988
