sample_id,z,y
2970118,0,-94.7685329861417
1536717,1,-64.59158548746663
1051838,1,-42.47809118804017
2825756,0,-117.76058038706918
3924207,0,-93.18310164369659
2548209,1,-87.39505781192578
3845393,1,-80.58012850110511
3889076,0,-106.1504245754279
2674169,0,-99.12413411262028
3528921,0,-88.3285688948288
3424835,0,-96.86602784921543
3192185,0,-106.67695537332807
2167397,1,-79.80202305670682
2848164,1,-79.87501126247699
3507906,1,-80.61588637226342
652511,0,-110.19371358135376
883237,0,-88.80816611345223
2109631,1,-75.90634213091802
2126317,0,-102.23874531534072
442857,0,-93.21261317376641
3039696,1,-65.47742492204925
1257256,0,-96.32818162266223
2222868,1,-84.89916196370665
2047870,0,-93.60223766293569
2145236,0,-99.00644302573416
1407864,1,-82.13270701506835
1373459,0,-106.17450704099551
1826806,0,-110.5492826482222
226380,0,-98.07041928439642
1520042,0,-101.63106179013386
2554051,0,-95.64710301968266
3243788,0,-90.00972331800462
1564608,1,-22.11692993571561
3169937,0,-127.70752661292474
2434234,0,-116.51648915304389
3189166,0,-87.99601997417437
1360042,0,-96.35088246190685
1061832,0,-93.1102568261275
404579,0,-86.3812431385969
1111565,0,-100.64396511969822
2283200,1,-61.44342778285308
2631775,1,-86.1866545270774
1117337,0,-101.7682171149666
3921975,1,-68.9624770189038
1946861,0,-91.24806940950313
2004652,1,-62.63154882037065
2867548,0,-121.39807448271876
3069421,1,-86.05148517658931
282665,1,-59.45961661707484
657907,1,-85.83902652648736
2575125,0,-86.80823648585202
3100409,1,-86.45682353491947
3726384,1,-85.15687849795678
2140959,1,-62.15641104575359
1470749,0,-103.33901280937974
2057102,0,-90.40188960370791
2111698,0,-89.80464203950896
2719337,0,-89.1107135148757
720467,0,-93.78964661524097
1292655,0,-124.13510697007288
1343956,0,-96.23396286445801
468751,1,-53.716072910639944
734668,1,-80.41902567500496
2806550,0,-92.24479253986256
364747,0,-123.4740592180827
2198366,0,-90.3988205343603
3304451,0,-102.82771131000199
3463296,0,-90.55642646882747
1395962,1,-76.97922763329387
1947883,0,-109.2772752645422
2862053,1,-70.90954603803876
2783247,0,-106.32486031912322
2645153,0,-90.50766546035575
905586,1,-67.45700130348703
1667556,1,-72.55004966062474
2442819,0,-97.41825223745343
