sample_id,z,y
1631731,0,-4.520115978683401
1085842,0,-4.703967840862524
3414479,0,-4.889691061244772
1521144,0,-4.945136948817742
1967394,1,-6.997744897216561
1125654,0,-4.323605656330118
1392033,1,-7.124669785239836
450693,1,-7.052769775227582
2275887,1,-7.04388204288575
2869307,0,-4.336973943903
840397,0,-3.196633399219437
328987,1,-7.307298628197935
1488681,1,-7.114047672617646
2179232,1,-6.8906633043154075
2722920,1,-6.8339372529585205
985237,1,-8.039938533858441
3237974,1,-6.6910978721436525
2281452,1,-6.820579369268919
2578780,1,-7.470785002898282
3403474,0,-3.6109067434372766
2846771,1,-7.319283072105767
1978178,0,-3.8471859790493346
632521,0,-4.519957979504817
261163,0,-3.2904245166604698
217310,0,-3.9922312590422195
2109077,1,-6.904099905799003
2877035,0,-3.6973355604962097
2039863,0,-4.3725091127068065
3008338,1,-7.1610856770424265
866152,0,-4.278481353096054
971360,0,-4.4850588474009925
364945,0,-4.2053256547817455
1956730,1,-6.235151036429581
416015,0,-4.034029160445786
3168674,0,-3.971446900856761
3061332,0,-3.784448047019996
2203189,0,-4.019700981270941
1043825,1,-7.092058786810445
2222642,0,-4.606656355453669
3787155,0,-4.332836305802289
3936405,1,-7.2098862002992545
2700914,1,-7.1066414107854055
2126555,0,-4.368325798364183
3667927,1,-7.35783696248
2978967,0,-2.6560166373920118
2575670,0,-4.6731746101484255
814902,0,-3.6107022019326935
3896026,0,-4.035252002544643
2267545,0,-4.516916803361286
1196512,1,-7.268646973824767
1518451,0,-3.7675458022859605
2881438,0,-3.9013141062421415
1246917,1,-6.698400028467937
2886194,0,-3.946109073259252
3300957,1,-7.104745233037665
1363316,0,-4.073604287908519
3942307,1,-7.191962721387804
1437424,0,-4.019608750392129
3775290,0,-3.54247987264093
967527,0,-4.089982366928712
1620142,1,-7.234099743772282
1333256,1,-7.6438881288291824
2014086,1,-6.9704730135038195
2684031,0,-3.5118829688682656
2843488,0,-3.9172120226715252
2803813,0,-4.501212571418032
3038605,1,-7.205794591480826
1988523,0,-3.975441282718785
3225583,0,-4.236574998194321
3058188,0,-4.405565802783273
2184504,0,-4.359611073092696
3656439,1,-7.809189861737463
1741793,0,-4.839617745899293
432989,0,-4.438464893443027
2487219,0,-4.199458504086465
3294834,1,-7.26439892871588
2813088,0,-3.736807192567512
2448022,0,-4.202787064572884
2402931,0,-4.644504335036822
2223434,1,-6.776355201089212
1534268,0,-3.9990170392309055
2669455,0,-4.7611959002810575
2968454,0,-4.176217665395622
3857481,0,-4.313860136314296
3875602,1,-7.518131653270647
1689569,0,-3.679587563621753
2581822,0,-3.9729737958248323
1403563,1,-6.514561681314363
