sample_id,z,y
514982,1,17.703105374155488
2622805,1,18.294918526908823
2284467,0,18.22256061720939
2551924,1,18.227191155810374
878647,0,18.164284804207785
871106,1,18.306051733435563
474783,0,18.446379717571098
861034,1,18.4000249815616
1461425,1,18.10057476964886
2789945,0,18.192387002690065
1730313,1,18.004873549251148
2184364,0,18.083933279531635
3439980,1,18.244366326169395
1692967,0,18.240127612542903
2519004,1,18.01547185911381
1814492,0,17.989563222310284
3664993,0,18.24007079252109
3899738,1,18.306422515939907
1448920,1,18.139871764454593
2770174,1,18.04205980852336
3191114,1,18.474201389110966
659817,0,18.134274917899912
3007225,0,18.099144387844962
3752547,1,18.262735427147984
3090349,1,18.63747926508529
1398729,1,18.225600760137404
1463521,1,18.176306085867637
3169794,1,17.73528362859028
3099437,1,18.264584665744067
3517246,0,17.9518947680719
3068184,0,18.31228190531661
2676385,0,18.06229101725102
437804,1,18.60805338521144
1620544,1,18.126348043935895
304254,0,17.916090824956008
3711881,1,18.533912577988815
1976084,1,18.149639441250923
950579,1,18.139839462600236
2452966,1,18.388009356838317
1117269,0,18.006990561053463
3076026,1,17.8782279408065
1425775,0,18.1274985701209
971668,1,18.152293015464714
2042731,1,17.940888989771924
3799781,1,18.55526534026359
3296059,0,18.123925209926327
3311982,0,17.850802223502434
3749265,1,18.37975067776013
387078,0,17.85883379499295
1304331,1,18.355636771852286
1782016,0,18.242583013170876
3791368,1,18.33038855456447
901400,0,18.277338352959447
521598,1,20.76481996579538
2775822,0,17.75294326043729
3776602,1,18.06882722648212
3915137,1,18.189656615992803
281609,0,17.996577054292015
2495731,1,18.106415422930276
2149774,1,18.447359575890648
1286360,1,18.414690702861634
456091,1,18.006406687849896
1583496,1,18.16599562528162
2872424,1,17.95460677240874
874722,1,18.101694936064575
1436402,0,17.90060562142164
476954,0,17.935125432775582
3100425,1,17.958900073823568
2945524,1,18.19170189714408
1366227,1,17.91406395420201
3171971,0,17.90136277247087
2903723,1,17.399999337116885
3679841,1,17.99622817214647
1021953,1,18.361231483535015
3750081,1,18.018177529736185
2772800,1,18.30414198648532
1695088,0,18.649344916512057
3688178,0,18.39295444757095
2415136,0,18.486237848778487
3851422,0,18.197894170300238
1487675,1,17.897193909382402
932955,1,18.206856220688262
201485,0,17.799682021951387
3240872,1,18.01708357670004
1737685,1,18.577537664916186
898185,1,18.009005283306315
3096008,0,18.05571167823805
2732530,1,17.92339891812779
2648768,0,17.96721655261023
3467536,1,17.869029123619917
3168642,1,17.87152381773713
206291,0,17.845156362634405
1152064,0,18.293258569694263
2584214,1,18.250812134729173
1120322,1,18.102641912918358
3329229,1,18.18525008550137
1732758,1,18.39213938813812
2653192,1,18.80284863618376
3266664,1,18.917075656493218
3335676,1,18.2581460657818
2196849,1,18.509666771387987
2132229,0,18.276089545623975
3265757,1,18.095588501422032
3505582,0,18.436531625310945
3760971,1,18.18350610809831
3774258,1,18.436309535867533
2653796,0,17.625138647133877
751806,1,18.549914387218095
438478,1,18.132767673797744
932484,1,17.944287292546935
1635580,1,17.90928161274903
2849702,1,18.173147895813447
2720145,1,18.466559516615735
424282,1,18.40391063573015
3024631,0,18.191906682224182
2801586,1,18.715704124246578
3232565,0,17.52094608091808
3752458,1,18.49553867035297
2147872,0,17.93687404741913
2419084,1,17.853620544908924
422430,1,18.067384523513905
2580865,0,17.672264080481394
577840,1,18.572292233683886
544176,1,18.19935897273425
3328391,1,18.453280311290936
605988,1,18.151561174944934
2422721,1,18.67820365885301
2049032,1,17.90168209416669
3343152,0,18.363783008494302
1161418,1,18.386408434144393
3468977,1,18.002792806311128
844388,1,18.704174570654207
1378179,0,18.18048217820721
2170459,1,18.246681992772686
3124049,1,18.33200542330827
636647,1,18.211950589163724
2885899,1,18.31663690492542
3745669,1,18.148669968009568
1143328,1,18.40519598615126
3363742,1,17.973220361002355
1239055,1,18.044643014846244
2128471,0,18.309004317319584
1078532,1,18.264740517178335
2481059,0,17.92562500511124
713738,1,17.93794394097649
900734,1,17.870500504446966
2116770,1,17.86989861071267
3455175,1,18.13759440557674
2197762,1,18.235711721936983
3264781,1,18.383616155038414
2509640,0,17.65212131466192
2000580,0,18.276536814045198
3291641,1,18.532628805803945
1203113,0,17.57971251743481
3442449,1,18.13486059557186
1138155,0,17.62088455428517
2666298,1,17.934546327211855
3280502,1,18.1432729845448
1054261,1,18.35825455582411
2744730,0,17.487660073714743
2996496,1,18.145864068416145
3801910,1,18.079015890385552
1136484,0,18.423744265517296
